YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.0000000	0.5898572	0.5677522	0.6121524	0.6294911	0.7138476	0.1858779	0.6216067	0.1396143	0.6230620	0.2734742	0.7087829	0.5773181	0.1817783	0.5424821	0.0040680	0.7878045	0.6433025	0.6660554	0.6320192	0.5389246	0.3881186	0.5572774	0.0484238	0.4032848	0.5256604	0.6256376	0.0207523	0.2385777	0.6697988	0.2698358	0.3845036	0.0692807	0.0707713	0.4505996	0.3962544	0.4188871	0.0772927	0.4255876	0.1630828	0.0026689	0.0888860	0.3753176	0.5864523	0.5549472	0.0373760	0.5214702	0.0560438	0.4666488	0.5101446
0.5968266	0.0000000	0.4046620	0.6612943	0.5587422	0.7359297	0.2583097	0.7408462	0.1442625	0.7059819	0.2298998	0.7871817	0.6757388	0.2475514	0.5351295	0.0183296	0.5680560	0.6147859	0.5202027	0.6620492	0.3237901	0.4243136	0.5852820	0.0382139	0.5389467	0.6290076	0.7346215	0.0292833	0.1751901	0.5283933	0.2739868	0.3236508	0.0174300	0.0529258	0.3562501	0.3831290	0.4426880	0.0957658	0.4320037	0.1462197	0.3388697	0.0577992	0.3198635	0.6741233	0.5301342	0.0479636	0.5333778	0.0956006	0.3699723	0.5429253
0.5409137	0.0190337	0.0000000	0.5798879	0.6866269	0.6421032	0.3080374	0.7221264	0.1290679	0.7073894	0.2266197	0.6706748	0.5019007	0.1971415	0.6232845	0.0055991	0.6996990	0.0343967	0.5816407	0.6384373	0.2864894	0.4340300	0.4169085	0.0705939	0.4028722	0.5677261	0.5887062	0.0122331	0.0537237	0.6004483	0.3056971	0.4201464	0.0125829	0.0297667	0.3715094	0.3109905	0.3971163	0.0438006	0.7691133	0.1331978	0.3478321	0.0532613	0.2925943	0.5762447	0.5928625	0.0600215	0.4114834	0.0519531	0.3246348	0.5687203
0.5822624	0.6524966	0.6177894	0.0000000	0.8424041	0.6297972	0.2375183	0.7442072	0.2102468	0.6894701	0.0637952	0.6152105	0.3714399	0.1378400	0.6497954	0.1381593	0.6542107	0.6602554	0.6080647	0.5982295	0.5457350	0.4268567	0.5268891	0.6286581	0.1696191	0.5253515	0.5532164	0.0219272	0.1965438	0.1549467	0.2480242	0.4648510	0.0235925	0.0294612	0.3113602	0.0198819	0.4450484	0.0509303	0.3959703	0.0272089	0.6182224	0.0608606	0.3240927	0.6093776	0.0178461	0.0544644	0.4684192	0.0315180	0.4917943	0.5888552
0.6976458	0.0041313	0.4364606	0.7455991	0.0000000	0.5559154	0.2479539	0.6938335	0.1082079	0.7339877	0.1087523	0.6521681	0.6675032	0.2268720	0.4252204	0.5131826	0.5871251	0.6510143	0.4794120	0.6523922	0.3218666	0.4158195	0.4876012	0.0238448	0.3898517	0.6215894	0.6332024	0.6161663	0.1644000	0.6846472	0.1996340	0.4360894	0.0186446	0.0263206	0.3229096	0.2732797	0.5268471	0.0470149	0.3914020	0.1401104	0.2851976	0.0552359	0.3651903	0.5866541	0.5764900	0.0275742	0.0389926	0.0431246	0.4882185	0.4736806
0.7448961	0.0098499	0.0383236	0.7061059	0.6603332	0.0000000	0.0094068	0.7503123	0.6502084	0.6355918	0.4140951	0.6190868	0.6091652	0.5014708	0.6269358	0.0216838	0.5830263	0.1690085	0.4146964	0.0350516	0.0368790	0.5307930	0.0348708	0.0543333	0.4363677	0.5537237	0.5933722	0.0497313	0.0543436	0.6884668	0.2751145	0.4341939	0.0596809	0.0145706	0.3595653	0.4091061	0.3824147	0.0282771	0.6243652	0.1307421	0.2726318	0.6522956	0.5991109	0.6272789	0.5564791	0.0413299	0.3245449	0.0589664	0.1030358	0.5650549
0.7735439	0.0135507	0.4466499	0.7498627	0.6717290	0.7711449	0.0000000	0.6243366	0.1249004	0.7738425	0.3706229	0.5666845	0.6216285	0.2174988	0.5164762	0.0170467	0.5672566	0.6197780	0.6079049	0.5981356	0.2917895	0.5376662	0.3878641	0.0648132	0.3089569	0.5684165	0.7116082	0.0095532	0.1398407	0.7290766	0.3115782	0.3478350	0.0075657	0.0475057	0.3004346	0.2111194	0.5431978	0.0275548	0.5802994	0.1173386	0.2773689	0.0972154	0.2174419	0.6083704	0.6685159	0.0340995	0.5197087	0.0477134	0.5175055	0.5588395
0.7267440	0.0114447	0.6462800	0.7122706	0.7948629	0.6027065	0.6516959	0.0000000	0.7305287	0.6699849	0.4650115	0.7162316	0.6453356	0.0072202	0.6992390	0.0100332	0.6742680	0.7278483	0.4176471	0.0315261	0.0390264	0.5280547	0.3940186	0.0284222	0.6065184	0.0632991	0.0273845	0.0133776	0.4316273	0.5885680	0.0203210	0.0013948	0.6457835	0.0640835	0.4191729	0.3326305	0.4018943	0.0305519	0.4632560	0.1551101	0.2889368	0.1403633	0.0894398	0.5960765	0.5245376	0.0225627	0.4844301	0.0353462	0.5515605	0.4146045
0.7732907	0.0108944	0.3809059	0.6636733	0.6403103	0.5917833	0.0300558	0.7850539	0.0000000	0.6350616	0.3250973	0.8486947	0.7342601	0.1806570	0.3508590	0.0046934	0.4318647	0.6229014	0.6313402	0.8205362	0.4112564	0.5285409	0.3984298	0.0657585	0.5790220	0.5286773	0.7024641	0.0184357	0.2219138	0.6010107	0.2819956	0.3278553	0.0171838	0.0294743	0.3086343	0.2296494	0.4223965	0.0884050	0.4721479	0.1025230	0.3014185	0.0712241	0.3664014	0.6206026	0.5413103	0.0289265	0.4719023	0.0591969	0.5535747	0.5165293
0.6585408	0.0036621	0.4894542	0.6104823	0.6237217	0.6787477	0.0730025	0.6427701	0.7371621	0.0000000	0.2669136	0.0583870	0.3099483	0.0091448	0.5538426	0.0115196	0.5277159	0.6072576	0.4807977	0.0480654	0.0736280	0.0112084	0.6072015	0.5755607	0.6849614	0.6808365	0.6286166	0.0060630	0.2231025	0.4965959	0.6917739	0.5814646	0.6813319	0.4038840	0.6703174	0.5838693	0.0627172	0.5550160	0.4707627	0.4400801	0.3039007	0.0496040	0.0602192	0.0224879	0.4639347	0.6522810	0.4234999	0.3451181	0.4149515	0.0242551
