YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.4805474	0.0217492	0.7089032	1.0397909	1.0134061	0.9948140	0.4903947	1.0535054	0.2238125	0.9456989	0.4568472	1.0632388	1.0765925	0.2782983	0.8161354	0.0135901	1.0298043	1.0214277	0.8496397	0.9083042	0.4564021	0.7402487	0.7934919	0.0779139	0.7232664	0.8174081	0.9558026	0.0328762	0.3328756	0.9347740	0.5267272	0.5540975	0.0454589	0.0326167	0.4561179	0.3428334	0.6491131	0.0777469	0.6661024	0.2401739	0.3440467	0.0989005	0.4355414	0.9899565	0.9365592	0.0478234	0.6831630	0.0771369	0.7960063	0.7632585
0.9928026	0.0030494	0.6501522	1.1086430	0.9561016	1.0664306	0.4053933	1.0352214	0.2258118	0.9996845	0.4356085	1.0873421	0.9441209	0.3207860	0.8747193	0.0254183	0.9775555	1.0614885	0.8649315	0.8862667	0.4603114	0.6813948	0.6736672	0.0614404	0.6951820	0.8321202	0.9192485	0.0287286	0.2848928	0.9986473	0.3904074	0.4706018	0.0508452	0.0422188	0.5607611	0.4613595	0.7421649	0.0670076	0.7229200	0.2385986	0.4457807	0.1329816	0.3914155	0.9253628	0.9844316	0.0696358	0.6541239	0.0898804	0.6664951	0.8651731
0.9467290	0.0162866	0.3423751	1.0560491	1.1168734	0.9282448	0.4543248	1.0437508	0.1950312	0.9996719	0.4616969	1.0259222	0.9071688	0.3170706	0.9718711	0.0205255	1.0099722	0.9470905	0.9165664	0.9945107	0.4609769	0.7498602	0.7060539	0.0783886	0.6976040	0.8288710	1.0747719	0.0211950	0.2091190	0.9415708	0.4472431	0.5719629	0.0365612	0.0434205	0.5564447	0.4541527	0.6520010	0.0620522	0.8803624	0.1847177	0.4284124	0.1120365	0.5268509	1.0015669	0.7770663	0.0529340	0.7173858	0.0631507	0.6283546	0.8201451
0.9574237	0.0139831	0.7770500	0.5543122	1.0523394	0.9511729	0.3908984	1.0304436	0.2056735	1.0705835	0.5119146	1.0427825	0.9773865	0.2626496	0.8869212	0.0130782	0.8684058	1.1012705	0.7370386	1.0178439	0.4073097	0.7002886	0.6910252	0.0796278	0.2739406	0.8826455	0.9972404	0.0088605	0.3188532	0.9792099	0.4317279	0.4180199	0.0383469	0.0340412	0.5089004	0.3508155	0.6141219	0.0972451	0.6407807	0.0915168	0.4289517	0.1165550	0.4712862	0.9398980	0.6087450	0.0523595	0.6975514	0.0769604	0.7814740	0.8144168
1.0011924	0.0161343	0.6794473	0.9256402	0.5325605	1.0177200	0.4594384	0.9809291	0.2214675	1.0081736	0.3289197	1.1246311	0.9172521	0.3606802	0.9006722	0.1168804	0.9140564	1.0126778	0.8518977	0.9693295	0.4574858	0.6854865	0.6294545	0.0670701	0.6334284	0.8453848	1.0285563	0.0257977	0.2769424	0.8944705	0.5024949	0.5250292	0.0432931	0.0556797	0.5360001	0.4438518	0.6650080	0.0585057	0.7496363	0.2176016	0.4559850	0.1282336	0.4229770	0.8446697	0.8659522	0.0574388	0.3357743	0.0448101	0.7014160	0.7917666
0.9226322	0.0144827	0.3228371	0.9895897	0.9682111	0.5276294	0.2800347	0.9788652	0.2347941	1.0248105	0.6868071	1.0442614	0.9602694	0.5880712	0.9511106	0.0160049	0.9216414	1.0005471	0.8530913	0.8209948	0.3943262	0.6384291	0.0616534	0.0636168	0.7035529	0.8592900	1.0370952	0.0138492	0.1853843	0.9036236	0.3839972	0.5632688	0.0337944	0.0684430	0.5582757	0.5478149	0.5803415	0.0928754	0.8842667	0.2712771	0.4474201	0.3971319	0.5525984	0.9730632	0.8592802	0.0535619	0.8448373	0.0948988	0.5834820	0.7993795
1.0710578	0.0048940	0.6142711	0.9791057	0.9639622	0.9743544	0.1716147	1.0775960	0.1929942	0.9893714	0.4312579	1.0194090	0.8890648	0.2913069	0.8341446	0.0269421	0.9438644	1.0305458	0.7969315	1.0029064	0.4897345	0.6387248	0.7727056	0.0549650	0.6532757	0.8252893	1.0230617	0.0075271	0.3084430	0.9815649	0.4096359	0.5099756	0.0615528	0.0429685	0.5222046	0.4837264	0.6042279	0.1061479	0.6868154	0.2115858	0.5070651	0.0996573	0.4498597	0.8686748	0.8508137	0.0469641	0.6536074	0.0747129	0.7216395	0.8292665
0.9800292	0.0173229	0.8062472	1.0477704	1.0728404	1.0736417	0.6186578	0.5570717	0.1923420	0.9840662	0.4979245	1.0406981	0.8895263	0.2094856	0.9358330	0.0165809	0.9211769	0.9836670	0.7698017	0.9343857	0.4167039	0.6123093	0.7859029	0.0662776	0.6181987	0.4838168	0.9381008	0.0178412	0.3744125	0.9627420	0.2117140	0.5390916	0.0499302	0.0595891	0.4994545	0.4450476	0.5884867	0.0779074	0.6821478	0.2155612	0.4344128	0.1087056	0.1515146	0.8959656	0.9795999	0.0247617	0.7677574	0.0825531	0.6782283	0.8015395
1.0186959	0.0151747	0.6176809	1.1031014	1.0100902	1.0513120	0.2498557	1.0797456	0.1161379	1.0276566	0.4547158	1.0390643	0.8758427	0.2752287	0.8791057	0.0101788	0.9252364	0.8996696	0.8595701	0.9491142	0.4365707	0.5929298	0.6850231	0.0583557	0.6685677	0.9681394	1.0691184	0.0225804	0.3098130	1.0185080	0.4040833	0.5436364	0.0238909	0.0456759	0.5107853	0.3959679	0.7706010	0.0774958	0.6459704	0.2386271	0.4659539	0.1355904	0.4393100	0.9609308	0.7794359	0.0599587	0.6467817	0.0812847	0.6683442	0.7757335
0.9310062	0.0123586	0.7003958	1.0245652	1.0934306	1.0181067	0.3128509	0.9714250	0.2167515	0.4828413	0.4734015	1.0096684	0.6425138	0.2221985	0.8972899	0.0281125	0.8273131	1.1097531	0.9342075	0.9727355	0.3858753	0.2134863	0.7751607	0.0568531	0.8996562	0.6786653	1.1327827	0.0212937	0.3044023	0.9007047	0.5072086	0.5726693	0.4141313	0.3065485	0.8276939	0.9454415	0.3934737	0.1012720	0.6757047	0.4624015	0.4156534	0.1204324	0.4349873	0.7771873	0.8375373	0.0597712	0.7505891	0.0835487	0.7794035	0.6121125
