YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.0000000	0.9856787	0.9449316	0.8915435	0.9116884	1.0811072	0.2891373	0.9838600	0.2266944	1.0101756	0.4351553	1.0143900	0.8489751	0.2773156	0.8004892	0.0082468	0.9171836	0.9256388	1.0022275	0.9321134	0.8542171	0.5640628	0.7116787	0.0716654	0.6238771	0.8931466	0.9858360	0.0252738	0.3917289	0.9108408	0.4809598	0.5448087	0.0784393	0.0771767	0.6340593	0.5712610	0.5476769	0.0797345	0.5999449	0.1914591	0.0054573	0.1266297	0.4961216	0.9511854	0.8136468	0.0584438	0.7407109	0.0843939	0.8083179	0.7763906
0.9590968	0.0000000	0.7273836	1.0203968	0.9992691	1.0201292	0.4147227	1.0020872	0.2344756	0.9173411	0.3797472	1.0799395	0.9308739	0.2935955	0.8409436	0.0180667	0.8333990	0.9938850	0.8278653	1.0425750	0.4402156	0.6079720	0.7142031	0.0651317	0.6754063	0.8784439	0.9222899	0.0392476	0.2820285	0.9708040	0.3942949	0.4651873	0.0453843	0.0606842	0.4986033	0.5000550	0.6087471	0.1044931	0.7094028	0.2428656	0.3794874	0.1002376	0.4804383	0.9390126	0.8278296	0.0486066	0.7001902	0.1011165	0.6997339	0.7159950
0.9787454	0.0159604	0.0000000	0.9465374	1.0501901	0.9879043	0.4818002	1.0631912	0.2055244	1.0182706	0.4438074	0.9682299	0.8298812	0.3499797	0.9604724	0.0089648	0.9653724	0.0864678	0.8402083	0.9684792	0.4276754	0.6869132	0.6181828	0.0728874	0.7217000	0.8539532	0.9821845	0.0209197	0.0667948	0.8769152	0.4443207	0.5688219	0.0340503	0.0465369	0.4979205	0.4973171	0.6703732	0.0942491	1.0332355	0.1888497	0.3945092	0.0948883	0.4555249	0.9154675	0.8132743	0.0512019	0.6259259	0.0923775	0.4826763	0.8272188
1.0305244	0.9852365	0.8866231	0.0000000	1.0820645	1.0247297	0.3677046	1.0113121	0.2644134	0.9808856	0.1159005	0.9436865	0.5940099	0.2740267	0.8755646	0.1628729	1.0237631	0.9514823	0.8220287	1.0622444	0.8559474	0.6358238	0.8090451	0.9897565	0.2715651	0.9477737	0.9554340	0.0228739	0.3611135	0.2765276	0.4148875	0.5202633	0.0283294	0.0393740	0.6053077	0.0156724	0.6416864	0.0927851	0.6472313	0.0391340	0.9093844	0.0968548	0.4437189	0.9870952	0.0171212	0.0628138	0.6908244	0.0729905	0.7782535	0.8070580
1.0537330	0.0132271	0.7213325	0.9730091	0.0000000	0.9230466	0.3783914	1.0312915	0.1988837	0.9874523	0.1971944	0.9630482	0.9570747	0.2991419	0.6077876	0.7264317	0.9210310	0.9793038	0.8220662	0.9623419	0.5259649	0.6428353	0.6852836	0.0575935	0.5719881	0.8624036	1.0825284	0.9478488	0.2805194	0.9488072	0.4115383	0.5513574	0.0488006	0.0425258	0.4353962	0.4129231	0.6751244	0.0871514	0.6765345	0.2177806	0.4335169	0.0863192	0.4901905	0.9538711	0.8122844	0.0425085	0.0346469	0.0954088	0.7337608	0.7659554
1.0751906	0.0131364	0.0604883	1.0593082	1.0049116	0.0000000	0.0306272	0.9866544	0.9999814	0.9940820	0.6279825	1.0381076	0.9815777	0.7773458	1.0091643	0.0171156	0.9238100	0.2853351	0.7973320	0.0480554	0.0955326	0.6849082	0.0494980	0.0769301	0.6989896	0.8104571	1.0804563	0.0343327	0.0969867	0.9126867	0.4265423	0.5543836	0.0497456	0.0209089	0.5399137	0.5311322	0.6057627	0.0828955	1.0247588	0.2348866	0.4468641	0.9792910	0.8251887	0.9220356	0.8873485	0.0635149	0.6845299	0.0804876	0.1230750	0.7482791
0.9706297	0.0235856	0.7039886	0.9878387	0.9403343	0.9941680	0.0000000	1.0435096	0.2120720	1.0337552	0.4811619	0.9326974	0.9453742	0.3093807	0.8554485	0.0265603	0.9634828	0.9276068	0.9001737	0.9276201	0.4689007	0.7465647	0.6275832	0.0601977	0.5869737	0.8311678	1.0369820	0.0295013	0.2814932	1.0577030	0.3998982	0.5035774	0.0280713	0.0518138	0.4463815	0.3483971	0.6682775	0.0635467	0.7393952	0.1963083	0.4374670	0.1492582	0.3821154	0.8632848	0.8784775	0.0384409	0.6801080	0.0745485	0.7684573	0.7762574
1.0050427	0.0095949	0.8899361	1.0528657	1.0938464	0.8393591	1.0023879	0.0000000	1.0303291	0.9810400	0.7086351	1.1221233	0.9747051	0.0020938	1.0484115	0.0194570	1.0002217	0.9816128	0.5492726	0.0464730	0.0770532	0.6211094	0.6462677	0.0490768	0.6405692	0.0693320	0.0803882	0.0105461	0.7121368	0.8702247	0.0587632	0.0024838	0.9905604	0.0850480	0.5177722	0.4623627	0.6956868	0.0684523	0.5849581	0.2240660	0.4240574	0.1467058	0.1342927	0.8563389	0.8343137	0.0346633	0.6510747	0.0754701	0.8003364	0.7508937
1.0090036	0.0102198	0.6020538	1.0130319	1.0140640	0.9828382	0.0614313	1.0004059	0.0000000	0.9688760	0.4203344	1.0814494	0.9283111	0.3288873	0.5055629	0.0115948	0.6154803	1.0058677	0.8024012	1.0453430	0.5096445	0.7134232	0.7221530	0.0594890	0.6960850	0.8270284	1.0347479	0.0116012	0.3462157	0.9434136	0.4234693	0.4778275	0.0357902	0.0538465	0.4772980	0.3947915	0.6875955	0.0872912	0.7214252	0.2299811	0.4577403	0.1035407	0.4740917	0.9493039	0.7873093	0.0529267	0.7085989	0.0779781	0.7544900	0.7437095
1.0195966	0.0184328	0.7187876	1.0293944	0.9751317	0.9907309	0.0904253	0.9854659	1.0769132	0.0000000	0.4162165	0.0774027	0.5871755	0.0044568	0.9171101	0.0132977	0.8379894	1.0052894	0.8005969	0.0523383	0.0949109	0.0179644	0.7901534	0.8494853	0.9945720	0.9313090	1.0243243	0.0199249	0.3490400	0.8179889	0.9373233	0.9711140	1.0224350	0.6475072	1.0369606	0.9138793	0.0823978	0.9598960	0.6467622	0.7704974	0.4579539	0.1041131	0.1378956	0.0369877	0.8063720	0.9644394	0.6924508	0.5731855	0.5610859	0.0564168
1.0255314	0.0169201	0.6727162	1.0578024	0.9898600	1.0180045	0.4223612	1.0526131	0.1912960	1.0278888	0.0000000	1.0257394	0.9065676	0.2672609	0.8982413	0.0135778	0.8962611	0.9827775	0.8181032	0.9545916	0.5124761	0.6139748	0.7982426	0.0653712	0.6822515	0.9018540	0.9892065	0.0168757	0.3211985	0.9110822	0.4355919	0.5392817	0.0614646	0.0522802	0.5619572	0.4471046	0.6441263	0.0588053	0.6984869	0.2956351	0.4194691	0.1013457	0.4783187	0.9132855	0.7977017	0.0353828	0.6545540	0.0656893	0.6804898	0.7961871
0.9090593	0.0107809	0.5997055	0.9324446	0.9407187	0.9869672	0.4287369	0.9633531	0.2244219	1.0626391	0.4251152	0.0000000	0.9033110	0.3946735	0.8401856	0.0182966	0.9569551	1.0155999	0.8338339	0.9190128	0.4593651	0.7126816	0.4971204	0.0806910	0.5958811	0.8382921	0.9892913	0.0270771	0.3313680	1.0098366	0.3978420	0.6413021	0.0444624	0.0479812	0.5156330	0.3648534	0.6002492	0.0668817	0.6661217	0.2437992	0.4353874	0.1478012	0.4730140	0.9505755	0.8857453	0.0798226	0.6642723	0.0955966	0.6888838	0.7999882
0.9909141	0.0138743	0.6987871	1.0317169	1.0471312	1.0469138	0.3422111	0.9866720	0.2051568	0.9464294	0.4744735	1.0110886	0.0000000	0.2870362	0.8510966	0.0167349	0.9020449	0.9498733	0.8001553	1.0180169	0.5267043	0.6600711	0.8157245	0.0558282	0.6680304	0.8524018	0.9738985	0.0183599	0.3384537	0.9940270	0.4124294	0.5335835	0.0353775	0.0432176	0.5288819	0.3778127	0.6090154	0.1003343	0.6697584	0.2576535	0.4243624	0.1268663	0.3937068	0.9337971	0.8508326	0.0346650	0.7255257	0.1002914	0.8091330	0.7713061
0.9060291	0.0043349	0.7424420	0.9755193	1.0190260	0.9854627	0.5162459	1.0651330	0.1898026	0.9303887	0.4150334	1.0041172	0.9214701	0.0000000	0.9074680	0.0189131	0.9566759	1.0224385	0.8722604	0.9212470	0.4969537	0.5362411	0.7528629	0.0950424	0.6684106	0.9130743	0.9404652	0.0157083	0.3450743	0.9187292	0.4117202	0.5012471	0.0457210	0.0517633	0.5614533	0.4862539	0.5653236	0.0781478	0.6414677	0.1937133	0.3890632	0.1323543	0.4846896	0.8616156	0.8499613	0.0393602	0.7279205	0.0829004	0.7180774	0.8114624
0.9910849	0.0230937	0.7005418	1.0171189	1.0243679	1.0804667	0.4898534	1.0298834	0.1993776	1.0778234	0.4673773	1.0210745	0.9772325	0.2772055	0.0000000	0.0166294	0.9336135	0.8992790	0.7877622	0.9458738	0.4488705	0.6995146	0.7743753	0.0595890	0.6253112	0.9235471	0.9581940	0.0181573	0.3082371	0.9605653	0.3879736	0.4859885	0.0379926	0.0641873	0.5161024	0.3816371	0.6544738	0.0846731	0.7101516	0.2147494	0.3924979	0.1139776	0.4115173	0.9507113	0.7903181	0.0515776	0.7965264	0.0720256	0.8310894	0.7704133
0.9696269	0.0154528	0.7264145	1.1406135	1.0151335	1.0472812	0.4161808	0.9851189	0.2030553	1.0577851	0.3967582	1.0239048	0.9701669	0.2958142	0.8275117	0.0000000	0.9572461	1.0255415	0.8290438	0.9139541	0.4421673	0.7642018	0.7372369	0.0757109	0.5945530	0.7943768	0.9399787	0.0315319	0.3444907	1.0194701	0.4003323	0.5698026	0.0199110	0.0435362	0.4697368	0.3710403	0.7127057	0.0757813	0.7216170	0.2463035	0.4122728	0.0880704	0.4447401	0.9786151	0.8236434	0.0353709	0.7167089	0.0855038	0.6983337	0.7678954
1.0285897	0.0194544	0.7392585	1.0345379	1.0386825	1.0439442	0.3902878	1.0087930	0.1694095	1.0481190	0.4723960	0.9771415	0.9474053	0.2764229	0.8884560	0.0083001	0.0000000	0.9111480	0.9211503	0.8658894	0.4579997	0.6458703	0.6565503	0.0713499	0.6932472	0.8514767	1.0461101	0.0132652	0.2848992	0.9086359	0.3922669	0.4644584	0.0633733	0.0351018	0.5958954	0.3827467	0.6120267	0.0773122	0.7439635	0.2539931	0.4105676	0.1249855	0.5268223	0.8704600	0.8826165	0.0396448	0.7170813	0.0737075	0.7395120	0.7683692
0.9736118	0.0189075	0.6677238	0.9914371	1.0620277	1.0558584	0.4498560	1.0707544	0.2345497	0.9837190	0.4355786	1.0271238	0.8574757	0.2645071	0.8444417	0.0127801	1.0443407	0.0003108	0.8392866	0.9546031	0.4075425	0.5953126	0.7587344	0.0839761	0.6186471	0.8915842	1.0402993	0.0158194	0.3233918	0.9414302	0.4099456	0.5005204	0.0582995	0.0733231	0.5930903	0.5216869	0.6380686	0.0582351	0.7667651	0.2490429	0.4633946	0.1069360	0.3622079	0.8359783	0.9273670	0.0453405	0.7309233	0.0825420	0.7728555	0.7699161
1.0576593	0.0126518	0.6850644	1.0032572	1.0179061	1.0467706	0.3755746	1.0514706	0.2054805	0.9397208	0.4055317	1.0771250	0.8904574	0.3451678	0.9504788	0.0132010	0.9986812	1.0209643	0.0000000	0.9509477	0.4810311	0.6902218	0.7320977	0.0685232	0.6079307	0.8235159	0.9753494	0.0234125	0.3321968	0.9519778	0.4417689	0.6076369	0.0371476	0.0577463	0.5684073	0.4188880	0.6409693	0.0790476	0.6205850	0.1877637	0.4348982	0.1009777	0.4387717	1.0120558	0.8985706	0.0298394	0.6235067	0.0870607	0.7725145	0.8683750
0.9445065	0.0134143	0.6810389	0.9526764	1.0782693	1.0577679	0.4221246	0.9647564	0.1731653	0.9963144	0.4594480	1.0031799	0.9723202	0.3013369	0.8282265	0.0116691	0.9162422	1.0450451	0.8631434	0.0000000	0.3798631	0.6641804	0.7114915	0.0517261	0.6723859	0.9379788	0.9762672	0.0194728	0.3144412	0.9098328	0.4187030	0.4793800	0.0227106	0.0500774	0.5867058	0.5041231	0.6598451	0.0654171	0.7481960	0.2106160	0.4562078	0.1383270	0.4159014	0.8897901	0.8534211	0.0418905	0.7167828	0.0699294	0.7156756	0.7879954
0.9829055	0.0199811	0.7011891	1.1249395	0.9981227	1.0139369	0.3590077	0.9939038	0.2197950	0.9753113	0.4283479	0.9993150	0.9707594	0.2719269	0.8810834	0.0193305	0.9348557	0.9899117	0.8061609	0.8964392	0.0000000	0.5853621	0.8837740	0.0581684	0.6356407	0.8580666	1.0496764	0.0163943	0.2883502	0.8576198	0.3596087	0.5143977	0.0728943	0.0517586	0.5151115	0.5103619	0.6241594	0.0842081	0.6446399	0.2695197	0.4259571	0.0945882	0.3956428	0.9325540	0.7760052	0.0582680	0.7025716	0.0790353	0.7534750	0.7928110
0.9463444	0.0149126	0.6930086	0.9746567	0.9840286	1.1820761	0.4803718	1.0482502	0.2176572	0.9508889	0.3834858	1.0585771	0.9337017	0.2813420	0.9246824	0.0178743	0.9393614	0.9328627	0.9205216	0.8904479	0.4462712	0.0000000	0.7635546	0.0774963	0.6475116	0.9189653	0.9842365	0.0225513	0.3012860	0.8825360	0.4264274	0.5088053	0.0613079	0.0686790	0.5976428	0.5065905	0.7001092	0.0776267	0.7011093	0.2384266	0.4607985	0.1266231	0.4238545	0.9109105	0.8008907	0.0338228	0.6343976	0.0812599	0.7601303	0.7868854
1.0114841	0.0183410	0.6844724	1.0037424	1.0258482	1.1315469	0.3951334	1.0131254	0.1968838	0.9747289	0.3695139	1.0537388	0.9499671	0.3028216	0.8488407	0.0119935	0.9569681	1.0420688	0.7588107	0.9988805	0.4844121	0.6724728	0.0000000	0.0615166	0.5888005	0.8684698	0.9617315	0.0151694	0.3073425	1.0193253	0.4463908	0.5203145	0.0536403	0.0605404	0.5293294	0.4871322	0.7032999	0.0713277	0.7073593	0.2886786	0.4121816	0.1429143	0.4888085	0.9305656	0.8682445	0.0545548	0.6941070	0.1147228	0.8154103	0.6597153
1.0930969	0.0191813	0.6959201	0.9792868	0.9762112	1.0062487	0.4707426	1.0208072	0.2367788	0.9354656	0.4433454	0.8929621	1.0006099	0.2845135	0.8770835	0.0069064	0.9106097	0.9872239	0.8102071	0.8874490	0.3937307	0.6976320	0.7496302	0.0000000	0.6130116	0.7458887	0.9841109	0.0238848	0.3544722	0.9483514	0.3454336	0.5924489	0.0384009	0.0426116	0.4643369	0.2957321	0.7064025	0.0793297	0.5639548	0.1831460	0.4114626	0.1355583	0.4224565	0.9576961	0.7646024	0.0425166	0.7651721	0.0820082	0.7772908	0.7651253
0.9972183	0.0270927	0.6147065	0.9874352	1.0142914	0.9847861	0.4271085	0.9509021	0.1799587	0.9002764	0.5132719	1.1735077	0.9855429	0.3407450	0.9321568	0.0137431	1.0137151	1.0679490	0.8026223	0.8967265	0.4223810	0.6364410	0.6367734	0.0827043	0.0000000	0.8325762	0.9196468	0.0278679	0.2873781	1.0187290	0.3859390	0.5604477	0.0429007	0.0411270	0.5475108	0.4504179	0.6758947	0.0731781	0.7062482	0.2336931	0.4549917	0.0826512	0.4030261	1.0164369	0.8662380	0.0455362	0.7191330	0.0958743	0.7311659	0.8051675
0.9983965	0.0173193	0.6471927	1.0549059	1.0230055	0.9717048	0.4107251	0.9311244	0.2227979	1.1098905	0.4446898	0.9608614	0.9294813	0.3101403	0.9381992	0.0114135	0.9939224	0.9908223	0.8427472	1.0111187	0.4793084	0.6650773	0.6772763	0.0692472	0.5932439	0.0000000	1.0195646	0.0147902	0.3523749	0.8962469	0.4674651	0.5360018	0.0275663	0.0435047	0.5341781	0.4930705	0.6268248	0.0653684	0.6216792	0.2475283	0.4310886	0.0889677	0.4619847	1.0020476	0.8249377	0.0568790	0.6678945	0.0982059	0.7230877	0.8339106
0.9425404	0.0121752	0.6911211	0.9907299	0.9936955	0.9988213	0.3974795	1.0280658	0.2110696	0.9740006	0.5272250	0.9911227	0.8968912	0.2976585	0.9836425	0.0203551	0.9912029	1.0132871	0.8396091	1.0097029	0.4039891	0.7062377	0.7105441	0.0585705	0.6306470	0.8127135	0.0000000	0.0182192	0.2431537	0.8740845	0.4630517	0.5600028	0.0383515	0.0532157	0.5528212	0.3971466	0.6250884	0.0869911	0.7644809	0.2373412	0.4110593	0.1077531	0.4834945	1.0085725	0.9145453	0.0473301	0.6652269	0.1048206	0.7569900	0.8150427
0.9665140	0.0180635	0.6384676	1.0783096	1.0236840	0.9637080	0.5132404	1.0474918	0.2077997	1.0671064	0.4748232	1.1074039	0.9402735	0.3438988	0.8755418	0.0291697	0.9642700	0.9870705	0.8385123	0.9835955	0.4719310	0.7366428	0.6407060	0.0754872	0.7171944	0.8263138	0.9757626	0.0025630	0.3132712	0.9686807	0.4559570	0.5844265	0.0235081	0.0631861	0.4501412	0.3814367	0.6049170	0.0748408	0.7596112	0.2305005	0.4396908	0.1390954	0.5376852	0.9886923	0.9156537	0.0605347	0.6956266	0.0937011	0.6703198	0.7668759
1.0567755	0.0118323	0.6965613	1.0505210	1.0560109	0.9574576	0.3782366	1.0282685	0.1881576	0.9540675	0.4878357	1.1155376	1.0219201	0.3725614	0.8186585	0.0139132	0.8963325	1.0068156	0.8104680	0.9128293	0.4466951	0.5955201	0.7236225	0.0850000	0.6797145	0.8443137	1.0260528	0.0198632	0.0000000	0.8593255	0.4680845	0.5166725	0.0649445	0.0475788	0.4831171	0.4878193	0.7118390	0.0643991	0.7207032	0.2538773	0.3783120	0.1180714	0.4576122	0.8882729	0.8175718	0.0474150	0.6860066	0.0648452	0.7577561	0.7066800
1.0335646	0.0139690	0.6633088	1.0479549	1.0156687	1.0557806	0.3388253	1.0040823	0.2402334	1.0154510	0.4556209	1.0129963	0.9580779	0.3110261	0.8905433	0.0182881	0.9465675	1.0781443	0.8769416	0.9398533	0.4359848	0.6612865	0.7051870	0.0465867	0.6652943	0.8677327	0.9394840	0.0148794	0.2793879	0.0000000	0.4570959	0.5178412	0.0716917	0.0697879	0.5069206	0.4723252	0.6896472	0.0760114	0.7077633	0.2694895	0.4585763	0.1245896	0.4312429	0.9067099	0.8873226	0.0601524	0.6908964	0.0943794	0.7595464	0.7913558
