YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
1.0929989	0.0104141	1.0586633	1.0517909	0.9770948	1.0651499	0.6057394	0.0000000	0.9557783	0.0000000	0.7371471	0.0662391	0.5010353	0.0001755	0.9560665	0.0269892	0.7697642	1.0421691	0.5426527	0.0531793	0.0761437	0.0260142	0.7632869	1.1033548	0.9997925	0.1013423	0.3448410	0.0131826	0.5660027	0.8756720	0.3859195	0.4545992	0.9121973	0.7458649	0.8906467	1.1516532	0.0837558	0.9414672	0.5438378	0.8530707	0.3832133	0.1240427	0.1507099	0.0079962	0.8088423	0.9743680	0.5558611	0.0720950	0.8026104	0.0560655
0.9745830	0.0184499	0.7244431	1.0763512	0.9847701	0.0000000	0.6163486	0.0000000	0.9051763	1.0194548	1.1022597	1.0186494	1.0303307	0.0009579	0.9715725	0.0286860	1.0426088	1.0606068	0.8995960	0.0551921	0.0903095	0.7100667	0.0362361	0.0845603	0.6724589	0.1263326	0.8979319	0.0244435	0.5521847	0.8219575	0.0699999	0.0009825	1.0275200	0.0605589	0.6489378	0.4248185	0.5788603	0.0734435	0.7744891	0.2851643	0.3995946	1.0146914	0.4371567	0.9282100	0.7779709	0.0523846	0.7945128	0.0680631	0.7873682	0.7254555
1.1230227	1.1514799	0.8911532	0.0000000	0.9994014	1.0378075	0.0379531	1.0037228	0.8917427	0.0000000	0.1718878	0.0623730	0.0098856	0.0075055	0.9425776	0.1940005	0.7698780	1.0428861	0.8469606	0.0653067	0.6265331	0.0111814	0.6935516	0.9380278	1.0615694	0.8593148	0.9228121	0.0249408	0.3868784	0.0990405	0.8652883	1.0187974	0.9228089	0.0416909	1.0115819	0.0110256	0.0842596	1.0274833	0.6338353	0.4486906	0.9724872	0.1087971	0.1388486	0.0103129	0.0369903	0.9864953	0.6508036	0.6195125	0.4941624	0.0507610
1.0345814	0.0107987	0.0923046	0.9661092	0.9812564	0.0000000	0.0487735	0.9910442	0.9622918	0.0000000	0.6329123	0.0597313	0.4634515	0.0060927	1.0177168	0.0249729	0.7446571	0.2041376	0.8485253	0.0225548	0.0770384	0.0179562	0.0476218	1.0623510	0.9986282	0.8699104	1.0050710	0.0209343	0.0924029	0.8719702	0.7899250	0.9087223	1.0353572	0.6013300	1.0795138	0.9519020	0.0499033	1.0800658	0.8856118	0.7524913	0.4452584	0.9950540	0.4045275	0.0384589	0.7883384	1.1012449	0.7082558	0.5840272	0.1259928	0.0534126
0.9780463	1.0009831	0.9322355	0.0000000	0.0000000	1.0023225	0.4483978	1.0536348	0.1950795	1.0540518	0.2566423	1.0846723	0.6415296	0.2931152	0.5556773	1.0526669	1.0447553	1.1668980	0.9267864	0.9405056	0.8777961	0.6819682	0.6438433	1.0498992	0.2748762	0.8230085	1.0032073	1.0683840	0.3662202	0.2773780	0.4778591	0.4575865	0.0422873	0.0338050	0.4885225	0.0176335	0.6344401	0.0650230	0.4935560	0.0376992	0.9784978	0.1115487	0.4414211	0.9040750	0.0222888	0.0309672	0.0316733	0.0615297	0.7614795	0.8487360
0.9863851	0.0225543	0.0000000	1.0762401	1.0772753	1.0233549	0.0000000	1.0844641	0.1794304	1.0368519	0.5128649	0.9173580	0.9701839	0.2510764	0.9298398	0.0154644	0.9260853	0.1124826	0.9082662	0.8762936	0.4725033	0.6748286	0.6044524	0.0685383	0.6497169	0.8605116	0.8732939	0.0171785	0.0476030	0.9286367	0.4181640	0.5155946	0.0774659	0.0471547	0.5385651	0.3909948	0.6383779	0.0549016	1.1434254	0.2808118	0.4484611	0.1163105	0.4808351	0.9488862	0.9371671	0.0409596	0.6326966	0.0822655	0.4733107	0.7538246
1.0858056	0.9346165	0.5379722	0.0000000	1.0068940	0.0000000	0.0689215	0.9719725	0.9603645	1.0450194	0.4238389	1.0005275	0.6409561	0.7048356	0.9845446	0.2156463	1.0125646	0.9458322	0.8570918	0.0381353	0.5073975	0.6050176	0.0397637	1.0119858	0.2727593	0.9043865	1.0726222	0.0152109	0.2833718	0.3537145	0.4170349	0.4871128	0.0536140	0.0389572	0.4683581	0.0086547	0.6103802	0.0470124	0.7140099	0.0452794	1.0094315	1.0274836	0.7969565	0.9058867	0.0266064	0.0470073	0.6528920	0.0745302	0.3668653	0.8486114
1.1346039	1.0341565	0.9251338	0.0000000	1.0445262	1.0505690	1.0271195	0.0000000	0.9731898	1.0673619	0.1846549	1.0433787	0.6121120	0.0014701	0.8989766	0.2119520	0.9612688	1.1645518	0.4959617	0.0552098	0.5598122	0.7441056	0.6567778	1.1103322	0.2189135	0.0373083	0.9221765	0.0295331	0.7646077	0.3807113	0.0433862	0.0001520	1.0622809	0.0272947	0.4913262	0.0143753	0.6364188	0.0618457	0.6138978	0.0339846	1.0738644	0.1366408	0.1729881	1.0354996	0.0280734	0.0543456	0.6448972	0.0911203	0.8040389	0.8259190
0.9192535	0.0154002	0.0446067	1.1138193	0.0000000	0.0000000	0.0690473	0.9890602	0.9630280	0.8772914	0.5477108	1.0193111	0.8854914	0.6704307	0.8343661	0.6612999	1.0227863	0.1373832	0.7953926	0.0473824	0.1090137	0.6792312	0.0256054	0.0675169	0.6803246	1.0321858	1.0268232	1.1396127	0.0696262	0.9098821	0.3906834	0.5906963	0.0455028	0.0708153	0.5426638	0.4724768	0.6187239	0.0673174	0.9996527	0.2807900	0.4822152	0.9249089	0.7693236	0.9949075	0.8984317	0.0419558	0.0191084	0.1026782	0.1443912	0.7777283
1.0613443	0.0248126	0.9464422	1.0334080	0.0000000	1.0429807	1.0596882	0.0000000	1.0950438	1.0482156	0.2225250	1.0279303	0.9770391	0.0056626	0.7949052	0.7830961	0.9952361	0.9257450	0.8809862	0.0260272	0.0811811	0.6884180	0.7543020	0.0633714	0.7535518	0.0951348	0.0906829	0.9039743	0.6706973	1.0096187	0.0736783	0.0018878	1.0285019	0.0570171	0.4801778	0.3503552	0.6442824	0.0816147	0.4848371	0.2575190	0.4061570	0.1743123	0.1666948	0.8883661	0.8967092	0.0556659	0.0282714	0.0711568	0.8359879	0.9168099
