YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.0000000	0.8895666	0.8549718	0.8979381	0.8815140	1.1427545	0.2699500	0.9641550	0.1656209	0.9440994	0.4716556	0.9691907	0.9534131	0.3703896	0.7764704	0.0258327	0.9703006	0.9864167	0.9711451	0.9195703	0.8833088	0.4996473	0.6268951	0.0615081	0.6681553	0.9196947	1.0149227	0.0187217	0.3729448	0.9954865	0.4955779	0.5149310	0.0643034	0.0907118	0.6136141	0.6653248	0.5605612	0.0939033	0.5601327	0.1954638	0.0036594	0.1132110	0.5018769	0.9818730	0.8177603	0.0439172	0.6784891	0.0808018	0.7902261	0.7781669
0.9780302	0.0000000	0.6547365	0.9634923	0.9738048	1.0970632	0.3944602	0.9834364	0.2263793	0.9935281	0.4554060	1.0578103	0.9044946	0.2868322	0.9194887	0.0205736	0.8504203	0.9862006	0.9009750	0.9837239	0.5024012	0.6059930	0.6659336	0.0563877	0.7041678	0.7958236	0.9980900	0.0307816	0.2863874	1.0358639	0.4605789	0.4647657	0.0637544	0.0698609	0.5438012	0.4907793	0.6296357	0.1004218	0.7437827	0.2196803	0.4024049	0.1135381	0.5259579	0.9025665	0.8877751	0.0700554	0.7214342	0.0991310	0.6770544	0.6789979
0.9680060	0.0164228	0.0000000	0.9528077	1.0230870	0.9208957	0.4403542	1.0573177	0.2171097	1.0260344	0.4292277	1.0643220	0.8761198	0.3437100	1.0770017	0.0164027	0.8731701	0.1028716	0.7978756	1.0080430	0.4173200	0.6315407	0.7049673	0.1028352	0.7116796	0.8244953	0.9795175	0.0237303	0.0760667	1.0376208	0.4176225	0.5501022	0.0409950	0.0516614	0.5122316	0.4531699	0.6529054	0.0774845	0.9900663	0.2084725	0.3927633	0.1017062	0.3946303	0.8898463	0.8727616	0.0492397	0.6295409	0.0772820	0.5328198	0.8590386
0.9349620	0.9686708	0.9479412	0.0000000	1.1158318	1.1287002	0.4468963	0.9962118	0.1610561	0.9408408	0.1327194	0.9799701	0.5967501	0.2896798	0.8476998	0.1459786	0.9761010	0.9643557	0.8372789	0.9372798	0.9120189	0.6440279	0.7644717	1.0377924	0.2549592	0.9121655	0.9712149	0.0179857	0.3137064	0.2739190	0.4415707	0.6029831	0.0399458	0.0531372	0.5751958	0.0178250	0.6774939	0.0708472	0.6158861	0.0572079	1.0619592	0.1022598	0.3882551	0.9977770	0.0379733	0.0424169	0.7067355	0.0756880	0.7100615	0.7551635
1.0784724	0.0190397	0.7048063	0.9113101	0.0000000	0.9854400	0.3756882	0.9188934	0.2010310	0.9647473	0.2240938	0.9998164	0.9392466	0.3062319	0.5418314	0.6277848	0.9349450	0.9746509	0.8905585	0.8588009	0.4874063	0.7336512	0.7328839	0.0761243	0.5303021	0.8303686	1.0963059	0.8942469	0.3004314	1.0126819	0.4061841	0.5236280	0.0496406	0.0507524	0.4500765	0.3396244	0.6603110	0.0552268	0.6541321	0.2314180	0.4535510	0.0869451	0.5184545	0.9876392	0.8048521	0.0438116	0.0309399	0.0811678	0.7872300	0.8111437
0.9819344	0.0054662	0.0967415	1.0747368	0.9589125	0.0000000	0.0458938	1.0488281	1.0662232	0.9274321	0.7057358	0.9542025	0.9829470	0.7202680	1.0119276	0.0143624	0.9557205	0.2548650	0.8889365	0.0410942	0.1027100	0.7595022	0.0238294	0.0783301	0.7567940	0.7460412	1.0236817	0.0303021	0.0948555	0.9566968	0.3968396	0.5820477	0.0378377	0.0349288	0.5735972	0.4941830	0.6617113	0.0955998	0.9697036	0.2763649	0.4394310	0.9632978	0.7426056	0.9835304	0.9200548	0.0658404	0.6483380	0.0741153	0.1014320	0.7784064
0.9681530	0.0144999	0.6747655	0.9636703	0.8635916	0.9583282	0.0000000	1.0577333	0.2147709	1.0231711	0.4972089	1.1063537	0.8982115	0.2916231	0.8851665	0.0332923	0.9417732	0.9096583	0.8528119	1.0074970	0.4216817	0.7518516	0.6122869	0.0563878	0.6329036	0.8721891	1.0243360	0.0306389	0.2741400	0.9575020	0.4234197	0.5770156	0.0314848	0.0691076	0.4701256	0.3900160	0.6129737	0.0779466	0.6927048	0.2216745	0.4224024	0.1094727	0.3525432	0.8762982	0.8080970	0.0445972	0.6991180	0.0946862	0.7146203	0.7757193
1.0226320	0.0188740	0.9413009	1.1191618	1.0685031	0.9581877	1.0320186	0.0000000	1.0644862	0.9779212	0.6467591	1.0155168	1.0264051	0.0083776	0.9588847	0.0158289	1.1156019	1.0055662	0.6225774	0.0465763	0.1009063	0.6964418	0.6217972	0.0542541	0.6174164	0.0747735	0.1089950	0.0110259	0.6839471	0.9033034	0.0702499	0.0019465	1.0952918	0.0587099	0.5383511	0.4352335	0.6105094	0.0539219	0.5627027	0.1719835	0.4838258	0.1209391	0.1096001	0.9521045	0.8077905	0.0388551	0.6040041	0.0902706	0.7632325	0.9125636
0.9708679	0.0060111	0.7084067	1.0280188	1.1429986	0.9708621	0.0766052	0.9829847	0.0000000	1.0334363	0.4624593	1.0949322	0.9429571	0.2891619	0.5395131	0.0147622	0.6903654	1.0373703	0.8088066	0.9233304	0.4705457	0.6726731	0.6814154	0.0625351	0.6978370	0.8212872	0.9556538	0.0297406	0.3325149	0.8975156	0.4119316	0.5520822	0.0540800	0.0677294	0.5599065	0.3861446	0.7050182	0.0799120	0.6696136	0.1760948	0.5198755	0.1129812	0.4952982	0.9813158	0.8774548	0.0616040	0.6813291	0.0603084	0.7894028	0.7238852
1.0121995	0.0087050	0.8023742	1.0101414	0.9630529	1.0202886	0.0871095	0.9889300	0.9791400	0.0000000	0.3910143	0.0651351	0.6288456	0.0013375	0.9375425	0.0196053	0.8670144	0.9453170	0.8582276	0.0527720	0.0856127	0.0139709	0.8154338	0.8644577	0.9875668	0.8872185	1.0073033	0.0330118	0.3458421	0.8858524	0.9335812	0.9646905	1.0347968	0.5631117	0.9844649	0.9615234	0.0775790	1.0481261	0.7312246	0.7768953	0.4561139	0.1305041	0.1517712	0.0480629	0.8299865	0.8890972	0.7732975	0.5728866	0.4965114	0.0567131
0.9615412	0.0098429	0.7074621	1.0210756	1.0067856	1.0663922	0.4063045	1.1028906	0.2122923	1.0128770	0.0000000	1.0824058	0.9228394	0.2409663	0.9106461	0.0313962	0.9057021	1.0307021	0.7206384	0.9639588	0.4636029	0.5583015	0.8332266	0.0652239	0.7309521	0.8313906	0.9517247	0.0147348	0.2958523	0.8441482	0.4519893	0.5027150	0.0564094	0.0424687	0.5614428	0.4260030	0.6542618	0.0999549	0.6431974	0.2465504	0.3740360	0.0921186	0.4612965	0.8674607	0.7892697	0.0467424	0.6517316	0.1088541	0.7157338	0.8855867
0.9969317	0.0160015	0.6706849	1.0011448	0.9617920	0.9201877	0.3582537	0.9462174	0.2187927	1.0775283	0.4786360	0.0000000	0.9203177	0.3132876	0.8831057	0.0271347	0.9429514	1.0187908	0.8286596	0.9559900	0.4244585	0.7297298	0.6639934	0.0831515	0.5905580	0.8236647	0.9487842	0.0232725	0.3952936	0.9697739	0.3724522	0.6192628	0.0575598	0.0528902	0.5651363	0.3747252	0.5993137	0.0648860	0.7103252	0.2877707	0.4370994	0.1285436	0.4697365	1.0074868	0.8214498	0.0602093	0.7709616	0.1159249	0.7723210	0.7370815
1.0127899	0.0061513	0.7072775	1.0059962	0.9956977	1.0583773	0.3799805	0.9381924	0.1495881	1.0817876	0.3880292	1.0177911	0.0000000	0.2782727	0.8449320	0.0253006	0.8418607	0.9088538	0.7074837	1.0002665	0.5829148	0.6384514	0.8666712	0.0893964	0.7675295	0.7702967	0.9592096	0.0241241	0.3495436	0.8508196	0.4976234	0.5114219	0.0481936	0.0236426	0.4986625	0.3932671	0.6514793	0.0840683	0.6356222	0.2225784	0.4559233	0.1018343	0.3928015	0.9461410	0.8385396	0.0461688	0.7315695	0.0682584	0.7780229	0.8026014
0.9641936	0.0094354	0.7154156	1.0079676	1.0185436	1.0088071	0.5471835	0.9982112	0.2181679	0.9516258	0.3955715	1.0617946	0.8853752	0.0000000	0.8797934	0.0205226	1.0141715	1.0328339	0.8296552	0.9574722	0.5000738	0.5898295	0.7045287	0.0857915	0.6726511	0.9141203	0.9107786	0.0223435	0.3457403	0.8639245	0.3915211	0.5073383	0.0409055	0.0358154	0.4586584	0.4114422	0.6371072	0.0879743	0.6224693	0.1717736	0.3530280	0.0910996	0.5118485	0.8638086	0.8303318	0.0583233	0.7568148	0.0798547	0.8008346	0.7489243
1.0489023	0.0084906	0.6917921	1.0614410	1.1218181	1.1173365	0.4766433	0.9951868	0.2129455	1.0695437	0.4361163	0.9694686	0.9799768	0.3285844	0.0000000	0.0137130	0.9192413	0.8601053	0.7793479	0.9649017	0.4353967	0.6750371	0.7299254	0.1012499	0.6069738	0.8693225	0.9568570	0.0066338	0.2945093	0.8609781	0.3705223	0.5496609	0.0249074	0.0321851	0.5493557	0.4291464	0.6572844	0.0739826	0.8050389	0.2305332	0.4786997	0.0973607	0.4707439	1.0388189	0.7510018	0.0520000	0.8259582	0.0841533	0.7195756	0.7609555
0.9968457	0.0351987	0.6703006	1.1625331	0.9112998	1.0825966	0.4284728	0.9673378	0.1810399	1.1559801	0.4279230	1.0398097	0.9940554	0.2792108	0.8499558	0.0000000	0.9952279	1.0288134	0.7332713	0.9474585	0.4603158	0.7456240	0.7522334	0.0668849	0.5975923	0.8455648	0.9106978	0.0318607	0.3575823	1.0169407	0.5117793	0.5545890	0.0090114	0.0458673	0.4866631	0.3628866	0.6426795	0.0480405	0.7687377	0.2716452	0.4546701	0.0843664	0.4383173	1.0048521	0.8528987	0.0438198	0.7677754	0.1018038	0.7112545	0.8430310
