YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
1.0000000	0.0117801	0.9296766	1.0000000	1.0000000	1.0000000	0.6193627	0.0000000	1.0000000	0.0000005	0.7089633	0.0637467	0.5218323	0.0014429	0.9822146	0.0157550	0.7689681	0.9987983	0.4909812	0.0416645	0.0936024	0.0166252	0.7103410	0.9999999	1.0000000	0.0663247	0.3128113	0.0183976	0.5623625	0.8331990	0.3762319	0.5394541	1.0000000	0.6457588	1.0000000	0.9959295	0.0724925	0.9999999	0.5490867	0.8119293	0.4236237	0.1120008	0.1458838	0.0319394	0.8248867	1.0000000	0.6827945	0.0766712	0.7893335	0.0538563
1.0000000	0.0117801	0.5801067	1.0000000	1.0000000	0.0000000	0.6193624	0.0000000	1.0000000	1.0000000	0.9673370	0.9996318	0.9182163	0.0014429	0.9822111	0.0157550	0.9642718	0.9936154	0.8409575	0.0416645	0.0936187	0.6555122	0.0326876	0.0661121	0.6373674	0.0663247	0.9155918	0.0183976	0.4983589	0.9279450	0.0580579	0.0001124	1.0000000	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.7351926	0.2261784	0.4236237	0.9999999	0.4094760	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7056629	0.7811153
1.0000000	1.0000000	0.9296766	0.0000000	1.0000000	1.0000000	0.0582632	1.0000000	1.0000000	0.0000005	0.1888580	0.0637467	0.0171850	0.0014429	0.9822121	0.1699418	0.7689671	0.9987983	0.9066571	0.0416647	0.5460890	0.0166252	0.7103410	1.0000000	1.0000000	0.8427656	0.9999998	0.0183976	0.3513750	0.0853527	0.8754987	0.9999971	1.0000000	0.0317916	1.0000000	0.0121529	0.0724925	0.9999999	0.5490866	0.4390483	0.9632435	0.1120008	0.1458838	0.0319394	0.0199451	1.0000000	0.6827945	0.5665349	0.5173832	0.0538563
1.0000000	0.0117801	0.0857788	1.0000000	1.0000000	0.0000000	0.0582628	1.0000000	1.0000000	0.0000005	0.7050311	0.0637467	0.5218323	0.0014430	0.9822141	0.0157550	0.7689679	0.2141639	0.8409575	0.0416645	0.0936044	0.0166252	0.0326876	0.9999999	1.0000000	0.8427656	1.0000000	0.0183976	0.0742714	0.8331990	0.8754987	0.9999971	1.0000000	0.6457588	1.0000000	0.9959295	0.0724925	0.9999999	0.9919569	0.8119293	0.4236237	1.0000000	0.4094761	0.0319394	0.8248867	1.0000000	0.6827945	0.5665349	0.1268598	0.0538563
1.0000000	0.9999996	0.9296766	0.0000000	0.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888580	0.9996318	0.6047291	0.2917597	0.5577816	0.9999999	0.9361258	0.9987982	0.9134824	0.9371966	0.8122630	0.6555122	0.7103410	1.0000000	0.2153847	0.8427656	0.9133587	0.9999795	0.3635628	0.3149001	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.5490925	0.0343801	0.9632435	0.1120008	0.4416456	0.9142035	0.0199451	0.0439191	0.0350481	0.0766712	0.7894111	0.7811153
1.0000000	0.0117801	0.0000000	1.0000000	1.0000000	1.0000000	0.0000000	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.0891443	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	1.0000000	0.0183976	0.0457523	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	1.0000000	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.5064234	0.7811153
1.0000000	1.0000000	0.5801067	0.0000000	1.0000000	0.0000000	0.0582628	1.0000000	0.9999991	1.0000000	0.4601294	0.9996318	0.6047268	0.7417535	0.9821836	0.1699418	0.9642667	0.9936155	0.9135231	0.0416645	0.5461999	0.6555122	0.0326876	1.0000000	0.2153844	0.8427656	1.0000000	0.0183976	0.2704268	0.3148999	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.7351914	0.0343801	0.9632435	1.0000000	0.7715259	0.9142035	0.0199451	0.0439191	0.6827945	0.0766712	0.3931708	0.7811153
1.0000000	1.0000000	0.9296766	0.0000000	1.0000000	1.0000000	0.9884703	0.0000000	1.0000000	1.0000000	0.1888580	0.9996318	0.6047269	0.0014429	0.9822097	0.1699418	0.9642715	0.9987983	0.5553593	0.0416645	0.5460979	0.6555122	0.7103410	1.0000000	0.2153844	0.0663247	0.7953966	0.0183976	0.6789804	0.3148999	0.0580579	0.0001124	1.0000000	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.5490862	0.0343801	0.9632435	0.1120008	0.1458838	0.9142035	0.0199451	0.0439191	0.6827945	0.0766712	0.7895900	0.7811153
1.0000000	0.0117801	0.0790737	1.0000000	0.0000000	0.0000000	0.0582628	1.0000000	0.9999999	1.0000000	0.4601294	0.9996318	0.9182163	0.7417535	0.7168534	0.7182657	0.9642714	0.1860978	0.8409575	0.0416645	0.0936309	0.6555122	0.0326876	0.0661121	0.6373674	0.8427656	1.0000000	1.0000000	0.0715594	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9931733	0.2261784	0.4236237	1.0000000	0.7715259	0.9142035	0.8248867	0.0439191	0.0350480	0.0766712	0.1236848	0.7811153
1.0000000	0.0117801	0.9296766	1.0000000	0.0000000	1.0000000	0.9884733	0.0000000	1.0000000	1.0000000	0.1888580	0.9996318	0.9182163	0.0014429	0.7168593	0.7182657	0.9642720	0.9987983	0.8409575	0.0416645	0.0936114	0.6555122	0.7103410	0.0661121	0.6373674	0.0663247	0.0819166	0.9999997	0.6790422	0.9279450	0.0580579	0.0001124	1.0000000	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.5490862	0.2261784	0.4236237	0.1120008	0.1458838	0.9142035	0.8248867	0.0439191	0.0350480	0.0766712	0.7895900	0.7811153
0.0000001	1.0000000	0.9296766	0.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888580	0.9996318	0.6047277	0.2917597	0.8792179	0.1699418	0.9361258	0.9987982	0.9066553	0.9371966	0.8122695	0.6555122	0.7103410	1.0000000	0.2153845	0.8427656	0.9133717	0.0183976	0.3635660	0.3148999	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.5490888	0.0343801	0.4772513	0.1120008	0.4416456	0.9142035	0.0199451	0.0439191	0.6827945	0.0766712	0.7894121	0.7811153
1.0000000	0.0000000	0.9296763	0.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888580	0.9996318	0.6047449	0.2917597	0.8792179	0.1699413	0.9361258	0.9987977	0.6486968	0.9371966	0.4446305	0.6555122	0.7103410	0.9999998	0.2153864	0.8427656	0.8710208	0.0183976	0.3635403	0.3149027	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.5491201	0.0343801	0.9632435	0.1120008	0.4416456	0.9142035	0.0199451	0.0439191	0.6827945	0.0766712	0.7894032	0.7811153
1.0000000	0.0000000	0.6692034	1.0000000	0.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888580	0.9996318	0.9182163	0.2917597	0.5577819	0.7182656	0.9361258	0.9961465	0.8409573	0.9371966	0.4446305	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9856439	0.9998887	0.3080273	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6814451	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.0350491	0.0766712	0.7308233	0.7811153
1.0000000	0.0000000	0.0790737	1.0000000	1.0000000	0.0000000	0.0582628	1.0000000	0.9999999	1.0000000	0.7050311	0.9996318	0.9182163	0.7417535	0.9822089	0.0157550	0.9642714	0.1860978	0.8409574	0.0416645	0.0935935	0.6555122	0.0326876	0.0661121	0.6373674	0.8427656	1.0000000	0.0183976	0.0715594	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9931733	0.2261784	0.4236237	1.0000000	0.7715259	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.1236848	0.7811153
1.0000000	0.0000000	0.9296766	1.0000000	1.0000000	1.0000000	0.9884733	0.0000000	1.0000000	1.0000000	0.7089633	0.9996318	0.9182163	0.0014429	0.9822127	0.0157550	0.9642720	0.9987983	0.4909809	0.0416645	0.0935740	0.6555122	0.7103410	0.0661121	0.6373674	0.0663247	0.0819166	0.0183976	0.6790422	0.9279450	0.0580579	0.0001124	1.0000000	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.5490862	0.2261784	0.4236237	0.1120008	0.1458838	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7895900	0.7811153
1.0000000	0.0117801	0.0000000	1.0000000	1.0000000	1.0000000	0.0582628	1.0000000	0.0000000	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.5217600	0.0157550	0.6064225	0.0891443	0.8342508	0.9371966	0.4743880	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	1.0000000	0.0183976	0.0457523	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	1.0000000	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.5068465	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.0000000	1.0000000	0.0000000	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.5217647	0.0157550	0.6064283	0.9962167	0.8342508	0.9371966	0.4743880	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999999	0.0183976	0.2944358	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794172	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7320049	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.0582628	1.0000000	0.0000000	0.0000005	0.4399872	0.0637467	0.5218323	0.0014429	0.5217594	0.0157550	0.0060118	0.9962167	0.8342508	0.0416647	0.4743880	0.0166252	0.7103410	0.9999999	1.0000000	0.8427656	1.0000000	0.0183976	0.2944357	0.8331990	0.8754987	0.9999971	1.0000000	0.6457588	1.0000000	0.9959295	0.0724925	0.9999999	0.6794172	0.8119293	0.4236237	0.1120008	0.1458838	0.0319394	0.8248867	1.0000000	0.6827945	0.5665349	0.7320049	0.0538563
