YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.0000001	0.9999997	0.9277869	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9987889	0.9558014	0.9371966	0.8122653	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9141553	0.0183976	0.3632018	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.5499434	0.2261784	0.0027093	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7890440	0.7811153
1.0000000	0.0000002	0.6692043	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9961478	0.8342506	0.9371966	0.4446305	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9856316	0.0183976	0.3080471	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6814158	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7308329	0.7811153
1.0000000	0.0117801	0.0000000	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.0891443	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	1.0000000	0.0183976	0.0636263	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	1.0000000	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.5064945	0.7811153
1.0000000	0.9999996	0.9296766	0.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888580	0.9996318	0.6047291	0.2917597	0.8792179	0.1699418	0.9361258	0.9987982	0.9066187	0.9371966	0.8122630	0.6555122	0.7103410	1.0000000	0.2153847	0.8427656	0.9133586	0.0183976	0.3635628	0.3149001	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.5490925	0.0343801	0.9632435	0.1120008	0.4416456	0.9142035	0.0199451	0.0439191	0.6827945	0.0766712	0.7894111	0.7811153
1.0000000	0.0117801	0.6692034	1.0000000	0.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888580	0.9996318	0.9182163	0.2917597	0.5577819	0.7182656	0.9361258	0.9961465	0.8409575	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9856439	0.9998887	0.3080274	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6814451	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.0350491	0.0766712	0.7308233	0.7811153
1.0000000	0.0117801	0.0857788	1.0000000	1.0000000	0.0000000	0.0582628	1.0000000	0.9999999	1.0000000	0.7050311	0.9996318	0.9182163	0.7417535	0.9822089	0.0157550	0.9642714	0.2141507	0.8409575	0.0416645	0.0936309	0.6555122	0.0326876	0.0661121	0.6373674	0.8427656	1.0000000	0.0183976	0.0742689	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9919573	0.2261784	0.4236237	1.0000000	0.7715259	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.1268701	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.0000000	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9962167	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999999	0.0183976	0.2944359	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794172	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7316948	0.7811153
1.0000000	0.0117801	0.9296766	1.0000000	1.0000000	1.0000000	0.9884733	0.0000000	1.0000000	1.0000000	0.7089633	0.9996318	0.9182163	0.0014429	0.9822127	0.0157550	0.9642720	0.9987983	0.4909812	0.0416645	0.0936114	0.6555122	0.7103410	0.0661121	0.6373674	0.0663247	0.0819166	0.0183976	0.6790422	0.9279450	0.0580579	0.0001124	1.0000000	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.5490862	0.2261784	0.4236237	0.1120008	0.1458838	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7895900	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.0582637	1.0000000	0.0000000	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.5217746	0.0157550	0.6064414	0.9962167	0.8342508	0.9371966	0.4743880	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999994	0.0183976	0.2944360	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794172	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7320049	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.0582632	1.0000000	1.0000000	0.0000005	0.4399872	0.0637467	0.5218323	0.0014429	0.9822121	0.0157550	0.7689671	0.9962167	0.8342508	0.0416647	0.0936143	0.0166252	0.7103410	0.9999999	1.0000000	0.8427656	1.0000000	0.0183976	0.2960545	0.8331990	0.8754987	0.9999971	1.0000000	0.6457588	1.0000000	0.9959295	0.0724925	0.9999999	0.6794172	0.8119293	0.4236237	0.1120008	0.1458838	0.0319394	0.8248867	1.0000000	0.6827945	0.5665349	0.4317581	0.0538563
