YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
1.0000000	0.0117801	0.9296762	1.0000000	1.0000000	1.0000000	0.6193685	0.0000000	0.9999949	0.0000016	0.7089633	0.0637467	0.5218323	0.0014429	0.9822136	0.0157550	0.7689679	0.9987983	0.4909838	0.0416648	0.0936060	0.0166252	0.7103410	0.9999996	0.9999999	0.0663247	0.3126472	0.0183976	0.5623819	0.8331990	0.3762319	0.5394540	1.0000000	0.6457588	0.9999999	0.9959295	0.0724936	0.9999987	0.5490876	0.8119293	0.4236237	0.1120008	0.1458838	0.0319503	0.8248867	0.9999999	0.6827945	0.0766712	0.7893331	0.0538577
1.0000000	0.0117801	0.5801061	1.0000000	1.0000000	0.0000000	0.6193616	0.0000000	0.9999569	1.0000000	0.9673368	0.9996318	0.9182163	0.0014432	0.9822030	0.0157550	0.9642710	0.9936154	0.8409574	0.0416650	0.0936500	0.6555122	0.0326876	0.0661121	0.6373674	0.0663247	0.9156295	0.0183976	0.4982665	0.9279450	0.0580579	0.0001124	1.0000000	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.7351943	0.2261784	0.4236237	0.9999998	0.4094760	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7056618	0.7811153
1.0000000	0.9999998	0.9296763	0.0000000	1.0000000	1.0000000	0.0582698	1.0000000	0.9999671	0.0000016	0.1888580	0.0637467	0.0171854	0.0014431	0.9822059	0.1699418	0.7689658	0.9987983	0.9065973	0.0416685	0.5461057	0.0166252	0.7103410	1.0000000	0.9999999	0.8427656	0.9999998	0.0183976	0.3513776	0.0853540	0.8754987	0.9999970	1.0000000	0.0317916	0.9999999	0.0121529	0.0724936	0.9999987	0.5490873	0.4390483	0.9632435	0.1120008	0.1458841	0.0319503	0.0199452	0.9999999	0.6827945	0.5665349	0.5174874	0.0538577
1.0000000	0.0117801	0.0857794	1.0000000	1.0000000	0.0000000	0.0582629	1.0000000	0.9999901	0.0000016	0.7050310	0.0637467	0.5218323	0.0014434	0.9822123	0.0157550	0.7689675	0.2141689	0.8409575	0.0416648	0.0936115	0.0166252	0.0326876	0.9999996	0.9999999	0.8427656	1.0000000	0.0183976	0.0742768	0.8331990	0.8754987	0.9999970	1.0000000	0.6457588	0.9999999	0.9959295	0.0724936	0.9999987	0.9919564	0.8119293	0.4236237	0.9999999	0.4094764	0.0319503	0.8248867	0.9999999	0.6827945	0.5665349	0.1268720	0.0538577
1.0000000	0.9999936	0.9296721	0.0000000	0.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888583	0.9996318	0.6047339	0.2917597	0.5577819	0.9999991	0.9361258	0.9987981	0.9129313	0.9371966	0.8122356	0.6555122	0.7103410	0.9999999	0.2153852	0.8427656	0.9133146	0.9999607	0.3635491	0.3149214	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.5491015	0.0343801	0.9632433	0.1120008	0.4416456	0.9142035	0.0199458	0.0439191	0.0350502	0.0766712	0.7894060	0.7811153
1.0000000	0.0117801	0.0000035	1.0000000	1.0000000	1.0000000	0.0000008	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.0891451	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999999	0.0183976	0.0457621	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9999999	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.5064243	0.7811153
1.0000000	1.0000000	0.5801067	0.0000000	1.0000000	0.0000000	0.0582628	1.0000000	0.9996264	1.0000000	0.4601294	0.9996318	0.6047268	0.7417535	0.9821268	0.1699418	0.9642603	0.9936155	0.9135225	0.0416645	0.5463939	0.6555122	0.0326876	1.0000000	0.2153844	0.8427656	1.0000000	0.0183976	0.2704233	0.3148999	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.7351914	0.0343801	0.9632435	1.0000000	0.7715259	0.9142035	0.0199451	0.0439191	0.6827945	0.0766712	0.3933570	0.7811153
1.0000000	0.9999999	0.9296765	0.0000000	1.0000000	1.0000000	0.9884306	0.0000000	0.9999405	1.0000000	0.1888580	0.9996318	0.6047269	0.0014429	0.9821987	0.1699418	0.9642704	0.9987983	0.5553281	0.0416646	0.5461302	0.6555122	0.7103410	1.0000000	0.2153844	0.0663247	0.7953726	0.0183976	0.6787325	0.3149002	0.0580579	0.0001124	1.0000000	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.5490864	0.0343801	0.9632435	0.1120008	0.1458838	0.9142035	0.0199452	0.0439191	0.6827945	0.0766712	0.7895899	0.7811153
1.0000000	0.0117801	0.0790737	1.0000000	0.0000000	0.0000000	0.0582628	1.0000000	0.9999285	1.0000000	0.4601294	0.9996318	0.9182163	0.7417535	0.7168356	0.7182657	0.9642701	0.1860978	0.8409575	0.0416645	0.0936809	0.6555122	0.0326876	0.0661121	0.6373674	0.8427656	1.0000000	1.0000000	0.0715585	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9931733	0.2261784	0.4236237	1.0000000	0.7715259	0.9142035	0.8248867	0.0439191	0.0350480	0.0766712	0.1237281	0.7811153
1.0000000	0.0117801	0.9296766	1.0000000	0.0000000	1.0000000	0.9884557	0.0000000	0.9999740	1.0000000	0.1888580	0.9996318	0.9182163	0.0014429	0.7168519	0.7182657	0.9642716	0.9987983	0.8409575	0.0416646	0.0936301	0.6555122	0.7103410	0.0661121	0.6373674	0.0663247	0.0819479	0.9999994	0.6789243	0.9279450	0.0580579	0.0001124	1.0000000	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.5490864	0.2261784	0.4236237	0.1120008	0.1458838	0.9142035	0.8248867	0.0439191	0.0350480	0.0766712	0.7895899	0.7811153
0.0000033	0.9999996	0.9296747	0.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888583	0.9996318	0.6047294	0.2917597	0.8792179	0.1699417	0.9361258	0.9987982	0.9065634	0.9371966	0.8122674	0.6555122	0.7103410	1.0000000	0.2153847	0.8427656	0.9133798	0.0183976	0.3635597	0.3149077	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121529	0.6308234	0.0743467	0.5490928	0.0343801	0.4772514	0.1120008	0.4416456	0.9142035	0.0199454	0.0439191	0.6827945	0.0766712	0.7894099	0.7811153
1.0000000	0.0000000	0.9296516	0.0000003	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888650	0.9996318	0.6047821	0.2917597	0.8792179	0.1699369	0.9361258	0.9987976	0.6487294	0.9371966	0.4446305	0.6555122	0.7103410	0.9999986	0.2153899	0.8427656	0.8713621	0.0183976	0.3634798	0.3150602	0.4135696	0.5220778	0.0398315	0.0317916	0.5164666	0.0121530	0.6308234	0.0743467	0.5491662	0.0343802	0.9632410	0.1120008	0.4416456	0.9142035	0.0199501	0.0439191	0.6827945	0.0766712	0.7893772	0.7811153
1.0000000	0.0000000	0.6692035	1.0000000	0.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.1888603	0.9996318	0.9182163	0.2917597	0.5577842	0.7182646	0.9361258	0.9961465	0.8409562	0.9371966	0.4446305	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9856434	0.9997871	0.3080279	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6814447	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.0350638	0.0766712	0.7308235	0.7811153
1.0000000	0.0000000	0.0790737	1.0000000	1.0000000	0.0000000	0.0582628	1.0000000	0.9999285	1.0000000	0.7050311	0.9996318	0.9182163	0.7417535	0.9821974	0.0157550	0.9642701	0.1860978	0.8409574	0.0416645	0.0936435	0.6555122	0.0326876	0.0661121	0.6373674	0.8427656	1.0000000	0.0183976	0.0715585	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9931733	0.2261784	0.4236237	1.0000000	0.7715259	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.1237281	0.7811153
1.0000000	0.0000000	0.9296766	1.0000000	1.0000000	1.0000000	0.9884557	0.0000000	0.9999740	1.0000000	0.7089633	0.9996318	0.9182163	0.0014429	0.9822079	0.0157550	0.9642716	0.9987983	0.4909814	0.0416646	0.0935927	0.6555122	0.7103410	0.0661121	0.6373674	0.0663247	0.0819479	0.0183976	0.6789243	0.9279450	0.0580579	0.0001124	1.0000000	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.5490864	0.2261784	0.4236237	0.1120008	0.1458838	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7895899	0.7811153
1.0000000	0.0117801	0.0000035	1.0000000	1.0000000	1.0000000	0.0582658	1.0000000	0.0000006	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.5217630	0.0157550	0.6064242	0.0891451	0.8342508	0.9371966	0.4743880	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999999	0.0183976	0.0457621	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9999999	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.5068473	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.0000050	1.0000000	0.0000030	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.5217866	0.0157550	0.6064434	0.9962167	0.8342508	0.9371966	0.4743880	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999994	0.0183976	0.2944361	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794172	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7320049	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.0582629	1.0000000	0.0000000	0.0000016	0.4399872	0.0637467	0.5218323	0.0014431	0.5217595	0.0157550	0.0060119	0.9962167	0.8342508	0.0416685	0.4743880	0.0166252	0.7103410	0.9999996	0.9999999	0.8427656	1.0000000	0.0183976	0.2944357	0.8331990	0.8754987	0.9999970	1.0000000	0.6457588	0.9999999	0.9959295	0.0724936	0.9999987	0.6794172	0.8119293	0.4236237	0.1120008	0.1458841	0.0319503	0.8248867	0.9999999	0.6827945	0.5665349	0.7320049	0.0538577
1.0000000	0.0000000	0.0000035	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.0891451	0.8342506	0.9371966	0.4446305	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999999	0.0183976	0.0636358	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9999999	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.5064954	0.7811153
1.0000000	0.0000000	0.6692036	1.0000000	1.0000000	1.0000000	0.0000050	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9961465	0.8342506	0.9371966	0.4446305	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999994	0.0183976	0.2935341	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6814442	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7307716	0.7811153
