YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.9302359	0.0000419	0.5783910	1.0000000	0.8626538	0.9304780	0.3620156	1.0000000	0.1997586	1.0000000	0.8457485	0.9804558	0.9010321	0.4400453	0.8717237	0.0121713	0.9301141	0.9044213	0.9962038	0.9679229	0.2952648	0.6388871	0.5868346	0.0000588	0.3635094	0.9264538	0.6448056	0.0183978	0.5791510	0.8741514	0.5720205	0.2499500	0.0398315	0.0163367	0.5164666	0.4168759	0.5583357	0.0442331	0.2657285	0.4343787	0.4219166	0.1255612	0.4622332	0.8822741	0.8766404	0.0439191	0.6295217	0.2348635	0.7767785	0.7272615
0.7214572	0.0122569	0.2359717	0.7048765	0.8794485	0.8581393	0.1391055	1.0000000	0.1997586	1.0000000	0.2854623	0.9358851	0.9638311	0.4489131	0.8720415	0.0245316	0.9301141	0.7768920	0.8256236	0.9159980	0.0446919	0.6388870	0.6733433	0.0298788	0.4100300	0.9062846	0.9999997	0.0000003	0.0952243	0.9967274	0.2563274	0.3943729	0.0224887	0.0106551	0.5164666	0.4119609	0.6490623	0.0743467	0.9410986	0.3514665	0.2974703	0.1450688	0.3665985	0.9320705	0.6526920	0.0439191	0.5896276	0.1950052	0.4673235	0.9230874
1.0000000	0.0061080	0.5262565	0.8625558	0.8935000	0.6992910	0.1283546	1.0000000	0.0000031	0.6552283	0.1978643	0.9993079	0.7127112	0.3708548	0.5262819	0.0063881	0.5056273	0.9496195	0.7967816	0.8612101	0.8848938	0.6838783	0.2205924	0.0060612	0.7095156	0.8581300	0.9999971	0.0183977	0.2777436	0.7972027	0.5345915	0.9825357	0.0912161	0.0788454	0.6723255	0.7316089	0.4230513	0.0130515	0.7688751	0.3318543	0.0569403	0.2211019	0.4658185	0.8353013	0.7440006	0.0068357	0.5976840	0.0000002	0.7370639	0.6963510
0.8816863	0.0118339	0.8103970	0.9130690	0.7007494	1.0000000	0.3190573	0.7337042	0.1997586	1.0000000	0.3645129	0.9997971	0.9010321	0.4260805	0.8654819	0.0344757	0.9301141	0.9982457	0.8780776	0.8908463	0.3455558	0.6388871	0.6776544	0.0661477	0.5511220	0.7735961	0.9907996	0.0183983	0.3573726	0.8463418	0.2411723	0.7147541	0.0399337	0.2556013	0.4256230	0.5775239	0.7187281	0.0038182	0.6049607	0.0560871	0.3620846	0.1120008	0.2303390	0.8822741	0.7690619	0.0439191	0.4797409	0.5281328	0.4910790	0.7272615
1.0000000	0.0000394	0.1863512	1.0000000	1.0000000	0.4641920	0.0330983	0.7356360	0.0734718	1.0000000	0.8443561	0.9997624	0.9434123	0.6695976	0.9131755	0.0157550	0.8883617	0.6513179	0.9030787	0.7807432	0.0000000	0.6388870	0.2640165	0.0037840	0.3675618	0.6344827	0.9999999	0.0000001	0.4534961	0.9523193	0.2408785	0.4405343	0.0196522	0.2031379	0.5164666	0.4168759	0.6661149	0.0743467	0.6626060	0.3305643	0.6513905	0.3591965	0.1057709	0.9215103	0.9668160	0.0003633	0.8346988	0.0172377	0.4207017	0.8328838
1.0000000	0.0001108	0.2213899	0.6563605	0.9925001	1.0000000	0.5475759	0.8400439	0.1997587	0.6926874	0.3780122	0.9990300	0.7415575	0.2429429	0.8734752	0.0030423	0.8999710	0.8732181	0.7902020	0.9555666	0.0453617	0.4714099	0.6776535	0.0011469	0.3537674	0.8904809	0.9999537	0.0183976	0.2135566	0.7939786	0.3114808	0.5405366	0.1125505	0.1362500	0.6411773	0.7955690	0.5231111	0.0838727	0.9478091	0.4144032	0.6552484	0.1120008	0.2739047	0.8425532	0.7074478	0.0447997	0.6444663	0.0000001	0.8981889	0.6552891
1.0000000	0.0000382	0.6804255	1.0000000	1.0000000	0.8735483	0.6004264	1.0000000	0.1997586	1.0000000	0.3057457	0.9808344	0.9010317	0.3558322	0.9232599	0.0157550	0.9631926	0.9072285	0.9962525	0.8789582	0.4301583	0.6388870	0.7316456	0.0661121	0.6373674	0.8151240	0.8138600	0.0000015	0.4458294	0.9969172	0.2015794	0.2717298	0.0297511	0.0163366	0.5164666	0.4816915	0.6498686	0.0046035	0.6747685	0.2130869	0.4425459	0.1403380	0.1627898	0.8822737	0.8699315	0.0003933	0.6477480	0.0930823	0.7576275	0.9208704
0.9301464	0.0068718	0.7445209	1.0000000	0.8036160	1.0000000	0.0679692	0.5831249	0.0000069	1.0000000	0.4484378	0.9996707	0.9605023	0.2745964	0.6279652	0.0238945	0.9291947	0.9983844	0.6590113	0.8819943	0.2756929	0.6920620	0.7767606	0.0661121	0.5460527	0.4930059	0.9340659	0.0000010	0.3412933	0.9968073	0.1926170	0.4933834	0.0295139	0.6249057	0.5164666	0.6685755	0.6932265	0.0054398	0.4006062	0.4082055	0.0260452	0.1120008	0.4239399	0.8822735	0.8536707	0.0004125	0.6937262	0.3248538	0.3724437	0.7272595
0.8258491	0.0119500	0.3641912	0.7781538	0.7956818	0.8949122	0.3101101	0.6120053	0.1516235	1.0000000	0.7223952	0.9997578	0.9010317	0.3626560	0.9120964	0.0261589	0.9169940	0.9566520	0.7637225	0.9309503	0.4097434	0.6388870	0.5337117	0.0662680	0.4667538	0.5238598	0.9999683	0.0000018	0.1533319	0.9473752	0.2766712	0.5563981	0.0401055	0.2112072	0.3182575	0.4140577	0.6217652	0.0743467	0.8712452	0.0619495	0.2465633	0.0522193	0.6231994	0.8822737	0.6937957	0.0003597	0.5418834	0.3147942	0.9365707	0.7272600
0.7991927	0.0000925	0.6305364	0.8663326	1.0000000	1.0000000	0.5077904	1.0000000	0.0783956	1.0000000	0.6384471	0.9998133	0.9010316	0.3379632	0.7306297	0.0174900	0.9530442	0.9061010	0.5447182	0.8955327	0.6856269	0.6388870	0.6776535	0.0661771	0.5367876	0.7764412	0.9594389	0.0183976	0.2471143	0.9889998	0.1589022	0.5582826	0.0398315	0.2243786	0.5164666	0.4243938	0.6961000	0.0262546	0.5877377	0.1424939	0.4845716	0.1120008	0.3708012	0.8822735	0.7459961	0.0003890	0.7213909	0.4385255	0.7820533	0.8194334
