YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.6676874	0.0018155	0.8023684	0.6973657	0.5430373	0.7889674	0.4018391	0.0000000	0.7870814	0.0000000	0.4679399	0.0384398	0.3702807	0.0002180	0.6694808	0.0170234	0.4785700	0.6927780	0.3714683	0.0346193	0.0542478	0.0188566	0.5129735	0.7767339	0.6273148	0.0639151	0.1777652	0.0060826	0.3366048	0.5389612	0.2575972	0.2915918	0.5884925	0.4966454	0.5707775	0.7181521	0.0426074	0.6433038	0.3500723	0.5545804	0.2415091	0.0606766	0.1052053	0.0029563	0.5086631	0.6291695	0.3559142	0.0352807	0.5453236	0.0417129
0.5677652	0.0125944	0.4586715	0.7679685	0.5867486	0.0000000	0.3465542	0.0000000	0.6223859	0.6028915	0.7731565	0.6494511	0.8557124	0.0005564	0.6680097	0.0119309	0.6108781	0.6522522	0.6060867	0.0459855	0.0899559	0.4430558	0.0380600	0.0409263	0.4189301	0.0905074	0.5475190	0.0273846	0.4190604	0.6195226	0.0287071	0.0005574	0.6943352	0.0320034	0.3999101	0.2258085	0.3339037	0.0735833	0.5272939	0.1855101	0.3287142	0.6408321	0.2555393	0.5844154	0.5855969	0.0419133	0.5669636	0.0453138	0.4560175	0.6078064
0.8138906	0.8167052	0.6780192	0.0000000	0.5830451	0.6986485	0.0188036	0.6567216	0.4745235	0.0000000	0.0759528	0.0355219	0.0042722	0.0043566	0.7004220	0.1497513	0.5186999	0.7104288	0.5861555	0.0504200	0.4269031	0.0059954	0.3949906	0.6112368	0.8248945	0.5518185	0.6266397	0.0141169	0.2369260	0.0360756	0.5931111	0.6368467	0.5984624	0.0306979	0.6749678	0.0044863	0.0647987	0.6896703	0.4029760	0.2593887	0.7348829	0.0519057	0.0986990	0.0014208	0.0332109	0.6926998	0.4615593	0.6278973	0.3921694	0.0140296
0.7067097	0.0034915	0.0521909	0.5456409	0.6164952	0.0000000	0.0293550	0.6013885	0.6858488	0.0000000	0.4561497	0.0437328	0.3761887	0.0064397	0.6461881	0.0144474	0.4984138	0.1288173	0.5874189	0.0079669	0.0838019	0.0194734	0.0240940	0.6569028	0.6189153	0.5448997	0.8063270	0.0084008	0.0445334	0.5106416	0.5427292	0.6116155	0.7504990	0.3835930	0.7378636	0.7033083	0.0338247	0.7279083	0.5945706	0.5718099	0.3915733	0.7358851	0.2747906	0.0176859	0.5630159	0.7931388	0.4610984	0.4146903	0.1259077	0.0311282
0.6496139	0.7223951	0.6427054	0.0000000	0.0000000	0.6741101	0.3276137	0.7650654	0.1365682	0.6711191	0.1901316	0.6631728	0.4028740	0.1663653	0.3362224	0.6873131	0.7183559	0.9053072	0.5674851	0.7477171	0.5814917	0.4727316	0.5212964	0.8687404	0.1520231	0.5944738	0.8174321	0.7074861	0.2549583	0.1610958	0.2976816	0.2754783	0.0316278	0.0885188	0.3171554	0.0167531	0.4686899	0.0280268	0.3743803	0.0203062	0.7223019	0.1382472	0.3392270	0.7475128	0.0146159	0.0160085	0.0128068	0.0377590	0.5486408	0.6088448
0.5660319	0.0134644	0.0000000	0.5520821	0.7764543	0.6414998	0.0000000	0.6985292	0.1717633	0.7914052	0.3183903	0.5509530	0.6945338	0.1965953	0.5679409	0.0398920	0.6247205	0.1326900	0.6677807	0.6047872	0.3029494	0.4877220	0.3612303	0.0352602	0.4477848	0.5468389	0.6504834	0.0041863	0.0322303	0.5807869	0.2193497	0.3497679	0.0311524	0.0178813	0.3400214	0.3177142	0.3718210	0.0334474	0.8423746	0.1717690	0.2983276	0.0896079	0.3009754	0.6092610	0.6372270	0.0264848	0.4780689	0.0639452	0.3303174	0.4902418
0.7608700	0.6630502	0.4430988	0.0000000	0.7757374	0.0000000	0.0383335	0.7167409	0.5720495	0.7201112	0.2592161	0.6412633	0.3913709	0.5635515	0.6703446	0.1461540	0.5626870	0.6528762	0.5984323	0.0148394	0.2955120	0.4102992	0.0366586	0.6306077	0.2178531	0.5440025	0.7138005	0.0154003	0.1841108	0.2292897	0.2941046	0.3397467	0.0286008	0.0367468	0.3033957	0.0022997	0.4399099	0.0270136	0.4202536	0.0307249	0.6934975	0.7679891	0.5424304	0.6225889	0.0130362	0.0221064	0.4417935	0.0596402	0.1948749	0.4538124
0.7341389	0.7247176	0.6312924	0.0000000	0.6807630	0.6997857	0.5558260	0.0000000	0.5857061	0.7420874	0.1243853	0.6270161	0.4429079	0.0016049	0.6121297	0.1307628	0.7579274	0.7989857	0.2990942	0.0471992	0.3799230	0.4847427	0.4700576	0.7651549	0.1442903	0.0363859	0.5806707	0.0211177	0.5325283	0.2781111	0.0327452	0.0000997	0.7326437	0.0275885	0.3464626	0.0085804	0.5342138	0.0689198	0.3725979	0.0175975	0.7372071	0.0904088	0.0957173	0.6818724	0.0110251	0.0240323	0.4372537	0.0686981	0.5069023	0.5344919
0.6133979	0.0203226	0.0381611	0.7181762	0.0000000	0.0000000	0.0582038	0.7356254	0.6385008	0.6875599	0.3292892	0.6236044	0.6735613	0.4375744	0.5947105	0.4857474	0.7048883	0.0903940	0.6778684	0.0245880	0.0685865	0.4661744	0.0290603	0.0265806	0.3703438	0.7167734	0.6638493	0.8686002	0.0550853	0.6356230	0.2431413	0.4893791	0.0455612	0.0278040	0.3715831	0.2871244	0.3779086	0.0451917	0.6615453	0.1610208	0.2942132	0.6469348	0.4849706	0.6106750	0.6067982	0.0402977	0.0187542	0.1017533	0.0801235	0.5425253
0.7176838	0.0115546	0.6084728	0.7865521	0.0000000	0.6475818	0.7027729	0.0000000	0.7949284	0.7813483	0.1509632	0.6703415	0.7414649	0.0066141	0.4644878	0.4273554	0.6717717	0.5904177	0.6040524	0.0251217	0.0613847	0.4988251	0.5571199	0.0551158	0.5355585	0.0405583	0.0789062	0.6097094	0.5271327	0.6502293	0.0341263	0.0005637	0.7071571	0.0320120	0.3091853	0.2229278	0.4326410	0.0685685	0.3392179	0.1789268	0.2588064	0.1664670	0.0949569	0.5581381	0.5632227	0.0258200	0.0243441	0.0526670	0.4942779	0.5440426
