YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.0000000	0.0334188	0.7516871	0.3109628	0.0694022	0.1449397	0.7520132	0.2588671	0.7773166	0.3126330	0.4134154	0.6995379	0.6152340	0.1901494	0.8651954	0.8222357	0.6078297	0.5263509	0.6517685	0.6556244	0.1640770	0.3300414	0.7885125	0.7212638	0.5342020	0.3190171	0.1605982	0.0991485	0.4467258	0.3606387	0.7015847	0.5447867	0.2488810	0.1128700	0.6543183	0.7001203	0.2618844	0.7085636	0.4823327	0.2888024	0.8698326	0.4484232	0.7369635	0.3575885	0.8197851	0.5779761	0.0396041	0.3821774	0.5875479	0.0183976
0.8170029	0.0000000	0.7488320	0.1259637	0.5367505	0.2217641	0.5990373	0.2889519	0.8066179	0.4358743	0.3450594	0.6212296	0.6551872	0.1235283	0.8925761	0.7362023	0.6843107	0.4817450	0.7058316	0.7000087	0.2955912	0.2745331	0.7994286	0.7630728	0.4998650	0.3656008	0.0647973	0.5988628	0.4376661	0.3330798	0.7654636	0.6461737	0.2267071	0.1025460	0.4727860	0.6155939	0.3881460	0.8985264	0.5339146	0.5326351	0.7195382	0.3991232	0.0031595	0.4280804	0.7290211	0.4545855	0.0647297	0.3181956	0.2394743	0.0118690
0.6597237	0.4878412	0.0000000	0.0994770	0.5145385	0.2227631	0.7009932	0.2999434	0.6573108	0.4123119	0.2923083	0.6478548	0.8308516	0.1596576	0.7182614	0.7160761	0.5746413	0.4960962	0.7392416	0.8911501	0.2545195	0.4073541	0.8080642	0.7435928	0.5687356	0.2422846	0.0773405	0.5957594	0.3521719	0.3268798	0.7474023	0.6691453	0.2576771	0.1117666	0.5984629	0.5810066	0.5056455	0.7077602	0.4539194	0.3866156	0.6360902	0.5264216	0.0017793	0.2843853	0.7572673	0.5455171	0.0463056	0.5282627	0.2823124	0.0164089
0.7617826	0.5321688	0.2850191	0.0000000	0.8315652	0.2099293	0.7367641	0.2265113	0.6944164	0.4064589	0.3804240	0.6099625	0.6510720	0.1521405	0.6454342	0.8190843	0.5532867	0.4710241	0.6138711	0.8387233	0.2358419	0.3545600	0.7306479	0.6844617	0.4962042	0.1966684	0.0295194	0.4662974	0.3876796	0.4654184	0.7817542	0.6348634	0.2116978	0.1200567	0.7670911	0.7366577	0.5341110	0.7777310	0.5478649	0.4675915	0.8410240	0.5047115	0.0066994	0.3619838	0.6789143	0.5634246	0.0184572	0.4987728	0.2831904	0.0800373
0.7631577	0.6552621	0.2862207	0.0807519	0.0000000	0.4870378	0.6287360	0.3734618	0.6406390	0.5300701	0.3800279	0.6070965	0.7075260	0.1527357	0.7178863	0.6113341	0.6599391	0.4795326	0.6744516	0.7564031	0.1420502	0.3907215	0.6828101	0.6410177	0.6326548	0.4431199	0.1290655	0.1230477	0.3519623	0.3672582	0.5898517	0.6431207	0.1847410	0.1178138	0.5947164	0.6932103	0.4275165	0.9065712	0.5238358	0.4709910	0.7382283	0.4322226	0.0034235	0.3602098	0.7105768	0.4146873	0.0394737	0.3493187	0.2085522	0.0200822
0.7546323	0.4678483	0.4168116	0.1176484	0.4716566	0.0000000	0.7108472	0.3217884	0.6035825	0.3235234	0.2771326	0.6869188	0.7183191	0.1925754	0.7789968	0.7649065	0.6754822	0.4881435	0.6805296	0.6614403	0.1946710	0.4050889	0.7212545	0.6087147	0.4950335	0.2426848	0.0876957	0.6720013	0.3189083	0.4000971	0.7013173	0.5857913	0.2323940	0.1103660	0.6849948	0.6073225	0.2058954	0.8491005	0.7901493	0.3539304	0.8540327	0.6278124	0.0043727	0.3829600	0.6224582	0.4926152	0.0175593	0.3204609	0.3182362	0.0362944
0.9263839	0.4626598	0.4917713	0.1117297	0.5895307	0.0003670	0.0000000	0.2389884	0.6935901	0.3967143	0.3630537	0.6203687	0.5887672	0.1583136	0.7076835	0.7571863	0.6296540	0.4744808	0.8149796	0.6615482	0.2052149	0.4642132	0.6913571	0.6710390	0.4709141	0.3131546	0.1365808	0.4880553	0.3486857	0.4346393	0.8791577	0.6302220	0.2421474	0.1631630	0.6606231	0.6842598	0.2337488	0.8247370	0.5940593	0.4668271	0.6363078	0.4423064	0.0020015	0.4907841	0.7559628	0.6486795	0.7733053	0.3727727	0.2072079	0.0391984
0.6621784	0.7148525	0.3454108	0.0888506	0.7937896	0.2309460	0.7810449	0.0000000	0.6688580	0.4029642	0.3648851	0.5929174	0.6627817	0.1265182	0.7886771	0.6570519	0.6444135	0.4355765	0.6779352	0.6802836	0.1986249	0.2592810	0.7392285	0.9965545	0.5545390	0.2779700	0.0758473	0.1317007	0.3197740	0.3153564	0.5840066	0.7689512	0.2247139	0.1349590	0.4697344	0.6678822	0.4805013	0.6196700	0.6800193	0.3860510	0.8614003	0.5313497	0.0114889	0.3240591	0.7562102	0.5334298	0.0470670	0.2810922	0.3243303	0.0233767
0.7836536	0.4157865	0.5424349	0.1787494	0.5460952	0.2157356	0.8280161	0.4767122	0.0000000	0.5475083	0.0943420	0.7305254	0.8227494	0.1173967	0.8056377	0.7031745	0.7101029	0.4595291	0.8078915	0.6842159	0.2774773	0.4764627	0.7595211	0.7440611	0.4203260	0.0824382	0.0769918	0.6091882	0.3176806	0.3795903	0.4675163	0.5604755	0.2212789	0.1639120	0.4933574	0.6353237	0.6434206	0.5591276	0.4924959	0.0072680	0.8042681	0.5704165	0.0019098	0.4048083	0.0752481	0.7689824	0.0292750	0.3059948	0.2658739	0.0500943
0.7268067	0.6145223	0.3453499	0.0979118	0.6485858	0.3017195	0.8071941	0.0880342	0.7299173	0.0000000	0.3852742	0.4763579	0.6857927	0.7302041	0.8022614	0.7309226	0.1491897	0.4305365	0.9093762	0.6539904	0.1936393	0.4468674	0.6756803	0.7288456	0.4482329	0.2127849	0.0903284	0.4184831	0.4485912	0.7373495	0.6249647	0.6678970	0.0680410	0.4987527	0.7562385	0.7046536	0.4540679	0.6960841	0.2704501	0.4689618	0.8246577	0.4171676	0.0041227	0.3805331	0.8451665	0.5608560	0.0258798	0.7217648	0.2671215	0.7072051
