YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.7121119	0.5117952	0.3392753	0.1093869	0.5463215	0.2644169	0.5557479	0.3655877	0.6285533	0.3990993	0.2892850	0.5883824	0.7381059	0.1839565	0.7123645	0.7604490	0.7109226	0.4214632	0.7196509	0.7997433	0.1320241	0.5703400	0.7571192	0.7331354	0.5958761	0.1169201	0.3403033	0.5560109	0.2229781	0.4010275	0.7043187	0.5606619	0.0283914	0.1737932	0.5626981	0.6307504	0.5882825	0.4753377	0.6461107	0.3348057	0.5988884	0.7212326	0.0031842	0.1581260	0.7955222	0.2415195	0.0055031	0.4942812	0.1120675	0.0004021
0.7019003	0.4998838	0.3773276	0.0315814	0.6750929	0.2971699	0.5610130	0.1880311	0.6856075	0.3087833	0.3488426	0.6720895	0.6748731	0.2089744	0.6233962	0.7237498	0.7268148	0.8078589	0.8474674	0.5645685	0.1767024	0.5283617	0.7579829	0.6626422	0.5607711	0.2190989	0.1538270	0.5477250	0.2597951	0.3436625	0.6819109	0.4814820	0.0133121	0.3130154	0.4070904	0.4029745	0.4331318	0.4228333	0.4696755	0.4252399	0.6674589	0.3225005	0.0020068	0.4136188	0.7048471	0.5154462	0.0433083	0.3763835	0.4254169	0.0132837
0.6850007	0.6380873	0.3661202	0.0218912	0.5467119	0.0509985	0.7054899	0.2647520	0.5674398	0.3975507	0.5031896	0.5470959	0.6285332	0.1501275	0.5796956	0.6125456	0.5038737	0.3750256	0.6538113	0.7606572	0.1589906	0.1577738	0.6867374	0.6432576	0.4989897	0.6984647	0.0661120	0.7268149	0.4594482	0.3113792	0.6892621	0.5478481	0.1452912	0.0307826	0.1950915	0.5940766	0.2803202	0.6311147	0.4109749	0.4021799	0.7136708	0.4994122	0.0025874	0.5819474	0.6642841	0.2858409	0.0331371	0.1845252	0.4830015	0.0008112
0.8407429	0.6058097	0.3293849	0.1669772	0.5158581	0.0740136	0.7424544	0.3119268	0.6482860	0.4648458	0.6339338	0.6393567	0.7315240	0.1748067	0.3954223	0.8170971	0.6401234	0.6743136	0.6082201	0.3916957	0.1382963	0.3588227	0.5616540	0.6821435	0.4478094	0.4067868	0.0572692	0.6185400	0.5494147	0.3800624	0.7448515	0.4258880	0.0373660	0.4600688	0.5379808	0.4081610	0.1149166	0.7116604	0.5421987	0.3567932	0.7753613	0.4391231	0.0071821	0.3376730	0.7188119	0.4989428	0.0139647	0.2938499	0.2850473	0.0006890
0.7442484	0.5237811	0.2937454	0.0131800	0.6041739	0.4499066	0.7997701	0.3976135	0.9331183	0.3389726	0.4633843	0.5991204	0.8876779	0.1676196	0.7076380	0.5971735	0.5610280	0.3844159	0.8080451	0.6925113	0.1146883	0.2018639	0.5862120	0.7536156	0.5314082	0.4254842	0.0340647	0.6376697	0.4316428	0.3718087	0.7872058	0.6867875	0.2191414	0.1934398	0.6137884	0.5387142	0.6404871	0.7967156	0.4904194	0.3442074	0.7706967	0.4704904	0.0134827	0.1828810	0.5925649	0.4322991	0.0470435	0.3954543	0.5039826	0.0210261
0.6449955	0.5424849	0.3793664	0.2647700	0.4689519	0.1853022	0.7588530	0.1261239	0.6348507	0.5334654	0.2290917	0.5345396	0.5830585	0.1308291	0.5461316	0.7782960	0.6307453	0.7212927	0.8796284	0.7199156	0.2455934	0.4545825	0.7730639	0.7773216	0.4713126	0.1564445	0.1190749	0.7332256	0.5736999	0.1201336	0.6293729	0.6351389	0.2773142	0.3743205	0.6236059	0.4850983	0.3924488	0.7448135	0.6151772	0.3579810	0.6417116	0.3461650	0.0036439	0.5850462	0.7021305	0.4293519	0.0244137	0.4265892	0.4660049	0.0004859
0.6295602	0.5542259	0.3021080	0.3001698	0.6191343	0.0505339	0.6669727	0.0959154	0.6290186	0.2393784	0.3190401	0.4324337	0.5481740	0.2607333	0.8286657	0.7355098	0.5038699	0.6964461	0.6255886	0.4502160	0.1891831	0.1533231	0.8867139	0.8481657	0.7176412	0.1466593	0.0960999	0.3889754	0.1519910	0.5229749	0.7194717	0.6576224	0.0381254	0.3108226	0.7152530	0.5609497	0.1512626	0.7199233	0.5687776	0.3977573	0.6728936	0.4160382	0.0007544	0.4277022	0.6717381	0.4985326	0.0269486	0.4801883	0.1126042	0.0001041
0.4796736	0.4144736	0.6941737	0.4049457	0.5124694	0.3096486	0.4873212	0.6708113	0.6873420	0.3910935	0.5696592	0.6662708	0.6776864	0.1679609	0.5895288	0.5196035	0.5141053	0.4559810	0.8607349	0.5335702	0.1926796	0.0756464	0.8102859	0.6134186	0.5635278	0.7148078	0.3325139	0.8730330	0.4282288	0.2912240	0.6817026	0.5183967	0.1900328	0.3298120	0.6086189	0.7453777	0.1513371	0.6130870	0.4842731	0.6969924	0.7499875	0.3540128	0.0080771	0.3554236	0.6635114	0.4000353	0.0400888	0.4499735	0.3278027	0.0001111
0.5179868	0.2660230	0.7243352	0.2041179	0.3942987	0.3250197	0.4882039	0.4202424	0.5459778	0.2852894	0.0606580	0.5860940	0.8099634	0.0892520	0.7610111	0.6664959	0.6019471	0.7146165	0.5511715	0.7939714	0.0938446	0.4955392	0.5152652	0.6842690	0.3979889	0.0140244	0.4614584	0.5448612	0.3965345	0.2954848	0.5660402	0.4984273	0.1198188	0.0155183	0.2283796	0.6563410	0.4566471	0.7054845	0.5777187	0.5017111	0.5072733	0.7164070	0.0447523	0.1081672	0.7191320	0.3328914	0.0338392	0.1004753	0.5583350	0.0000307
0.5020296	0.4744171	0.5125119	0.1224225	0.4000318	0.1262813	0.7566265	0.2043107	0.8171166	0.3140938	0.3332585	0.6994967	0.6927127	0.1123778	0.5757316	0.8016198	0.6369196	0.6245625	0.4208542	0.6827428	0.2785665	0.5453952	0.7027378	0.6299218	0.3155406	0.4096795	0.1172036	0.3427858	0.6885999	0.3966668	0.8958263	0.7569976	0.4347741	0.3572447	0.5482401	0.2153059	0.3398228	0.5571883	0.5411608	0.4308898	0.7936116	0.6019442	0.0124464	0.4398189	0.6314274	0.5828836	0.0113058	0.2427300	0.6469536	0.0458640
