YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.4567528	0.2231906	0.9788595	0.4265502	0.4062048	0.3358536	1.0333837	0.4448874	0.9678275	0.5986939	0.5827218	0.8715791	0.9067623	0.1277409	1.0165592	1.0382917	0.9302700	0.8097040	0.9858436	0.9389972	0.3006580	0.5043508	0.9877567	0.9922796	0.7011021	0.4613591	0.1879883	0.5170358	0.5369326	0.4573826	0.9677632	0.8503446	0.3676001	0.1105139	0.5645311	0.8967198	0.4987113	0.9937623	0.7566210	0.5200131	1.0046710	0.6669840	0.1855764	0.6119020	1.0630216	0.6997555	0.0359093	0.2809066	0.3560836	0.0299249
0.9860892	0.3456686	1.0125862	0.1992348	0.8158775	0.3179254	1.0180437	0.3064136	1.0200818	0.5141690	0.5035150	0.9976771	1.0059094	0.2277174	1.0532420	0.9849445	0.9502302	0.7516575	1.0568449	0.9866854	0.2820442	0.5245914	1.0053488	1.0703113	0.8055083	0.2751810	0.1115818	0.7670157	0.5320080	0.5233514	1.0196190	0.8273536	0.3505674	0.1408044	0.8552796	0.9722709	0.6979986	0.9286112	0.6946368	0.6346234	1.0065971	0.5850959	0.0051890	0.5544302	0.9827019	0.8213747	0.0439218	0.5061926	0.3444875	0.0241406
1.0545857	0.9321916	0.2671299	0.1784499	0.8721843	0.2599534	1.0142216	0.3667354	1.1060846	0.5469675	0.5992236	0.8051022	0.9677383	0.2121005	1.0926315	1.0268772	0.9268190	0.6890598	1.0176809	0.9431688	0.3166044	0.4748060	1.0803176	0.9950781	0.7325616	0.4128656	0.1339929	0.8286880	0.6153583	0.4814390	0.8609997	0.9450611	0.3560849	0.1457368	0.8795682	0.8900459	0.7105901	1.0742887	0.7078626	0.6129281	1.0041372	0.6917209	0.0093934	0.5628686	1.0323982	0.6911188	0.0477993	0.5578381	0.3677226	0.0320817
1.0153539	0.7341051	0.6373680	0.0961707	0.7824439	0.3362424	1.0501030	0.3449986	0.9908672	0.5134765	0.5850830	0.7328727	1.0500827	0.2682588	0.9911844	1.0556629	0.9060437	0.6647830	1.0894149	1.0259622	0.2915274	0.5135459	1.0123628	1.0050991	0.6483762	0.3361009	0.0792827	0.9052537	0.5963295	0.5651810	0.9445813	0.9604546	0.3276674	0.2452452	0.9304877	1.0057754	0.6941242	0.9777567	0.7719253	0.5281282	1.0002650	0.6438094	0.0110874	0.5204703	1.0344203	0.7658281	0.0462470	0.6015399	0.3321379	0.0321283
1.0849060	0.7831279	0.5706501	0.1802142	0.4018742	0.3088147	0.9482900	0.3363112	1.0404308	0.5889077	0.5145278	0.8395887	0.9736543	0.2157009	1.0512060	0.9809331	0.9117500	0.7237878	0.9704338	0.9938539	0.2431886	0.4879584	1.0172991	0.9969716	0.7318312	0.4708732	0.1051463	0.2755720	0.5796938	0.5472671	1.0578541	0.8499439	0.3533420	0.1675556	0.8416435	0.9786398	0.4651261	0.9560385	0.8129239	0.5084780	1.0255743	0.6145111	0.0016958	0.4225162	1.0364017	0.7707436	0.0398150	0.5306644	0.3166989	0.0397718
0.9909281	0.7607075	0.6149850	0.1955571	0.7696025	0.1886436	1.0077416	0.3496646	1.0555825	0.4903539	0.6038773	0.8684792	0.8648198	0.2054696	0.9982416	0.9720014	0.8895934	0.7638816	0.9140905	0.9864159	0.3482539	0.4803728	0.9669513	1.0603076	0.7103241	0.4138705	0.1557738	0.8755097	0.5073105	0.4455437	0.8927340	0.9408825	0.3690742	0.1119526	0.7070842	0.8875429	0.4590148	0.9392796	0.7859514	0.6030489	1.0114270	0.6931237	0.0029439	0.7024492	0.9603487	0.7503900	0.0531135	0.3462578	0.3591195	0.0407494
0.9787677	0.7213091	0.4950670	0.1841861	0.8577734	0.1622903	0.5217711	0.3452168	1.0476701	0.5349115	0.5010910	0.7902145	1.0678061	0.2001407	1.0468890	1.0507394	1.0255401	0.6960210	1.0176703	1.0115091	0.2833879	0.5287250	1.0045094	0.9917665	0.6534118	0.3353283	0.1193056	0.7851170	0.4321459	0.5939663	0.8780413	0.8913027	0.3284064	0.1645802	0.6790875	1.0038864	0.4279750	0.9879385	0.8046558	0.4936224	1.1262072	0.5966918	0.0140698	0.5007873	1.0043843	0.6906451	0.0668819	0.4344240	0.3450353	0.0386153
0.9833655	0.7964364	0.5554909	0.1469882	0.7992632	0.3271225	0.9970267	0.2008324	0.9652662	0.5306145	0.5899575	0.8783512	1.0675076	0.2075939	1.0772523	1.0532004	0.8604550	0.6424971	0.9501740	0.9766597	0.2725804	0.4970824	1.0487270	0.9407245	0.6673230	0.3516093	0.0760320	0.6648467	0.6471372	0.4638994	1.0104315	0.7942335	0.3494818	0.1608879	0.8536248	0.9082876	0.7027388	0.9897504	0.8066261	0.5711738	0.9908965	0.7056999	0.0049609	0.5354493	1.0328170	0.7199653	0.0528106	0.5533002	0.3190409	0.0323676
1.0042869	0.7727193	0.5051861	0.2006889	0.7977840	0.3198221	1.0149430	0.4146666	0.5587613	0.5442734	0.4054673	0.7564583	1.0532512	0.2191508	1.0655652	0.9485747	0.9244706	0.7132452	0.9520871	0.9663727	0.3190306	0.6667126	1.0945185	0.9522915	0.7312046	0.1670906	0.1262705	0.8106742	0.6549670	0.5381490	0.9001199	0.8783034	0.3265345	0.1692800	0.9005873	0.8648235	0.6178216	0.9711052	0.7624610	0.2516460	1.0908640	0.5860624	0.0232582	0.6071267	1.0056662	0.7361648	0.0339088	0.4382412	0.3758656	0.0502829
1.0317449	0.7918274	0.6486256	0.1510208	0.8047229	0.3169266	1.0787249	0.2310189	0.9680710	0.3118511	0.4519092	0.6676465	1.0247633	0.4597065	1.0388897	1.0781966	0.6411276	0.6659063	1.0521630	1.0337674	0.3247808	0.5113212	0.9349831	1.0000143	0.7216723	0.2040596	0.1238551	0.6915691	0.5792064	0.8189740	0.9139182	1.0899130	0.2904833	0.3213418	0.9448576	0.9454225	0.6145511	1.0203095	0.7444184	0.5882858	0.9875295	0.6272593	0.0039388	0.4662504	1.0408630	0.6553956	0.0414642	0.7979365	0.3465652	0.0633805
