YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.0000000	0.0518935	1.0076233	0.3896364	0.0908135	0.2682993	1.0607778	0.3047482	1.0548080	0.4588190	0.5549651	0.7996519	1.0013459	0.2757132	1.0232486	1.0820744	0.8579703	0.7214857	0.9519315	1.0126303	0.2965689	0.4698568	1.0121939	0.9942724	0.6939178	0.3798385	0.2669293	0.1736590	0.5791997	0.5456973	1.0091225	0.9125635	0.3614691	0.1814625	0.8704864	0.8865778	0.3646374	0.9255401	0.6923835	0.5054612	1.0831829	0.6630963	1.0630809	0.6084806	1.0432924	0.7831401	0.0559044	0.4946833	0.7818095	0.0249446
1.0446205	0.0000000	0.9917853	0.1648102	0.7241113	0.2563831	0.9438902	0.3701775	1.0222206	0.5832380	0.5287135	0.8856560	0.9293960	0.2160404	1.0026751	0.9353881	0.9016927	0.6306831	1.0080018	1.0156768	0.3010051	0.4339925	0.9892102	1.0051205	0.6768253	0.4755180	0.1144373	0.8120458	0.5846987	0.4817855	0.9641846	0.8523200	0.3185418	0.1514530	0.6929092	0.8891177	0.5938358	1.0370803	0.7560768	0.6035185	1.0324390	0.5590452	0.0068988	0.5808104	0.9041121	0.6537125	0.0509124	0.4563448	0.3625015	0.0402725
1.0179077	0.7783282	0.0000000	0.1646287	0.8016360	0.3098173	1.0119333	0.3885788	0.9109971	0.5663182	0.4944084	0.8188265	1.0227789	0.2296038	0.9899970	1.0314144	0.8554085	0.7183301	1.0274717	1.0765817	0.2751020	0.5224129	0.9960559	1.1072341	0.6859246	0.3750553	0.0996420	0.7239779	0.5538297	0.4983925	0.9582736	0.8319829	0.3239493	0.1837797	0.8485539	0.9207540	0.6431199	1.0167941	0.6825846	0.5200719	1.0392221	0.6346789	0.0022762	0.3990113	1.1172680	0.7555517	0.0507957	0.5699335	0.3603355	0.0385291
1.1182334	0.8710125	0.4240164	0.0000000	0.8481995	0.3006482	1.0692101	0.3585798	0.9929707	0.5384092	0.4514301	0.8285384	0.9422705	0.2646186	0.9997149	0.9915863	0.8410586	0.7255017	0.9720856	1.0018238	0.2998904	0.4929805	0.9677901	0.9196359	0.6563019	0.2805349	0.0446155	0.8256498	0.5787967	0.5639167	1.0327834	0.8967567	0.3461098	0.1633678	0.9464846	0.9008274	0.6484872	1.0061821	0.7585239	0.5305596	1.0640691	0.5904368	0.0055018	0.5351761	0.9614160	0.6369983	0.0333509	0.5720121	0.3388291	0.0471869
1.0754528	0.8694450	0.4807440	0.1273267	0.0000000	0.6974892	0.9798613	0.3304531	0.9567354	0.5773988	0.4993811	0.8079499	0.9930846	0.2329175	1.0121823	0.9300684	0.9154079	0.6611931	0.9803952	0.9623515	0.2760425	0.4132893	0.9539214	0.9647592	0.7781538	0.4866865	0.1407328	0.1816166	0.4914785	0.5530289	0.8887020	0.9459870	0.3094719	0.1457905	0.8425048	0.9032969	0.5671719	1.0334121	0.7421937	0.5392773	1.0225654	0.6842175	0.0056852	0.4855418	1.0512042	0.6887483	0.0474488	0.5135551	0.3327037	0.0397568
1.0119746	0.7111103	0.6298641	0.2310690	0.7659086	0.0000000	1.0308964	0.3720875	0.9740407	0.5278581	0.4580067	0.8849004	0.9901630	0.2403885	1.1185575	1.0769709	0.9394304	0.7346491	1.0044736	0.9532620	0.2932055	0.5096513	1.0368153	1.0271361	0.7557948	0.2960974	0.1256822	0.7775768	0.5539710	0.5488995	0.9424793	0.8981673	0.3622614	0.1483578	0.8462856	0.8506342	0.2823495	1.0654389	0.8602027	0.5491554	1.0781908	0.6605160	0.0069104	0.6010009	0.9162097	0.7322080	0.0371221	0.4897692	0.4033339	0.0441868
1.0607327	0.8225993	0.7104096	0.1412924	0.7454069	0.0003865	0.0000000	0.3739383	1.0244096	0.6007109	0.5691623	0.8709199	0.8384651	0.2459987	1.0387979	0.9913354	0.9069509	0.6310713	1.0257529	1.0208877	0.2917840	0.5129855	1.0804780	0.9868791	0.6649530	0.3403874	0.2396236	0.7447269	0.3706993	0.5533536	1.0213046	0.9161491	0.3446260	0.2238965	0.9248989	0.9690350	0.2766291	0.9994247	0.7566917	0.5448871	1.0350949	0.6721391	0.0025639	0.6008455	1.0124200	1.0148833	1.0737598	0.6056739	0.3089781	0.0270190
0.9668102	0.8281390	0.5033732	0.1517272	0.8839134	0.3037449	1.1286826	0.0000000	1.0488170	0.5579498	0.5225444	0.8934961	1.0180341	0.2059885	1.0594428	0.9713884	0.9374798	0.7214697	0.9893628	1.0153203	0.3246992	0.4106863	0.9794141	1.0630419	0.7252600	0.3520883	0.0899465	0.1478568	0.5120046	0.4975925	1.0068019	0.9562240	0.3337801	0.1940471	0.8018586	0.9613070	0.7056497	0.9608031	0.8530442	0.5748400	1.0345654	0.6897828	0.0092223	0.4862318	1.0781503	0.7670950	0.0543937	0.4722345	0.3595023	0.0385403
1.0386379	0.6484108	0.7558902	0.2604535	0.7521166	0.3007886	1.0444955	0.6428684	0.0000000	0.6240918	0.1416521	0.9330614	1.1123109	0.1767622	1.0758707	1.0438072	0.9364131	0.7320580	1.0389258	0.9769182	0.3151497	0.6666288	1.0109513	1.0901017	0.6995032	0.0999337	0.1678717	0.8093738	0.4978133	0.5019492	0.6640163	0.8096979	0.3125217	0.1911745	0.8278834	0.9479005	0.9345657	0.9132687	0.6988656	0.0050676	1.0290273	0.6752315	0.0030381	0.5840035	0.0585275	0.9927792	0.0357387	0.4635152	0.3273749	0.0712988
1.0239110	0.7980539	0.4979658	0.1297174	0.7961875	0.3606800	1.0152514	0.1681605	0.9891305	0.0000000	0.5942285	0.6001662	1.0221082	1.0678093	1.0644527	0.9905968	0.1526973	0.6112671	1.0618070	0.9926640	0.3246160	0.5355773	0.9548983	1.0076991	0.7056245	0.3005741	0.0963007	0.5411863	0.5446708	0.9905252	1.0049380	0.9332121	0.0818148	0.7102345	0.9837415	0.9086272	0.6579188	1.0818033	0.3344858	0.5436462	1.0034441	0.5999607	0.0058046	0.5641193	1.0716185	0.6696194	0.0401354	0.9742798	0.3494287	0.9982413
