YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.5173680	0.2540286	0.9036417	0.3514679	0.4673786	0.3127211	1.0528445	0.4310073	1.0326104	0.5980515	0.6209121	0.8223059	0.9722711	0.1314253	0.8891159	1.0528919	0.9221868	0.7910162	0.9966002	1.0902610	0.2972082	0.4693575	1.0481403	1.0860043	0.7189404	0.4575464	0.1985748	0.4104407	0.6161713	0.4581576	1.0764385	0.8302049	0.3647164	0.1509914	0.6632154	1.0197028	0.4898808	0.8801886	0.8267008	0.5196138	1.0044675	0.6536812	0.1435658	0.5089035	1.0193345	0.6796368	0.0484899	0.3997674	0.3513314	0.0463145
0.9414624	0.3716149	0.9552897	0.2129374	0.7077834	0.3568244	1.0874494	0.3779612	1.0386982	0.5414362	0.5394823	0.8898381	1.0240472	0.2310390	1.0486534	0.9988327	0.9700452	0.7242609	1.0539663	0.9744316	0.2821665	0.5632085	1.0463030	1.0706348	0.7347575	0.2331773	0.1353498	0.7886956	0.5454536	0.4986334	1.0238798	0.8284741	0.3571622	0.1176663	0.7340847	1.0063550	0.7020818	1.0638143	0.7641752	0.5998625	1.0497578	0.5950655	0.0045880	0.5876935	1.0574274	0.8307926	0.0409582	0.4397091	0.3174478	0.0340540
1.0610482	0.8203155	0.3200148	0.1940393	0.9128085	0.3017613	1.0881569	0.4192211	1.1548321	0.6084243	0.5844117	0.7687691	1.0094617	0.2450336	1.0234078	1.0824772	0.8964048	0.7416462	1.0145128	0.9529557	0.3011887	0.5203091	1.1216100	1.0011139	0.7441543	0.4126722	0.1245368	0.8166429	0.5746848	0.5605318	0.9184537	0.9412813	0.3842884	0.1152620	0.9261904	0.9445240	0.6577647	1.0554344	0.8041274	0.5792539	1.0908165	0.6159757	0.0082720	0.4834125	1.0201426	0.7441205	0.0521883	0.5011255	0.4371068	0.0381282
1.0307755	0.6908504	0.6474589	0.1362682	0.8137432	0.2731481	0.9818942	0.3639647	0.9670762	0.5099731	0.5170089	0.7949324	0.8819424	0.2533855	1.0400870	0.9483269	0.8961670	0.6847647	0.9506830	0.9800220	0.2898352	0.5288481	1.0776979	1.0799973	0.6518193	0.3666197	0.0798406	0.8183558	0.5639378	0.5324392	0.9313292	0.8775893	0.3469511	0.1989495	0.8585512	1.0040524	0.7510044	0.9674562	0.8633855	0.6099984	1.0316181	0.6388547	0.0160744	0.6099962	1.0924025	0.6815109	0.0415219	0.5592081	0.2963032	0.0600840
1.0342288	0.8372287	0.5765815	0.1568491	0.4251932	0.2937199	1.0082733	0.3197397	1.0004321	0.5768786	0.5989339	0.8233406	1.0427815	0.2126652	1.0492790	1.0994520	0.9414036	0.6940656	0.9554469	0.8953743	0.2262961	0.4682017	1.1029968	1.0694345	0.6428853	0.3952783	0.1169254	0.3329137	0.6122337	0.5906344	1.0157967	0.9401583	0.3672768	0.1762814	0.9409229	0.9884059	0.4728435	1.0688563	0.8024811	0.5334329	1.0351404	0.6498023	0.0005143	0.3896231	1.0583458	0.7934864	0.0432627	0.5610401	0.3101662	0.0229268
1.0131801	0.7362098	0.6568754	0.1972552	0.8554309	0.2021928	1.0215453	0.2966346	1.0227104	0.4723926	0.5598091	0.9093442	0.9608283	0.2023014	1.0024431	1.0300831	0.8725604	0.7635024	0.9102469	0.9898682	0.3565239	0.5090790	0.9805235	1.0407887	0.7285628	0.4784585	0.1117768	0.7600917	0.5349997	0.4736852	0.9714651	0.7875365	0.3867671	0.1405563	0.6976575	0.9494748	0.4915491	1.0022029	0.7743213	0.5154176	1.0367339	0.6426530	0.0109825	0.6700021	0.9526298	0.7320939	0.0550692	0.3826114	0.3556198	0.0127836
0.9946340	0.7810103	0.5223055	0.1589839	0.8068913	0.2104798	0.4734247	0.3805489	1.0106986	0.5616279	0.5415938	0.7821033	1.1245615	0.1990362	1.0006657	1.0332934	1.0357958	0.8086902	0.9253431	0.9706418	0.3007169	0.5201157	0.9990295	0.9100412	0.7739134	0.3346398	0.1324821	0.8594694	0.4154532	0.5129608	0.9397606	0.9503269	0.3907576	0.1669349	0.7234008	0.9032614	0.4546285	0.9751489	0.9289936	0.5517285	0.9535153	0.6217174	0.0051268	0.5252048	0.9523696	0.7350367	0.1010916	0.4255630	0.3375928	0.0492473
0.9573543	0.8126153	0.5532489	0.1333710	0.8110679	0.3336365	1.1305237	0.1923570	1.0070956	0.6090070	0.5341862	0.9270293	1.2066755	0.2321208	0.9869083	1.0775653	0.9320597	0.6157954	0.9899451	1.0452674	0.3014182	0.4499652	1.1041710	0.9027456	0.6868097	0.2733792	0.1052693	0.5884191	0.6361163	0.4626493	1.1152151	0.8336819	0.2625239	0.1733460	0.8038526	1.0082908	0.6523864	0.9302546	0.8326097	0.5117622	1.0499253	0.6865553	0.0099779	0.5702888	1.0570365	0.7940886	0.0368493	0.5979308	0.3462240	0.0401625
0.9752717	0.7963568	0.4798057	0.1874596	0.7163912	0.3174313	1.0665080	0.3603726	0.5247312	0.5520016	0.4354671	0.7411354	1.0792760	0.2193307	1.1278551	1.0699524	0.9094409	0.7047905	0.9256869	1.0523921	0.3056981	0.6143077	0.9073384	1.0028977	0.6624542	0.1641610	0.1639643	0.8273599	0.5614583	0.5133373	0.9265225	0.8985625	0.3110707	0.1758861	0.9146733	0.8749494	0.6237894	0.9932999	0.7359741	0.2433800	1.0290878	0.5873329	0.0184290	0.5744846	0.9806078	0.6722683	0.0429000	0.3691696	0.3715296	0.0669881
1.0498086	0.7128238	0.6461301	0.1621376	0.7643115	0.3232563	1.0711963	0.2590627	0.9397847	0.2504503	0.4657236	0.5750078	1.0884421	0.4988728	1.0830103	0.9993627	0.6506131	0.7021012	1.0257629	1.0673959	0.3175684	0.5096276	0.9224192	1.0619833	0.6895306	0.2297751	0.1259831	0.7849875	0.5132671	0.7784886	0.8694604	1.0489402	0.2654080	0.3123253	0.9361030	0.9698683	0.5535314	0.9390332	0.6665812	0.5704397	1.0076356	0.6221986	0.0052679	0.4581865	0.9373065	0.5885490	0.0388952	0.8207437	0.3306840	0.0657079
