YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.9669617	0.6948068	0.4209641	0.1781735	0.6776699	0.4866145	0.9035498	0.5182482	0.8936270	0.5679651	0.3883826	0.7322066	1.0442083	0.2509344	0.9248231	1.0390866	0.9037120	0.6202133	0.9834949	1.0572572	0.1845118	0.7278535	0.9722472	1.0457282	0.7595040	0.0939154	0.4148608	0.9202611	0.2401715	0.5418694	0.8705332	0.8616401	0.0742911	0.2105012	0.7280128	0.9438440	0.6673716	0.5881036	0.8636366	0.3948100	0.8392194	1.0225311	0.0067866	0.1636286	1.0531891	0.4034815	0.0223446	0.5296673	0.2075403	0.0000938
1.0845290	0.7941150	0.6238331	0.0579321	0.8257932	0.4199744	0.7658519	0.4110973	1.0110388	0.4672320	0.4185689	0.7551248	0.9272171	0.1802665	0.8788690	1.0683125	0.8442385	0.9067908	1.0472334	0.9713515	0.2252056	0.7025129	1.1120425	1.0350084	0.8911430	0.2540546	0.1760513	0.7383138	0.3013083	0.6560553	0.9066430	0.8355034	0.0484095	0.3418421	0.5863794	0.5076521	0.6470132	0.6659686	0.6634919	0.5755727	1.0222808	0.6024004	0.0094611	0.4293225	1.1175542	0.6984303	0.0820531	0.5333714	0.5713037	0.0274410
0.9951527	0.8876758	0.4541809	0.0210484	0.7532706	0.0678621	1.0432232	0.4175685	0.6904595	0.6024316	0.5509730	0.7827312	1.0340327	0.1545725	0.9272574	0.8884603	0.6568430	0.3983709	0.9967387	1.0685313	0.2489261	0.2352064	1.0395693	0.8830504	0.8253455	0.7681011	0.1305937	0.9369084	0.6108452	0.4606683	0.9530080	0.8325154	0.2422143	0.1006233	0.2986663	1.0028516	0.3294785	0.8087200	0.7521550	0.6042646	1.1197561	0.8162251	0.0072662	0.6958574	0.9384326	0.4816821	0.0441642	0.3230712	0.6224058	0.0050281
0.9705430	0.8062631	0.4772013	0.2294044	0.6956877	0.0909655	1.1271453	0.4060049	0.9333629	0.6033410	0.7866961	0.8001765	0.9565251	0.1982185	0.6082266	0.9851928	0.8690752	0.9019536	0.8808603	0.5089329	0.2338278	0.4697642	0.7558771	0.9813708	0.7212192	0.6275299	0.0469837	0.7948855	0.6046647	0.5328964	0.9113963	0.5292069	0.0796322	0.6566403	0.7918288	0.5750163	0.2343640	1.0812023	0.8381054	0.4279090	0.8646121	0.7039169	0.0043570	0.6113741	1.0720193	0.6953117	0.0109568	0.4027097	0.2844090	0.0033822
0.9745636	0.7028992	0.3945842	0.0308191	0.8828562	0.6148626	1.0698480	0.5034212	0.9580735	0.4054674	0.6695019	0.9440930	1.0332175	0.2686378	1.0390170	0.6886924	0.7710278	0.5594374	0.8659188	1.0248450	0.1183571	0.2525719	0.7963073	1.1135398	0.6963328	0.7695660	0.0629212	1.0640317	0.5832760	0.5425860	1.1193091	0.9409877	0.3440111	0.3614551	0.8791614	0.8329037	0.7889622	0.9492470	0.6370115	0.4635634	0.8365762	0.6294274	0.0267424	0.2505067	0.8631494	0.6653124	0.0502832	0.6941241	0.5976641	0.0403873
0.9954948	0.6939907	0.5806396	0.3573942	0.7257986	0.1987527	1.0629975	0.2325957	1.0131517	0.6016572	0.2621385	0.8342741	0.8770441	0.2205840	0.8998838	0.9875613	0.8475612	0.8459921	1.0399881	1.0463565	0.3128095	0.7465255	1.0330067	1.0055569	0.6176187	0.2827305	0.2219130	0.8913792	0.6995904	0.1982831	0.9244987	0.7906344	0.3511273	0.4987787	0.8808308	0.7160912	0.5947906	0.9985183	0.9458226	0.5018856	0.9576036	0.5478783	0.0075791	0.7153664	0.9717994	0.5998598	0.0103166	0.5225565	0.6022683	0.0002573
0.9559726	0.9627979	0.4209443	0.2776686	0.7754704	0.0429709	0.9044231	0.1798930	1.0610059	0.3724523	0.5207992	0.6430906	0.8991403	0.3562425	1.0819381	0.8820175	0.6984597	0.9632525	0.9832785	0.6052106	0.3166364	0.2045021	1.0695434	1.1678846	0.8643591	0.2010069	0.0914383	0.5840930	0.2036815	0.6817872	0.9164558	0.9585036	0.0662764	0.4081103	0.9429545	0.8080923	0.3554513	1.0045052	0.8896254	0.5703646	1.0527203	0.5847147	0.0049331	0.5068303	0.9433457	0.7776462	0.0613656	0.7836632	0.1272195	0.0002500
0.7745676	0.4036604	0.8390834	0.6163539	0.6176269	0.3584496	0.6110179	0.8592527	1.0725338	0.6863546	0.8674597	0.8131505	1.0090199	0.2454124	0.7764309	0.6626287	0.6538087	0.5791389	1.0142695	0.7635161	0.2987375	0.1033952	0.9499356	1.0500158	0.7867683	1.0170646	0.4717254	1.0469787	0.6468680	0.4599644	0.9871738	0.8429260	0.3271739	0.4522236	0.7712508	0.9431405	0.2176771	0.7749826	0.7318174	0.7730505	0.8941834	0.5880230	0.0294304	0.4571837	0.9158485	0.6365137	0.0759379	0.6090710	0.4680087	0.0021459
0.6401825	0.2967081	0.9814873	0.3284874	0.5275314	0.4130031	0.7531795	0.4577550	0.8032487	0.5449396	0.1387504	0.9390717	1.0061712	0.0992631	1.0449041	1.0196131	0.8501369	0.9342129	0.8659313	0.9387859	0.0885749	0.6752079	0.8374757	1.0557967	0.5845283	0.0011019	0.5129106	0.8922826	0.5508245	0.3715020	0.6889175	0.7701445	0.2063644	0.0095501	0.2750075	0.9227199	0.6869715	0.9120063	0.8276001	0.5568031	0.8351020	0.8212077	0.0478540	0.0933008	1.1677121	0.4431544	0.0398160	0.2125914	0.6862988	0.0001683
0.8215777	0.6332321	0.5612042	0.2269023	0.5491011	0.2274970	0.9982564	0.3161928	1.0235821	0.4789139	0.5197245	0.9130923	0.8447002	0.2299089	1.0563330	1.0907841	0.9264319	0.9128562	0.6668380	0.9063758	0.3270129	0.7415320	0.9914906	0.8583203	0.3237659	0.4195925	0.1239304	0.5556448	0.8156308	0.4914323	1.0680640	0.9277384	0.6332537	0.5602797	0.8576934	0.3137105	0.5722996	0.7481179	0.7724748	0.5270877	0.9316320	0.8677841	0.0422666	0.6414519	0.9382192	0.6945328	0.0189312	0.4591729	0.8406707	0.0484424
