YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.9218150	0.7177412	0.4093218	0.1929746	0.6975437	0.4077122	0.8845969	0.5204616	0.8870143	0.5534277	0.3844066	0.7958517	0.9976860	0.2117557	0.9016150	1.0000000	0.9070699	0.6424641	0.9667467	1.0000000	0.1860899	0.7139861	1.0000000	1.0000000	0.6603834	0.0768950	0.3549153	0.8832634	0.2856384	0.4873264	0.8766287	0.7086163	0.1191524	0.2145537	0.6902648	0.9256910	0.6053956	0.5811158	0.7618602	0.4749906	0.9144470	0.9504431	0.0081980	0.1979327	0.9964077	0.4011473	0.0192465	0.4773104	0.1763950	0.0000028
1.0000000	0.6995819	0.6235350	0.0744261	0.9026764	0.3984584	0.7891149	0.3758368	1.0000000	0.4829523	0.4039542	0.7656149	0.9989681	0.1709785	0.8932963	1.0000000	0.8768052	0.9214897	1.0000000	1.0000000	0.1890261	0.7389223	1.0000000	1.0000000	0.7755593	0.2526094	0.1851018	0.8166847	0.2965505	0.5772139	0.9951742	0.7816831	0.0632931	0.3743427	0.5410901	0.5390843	0.6869257	0.5948492	0.7281556	0.6048388	0.9968052	0.5634977	0.0054511	0.3918351	0.9953932	0.7068549	0.0536060	0.5307146	0.5439284	0.0331676
1.0000000	0.8506263	0.4375928	0.0189974	0.7387403	0.0596668	1.0000000	0.4085268	0.6559752	0.5534086	0.4600306	0.7958963	0.9505690	0.1721632	0.9747758	0.9241381	0.6821705	0.4035119	0.9260969	1.0000000	0.2397233	0.2671961	0.9895643	0.7914799	0.7723357	0.7593538	0.1165340	0.9441702	0.5606585	0.4556392	0.9965529	0.8491058	0.1958589	0.0871192	0.3577749	0.9524066	0.4075731	0.8720571	0.6786079	0.5661226	0.9956101	0.7387953	0.0031711	0.6650254	0.9873753	0.5064225	0.0444562	0.3628095	0.5771418	0.0000022
0.9451606	0.7602659	0.5318431	0.1996569	0.7107510	0.0723646	1.0000000	0.4383546	0.9066073	0.5691723	0.7444628	0.7682294	1.0000000	0.1915199	0.6972693	1.0000000	0.9279672	0.9339669	1.0000000	0.5095503	0.2083826	0.4527768	0.8028652	1.0000000	0.6824429	0.6548406	0.0396663	0.8757577	0.5805367	0.5189335	0.9579770	0.5242608	0.1023015	0.6333031	0.7659973	0.5836189	0.2201562	0.9976546	0.8369098	0.4857588	0.9487664	0.7016959	0.0072172	0.5590786	0.9943062	0.7068217	0.0160088	0.4207211	0.2744667	0.0000031
0.9036719	0.6108074	0.4401174	0.0319276	0.8446386	0.5892755	1.0000000	0.4613572	0.9117285	0.4071707	0.6059068	0.9466599	0.9996344	0.2804122	1.0000000	0.7778185	0.7565372	0.5599974	0.8685075	1.0000000	0.1023798	0.3390350	0.7855202	1.0000000	0.6833715	0.5936396	0.0442722	0.9698593	0.5745277	0.5448320	0.9678055	0.9493301	0.2937762	0.3076730	0.9235117	0.8458525	0.7899854	0.9876053	0.6997190	0.4885372	0.8418414	0.5559449	0.0090817	0.2523298	0.9235861	0.6411405	0.0444562	0.6338378	0.5993105	0.0331717
1.0000000	0.7220962	0.6124304	0.3561026	0.7387425	0.2145015	1.0000000	0.2668196	1.0000000	0.5534155	0.3460313	0.7957750	0.8692212	0.2052368	0.8910025	1.0000000	0.9141188	0.8237759	1.0000000	1.0000000	0.2888749	0.6067544	1.0000000	1.0000000	0.6824429	0.2646538	0.2352573	0.8283495	0.7028764	0.1865499	0.9608752	0.8492089	0.3391301	0.4464325	0.8053510	0.7821873	0.5393953	0.9744581	0.8754812	0.5340598	0.9286855	0.5872747	0.0039181	0.6111956	0.9962195	0.5892937	0.0139352	0.4595501	0.5492318	0.0000037
1.0000000	0.8901140	0.4197375	0.2537203	0.8317364	0.0598036	0.9263062	0.1207309	1.0000000	0.3481150	0.5122677	0.5789963	0.8520572	0.2812446	1.0000000	1.0000000	0.7385025	0.9081992	1.0000000	0.6125027	0.2888749	0.1857230	1.0000000	1.0000000	0.8422774	0.2138752	0.0807666	0.4263172	0.2563557	0.7515619	0.9316717	0.9719658	0.0773569	0.3953291	0.9242003	0.7977482	0.2717794	0.9809575	0.7766914	0.5774519	0.9917865	0.5592912	0.0054511	0.4938331	0.9248154	0.7068244	0.0469977	0.6607079	0.1403442	0.0000157
0.7080168	0.4325624	0.9163967	0.5767453	0.5827787	0.4072500	0.5457365	0.8258508	1.0000000	0.5570812	0.8249225	0.7825683	0.9625684	0.2188693	0.7891401	0.6688770	0.5942751	0.5295384	1.0000000	0.6617135	0.2750153	0.0838209	0.9400712	1.0000000	0.7831275	0.8824175	0.4950820	0.9781173	0.5466261	0.4241201	0.9982749	0.8457568	0.2996043	0.4485010	0.7560825	0.9527769	0.2284744	0.8373413	0.7200089	0.7210400	0.9277130	0.5584802	0.0332814	0.4564471	0.9248154	0.5994590	0.0782139	0.5969308	0.4915409	0.0000027
0.7099153	0.3683514	0.9527094	0.3312983	0.6624982	0.4288853	0.6805804	0.4588475	0.7555643	0.5073017	0.1023432	0.8819073	0.9604754	0.1271972	1.0000000	0.9740580	0.8803021	0.8975622	0.8252670	1.0000000	0.1115877	0.6573302	0.7734772	1.0000000	0.5697500	0.0000300	0.5455219	0.9129527	0.5090175	0.3753078	0.6408444	0.8876985	0.1656257	0.0128549	0.4639309	0.9200943	0.7020798	0.9809891	0.7288715	0.4957922	0.8295669	0.8735998	0.0328054	0.0456232	0.9200421	0.4733249	0.0304977	0.3380973	0.7248467	0.0000037
0.7697542	0.6435780	0.6368382	0.1964012	0.5890770	0.1951524	1.0000000	0.3644015	1.0000000	0.5079844	0.4725474	0.8805521	0.8449651	0.1889238	1.0000000	1.0000000	0.9305022	0.9267361	0.5934567	1.0000000	0.3433667	0.6926942	1.0000000	0.8650560	0.3073899	0.4054883	0.0775243	0.6620230	0.7800847	0.5085856	0.9510205	0.8871893	0.5899715	0.5122299	0.7574996	0.3896012	0.4860309	0.8246001	0.7792654	0.5340598	0.9211391	0.8379996	0.0212301	0.6637636	0.9248154	0.7068156	0.0162640	0.4130298	0.8227187	0.0331668
0.7207902	0.5040709	0.8598264	0.2827948	0.6457902	0.3917459	1.0000000	0.4069225	0.9963116	0.4760897	0.2097653	0.6793776	0.8795434	0.2470686	1.0000000	1.0000000	0.3515210	0.6253145	0.9940835	0.7231576	0.2893869	0.8153047	0.5319137	1.0000000	0.6786350	0.5285736	0.2183908	0.7392693	0.2690497	0.6166510	0.7106496	0.9103995	0.3229042	0.1161918	0.4156408	0.9199382	0.6485447	0.9900678	0.5402054	0.5322467	0.9934365	0.8872312	0.0226163	0.4951765	0.9973896	0.7068158	0.0165706	0.5649123	0.5019688	0.0331679
0.6702175	0.3139784	0.9736673	0.1342226	0.4946078	0.2035745	1.0000000	0.4176003	0.9360165	0.5483965	0.4466400	0.8048412	0.9948036	0.2137432	0.6748159	1.0000000	0.4457439	0.3489913	0.9333535	0.6578896	0.0702096	0.6636143	0.8471706	0.7089649	0.6365825	0.2849685	0.6398608	0.8153876	0.8576601	0.3182282	0.9681183	0.7939127	0.0998676	0.6091743	0.8354242	0.9649735	0.5498897	0.9995506	0.5834578	0.5015082	0.8247960	0.5717440	0.0446611	0.0105971	0.9239646	0.4628129	0.0165978	0.5690582	0.6261027	0.0000034
1.0000000	0.7521076	0.5755895	0.1303639	0.7387410	0.0725126	0.8942462	0.4387131	0.7442443	0.4045601	0.5571238	0.6357453	0.8800164	0.2319855	1.0000000	0.7238506	0.8837897	0.6447141	0.9615829	1.0000000	0.2922976	0.1432558	0.8595008	1.0000000	0.6568125	0.6464179	0.3939179	0.8443684	0.3477361	0.6871118	0.9389621	0.5394215	0.1023735	0.0547291	0.8625066	0.9100380	0.2067056	0.8824003	0.7975484	0.5151227	0.9946377	0.5808325	0.0046497	0.5665080	0.9196807	0.6213292	0.0175254	0.5289261	0.2372876	0.0000094
1.0000000	0.8508589	0.4400084	0.4488469	0.7735487	0.2839593	1.0000000	0.2252828	0.9338779	0.4736356	0.1670047	0.6665648	0.9999998	0.1864876	1.0000000	1.0000000	0.6508819	0.5415605	1.0000000	0.6596671	0.2888749	0.4303103	1.0000000	0.8420947	0.7642228	0.0004830	0.1854376	0.6408521	0.3215432	0.4678857	0.6815775	0.8813100	0.0954770	0.1568527	0.7528471	0.9477043	0.1845443	0.7050085	0.7315525	0.5003798	0.9945885	0.5592912	0.0054511	0.6440482	0.9239326	0.7068197	0.0444562	0.4128742	0.3389220	0.0331680
1.0000000	0.7136283	0.6229035	0.0001947	0.8356388	0.6682837	1.0000000	0.1397272	1.0000000	0.3544951	0.4159805	0.9229024	0.9999983	0.2094264	1.0000000	1.0000000	0.7832117	0.5202772	0.4198509	0.7969486	0.3908935	0.8131030	1.0000000	1.0000000	0.1918096	0.1292706	0.0412829	0.5829269	0.6647346	0.4469525	0.9980128	0.9699721	0.8437084	0.1156812	0.8163247	0.0899581	0.5028083	0.8581064	0.7604732	0.5767394	0.9822770	0.8867232	0.0037111	0.7686808	0.9248154	0.6940614	0.0444562	0.5851555	0.8441876	0.0000116
0.5207875	0.1908556	0.9136611	0.1610291	0.6421291	0.4259761	0.9372744	0.1413353	0.7918625	0.3794523	0.7463505	0.6158419	0.9954832	0.2297292	1.0000000	0.9859767	0.8863359	0.6369998	1.0000000	0.9776509	0.1239475	0.7343467	1.0000000	0.9480099	0.6824429	0.7759450	0.0488883	0.3385155	0.2951087	0.7143918	0.9619438	0.9611204	0.2334860	0.0356860	0.8586912	0.7974086	0.7883846	0.9990403	0.7301471	0.6246538	0.9173397	0.5560299	0.1304474	0.5278572	0.9210845	0.7033350	0.0465835	0.5403748	0.5001532	0.0000057
1.0000000	0.6995819	0.6402774	0.0831768	0.8314766	0.0731811	1.0000000	0.2852235	1.0000000	0.5497654	0.5868221	0.8021560	0.8712346	0.2132332	1.0000000	1.0000000	0.5533599	0.5418158	1.0000000	1.0000000	0.2888749	0.2684945	0.9776071	1.0000000	0.7741857	0.6002989	0.3354819	0.8877287	0.6676134	0.3077720	0.9935639	0.8524841	0.0958205	0.4005300	0.8284010	0.9501151	0.7318053	0.9999387	0.7433959	0.5691653	0.9287945	0.5592912	0.0054511	0.6655348	0.9955428	0.5886895	0.0444562	0.4811727	0.6863074	0.0234912
1.0000000	0.6995819	0.4463280	0.1298080	0.7387403	0.1512981	0.9028405	0.1695147	0.9869921	0.5099116	0.2497426	0.8518005	0.8487508	0.2303093	1.0000000	1.0000000	0.8856632	0.6873931	0.9402917	0.9958910	0.2942998	0.6633140	0.9835503	0.6178215	0.7409253	0.3784937	0.3294354	0.4936364	0.7788005	0.1725888	0.7532387	0.7333176	0.3076657	0.1108488	0.6574499	0.9412244	0.2633822	0.9645468	0.7300002	0.5276311	0.9288993	0.5596364	0.0032112	0.5676458	0.9960612	0.5753893	0.0182909	0.7177111	0.1621835	0.0331667
1.0000000	0.8012418	0.5169410	0.1834031	0.7387425	0.3927332	1.0000000	0.5277573	1.0000000	0.4561923	0.3743365	0.9488413	0.9648808	0.2577688	1.0000000	1.0000000	0.8501928	0.5148261	1.0000000	1.0000000	0.2591917	0.7142896	0.8784281	1.0000000	0.7587154	0.2602472	0.0451107	0.9813312	0.6714666	0.5114539	0.8657384	0.9230452	0.2253637	0.2552181	0.7829498	0.6792199	0.8021979	0.9983442	0.7224603	0.5340598	0.9295363	0.9999024	0.0054511	0.4116847	0.9970634	0.7068156	0.0444562	0.6920744	0.0486097	0.0331687
0.9555871	0.7408449	0.3746102	0.6661085	0.7163905	0.3898842	0.9100263	0.0500586	0.9869735	0.4305990	0.3697793	0.8328413	0.9999992	0.2386907	1.0000000	1.0000000	0.4671950	0.7021269	0.7643260	1.0000000	0.3144714	0.2339482	1.0000000	1.0000000	0.4899410	0.0419442	0.4791004	0.1687102	0.5467804	0.3621808	0.8760156	0.9376484	0.1515413	0.1291924	0.8778735	0.5512111	0.6367357	0.6681851	0.5945269	0.5276218	0.9935792	0.6687082	0.0068285	0.6633502	0.9952108	0.5406207	0.0181175	0.5957867	0.1832074	0.0000060
0.6410511	0.5119840	0.8484604	0.3930043	0.5624094	0.2090928	1.0000000	0.3463051	1.0000000	0.3532306	0.5315835	0.9595942	0.8721067	0.2007853	1.0000000	1.0000000	0.8258680	0.8259138	0.9102051	1.0000000	0.2972679	0.2737623	1.0000000	1.0000000	0.6190867	0.4427126	0.5042336	0.6171816	0.4850681	0.2719777	0.9366460	0.6421718	0.3709472	0.1650004	0.4981410	0.8893800	0.2995868	0.8491886	0.7168382	0.5463847	0.9299272	0.5598377	0.0532044	0.5155051	0.9964874	0.7068156	0.0166776	0.4470912	0.0145961	0.0331773
0.8143933	0.6048768	0.7548320	0.2141748	0.7086655	0.5773973	1.0000000	0.7524979	0.8604019	0.5628267	0.6236483	0.7792692	0.9991891	0.1705785	1.0000000	1.0000000	0.4609177	0.5139057	1.0000000	0.6430118	0.2888749	0.5484954	1.0000000	0.9958818	0.7411038	0.4406034	0.2985641	0.8433897	0.7540826	0.3884937	0.9518440	0.7665305	0.0909732	0.1278737	0.5651631	0.6421603	0.4292886	0.9968690	0.5913479	0.4600121	0.9283908	0.6400606	0.0147214	0.6094719	0.9226607	0.7068256	0.0125241	0.7082306	0.6775241	0.0000033
0.8655546	0.6424572	0.7104172	0.3692798	0.7042566	0.3801368	0.9453458	0.3597575	0.7525837	0.5533861	0.1303228	0.7959072	0.9972290	0.2117386	0.9079811	1.0000000	0.9071144	0.5012944	1.0000000	1.0000000	0.0782526	0.4826061	1.0000000	1.0000000	0.6824429	0.1970321	0.1538855	0.7415806	0.5991925	0.5171833	0.9842973	0.8277905	0.2647197	0.1150613	0.8214037	0.9730166	0.5017540	0.6031274	0.7837530	0.4420167	0.9584816	0.9998917	0.0058270	0.0149778	0.9923795	0.5198062	0.0142533	0.4772024	0.2400180	0.0000026
0.8454628	0.6516977	0.6158446	0.2166958	0.7731010	0.6319120	1.0000000	0.5831232	1.0000000	0.4932247	0.4264100	0.7739112	0.9986534	0.1588352	0.6837995	0.8051434	0.8960493	0.4306013	1.0000000	1.0000000	0.2888749	0.3835249	1.0000000	1.0000000	0.7892955	0.2868933	0.0559016	0.8627472	0.2990917	0.5636177	0.9953159	0.6955209	0.1860373	0.0929623	0.6371626	0.9535238	0.5743070	0.9967023	0.8665247	0.7508583	0.9961600	0.5708132	0.0110121	0.4938330	0.9959843	0.6505288	0.0444562	0.3214717	0.1463428	0.0331673
