YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.0000007	0.0490510	0.9999766	0.4303975	0.0584827	0.3047533	1.0000000	0.3477023	1.0000000	0.5377255	0.5346686	0.8242081	0.9905461	0.2181110	1.0000000	1.0000000	0.8999903	0.6870078	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.2389510	0.1403334	0.5569882	0.5148333	0.9590163	0.8629356	0.3255872	0.1654149	0.8357521	0.9297232	0.4085750	0.9454848	0.7583011	0.5415601	0.9961292	0.6343702	0.9999994	0.5527374	0.9951959	0.7068156	0.0444562	0.4968301	0.8068932	0.0331660
1.0000000	0.0000034	1.0000000	0.1704565	0.7971883	0.3003904	1.0000000	0.3477025	1.0000000	0.5377254	0.5346686	0.8242083	0.9905461	0.2181110	1.0000000	1.0000000	0.8999905	0.6870078	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.1057799	0.7795747	0.5569882	0.5148331	0.9590163	0.8629355	0.3255872	0.1654148	0.8357518	0.9297232	0.6457836	0.9987838	0.7583011	0.5415601	0.9961292	0.6343702	0.0054511	0.5527374	0.9951959	0.7068156	0.0444562	0.4968298	0.3318220	0.0331660
1.0000000	0.7486291	0.0000004	0.1704568	0.7971883	0.3003904	1.0000000	0.3476999	1.0000000	0.5377254	0.5346686	0.8242029	0.9905462	0.2181129	1.0000000	1.0000000	0.8999885	0.6870070	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.1057802	0.7795762	0.5569882	0.5148350	0.9590163	0.8629397	0.3255869	0.1654161	0.8357565	0.9297232	0.6457836	0.9987838	0.7583017	0.5415601	0.9961292	0.6343702	0.0054511	0.5527374	0.9951959	0.7068156	0.0444562	0.4968357	0.3318220	0.0331660
1.0000000	0.7486291	0.5798312	0.0000017	0.7971883	0.3003904	1.0000000	0.3477024	1.0000000	0.5377263	0.5346686	0.8242089	0.9905461	0.2181105	1.0000000	1.0000000	0.8999900	0.6870076	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.0447075	0.7795741	0.5569882	0.5148338	0.9590163	0.8629346	0.3255870	0.1654152	0.8357523	0.9297232	0.6457836	0.9999999	0.7583008	0.5415601	0.9961292	0.6343702	0.0054511	0.5527374	0.9951959	0.7068156	0.0444562	0.4968302	0.3318220	0.0331660
1.0000000	0.7486291	0.5798312	0.1704565	0.0000042	0.7015614	1.0000000	0.3477023	1.0000000	0.5377256	0.5346686	0.8242081	0.9905461	0.2181110	1.0000000	1.0000000	0.8999902	0.6870077	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.1057799	0.1399398	0.5569882	0.5148334	0.9590163	0.8629356	0.3255872	0.1654150	0.8357522	0.9297232	0.4983908	0.9987838	0.7583011	0.5415601	0.9961292	0.6343702	0.0054511	0.5527374	0.9951959	0.7068156	0.0444562	0.4968303	0.3318220	0.0331660
1.0000000	0.7486291	0.5798312	0.1704564	0.7971883	0.0000025	1.0000000	0.3477027	1.0000000	0.5377257	0.5346686	0.8242090	0.9905461	0.2181106	1.0000000	1.0000000	0.8999905	0.6870078	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.1057798	0.7795743	0.5569882	0.5148332	0.9590163	0.8629348	0.3255872	0.1654148	0.8357516	0.9297232	0.2772501	0.9987838	0.7583009	0.5415601	0.9961292	0.6343702	0.0054511	0.5527374	0.9951959	0.7068156	0.0444562	0.4968294	0.3318220	0.0331660
1.0000000	0.7486291	0.5798312	0.1704565	0.7971883	0.0000015	0.0000000	0.3477025	1.0000000	0.5377254	0.5346686	0.8242083	0.8879752	0.2181110	1.0000000	1.0000000	0.8999905	0.6677822	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.2097402	0.7795747	0.3722799	0.5148331	0.9590163	0.8629355	0.3255872	0.1825163	0.8357518	0.9297232	0.2772501	0.9987838	0.7583011	0.5415601	0.9961292	0.6343702	0.0054511	0.5527374	0.9951959	0.9999999	0.9999802	0.4968298	0.3302404	0.0331660
1.0000000	0.7486291	0.5798312	0.1599138	0.7971883	0.3003904	1.0000000	0.0000049	1.0000000	0.5377255	0.5346686	0.8242081	0.9632399	0.2181110	1.0000000	1.0000000	0.8999903	0.6823379	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.1003101	0.1399501	0.5569882	0.5148333	0.9590163	0.8629356	0.3255872	0.1695791	0.8357521	0.9297232	0.6457836	0.9990676	0.7583011	0.5415601	0.9961292	0.6343702	0.0054511	0.5527374	0.9951959	0.7068156	0.0444562	0.4968301	0.3318220	0.0331660
1.0000000	0.7486291	0.5798312	0.2239515	0.7971883	0.3003904	1.0000000	0.5799698	0.0000000	0.5377256	0.1585820	0.8242081	0.9978236	0.2181110	1.0000000	1.0000000	0.8999902	0.6881996	1.0000000	1.0000000	0.2888749	0.6010238	1.0000000	1.0000000	0.7040237	0.0898067	0.1343908	0.8418864	0.5569882	0.5148334	0.6988418	0.8629356	0.3255872	0.1643510	0.8357522	0.9297232	0.9444881	0.9962309	0.7583011	0.0075002	0.9961292	0.6343702	0.0054511	0.5527374	0.0703806	0.9999997	0.0444562	0.4968303	0.3318220	0.0331660
1.0000000	0.7486291	0.5798312	0.1609801	0.7971883	0.3003904	1.0000000	0.1898387	1.0000000	0.0000001	0.5346686	0.6232158	0.9734511	0.9999996	1.0000000	1.0000000	0.1548865	0.6355105	1.0000000	1.0000000	0.2888749	0.4858823	1.0000000	1.0000000	0.7040237	0.3455792	0.1008637	0.5955947	0.5569882	0.9379036	0.9590163	1.0000000	0.0885707	0.6862659	0.9990299	0.9297232	0.6457836	0.9990411	0.3559470	0.5415601	0.9907269	0.6343702	0.0054511	0.5527374	0.9951959	0.7068156	0.0444562	0.9696979	0.3318220	0.9995953
