YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.9218161	0.7177786	0.4092805	0.1929311	0.6976059	0.4077119	0.8845969	0.5204013	0.8870145	0.5534073	0.3844066	0.7958054	0.9976851	0.2117699	0.9016150	1.0000000	0.9070668	0.6424600	0.9667467	1.0000000	0.1860900	0.7139816	1.0000000	1.0000000	0.6603845	0.0768955	0.3548344	0.8833046	0.2856400	0.4873282	0.8766288	0.7086593	0.1191438	0.2145561	0.6902897	0.9256951	0.6054366	0.5811330	0.7618663	0.4749922	0.9144475	0.9504431	0.0081974	0.1979907	0.9964077	0.4011474	0.0192466	0.4773432	0.1763949	0.0000038
1.0000000	0.6995832	0.6235323	0.0744265	0.9026643	0.3984589	0.7891149	0.3759344	1.0000000	0.4828684	0.4039530	0.7657043	0.9989682	0.1709726	0.8932964	1.0000000	0.8768584	0.9215132	1.0000000	1.0000000	0.1890264	0.7389253	1.0000000	1.0000000	0.7755592	0.2526008	0.1850973	0.8166457	0.2965528	0.5770514	0.9951739	0.7816617	0.0633013	0.3743168	0.5408235	0.5390839	0.6869182	0.5948560	0.7281565	0.6048388	0.9968074	0.5634977	0.0054511	0.3918867	0.9953932	0.7068549	0.0536052	0.5305576	0.5439283	0.0331676
1.0000000	0.8506252	0.4375948	0.0189871	0.7387433	0.0596673	1.0000000	0.4084673	0.6559754	0.5534146	0.4600330	0.7958627	0.9505663	0.1721692	0.9747759	0.9241382	0.6821634	0.4034948	0.9260969	1.0000000	0.2397232	0.2671866	0.9895643	0.7914799	0.7723362	0.7593635	0.1165301	0.9441278	0.5606560	0.4556638	0.9965532	0.8491315	0.1958542	0.0871241	0.3578100	0.9524079	0.4075760	0.8720579	0.6786095	0.5661239	0.9956097	0.7387953	0.0031711	0.6650254	0.9873755	0.5064228	0.0444562	0.3628557	0.5771416	0.0000026
0.9451609	0.7602756	0.5318278	0.1996392	0.7107719	0.0723653	1.0000000	0.4382837	0.9066073	0.5691523	0.7444612	0.7681557	0.9999999	0.1915374	0.6972693	1.0000000	0.9279570	0.9339621	1.0000000	0.5095520	0.2083826	0.4527964	0.8028653	1.0000000	0.6824429	0.6548091	0.0396456	0.8757549	0.5805367	0.5189500	0.9579760	0.5243058	0.1023007	0.6333062	0.7660599	0.5836189	0.2201723	0.9976629	0.8369113	0.4857593	0.9487660	0.7016959	0.0072170	0.5590921	0.9943062	0.7068217	0.0160089	0.4207797	0.2744667	0.0000035
0.9036723	0.6108329	0.4400930	0.0319443	0.8446555	0.5892728	1.0000000	0.4613745	0.9117286	0.4071678	0.6059071	0.9466585	0.9996344	0.2804172	1.0000000	0.7778188	0.7565333	0.5600023	0.8685075	1.0000000	0.1023798	0.3390298	0.7855203	1.0000000	0.6833728	0.5936434	0.0442807	0.9698907	0.5745280	0.5448207	0.9678058	0.9493356	0.2937724	0.3076692	0.9235193	0.8458553	0.7899930	0.9876054	0.6997546	0.4885376	0.8418416	0.5559449	0.0090814	0.2523453	0.9235861	0.6411417	0.0444562	0.6338568	0.5993102	0.0331717
1.0000000	0.7220979	0.6124269	0.3561083	0.7387574	0.2145034	1.0000000	0.2668593	1.0000000	0.5533528	0.3460284	0.7957515	0.8692307	0.2052522	0.8910026	1.0000000	0.9141470	0.8238071	1.0000000	1.0000000	0.2888749	0.6067547	1.0000000	1.0000000	0.6824430	0.2646470	0.2352481	0.8286837	0.7028745	0.1865329	0.9608715	0.8492574	0.3391423	0.4464104	0.8053019	0.7821885	0.5394183	0.9744780	0.8754849	0.5340599	0.9286867	0.5872748	0.0039181	0.6111924	0.9962195	0.5892938	0.0139364	0.4595052	0.5492315	0.0000062
1.0000000	0.8901125	0.4197401	0.2537198	0.8317346	0.0598044	0.9263062	0.1207026	1.0000000	0.3481416	0.5122677	0.5790125	0.8520549	0.2812181	1.0000000	1.0000000	0.7384163	0.9081928	1.0000000	0.6125040	0.2888749	0.1857240	1.0000000	1.0000000	0.8422773	0.2138759	0.0807664	0.4259852	0.2563563	0.7516169	0.9316718	0.9719498	0.0773366	0.3953815	0.9242185	0.7977479	0.2717782	0.9809579	0.7765684	0.5774519	0.9917852	0.5592912	0.0054511	0.4938337	0.9248154	0.7068244	0.0469976	0.6607296	0.1403442	0.0000161
0.7080173	0.4326047	0.9163571	0.5767022	0.5828548	0.4072496	0.5457365	0.8258222	1.0000000	0.5570931	0.8249222	0.7825372	0.9625683	0.2188743	0.7891401	0.6688771	0.5942644	0.5295282	1.0000000	0.6617139	0.2750153	0.0838238	0.9400712	1.0000000	0.7831275	0.8824138	0.4950049	0.9781722	0.5466272	0.4241478	0.9982748	0.8457763	0.2995994	0.4485081	0.7561175	0.9527768	0.2285205	0.8377791	0.7200103	0.7210400	0.9277124	0.5584802	0.0332795	0.4564489	0.9248154	0.5994598	0.0782134	0.5969657	0.4915408	0.0000029
0.7099167	0.3684507	0.9526466	0.3312598	0.6626265	0.4288858	0.6805804	0.4588259	0.7555645	0.5073173	0.1023440	0.8819160	0.9604729	0.1271931	1.0000000	0.9740580	0.8802996	0.8975523	0.8252671	1.0000000	0.1115875	0.6573176	0.7734773	1.0000000	0.5697524	0.0000303	0.5454691	0.9132097	0.5090175	0.3753223	0.6408463	0.8876814	0.1655862	0.0128558	0.4639423	0.9201082	0.7021507	0.9810587	0.7288693	0.4957933	0.8295610	0.8735998	0.0328008	0.0456391	0.9200422	0.4733250	0.0304973	0.3381003	0.7248462	0.0000041
0.7697546	0.6436012	0.6368024	0.1963973	0.5891314	0.1951525	1.0000000	0.3644111	1.0000000	0.5079882	0.4725474	0.8805627	0.8449646	0.1889196	1.0000000	1.0000000	0.9305051	0.9267392	0.5934568	1.0000000	0.3433662	0.6926685	1.0000000	0.8650560	0.3073923	0.4054887	0.0775162	0.6623555	0.7800834	0.5085829	0.9510162	0.8871766	0.5898540	0.5122274	0.7574796	0.3896827	0.4860704	0.8246023	0.7792632	0.5340598	0.9211390	0.8379994	0.0212292	0.6637231	0.9248154	0.7068156	0.0162641	0.4130114	0.8227184	0.0331668
0.7207916	0.5041533	0.8597252	0.2827954	0.6459213	0.3917456	1.0000000	0.4069241	0.9963116	0.4759666	0.2097655	0.6792947	0.8795448	0.2471155	1.0000000	1.0000000	0.3515525	0.6253453	0.9940835	0.7231586	0.2893869	0.8153038	0.5319139	1.0000000	0.6786351	0.5285737	0.2183332	0.7397492	0.2690501	0.6165511	0.7106557	0.9104839	0.3229477	0.1161684	0.4156162	0.9199386	0.6486317	0.9901061	0.5402489	0.5322467	0.9934409	0.8872312	0.0226132	0.4951762	0.9973896	0.7068158	0.0165707	0.5648532	0.5019685	0.0331679
0.6702181	0.3140278	0.9736459	0.1342155	0.4947007	0.2035746	1.0000000	0.4175783	0.9360165	0.5483939	0.4466394	0.8048190	0.9948031	0.2137484	0.6748159	1.0000000	0.4457411	0.3489874	0.9333535	0.6578901	0.0702096	0.6636178	0.8471706	0.7089650	0.6365828	0.2849599	0.6398527	0.8159056	0.8576591	0.3182376	0.9681170	0.7939300	0.0998639	0.6091763	0.8354400	0.9649735	0.5499461	0.9995518	0.5834597	0.5015083	0.8247940	0.5717440	0.0446582	0.0106055	0.9239646	0.4628129	0.0165979	0.5690758	0.6261025	0.0000035
1.0000000	0.7521075	0.5755897	0.1303113	0.7387477	0.0725106	0.8942462	0.4387208	0.7442447	0.4045715	0.5571276	0.6358652	0.8800114	0.2319337	1.0000000	0.7238516	0.8838751	0.6447491	0.9615829	1.0000000	0.2922974	0.1432435	0.8595010	1.0000000	0.6568136	0.6464562	0.3938711	0.8442129	0.3477399	0.6870079	0.9389668	0.5393818	0.1023693	0.0547121	0.8623134	0.9100447	0.2067104	0.8824049	0.7975077	0.5151260	0.9946392	0.5808324	0.0046497	0.5664959	0.9196810	0.6213338	0.0175255	0.5286562	0.2372874	0.0000104
1.0000000	0.8508578	0.4400104	0.4488493	0.7735499	0.2839594	1.0000000	0.2252934	0.9338779	0.4734961	0.1670051	0.6664718	0.9999998	0.1865288	1.0000000	1.0000000	0.6509157	0.5416198	1.0000000	0.6596683	0.2888749	0.4303104	1.0000000	0.8420947	0.7642228	0.0004834	0.1854350	0.6410428	0.3215423	0.4678012	0.6815813	0.8814026	0.0954853	0.1568302	0.7527479	0.9477041	0.1845451	0.7050212	0.7315696	0.5003801	0.9945927	0.5592912	0.0054511	0.6440474	0.9239326	0.7068197	0.0444562	0.4128047	0.3389220	0.0331680
1.0000000	0.7136283	0.6229034	0.0001949	0.8356384	0.6682835	1.0000000	0.1397293	1.0000000	0.3544949	0.4159805	0.9229020	0.9999983	0.2094274	1.0000000	1.0000000	0.7832044	0.5202714	0.4198509	0.7969487	0.3908930	0.8130873	1.0000000	1.0000000	0.1918105	0.1292709	0.0412830	0.5831173	0.6647340	0.4469564	0.9980126	0.9699731	0.8436527	0.1156844	0.8163413	0.0899727	0.5028080	0.8581065	0.7604715	0.5767394	0.9822768	0.8867229	0.0037111	0.7686511	0.9248154	0.6940614	0.0444562	0.5851690	0.8441875	0.0000116
