YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.2998141	0.2423953	0.6354362	0.2051735	0.3645318	0.2324771	0.8502860	0.2901988	0.7569185	0.4754676	0.4794196	0.6220345	0.7426160	0.0782194	0.5722702	0.7431925	0.6466734	0.5875397	0.7342701	0.7743752	0.2359000	0.3620555	0.8002282	0.6945681	0.4313293	0.3676131	0.1824396	0.3033929	0.4194995	0.2719757	0.7790592	0.6006824	0.2500767	0.1198181	0.4765341	0.8157435	0.3290415	0.6584575	0.6051298	0.3188656	0.8398483	0.4537178	0.0837718	0.3513005	0.7686990	0.5081929	0.0347937	0.2534125	0.2784483	0.0320564
0.5696799	0.2306903	0.7001683	0.1940199	0.5153618	0.2013920	0.7897046	0.2937997	0.7379433	0.4644695	0.3499095	0.7031769	0.6589656	0.1933331	0.8148490	0.6488850	0.6431149	0.4920834	0.8002030	0.6854037	0.1906415	0.3463144	0.7905907	0.8977327	0.5070996	0.1351255	0.1052238	0.4380321	0.3709619	0.3421516	0.7234260	0.5985568	0.3330439	0.1126075	0.5581989	0.7719874	0.5387467	0.8225395	0.4486264	0.4666671	0.8187669	0.4214212	0.0069219	0.3913768	0.7733251	0.5830118	0.0612167	0.3109067	0.1894154	0.0277424
0.6503302	0.5862147	0.1771543	0.1257793	0.6174820	0.2641723	0.8761412	0.4077729	1.0172706	0.5246196	0.4379309	0.5332267	0.6756801	0.1889924	0.7302405	0.8376706	0.5841263	0.6543762	0.6998760	0.7207099	0.2006581	0.3876356	0.8466125	0.7682440	0.5319276	0.2654321	0.0858533	0.5779657	0.3974241	0.4158414	0.7018811	0.6687978	0.2352039	0.0674995	0.7067977	0.6288548	0.4444254	0.8796951	0.5770565	0.4451637	0.8057513	0.4677599	0.0040418	0.2598910	0.7655333	0.5148796	0.0245091	0.3523109	0.3167806	0.0277906
0.7489898	0.4939915	0.3461059	0.0868293	0.5981567	0.1658861	0.8413633	0.2525294	0.6893667	0.4096000	0.4163711	0.5810135	0.5618651	0.2107614	0.6879548	0.6885693	0.6806824	0.5516992	0.6778290	0.6627244	0.2200556	0.4316865	0.7883615	0.6955870	0.4077703	0.2674275	0.0525560	0.4964711	0.3968809	0.3909838	0.7967958	0.5793928	0.2433820	0.1303911	0.7135596	0.6891355	0.4994751	0.7329385	0.6368476	0.5402710	0.6832403	0.4166278	0.0041441	0.4337632	0.7966998	0.5471264	0.0363763	0.4072057	0.2041956	0.0491948
0.8080996	0.6179727	0.4428319	0.1270682	0.2563224	0.2254139	0.8471442	0.2474682	0.8768884	0.4108107	0.4774818	0.6224185	0.7328612	0.1589631	0.6741968	0.7985040	0.6962311	0.4602466	0.7327186	0.8053743	0.1828564	0.4156633	0.8801713	0.7681563	0.4961649	0.2604771	0.1036937	0.2217432	0.5379112	0.5764956	0.7223469	0.6967437	0.2651973	0.1516037	0.5992736	0.7269365	0.3290907	0.8354860	0.5891217	0.3436721	0.7916347	0.4566969	0.0001365	0.3183514	0.6786714	0.4475751	0.0310634	0.3688842	0.2614187	0.0292192
0.8889606	0.5428361	0.4124320	0.1425977	0.6382095	0.1170887	0.8324831	0.2687284	0.7996306	0.2619301	0.5214525	0.7106991	0.7665047	0.0909782	0.7195787	0.6408379	0.6284193	0.6231018	0.7155671	0.7244303	0.2599472	0.3382197	0.6084315	0.8288558	0.5540215	0.3932258	0.0937777	0.4890177	0.4103835	0.3387064	0.6485300	0.5893696	0.2465359	0.0863115	0.4812542	0.7369678	0.3377669	0.6343742	0.5296826	0.3834052	0.8191757	0.5545551	0.0122439	0.5365621	0.6987248	0.5114059	0.0460003	0.3386030	0.2539850	0.0081735
0.8270005	0.5897592	0.3206272	0.1095952	0.5782192	0.1385465	0.3930789	0.2159129	0.7494525	0.3595244	0.4225119	0.6339122	0.8464328	0.1509900	0.8915048	0.7077362	0.8362429	0.6750685	0.6548940	0.6877396	0.2523006	0.4154160	0.6661781	0.6158632	0.6341953	0.2751184	0.0983362	0.6140344	0.2632156	0.3732367	0.6561789	0.7473068	0.3088029	0.1473289	0.5427227	0.7490963	0.3111037	0.7609863	0.5864268	0.4375046	0.8375011	0.4518503	0.0023106	0.3990789	0.6427062	0.6461219	0.0651884	0.3151626	0.2291335	0.0317306
0.6373861	0.5847410	0.3900960	0.1197342	0.5650077	0.2445020	0.9038395	0.1313711	0.6984910	0.4397630	0.3687674	0.7346117	0.9553459	0.2099272	0.6502106	0.7201823	0.6403260	0.4450734	0.7179674	0.8210084	0.2146783	0.3200000	0.6573717	0.6965792	0.5038166	0.1426495	0.0649702	0.4803472	0.4423548	0.3261766	0.7642623	0.5214071	0.1498601	0.1650365	0.5089801	0.7149300	0.4599688	0.6813159	0.6634688	0.2733426	0.8007287	0.4640135	0.0075675	0.3878846	0.8367791	0.4722168	0.0346988	0.4547962	0.2300642	0.0308994
0.6752573	0.5737288	0.4338387	0.1867673	0.5213633	0.3156060	0.8313957	0.2965795	0.3258325	0.4149265	0.2853862	0.6341784	0.7882615	0.1433708	0.8883132	0.8873302	0.5615223	0.5515728	0.7941283	0.7724969	0.2301734	0.4712883	0.6677962	0.7295943	0.4539342	0.0975705	0.1195420	0.5804100	0.3707096	0.3409441	0.6328847	0.5738892	0.2071426	0.1187435	0.6831160	0.5612726	0.4242729	0.7233905	0.5124255	0.2345506	0.6765721	0.4776337	0.0133568	0.4950230	0.6422790	0.5354413	0.0145824	0.2814194	0.2268819	0.0407476
0.6229154	0.5202661	0.4362086	0.1089402	0.6841428	0.2174685	0.7766921	0.1973134	0.7024181	0.1671735	0.3408459	0.4197688	0.7144591	0.2991573	0.7572082	0.6018457	0.5305739	0.5489815	0.7515554	0.7580459	0.2307297	0.4194871	0.6639000	0.7624061	0.4532263	0.1424104	0.1213064	0.6379505	0.4022457	0.4963461	0.6947855	0.8625618	0.1564372	0.2451914	0.7642671	0.7482659	0.3944188	0.6395227	0.5185183	0.3608930	0.8147870	0.4905314	0.0013848	0.3867505	0.5680511	0.5608573	0.0365030	0.5430252	0.2187578	0.0420471
