YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.0000000	0.0220461	0.8049147	0.4082052	0.0516528	0.1877050	0.7989231	0.2669284	0.6111838	0.4038899	0.4160042	0.5359974	0.7337844	0.1535876	0.5196124	0.7741359	0.7470588	0.5104647	0.7562952	0.8745115	0.2503281	0.3441072	0.7689902	0.7283369	0.4250157	0.3319015	0.2315111	0.1452477	0.3518154	0.3483752	0.7535399	0.7198638	0.2536139	0.1518220	0.6395518	0.6927966	0.2250369	0.7981585	0.6240552	0.4036738	0.8404888	0.4211596	0.8207433	0.5329542	0.7409217	0.4051260	0.0371783	0.4653851	0.6602607	0.0205326
0.7904301	0.0000000	0.7352400	0.1600533	0.6064105	0.1643051	0.6719921	0.2486031	0.7176314	0.3679717	0.3722822	0.6241040	0.6182532	0.1456719	0.7081854	0.5277790	0.5864600	0.5156552	0.8674453	0.6562268	0.1995190	0.3567353	0.6790156	0.5751617	0.4924514	0.3433378	0.0935056	0.5371110	0.3601187	0.3813810	0.7745303	0.6738068	0.2066585	0.1207163	0.4602659	0.7523246	0.4505456	0.7623450	0.5633460	0.3805634	0.8393244	0.3878897	0.0199413	0.4177218	0.6583143	0.5412916	0.0402296	0.3012077	0.3058926	0.0336780
0.8702566	0.5706544	0.0006677	0.0819184	0.7026724	0.1737322	0.7531153	0.3067671	0.6518615	0.3630155	0.3994032	0.6254304	0.6742527	0.2246151	0.8662057	0.7323469	0.6028134	0.4677142	0.7538137	0.8400803	0.1789688	0.4192796	0.6330739	0.7570278	0.5317468	0.2597652	0.1215515	0.5427262	0.2671015	0.3684234	0.6324371	0.5480442	0.2903717	0.1271165	0.6419599	0.6930111	0.5161543	0.7413236	0.4947755	0.4087690	0.7162693	0.4547727	0.0097669	0.2499120	0.9181388	0.4604924	0.0297733	0.3389729	0.2369543	0.0485282
0.8924952	0.6793655	0.3967665	0.0000000	0.6521331	0.2276391	0.7879307	0.2678047	0.6136693	0.3892333	0.3763591	0.7259095	0.7059495	0.2068611	0.7157103	0.6373009	0.5490416	0.5307167	0.6994084	0.8259299	0.1959640	0.3972025	0.7818137	0.7485615	0.4241974	0.1713850	0.0299708	0.5531821	0.4446678	0.3454889	0.7596427	0.5774979	0.2686694	0.1169854	0.6006785	0.6645743	0.4976020	0.7565665	0.5811785	0.3007356	0.7227442	0.4386597	0.0207445	0.3357113	0.6405289	0.5200120	0.0291261	0.3577598	0.1795319	0.0142718
0.8454703	0.6103570	0.4339004	0.1241837	0.0001521	0.6102467	0.7688966	0.2899741	0.7029449	0.3061336	0.4095740	0.6162759	0.7674118	0.2116927	0.6186791	0.6495232	0.8078256	0.5103400	0.7422165	0.6530231	0.1451807	0.3681602	0.6241475	0.6590226	0.5412637	0.2642654	0.1203140	0.0965908	0.3482660	0.3877117	0.7018569	0.6459477	0.2600378	0.1373817	0.6542884	0.5135331	0.5163353	0.7576256	0.6026143	0.3775312	0.7747901	0.5358071	0.0012754	0.4913040	0.8304193	0.5015477	0.0230684	0.3772331	0.1611411	0.0219230
0.6023870	0.4615119	0.3617909	0.2066712	0.5257386	0.0000000	0.7048299	0.3226610	0.7185377	0.3875370	0.4096734	0.5468727	0.9333960	0.1992450	1.0106914	0.7541958	0.7512861	0.5410348	0.6504813	0.6302039	0.2517194	0.3909845	0.7666350	0.7825279	0.5739044	0.3131974	0.1226653	0.6176100	0.4958854	0.4433439	0.7263602	0.6128308	0.2804640	0.1055385	0.5968314	0.6484670	0.1911227	0.7267242	0.5887924	0.4020398	0.6944192	0.4993353	0.0172469	0.4710742	0.8409413	0.4757318	0.0253943	0.3908633	0.3002581	0.0301904
0.7341132	0.5032797	0.4863818	0.0795898	0.5615739	0.0017036	0.0000000	0.2103546	0.7510769	0.3760474	0.4219474	0.6797951	0.6367394	0.1163789	0.7952632	0.6713544	0.5794311	0.6346247	0.7147236	0.7459480	0.2196258	0.3861616	0.7290022	0.7135672	0.5597428	0.3125421	0.2426986	0.4640180	0.2676154	0.3837418	0.8532924	0.7329136	0.2088308	0.1871609	0.7374552	0.6313201	0.3282593	0.7090876	0.6454858	0.4114709	0.6683730	0.5233817	0.0003411	0.3570131	0.7416563	0.7119657	0.8901919	0.4000954	0.2339221	0.0336184
0.6916293	0.5769569	0.4293291	0.1283868	0.5937560	0.2532000	0.7272134	0.0000000	0.6715447	0.4510178	0.3129533	0.6437198	0.6762834	0.1397520	0.8488066	0.8153480	0.6412457	0.5425341	0.6079196	0.5960500	0.2334962	0.4345426	0.7285889	0.7568466	0.5110874	0.2458183	0.0724187	0.1157971	0.3943056	0.2730693	0.7702264	0.7014422	0.2459824	0.1324896	0.7736605	0.5611134	0.4938816	0.7152462	0.4477465	0.4238443	0.7448553	0.4574150	0.0028555	0.3182781	0.8128508	0.6133715	0.0268187	0.5429038	0.2426303	0.0346358
0.6569743	0.5271885	0.5838449	0.1547431	0.6153794	0.2200284	0.6932060	0.5503518	0.0000000	0.6184757	0.1027318	0.5619727	0.7616875	0.1651935	0.8662580	0.6174920	0.5229838	0.5740183	0.7829437	0.7555414	0.2252151	0.4866509	0.7764446	0.6464267	0.5362342	0.0874447	0.1283675	0.4859180	0.3212056	0.3678908	0.5651969	0.6237619	0.2386065	0.1805916	0.5409767	0.6456149	0.6901356	0.6388522	0.5037705	0.0044073	0.6740300	0.5529678	0.0020332	0.4087972	0.0588415	0.6016189	0.0413112	0.4374688	0.2764970	0.0225411
0.7049634	0.6641625	0.3317450	0.1113404	0.5691278	0.1783925	0.8504753	0.1071579	0.7578138	0.0000000	0.3138965	0.4092045	0.7687650	0.7142574	0.7810295	0.6952208	0.1393163	0.5006140	0.6322590	0.8216417	0.1847204	0.3625156	0.7530493	0.6554737	0.4978410	0.1929279	0.0807224	0.3743695	0.3853990	0.6852760	0.6255842	0.7319546	0.0837399	0.5340847	0.7778158	0.7410499	0.4008005	0.8343819	0.3050990	0.3891299	0.7747125	0.4805631	0.0047584	0.4003016	0.6696184	0.4064146	0.0180733	0.6693445	0.2499451	0.7604520
