YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.7672586	0.5467171	0.2599185	0.1478001	0.4425433	0.4109482	0.5874426	0.3286077	0.6014239	0.4529820	0.3045309	0.5589436	0.7563018	0.2041270	0.6705257	0.7878469	0.7060380	0.4722594	0.6770981	0.7269903	0.1816030	0.5826395	0.7540275	0.6572139	0.5310977	0.0837372	0.3594252	0.7103308	0.2187282	0.4464417	0.7037911	0.6259824	0.0513936	0.1495124	0.5071567	0.6936162	0.5223595	0.4440470	0.6618436	0.2411601	0.6351880	0.7008689	0.0105629	0.1453723	0.7979689	0.2740814	0.0174076	0.3910875	0.1280003	0.0001672
0.7515172	0.6731466	0.4468833	0.0367210	0.5293317	0.3291980	0.6091590	0.2916639	0.7984593	0.2938071	0.2241088	0.5861592	0.6192499	0.1265937	0.6608384	0.7955571	0.6196094	0.7332014	0.8401331	0.6167525	0.1793996	0.4801907	0.7208799	0.7513397	0.6007956	0.2059149	0.1286823	0.5319253	0.2670140	0.4565834	0.5862253	0.6466193	0.0311584	0.2534893	0.3625570	0.3388033	0.3857073	0.5663272	0.4793645	0.4441804	0.6903929	0.4089359	0.0149840	0.3036373	0.8479700	0.4804757	0.0699114	0.4363414	0.3365523	0.0109419
0.8152180	0.5163182	0.3266425	0.0093360	0.5406958	0.0240984	0.7878843	0.3557254	0.4724526	0.4589053	0.4835491	0.6507900	0.7082555	0.0774542	0.6308220	0.5860511	0.5165685	0.3218398	0.8384195	0.7370010	0.1968955	0.1447600	0.6980952	0.6597376	0.6589148	0.5324391	0.0674939	0.6528132	0.4601366	0.3551780	0.6077667	0.5646092	0.1774982	0.0485654	0.1836479	0.6690593	0.2801548	0.5106416	0.5990020	0.3853222	0.9024744	0.6387862	0.0024524	0.4599496	0.7042767	0.3154967	0.0308187	0.2491381	0.3519159	0.0067277
0.6898545	0.7008684	0.3728272	0.1119430	0.5048424	0.0497728	0.9072232	0.2626277	0.6914408	0.3395278	0.5513615	0.6373260	0.6705136	0.1812452	0.4776809	0.7438611	0.6217449	0.6316934	0.6118194	0.4106731	0.1359872	0.3263903	0.6072205	0.6714425	0.4757941	0.4648786	0.0347604	0.6260014	0.4391229	0.4445093	0.6700982	0.3536510	0.0537513	0.4789632	0.6227011	0.3641523	0.1812149	0.8036817	0.6265816	0.3022631	0.6414443	0.5458442	0.0040469	0.4393900	0.7697621	0.5142020	0.0115923	0.2832463	0.2030071	0.0024341
0.8058113	0.5012460	0.2818461	0.0217869	0.7483722	0.4148092	0.8173405	0.4007134	0.7593848	0.2524782	0.5461937	0.6343429	0.7734269	0.1881386	0.7838422	0.4379773	0.4754319	0.3687320	0.6998244	0.6902147	0.0945017	0.1741259	0.5457857	0.7031562	0.5953081	0.5414568	0.0480994	0.8290210	0.4108745	0.3978123	0.8699412	0.6416976	0.2838064	0.2103198	0.6612010	0.6945473	0.5830741	0.6737851	0.5109361	0.2910550	0.6071716	0.4877551	0.0142334	0.1788583	0.6442349	0.4728684	0.0247660	0.5719548	0.4830572	0.0276238
0.7821928	0.5344037	0.4531595	0.2307920	0.5626071	0.1600147	0.8667612	0.1947731	0.7013019	0.4359691	0.1753502	0.5717494	0.5437575	0.1593226	0.6177356	0.6912375	0.6348668	0.4958859	0.7661566	0.7075155	0.2552544	0.5722503	0.7154849	0.7986440	0.4416551	0.1452607	0.1632028	0.5320727	0.5855628	0.1445330	0.6190390	0.6128499	0.1766459	0.3863328	0.6921603	0.6559141	0.4440088	0.8103507	0.5830644	0.3834332	0.6441685	0.4665673	0.0034404	0.6204922	0.6783856	0.4313031	0.0030914	0.3125938	0.4434440	0.0003131
0.7085232	0.6242183	0.3017504	0.2400802	0.5854608	0.0608506	0.6684345	0.1561477	0.7681078	0.2681901	0.4185870	0.4755234	0.6424829	0.3205319	0.7418599	0.5564645	0.5014218	0.7407374	0.7364858	0.5318972	0.2816334	0.2261795	0.7660351	0.8583117	0.6576498	0.1298679	0.1027493	0.4615963	0.1378073	0.5120839	0.6609740	0.7179784	0.0501639	0.3757297	0.6885876	0.6663019	0.2153629	0.7240876	0.6063362	0.4107159	0.6503690	0.4411805	0.0048397	0.3512236	0.6783739	0.4693547	0.0581910	0.5394496	0.0679458	0.0002260
0.5761163	0.2681634	0.5741482	0.4494805	0.3595332	0.2708046	0.4366396	0.6877847	0.8791814	0.4564973	0.4974243	0.6628324	0.7463175	0.2096184	0.5609141	0.3939711	0.4192287	0.4102257	0.7123013	0.6607943	0.1972941	0.0824458	0.5768214	0.9022347	0.5685969	0.6786453	0.3152321	0.7134233	0.3765206	0.4139780	0.6586148	0.5144581	0.2599904	0.3959063	0.5221654	0.7435023	0.2022017	0.5432325	0.6078439	0.5691411	0.6354031	0.4696847	0.0294093	0.3041884	0.7168794	0.4117981	0.0465333	0.4217489	0.3017029	0.0008002
0.4203827	0.1546507	0.6934678	0.2127669	0.3924144	0.3673316	0.4792828	0.3446981	0.7258781	0.3714845	0.1582797	0.6858078	0.7079670	0.0491149	0.7679597	0.7681872	0.6153229	0.6850275	0.6085760	0.6209877	0.1024639	0.4891000	0.7372371	0.7611539	0.4361773	0.0006424	0.4225626	0.6016342	0.3782846	0.2824970	0.5071734	0.5238438	0.1636851	0.0033889	0.1732509	0.6901232	0.6093301	0.6412274	0.7023674	0.4881135	0.5921012	0.6250653	0.0290326	0.0700909	0.7529664	0.3504400	0.0404373	0.1642196	0.4847761	0.0000091
0.5942305	0.4999603	0.4959525	0.1587818	0.3576589	0.1709646	0.7665236	0.1711556	0.7141214	0.3240962	0.4103205	0.7129351	0.5786017	0.1484413	0.9091841	0.7261615	0.6493321	0.7069626	0.4853416	0.6760563	0.2136758	0.4292992	0.7711464	0.6196838	0.2257661	0.3391081	0.0504028	0.3773396	0.6348220	0.3191786	0.7533022	0.6230904	0.4818809	0.3865655	0.5538013	0.2503021	0.4018573	0.5644904	0.5582665	0.3649033	0.6163574	0.6245165	0.0360816	0.4808195	0.6761341	0.4810202	0.0078192	0.3596811	0.6154945	0.0635529
