YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.3098160	0.5144579	0.6959950	0.0077119	0.3356704	0.7302833	0.1545332	0.0315660	0.3742661	0.6238249	0.4562129	0.7580893	0.7226550	0.1392098	0.7368149	0.5956565	0.7028324	0.2672564	0.6675200	0.7656301	0.3096221	0.6387273	0.7741164	0.0400125	0.7770219	0.5190250	0.8160532	0.7633177	0.5198614	0.7100021	0.5639354	0.0179405	0.1264208	0.5882041	0.3401408	0.1666230	0.1394501	0.0667823	0.1833987	0.6470644	0.0534221	0.2049272	0.0608272	0.4141665	0.2230448	0.4412801	0.5915071	0.6112398	0.0385281	0.5870774
0.6634862	0.2532736	0.7439151	0.0057977	0.4383701	0.8431926	0.1804201	0.0546660	0.3698309	0.5551019	0.5717588	0.7871860	0.6869390	0.1922401	0.7350954	0.6741055	0.7223386	0.1972542	0.6371546	0.7578444	0.2696063	0.6238850	0.6384993	0.1216131	0.7645631	0.6788663	0.6986922	0.6728817	0.3146038	0.6000169	0.5527333	0.0246142	0.1163143	0.7133340	0.3199022	0.1483561	0.0687980	0.0210081	0.1684185	0.7233659	0.4807311	0.2117046	0.0452736	0.3786754	0.6027305	0.2979498	0.6392944	0.6403612	0.0469393	0.6468213
0.6006939	0.4294558	0.3986921	0.0156885	0.3607326	0.7364884	0.1891936	0.0575756	0.3889674	0.4716972	0.5105925	0.6588206	0.6882968	0.2968979	0.6983093	0.6840576	0.7358128	0.2845705	0.6556291	0.7743135	0.3148426	0.5143704	0.6359299	0.0512642	0.7872276	0.5951466	0.6361898	0.7532124	0.3949902	0.7351509	0.6304734	0.0152175	0.1985868	0.7888419	0.3694589	0.0851932	0.0623306	0.0383656	0.1474083	0.6015072	0.3553158	0.1729362	0.0528334	0.1217922	0.4897718	0.3179669	0.7064175	0.6153176	0.0268545	0.8100916
0.5771540	0.4481082	0.6932784	0.0068512	0.3790809	0.6309743	0.1888049	0.0750461	0.3054049	0.5777211	0.4584404	0.7148305	0.5293355	0.1134333	0.6647003	0.7676908	0.6771500	0.2600031	0.7786255	0.7067144	0.2191766	0.6459285	0.6964159	0.0905116	0.5874175	0.4796154	0.6308652	0.7724152	0.4410628	0.6579585	0.6913724	0.0350190	0.2199052	0.7998723	0.3038056	0.2242269	0.1518767	0.0426878	0.1431118	0.4964947	0.5670629	0.1810421	0.0539416	0.3565330	0.5315803	0.4363597	0.6246972	0.7414119	0.0283652	0.6229901
0.5050630	0.3435465	0.6677231	0.0086815	0.1929754	0.6691697	0.2117359	0.0384796	0.3882497	0.4862193	0.4009234	0.7566629	0.6681632	0.2293536	0.6976744	0.7111664	0.7214442	0.3388083	0.8281316	0.6396117	0.2131161	0.6175206	0.8083219	0.1030865	0.7557638	0.7826149	0.5936717	0.6436828	0.5252349	0.7748382	0.7045459	0.0313217	0.1576912	0.7633062	0.4037634	0.2464804	0.0813256	0.0367573	0.1830567	0.5826445	0.3085002	0.2121928	0.0256288	0.3724777	0.5834729	0.4772558	0.6461880	0.7085222	0.0646886	0.6806220
0.5721626	0.4566788	0.6872171	0.0777243	0.5280911	0.2872534	0.2423657	0.2564558	0.3535656	0.5952444	0.4502424	0.6951798	0.8299162	0.2135754	0.7654374	0.7889726	0.6921095	0.3512150	0.6973199	0.6564158	0.2270760	0.3241144	0.6868155	0.0862859	0.7008788	0.4337681	0.6151155	0.6891732	0.4534517	0.6929349	0.6968832	0.0820145	0.1263144	0.7586035	0.3438182	0.1725991	0.0736875	0.0287323	0.2295629	0.5734629	0.4427038	0.1658170	0.0396208	0.3806783	0.4588682	0.3863924	0.6223600	0.8146205	0.6202921	0.5698847
0.5260776	0.5714760	0.6594208	0.0238234	0.3596589	0.8335398	0.0831449	0.0777501	0.4215639	0.4912014	0.4068532	0.8102846	0.7252121	0.1711301	0.6259630	0.6529380	0.7550494	0.2878750	0.7974187	0.7485418	0.2616048	0.6473914	0.7027076	0.1346346	0.6628205	0.5212347	0.6567031	0.7331671	0.4703145	0.7043565	0.7203291	0.0082432	0.1383073	0.7077660	0.3300106	0.1866707	0.0730914	0.0438952	0.1907169	0.6285045	0.3942811	0.2902964	0.0475168	0.4921338	0.6551350	0.3898855	0.5787319	0.6869278	0.0315679	0.5265014
0.5040412	0.5472534	0.7604276	0.0071495	0.3132110	0.6802082	0.1825585	0.0269977	0.4472234	0.3987449	0.5387497	0.8356784	0.6468339	0.1898626	0.7587307	0.7399004	0.6427411	0.3379076	0.7220492	0.6450726	0.3479213	0.5403774	0.7815627	0.0586439	0.7272505	0.5499542	0.7601984	0.6389631	0.3810515	0.6403074	0.6649942	0.0358810	0.0825082	0.7706309	0.4075378	0.0876272	0.0818945	0.0191026	0.1972333	0.6258364	0.3362406	0.2546917	0.0487490	0.3646247	0.3814770	0.3875691	0.4976184	0.7244029	0.0440431	0.7122913
0.6053293	0.5060956	0.6829458	0.0758431	0.3525345	0.6299048	0.2853453	0.0571208	0.1580893	0.5832748	0.4984394	0.7183659	0.7696652	0.2728221	0.7385851	0.9435527	0.6073685	0.3629176	0.6816120	0.7529572	0.2225217	0.5857952	0.6911723	0.0822093	0.6254413	0.7759053	0.6428555	0.6020208	0.4263777	0.7776063	0.6052871	0.0250423	0.1421114	0.6959867	0.2587546	0.0803703	0.0650206	0.0496797	0.2005854	0.6117306	0.2102872	0.3440094	0.0250390	0.4422325	0.4289967	0.3769396	0.6926338	0.7550225	0.0266359	0.6463408
0.5474531	0.3654599	0.5911338	0.0048228	0.3907804	0.7128773	0.2551887	0.0651748	0.4348375	0.3249603	0.2909639	0.7012704	0.6547804	0.0871510	0.7109469	0.8702203	0.6634769	0.2165917	0.7488869	0.5984004	0.3075967	0.5841465	0.6441635	0.1054845	0.7920319	0.5267749	0.8808698	0.6999942	0.3888768	0.7165976	0.6808283	0.0158083	0.1100429	0.7709753	0.4050574	0.1069605	0.0906756	0.0346347	0.1639660	0.6738828	0.4982815	0.3668261	0.0570929	0.3528837	0.5273440	0.4727009	0.6498549	0.7666887	0.0639377	0.6555504
