YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.0000000	0.6262685	0.7826622	0.0104325	0.4067367	0.6445694	0.2038242	0.0482692	0.4109595	0.6303779	0.5233663	0.6268013	0.7551520	0.2214982	0.7928068	0.5828965	0.5358030	0.4161879	0.6990142	0.6426891	0.2522108	0.6947560	0.7206619	0.1212173	0.6670374	0.5466316	0.7428455	0.6346571	0.3816683	0.6616438	0.7102742	0.0208634	0.1675353	0.7958910	0.4275190	0.0879131	0.0392506	0.7456291	0.1851686	0.5913745	0.0043958	0.1812848	0.0228534	0.4511313	0.5933154	0.3715772	0.7227476	0.6898539	0.0466848	0.6764208
0.6525276	0.0000000	0.7117329	0.0371883	0.4151631	0.8114473	0.1406616	0.0328169	0.3951510	0.4833667	0.6872451	0.6927888	0.7996552	0.2290505	0.6314972	0.7621823	0.7504228	0.0793474	0.5709357	0.7697752	0.2939965	0.5706796	0.7523793	0.0853989	0.6313381	0.5707116	0.6732532	0.7632166	0.4369635	0.7078098	0.5426898	0.0195483	0.1129149	0.7567015	0.2782861	0.1274276	0.1286768	0.0600762	0.0649316	0.6377668	0.4647510	0.2078414	0.0275483	0.3507297	0.5344138	0.3768362	0.6643690	0.7850917	0.0285450	0.6368369
0.5737179	0.4411350	0.0000000	0.0021968	0.3700319	0.7486062	0.2059887	0.0343125	0.3839868	0.5412430	0.4872409	0.8002674	0.6956478	0.1451481	0.6035858	0.7075961	0.7106950	0.2779754	0.7959124	0.7335146	0.3097030	0.6095650	0.7420383	0.0950890	0.6266088	0.5693108	0.7188856	0.6241504	0.3869618	0.6481056	0.6583311	0.0257105	0.1106107	0.7234209	0.2898978	0.1272443	0.0719305	0.0217358	0.1724107	0.7974795	0.4246221	0.1965475	0.0377456	0.0383216	0.5122400	0.3923394	0.5763608	0.5561017	0.0264170	0.5863566
0.5712087	0.4622366	0.7069072	0.0000000	0.2755428	0.6461065	0.2241903	0.0489439	0.4152506	0.6096670	0.4578060	0.7749971	0.7519823	0.2657467	0.7239174	0.6813969	0.5423141	0.2578193	0.6436555	0.7470803	0.3372904	0.6856353	0.8371632	0.0551887	0.7461258	0.5530915	0.6698919	0.6758601	0.4461268	0.7046661	0.6123786	0.0198848	0.1832692	0.5736747	0.3474264	0.1622481	0.1159353	0.0171668	0.1421426	0.5141685	0.3571015	0.2472141	0.0661010	0.3945712	0.6017157	0.3893314	0.6044276	0.6558463	0.0229755	0.5970613
0.5779845	0.4352906	0.7638726	0.0222385	0.0000000	0.7220505	0.2349488	0.0579736	0.5125975	0.6519092	0.4822507	0.6818742	0.6794635	0.1463987	0.7111847	0.6708965	0.6737609	0.2403506	0.6683005	0.7404419	0.2981205	0.6091871	0.6475677	0.0830899	0.7345662	0.5478424	0.6812543	0.7139425	0.4867648	0.7281830	0.6766310	0.0146218	0.1665281	0.6437566	0.3601157	0.1529738	0.0868226	0.0480338	0.1564590	0.6875828	0.2013749	0.1705750	0.0566354	0.4900428	0.5874949	0.3960030	0.5137174	0.7645021	0.0531948	0.5615930
0.6570425	0.4611620	0.6749599	0.0598955	0.4596687	0.0000000	0.4628617	0.8265566	0.3647823	0.4928037	0.4615310	0.6675935	0.6549685	0.2430214	0.6554228	0.6337085	0.7983496	0.3171416	0.6656209	0.6757219	0.3415662	0.4912146	0.7615212	0.1300745	0.6731310	0.6319466	0.2650416	0.7544280	0.0751120	0.6057085	0.7180571	0.1155893	0.1653884	0.8585420	0.5246139	0.0933008	0.0960610	0.0703240	0.1806461	0.7381798	0.3413220	0.1836468	0.0452459	0.4028668	0.5773517	0.4203541	0.4277790	0.6435372	0.7281666	0.6488493
0.4646863	0.4844524	0.8598918	0.0120805	0.4473205	0.6907430	0.0000000	0.0670668	0.3531651	0.6402938	0.5152175	0.7357570	0.7399952	0.2574295	0.6666208	0.8776922	0.8558831	0.3289254	0.7409293	0.7924768	0.2857187	0.7191870	0.8098523	0.1000984	0.7441334	0.5244947	0.6309213	0.6615269	0.3693007	0.7776357	0.5494101	0.0151556	0.1882248	0.6996987	0.2520359	0.1286179	0.1018363	0.0480612	0.1640329	0.6489189	0.3204486	0.2148766	0.0272344	0.4535411	0.6241677	0.3956908	0.5916511	0.6853239	0.0470096	0.6167898
0.7497365	0.5494893	0.7000821	0.0041185	0.4614737	0.6665876	0.2181339	0.0000000	0.3900747	0.4828092	0.4206942	0.5977167	0.7108466	0.2161916	0.7012906	0.7440939	0.7165451	0.2682952	0.6103944	0.8125850	0.2172209	0.7308850	0.7026594	0.0843973	0.7033642	0.5331637	0.6911592	0.8098051	0.4834874	0.7123733	0.7221857	0.0258929	0.1424550	0.7257992	0.3033636	0.1293702	0.0461262	0.0114229	0.1572992	0.5932470	0.3550533	0.3000870	0.0373100	0.3334645	0.5212235	0.3928604	0.6337896	0.6512022	0.0474410	0.6251592
0.7379041	0.4022150	0.7502462	0.0828793	0.5554831	0.5737234	0.3027432	0.0613752	0.0000000	0.5112372	0.6126724	0.7457274	0.7241286	0.1392864	0.8826478	0.6895094	0.7692989	0.2968706	0.7166024	0.6491204	0.2524646	0.5306566	0.6718145	0.1275968	0.6498100	0.7545640	0.7613847	0.7328735	0.2780116	0.7448778	0.6613352	0.0590244	0.1473921	0.7527687	0.2209087	0.2458584	0.1272409	0.0455699	0.1009376	0.6960955	0.3528949	0.2226769	0.0502105	0.3838479	0.6029122	0.4609044	0.6693012	0.0133399	0.0603473	0.5364867
0.6320885	0.5016818	0.8724872	0.0146158	0.3353819	0.7006595	0.2238919	0.0454522	0.3379660	0.0000000	0.1578511	0.7051128	0.7776837	0.0125978	0.8411219	0.6914765	0.8980500	0.3475581	0.6346927	0.7274350	0.2764727	0.4059421	0.7087941	0.1062547	0.7700682	0.6086907	0.7740924	0.7213589	0.3984308	0.7515052	0.6128407	0.0329802	0.1539131	0.6539487	0.2865421	0.1103423	0.1281973	0.0160971	0.1961613	0.8692261	0.3783180	0.8179469	0.6870677	0.4087018	0.3879127	0.3368680	0.6597759	0.7154333	0.0229195	0.6784695
0.6470445	0.4786640	0.7364080	0.0118146	0.3965183	0.6487178	0.1787208	0.0406131	0.3679222	0.6567397	0.0000000	0.6077948	0.7754043	0.3137270	0.5552761	0.7417563	0.7070567	0.3682781	0.7846973	0.6219387	0.3526488	0.5329292	0.8530711	0.0954013	0.7764704	0.6989912	0.6701788	0.6737456	0.4667997	0.5712819	0.5908761	0.0143348	0.1218673	0.7938501	0.3494185	0.1446770	0.0747810	0.0362990	0.1868694	0.8116406	0.3590237	0.2615354	0.0243812	0.4071148	0.5309477	0.2572637	0.6336854	0.7208377	0.0216761	0.6544747
0.7328139	0.0345861	0.6833886	0.0730448	0.3191995	0.6713393	0.3329484	0.0458212	0.3611347	0.4824632	0.5843670	0.0000000	0.7021512	0.2708152	0.6217131	0.6746715	0.8475231	0.0798597	0.6764024	0.6458649	0.3059743	0.5590325	0.6723180	0.0522020	0.7304003	0.5010826	0.6357223	0.6844677	0.4414448	0.6072661	0.0172300	0.0431464	0.1646101	0.6977318	0.3164690	0.1630570	0.0035987	0.0315320	0.0204423	0.5881516	0.4680166	0.2603991	0.0369911	0.5782183	0.5240657	0.2625521	0.6511300	0.7635036	0.0356743	0.4696589
0.5665255	0.4480055	0.6523010	0.0168767	0.0179649	0.7668014	0.1766501	0.0653204	0.4366365	0.5715578	0.3972576	0.7489005	0.0000000	0.1779097	0.5712050	0.7278951	0.6155483	0.3189690	0.7750577	0.6841219	0.3100336	0.6947372	0.8236471	0.1024264	0.6084981	0.5437155	0.6954382	0.6179800	0.4012896	0.7550669	0.6419038	0.0193257	0.1517847	0.7134370	0.2977943	0.1806462	0.1497731	0.0213803	0.2234473	0.5770071	0.3265149	0.2538328	0.0543911	0.3295423	0.3244999	0.4500408	0.6077472	0.7473986	0.0455809	0.7505108
0.5162623	0.4655971	0.6656911	0.0142459	0.4374391	0.7049499	0.2672814	0.0454826	0.3437583	0.7220751	0.5036261	0.7415864	0.7216000	0.0000000	0.6375769	0.6150097	0.6494165	0.3159074	0.6579931	0.7325103	0.3289503	0.6614814	0.8343079	0.1239643	0.8080471	0.6251192	0.6426443	0.7268614	0.3670769	0.7101912	0.6424891	0.0367064	0.1053915	0.8357398	0.3392290	0.0923270	0.1362512	0.0887174	0.1115014	0.6528492	0.4267864	0.1153280	0.0585224	0.4095798	0.6304686	0.3372881	0.6675240	0.7407035	0.0719891	0.6817006
0.5749448	0.4256749	0.8072078	0.0003138	0.3036650	0.6997109	0.1932128	0.0298812	0.3501285	0.5279773	0.4359737	0.7611228	0.6817732	0.2393249	0.0000000	0.7303044	0.7771641	0.2990207	0.6879701	0.6688774	0.3252634	0.5381976	0.7379442	0.0605743	0.6948486	0.5366188	0.6234410	0.5481792	0.4199769	0.6852206	0.6488964	0.0214323	0.1235152	0.6718706	0.3828401	0.1288327	0.0493905	0.0287020	0.1559743	0.5966007	0.3354839	0.2325037	0.0448753	0.3862225	0.3987044	0.3339978	0.7446616	0.6214341	0.0359203	0.6303249
0.5307300	0.0381592	0.7554506	0.0008763	0.4489020	0.8397073	0.4371335	0.0514369	0.3481467	0.4813338	0.6015870	0.7342778	0.6287465	0.1384408	0.7946217	0.0000000	0.7544567	0.0814014	0.6266505	0.6767816	0.2143389	0.4322269	0.7608283	0.0961606	0.6402249	0.5811558	0.5839666	0.8484415	0.0656996	0.6873471	0.7424932	0.0819208	0.1714556	0.7814227	0.4388883	0.1044799	0.1226374	0.0347355	0.0507845	0.6954471	0.3233724	0.2558746	0.0286053	0.4095451	0.6105405	0.3706303	0.4327545	0.7563958	0.0307588	0.2258216
0.5325322	0.4497372	0.7301598	0.0801479	0.3701034	0.7781996	0.3659728	0.0426334	0.0010896	0.5269156	0.4821218	0.6727863	0.6749150	0.2555508	0.8115375	0.7866339	0.0000000	0.2916741	0.6846794	0.8197932	0.3601590	0.5202224	0.6180845	0.0601177	0.7170587	0.6410584	0.6755990	0.7317767	0.3791556	0.6028040	0.5840892	0.0501777	0.1757020	0.6850809	0.2344711	0.1168118	0.1015788	0.0327260	0.1187018	0.6433923	0.3388814	0.2607382	0.0425106	0.4476242	0.5512304	0.4424846	0.5970344	0.0087600	0.0547397	0.6502533
0.6127907	0.5048014	0.8616329	0.0129030	0.3987035	0.6912203	0.1685374	0.0843902	0.3623751	0.5193154	0.5090108	0.8292142	0.7306276	0.1250362	0.7206835	0.7595882	0.6758601	0.0000000	0.6814989	0.6132056	0.3182169	0.4348792	0.7084225	0.0683044	0.7097281	0.5406320	0.6247622	0.7996322	0.4025406	0.6246378	0.7286987	0.0346194	0.1527581	0.5581349	0.3330860	0.2461627	0.1499146	0.0173660	0.0066613	0.5955306	0.2784885	0.1890046	0.0431104	0.4412261	0.8564644	0.3350902	0.6582023	0.7057431	0.0760153	0.6767036
0.5697605	0.5447795	0.6869455	0.0033758	0.3662688	0.5945773	0.1379536	0.0491149	0.8484011	0.4972649	0.3989160	0.6732469	0.7718119	0.1701160	0.6109073	0.8208160	0.6382529	0.2944682	0.0000000	0.6781929	0.2588856	0.6225119	0.6655601	0.6747629	0.6390450	0.2310445	0.7964911	0.6540662	0.6342348	0.6701917	0.6448701	0.0338679	0.2430128	0.7438272	0.4706088	0.1156562	0.1191776	0.0504102	0.1846022	0.2490521	0.5024213	0.2050595	0.0624364	0.3642208	0.7614599	0.4292714	0.6233049	0.8197450	0.0636125	0.5826919
0.5503367	0.5286589	0.7829574	0.0123434	0.4423964	0.7258058	0.3273431	0.0780431	0.4639863	0.5864810	0.5201122	0.7781158	0.6204696	0.1653121	0.6542649	0.6955681	0.6631978	0.2991810	0.8168528	0.0000000	0.0270177	0.6196782	0.7183894	0.0961403	0.7127358	0.6243413	0.5825088	0.0236643	0.4159560	0.7275929	0.5589576	0.0780682	0.1133727	0.7656977	0.3813947	0.1209756	0.0795467	0.0326129	0.1260767	0.6952063	0.4341505	0.1716885	0.0167298	0.3884606	0.3980186	0.4429254	0.6613403	0.7881737	0.0295821	0.6107064
0.6472726	0.4082335	0.6972585	0.0163154	0.4113209	0.7485263	0.1609506	0.0494563	0.5199897	0.4463170	0.4162110	0.7141709	0.6727170	0.1905889	0.7279461	0.7891576	0.7509525	0.2981856	0.6944026	0.7122584	0.0000000	0.5609540	0.7200710	0.0812440	0.7620198	0.4655962	0.6180566	0.7882274	0.3861861	0.6525290	0.8411200	0.0250183	0.1956779	0.6024514	0.3826059	0.0780879	0.1191924	0.0341021	0.1641372	0.5637851	0.5862110	0.2069600	0.0412819	0.4501044	0.3439764	0.3065041	0.5934648	0.7720541	0.0192508	0.5679848
0.5695856	0.4970638	0.6459903	0.0624012	0.3512602	0.6859875	0.2177403	0.0886800	0.3784610	0.5453352	0.5559420	0.6715798	0.6300932	0.2382181	0.6518114	0.5946753	0.7466342	0.3871435	0.5781476	0.6832080	0.2392769	0.0000000	0.7364861	0.0497632	0.7591761	0.5877295	0.6930441	0.7117820	0.4659008	0.5484519	0.6921655	0.0370798	0.1411542	0.6618940	0.3029342	0.1386306	0.0624305	0.0180742	0.1485103	0.5954081	0.3942013	0.2852825	0.0248311	0.4965419	0.3947030	0.3926946	0.6354713	0.5408981	0.0434953	0.5476678
0.5882986	0.5054054	0.8231997	0.0468869	0.5220871	0.8608016	0.2361445	0.0848385	0.4373310	0.4908840	0.5436210	0.8349521	0.7565712	0.2800327	0.7209628	0.5333192	0.6536010	0.3060646	0.8112788	0.5986443	0.2433865	0.5942468	0.0000000	0.0894247	0.7508682	0.5858704	0.6453101	0.7987709	0.4370713	0.6127774	0.7840640	0.0246971	0.1180289	0.6878817	0.4148802	0.2003333	0.0896152	0.0320327	0.1418057	0.5820589	0.3877216	0.2590192	0.0360039	0.4421737	0.6512320	0.0085818	0.6585105	0.7154713	0.0441173	0.6146238
0.5284623	0.4240299	0.7169327	0.0315432	0.4932045	0.7601878	0.2232093	0.0622194	0.3538056	0.5401531	0.5078421	0.8746242	0.6714514	0.1762502	0.8867750	0.6649304	0.8071277	0.3758932	0.6906095	0.8765153	0.3449222	0.5847377	0.7363682	0.0000000	0.6474712	0.3963195	0.7306103	0.7054389	0.5582341	0.7541471	0.7038446	0.0318670	0.1799938	0.7356609	0.3035365	0.0789969	0.0545706	0.0120730	0.1702011	0.8103050	0.2766392	0.2162390	0.0650410	0.4872144	0.0142778	0.4737202	0.5597536	0.7712806	0.0358045	0.6941760
