YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.4244560	0.6798459	1.0091270	0.0206300	0.5143510	0.9660039	0.2875062	0.0802207	0.5920446	0.7735080	0.6256398	1.0347221	0.9673458	0.2486455	1.0561624	0.9461054	1.0312184	0.4260947	0.9844666	0.9649887	0.4043016	0.8709385	0.9728706	0.0681604	1.0381289	0.7339442	0.9614529	0.9636542	0.6723039	0.9520976	0.8595622	0.0236984	0.2312279	0.9796343	0.5427336	0.1889076	0.1755992	0.0931187	0.2977338	0.8741000	0.0787290	0.3124545	0.0689028	0.5107186	0.4390328	0.6081265	0.8382862	1.0196572	0.0693253	0.8824211
0.9046670	0.3513240	1.0136543	0.0187746	0.6549948	1.0735964	0.2661317	0.0849267	0.5212942	0.8431059	0.8362712	1.0871117	0.9587105	0.2749044	0.9630874	1.0080653	0.9640518	0.2593516	0.9493385	1.0783770	0.4110072	0.7689713	1.0334067	0.1382548	1.0218681	0.8741573	0.9709306	1.0652398	0.5383451	1.0847255	0.9120559	0.0211607	0.2115998	0.9982496	0.4656020	0.2431361	0.1223598	0.0305720	0.1796421	0.9772610	0.6549222	0.2865256	0.0610284	0.5431468	0.7943267	0.5087625	0.9309015	1.0172755	0.0648356	0.8908457
0.8185864	0.6169603	0.4743136	0.0401742	0.5564331	0.9782997	0.2596446	0.0892024	0.4812656	0.7492466	0.7194211	1.0152428	1.0086274	0.3531909	0.9990214	0.9760690	0.9571827	0.3852458	0.9720472	1.1148749	0.4368336	0.7999421	0.9909430	0.0970866	1.0712663	0.8323482	0.9913790	1.0063178	0.5040401	0.9588175	0.9412573	0.0499086	0.2224258	1.0255351	0.4687663	0.1312363	0.1149778	0.0547144	0.2296057	0.8870706	0.4810965	0.2597477	0.0702131	0.1941575	0.5942952	0.5471572	0.9200598	1.0440082	0.0487220	0.9688038
0.8900264	0.6780257	1.0387474	0.0156707	0.6017132	0.9474421	0.2907849	0.0867921	0.5225608	0.7356228	0.6149858	1.0538605	0.9478546	0.2097485	1.0604628	1.0167589	0.9976960	0.5008030	1.0791972	0.9681452	0.3847041	0.8857517	0.9619498	0.1150505	1.0407437	0.8646249	0.9665985	1.0665342	0.6297343	0.9891748	1.0385744	0.0401895	0.2926532	1.0717621	0.4715338	0.2585937	0.1647035	0.0589461	0.3156472	0.8836691	0.6837525	0.3111210	0.0814038	0.5475329	0.7693272	0.5774689	0.9723709	1.0662298	0.0368593	0.9091731
0.7144042	0.6341561	1.0242197	0.0187081	0.2628860	0.9932307	0.3162205	0.0746448	0.6076941	0.7202052	0.6620012	1.0716535	1.0259397	0.3337643	0.9544531	1.0069546	1.0247980	0.4632426	1.0737005	0.9606780	0.4465784	0.9000162	1.0212289	0.1618962	1.0095864	0.8413756	0.9193090	0.9289316	0.6436279	1.0235203	0.9415036	0.0274621	0.2048915	1.0593516	0.4907618	0.2895233	0.1277295	0.0504731	0.2127295	0.9362596	0.4092299	0.3234165	0.0434172	0.5908835	0.9229456	0.5919407	0.8933087	1.0354418	0.0719534	0.9326350
0.7794290	0.6158766	1.0277428	0.1060049	0.5582185	0.4782460	0.3887264	0.4381436	0.5265522	0.7435724	0.6731029	0.9080963	0.9956419	0.3201731	0.9611847	0.9932210	1.0432253	0.4560874	1.0364981	1.0330389	0.3913532	0.5651995	1.0430150	0.1495977	0.9733131	0.7393039	0.7919857	1.0407816	0.6719561	0.9967955	0.9754352	0.1011281	0.2197359	0.9968088	0.5788144	0.2072740	0.1187816	0.0422881	0.2880505	0.8476242	0.5992182	0.2908994	0.0563652	0.5323134	0.6509546	0.5231502	0.8290776	1.0746018	0.9886677	0.8993369
0.8566359	0.6718279	0.9980478	0.0349636	0.5308400	1.0617959	0.1434654	0.0719396	0.5799560	0.7466577	0.6536060	0.9984274	0.9921861	0.2486473	1.0002959	1.0128447	1.0284120	0.4408327	1.0249679	1.0198130	0.4468855	0.9031268	1.0531789	0.1366958	1.0614015	0.7600476	0.9844420	0.9543762	0.6349016	1.0132387	0.9601515	0.0134788	0.2241092	0.9634584	0.5067692	0.2653742	0.1455186	0.0539492	0.2192116	0.9732213	0.5239064	0.3197443	0.0722861	0.5730187	0.8732051	0.5952778	0.8894816	0.9107600	0.0395755	0.8986358
0.7775862	0.7359798	1.0325526	0.0136225	0.4836109	1.0053031	0.2944292	0.0465545	0.6058251	0.6591618	0.6706883	1.0228598	0.9498846	0.2843028	1.0598332	0.9920773	1.0058295	0.4938581	1.0073061	0.9765744	0.4122900	0.8837507	1.1031129	0.0965673	1.0251373	0.7404129	0.9655476	0.9635144	0.6335402	0.9253490	0.9956610	0.0267944	0.1812473	1.0148690	0.5372819	0.1484298	0.1191201	0.0388744	0.2413769	0.9503340	0.5515721	0.3389434	0.0736012	0.5641272	0.6522991	0.5329100	0.8756432	0.8991400	0.0628923	0.9194276
0.8001885	0.6423740	1.0611243	0.0978224	0.4582584	0.9814585	0.3651631	0.0666037	0.2551358	0.8123212	0.6615773	1.0480256	1.0788000	0.3176171	1.0385078	1.0937319	0.9811146	0.4884351	0.9592051	1.0730661	0.3306106	0.8028418	0.9184466	0.1196624	0.9432379	1.0322003	0.9616100	0.9545584	0.5584251	0.9909002	0.8821927	0.0322800	0.1932477	1.0856588	0.3867267	0.1021867	0.0988580	0.0505388	0.2769365	1.0140587	0.3642148	0.3772141	0.0570309	0.6299203	0.6018968	0.4859309	0.8123335	0.9506662	0.0533173	0.9414313
0.8126714	0.6273777	0.9931369	0.0118127	0.5297650	0.9977008	0.2855468	0.1057651	0.5528171	0.5210911	0.4747570	1.0205725	0.9042149	0.1065878	1.1399817	1.0367474	1.0134475	0.3939363	1.1433565	0.9644012	0.4315634	0.8466231	0.9435292	0.1243052	1.0389811	0.8038864	1.0300413	0.9852251	0.5951056	1.0311841	0.9658329	0.0292749	0.1822115	1.1053931	0.4821561	0.2039156	0.1412656	0.0444159	0.2671623	0.8972965	0.6373974	0.6575895	0.0694986	0.6200367	0.7082986	0.5572261	0.9146682	0.9992077	0.0734067	0.9276915
0.8116303	0.7120606	0.9413892	0.0210271	0.5313710	0.9810024	0.3133606	0.0757327	0.5779524	0.6517143	0.3413686	1.0175598	0.9967385	0.3523961	1.0835397	1.0162252	1.1215938	0.4936445	1.0497240	1.0562714	0.3715218	0.8416800	1.0411412	0.1300084	0.9901755	0.8563307	0.9824431	0.9667818	0.5296271	1.0596599	0.9735361	0.0338335	0.2491047	1.0380527	0.4595661	0.2261465	0.1312386	0.0628153	0.2598206	0.9602814	0.5103008	0.2455461	0.0612840	0.5474918	0.3349144	0.6126951	0.8968748	0.9929012	0.0728715	0.9188725
0.8860604	0.1764058	1.1044173	0.0835169	0.5254897	1.0523027	0.4492289	0.0949217	0.6132745	0.7440694	0.8199554	0.4922708	1.0375723	0.2415332	1.0256597	0.9689318	0.9271278	0.1837640	1.0376245	1.0280444	0.4462583	0.8686218	1.0350782	0.1196030	1.1821106	0.7994175	0.9345121	0.9282847	0.6040613	0.9224273	0.6250470	0.0838154	0.2412271	0.9308384	0.4438751	0.1151772	0.0728855	0.0315039	0.0959071	0.9191726	0.6711013	0.3073815	0.0475473	0.5899375	0.5573309	0.5401558	0.8812322	0.9567393	0.0768007	0.8707805
0.7458506	0.6046317	1.0702959	0.0153296	0.1214622	1.0528510	0.3016309	0.0608085	0.5661015	0.7168262	0.7059877	1.0259271	0.5628782	0.2983243	0.9792897	1.0405624	1.0140993	0.4359085	1.0152114	1.0808208	0.3676283	0.8617860	0.9487606	0.1082068	0.9478857	0.7694844	0.8926965	0.9135162	0.6078859	1.0284931	0.9401608	0.0396243	0.1757206	0.9484106	0.5253634	0.1555402	0.1053752	0.0600922	0.3320955	0.8465275	0.4891827	0.3664602	0.0420282	0.5570593	0.6686295	0.5139448	0.8822582	1.0421265	0.0438247	0.8341968
0.7361988	0.5838084	1.0668207	0.0253768	0.4985466	1.0182636	0.3373294	0.0651989	0.5027340	0.8240179	0.7193395	1.0338144	0.9761120	0.2312559	1.0067196	0.9763909	0.9902538	0.4457377	0.9875039	0.9453712	0.3755482	0.8426075	1.0591673	0.1093318	1.0181410	0.7465302	0.9865221	1.0459742	0.6097679	0.9420115	0.9936158	0.0434055	0.1895867	1.0272274	0.4182414	0.1250538	0.1273523	0.0518647	0.2180738	0.9875716	0.4101947	0.2006458	0.0558494	0.5340063	0.8646776	0.4774477	0.8683028	1.0480481	0.0599515	0.8712973
0.8789733	0.6668596	0.9578183	0.0131277	0.4689998	1.0086214	0.2598296	0.0585087	0.6096379	0.7412404	0.6758497	1.0558409	0.9565017	0.2518766	0.5636045	0.9913125	1.0891669	0.4867852	0.9558122	1.0273516	0.3372849	0.8282023	1.0329816	0.1286899	1.0096141	0.7786104	1.0279205	1.0465705	0.5995184	1.0011872	0.9661821	0.0326563	0.1857772	0.9759472	0.4816788	0.1031612	0.0933945	0.0236783	0.2330095	0.8713068	0.6108683	0.3032091	0.0651139	0.5459480	0.8225959	0.6038819	0.8914279	1.0154062	0.0441391	0.8970650
0.7920277	0.6577798	1.1142751	0.0170886	0.5404839	1.0584071	0.3662893	0.0630453	0.5474148	0.7812594	0.7524472	0.9514692	0.9456970	0.3343309	0.9636252	0.5338998	0.9956503	0.4323488	1.0291418	1.0865909	0.4527659	0.8181181	1.1117403	0.1050331	0.9809746	0.8003759	0.9863071	0.9493237	0.5766338	1.0152197	0.9628936	0.0766512	0.1966000	0.9733921	0.4464034	0.1689310	0.0836143	0.0493661	0.2283459	0.8734698	0.4597491	0.2753438	0.0621655	0.5896951	0.6661015	0.5102567	0.5511556	1.0164724	0.0455892	0.8186168
