YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
1.0190229	0.2287734	0.7900308	0.2781114	0.5104387	1.0322391	0.3956816	0.0753566	0.5358437	0.6976548	0.9793193	0.5561087	0.9694905	0.3652159	1.0574366	0.9504363	0.9867758	0.0846639	0.8436349	0.9799823	0.4539698	0.7603563	0.9695238	0.1326814	0.6587003	0.6389458	0.9662435	0.9705685	0.6233819	0.9809502	0.7742565	0.0363945	0.2859803	1.0000623	0.4153561	0.8604451	0.2337576	0.0334981	0.1489128	0.9130175	0.7340635	0.2785817	0.0032250	0.6906841	0.8559721	0.6812576	0.8358781	0.9974849	0.0007819	0.5926679
0.9043633	0.5923382	0.7866651	0.2770163	0.5743058	0.7857924	0.2359068	0.0453130	0.5404393	0.6237765	0.9022366	1.0946417	1.0496926	0.2691747	1.0157795	1.0284156	1.0858174	0.4825493	0.7154411	1.0456254	0.3106031	0.7860197	0.7016826	0.2475287	1.0737917	0.8008429	0.8659484	0.8315086	0.6182729	1.0081079	0.9192361	0.0047417	0.1475813	1.0340965	0.5287558	0.0840001	0.4757872	0.0577495	0.2547698	0.9075700	0.5730130	0.3305264	0.0122153	0.4682308	1.0669338	0.3750784	0.9469105	1.0355684	0.0007256	0.5290526
1.0022716	0.5195900	1.0013728	0.0164073	0.7657360	0.8026619	0.3091269	0.0638769	0.5367924	0.5519333	0.6480456	0.8008277	1.0058503	0.5409265	0.8511581	0.9395811	1.0120140	0.2713369	0.7152022	0.9625459	0.3698992	0.7388433	0.9539138	0.1658442	0.8316202	0.6150342	0.7792960	0.9535719	0.6453699	1.0524720	0.7868272	0.4396673	0.3044204	0.8623923	0.0822454	0.1488251	0.3991012	0.0048767	0.1185955	0.8520050	0.9340869	0.4755711	0.0132888	0.5213372	0.8165101	0.7439922	0.8542760	1.0836254	0.2268583	0.9566037
0.8922954	0.6647188	1.0040094	0.0306253	0.4652936	0.7540070	0.1217448	0.1485496	0.5049611	0.5699686	0.7686201	1.0970340	0.8160715	0.1664671	1.0424200	1.0720629	0.9142058	0.5327250	0.9728663	0.8035309	0.5549204	0.7680307	0.4561125	0.0875822	0.8245491	0.8614360	0.9012541	0.9470840	0.6450182	1.0584141	0.9766238	0.0023680	0.2396456	0.4499554	0.5290757	0.3065108	0.1864980	0.0666317	0.2405798	0.7557975	0.7760862	0.4819145	0.0214331	0.5380216	0.3466736	0.1274435	0.9215011	0.9657758	0.5424487	0.9663485
0.8515223	0.6712042	1.0716462	0.4316607	0.4924366	1.0244768	0.3273954	0.0143479	0.4888444	0.7355174	0.3190366	0.9955613	0.9175352	0.4620442	0.5758953	1.0375273	0.9357719	0.3392077	0.8045434	0.5563678	0.1922540	1.0112702	1.0224846	0.1207934	0.7314831	0.7784964	0.9642738	0.7844619	0.6918230	1.0219289	0.8805160	0.2551387	0.3041624	0.7593244	0.5739640	0.3835313	0.3017386	0.0262246	0.1615749	0.9768520	0.5443348	0.1496480	0.0093190	0.4866895	0.7033896	0.5641834	1.0179961	1.0315742	0.3408506	0.8260320
0.7935453	0.7462544	0.7404983	0.0698785	0.3402253	0.7578871	0.3983695	0.0629577	0.5939109	0.6490248	0.7448139	0.9540075	0.7051641	0.3189970	0.8991401	0.5693462	1.0140029	0.3614127	0.9880912	1.0835479	0.6008849	0.8448279	0.9186325	0.1537089	1.0246036	0.7171916	0.8678964	0.9349649	0.5434007	0.9477970	0.8755144	0.1341318	0.0270970	0.9319415	0.3053631	0.2212919	0.2634253	0.0446900	0.1972392	0.7226932	0.4510283	0.3256904	0.0143937	0.5237066	0.7921657	0.4691020	0.6054169	1.0396687	0.0015432	0.9470777
0.7784758	0.7338088	1.0056954	0.4945457	0.7092973	0.6171457	0.5267393	0.1726420	0.4176219	0.6989026	0.8275219	0.9771684	1.0620603	0.3435284	0.7577317	0.9858446	0.9300817	0.4616921	0.7922029	0.5339037	0.3878302	0.6488742	0.9210000	0.2136929	1.0008845	0.7060692	0.7294380	0.8615470	0.5487388	0.9940898	0.9794092	0.5392632	0.2592921	0.6396457	0.4897636	0.1830035	0.1389331	0.0593019	0.7272032	0.9848775	0.4930108	0.2320025	0.0065373	0.5609978	0.9667893	0.4527948	0.9941614	0.9493550	0.5667057	0.7454443
0.9538786	0.6407984	0.7355321	0.0307030	0.1106966	0.9664777	0.3710457	0.0738450	0.3774945	0.6281054	0.4747130	1.0617685	0.5392214	0.0945556	0.6830395	1.0186049	0.7383823	0.5449893	0.9641578	0.7664231	0.3728888	0.8778519	0.7605507	0.1147208	1.0156048	0.7008436	0.7968610	0.8466014	0.6298703	0.9799586	0.8455079	0.2331076	0.2253869	0.9994324	0.2692956	0.0513198	0.3913756	0.0416706	0.4213732	1.0362503	0.8667597	0.5140243	0.0137482	0.5901715	0.0622259	0.5525697	0.8948478	1.0036293	0.0000451	0.9834768
0.6748545	0.5923442	1.0199792	0.0398312	0.4687814	0.9243846	0.2453473	0.0199926	0.5191596	0.6783631	0.7782817	1.0229128	0.6229866	0.2443057	0.9927663	1.0146954	1.0066956	0.3365337	0.8932055	0.7712493	0.3568694	1.0757454	0.9263646	0.1641185	1.0196318	0.8871143	0.9743798	1.0777274	0.8209871	0.6747040	0.9284231	0.0181928	0.0775686	1.0780996	0.3563698	0.1717483	0.2004354	0.0662711	0.2809331	0.8498134	0.7193319	0.2775335	0.0044832	0.6713983	0.9015034	0.4773567	0.8484986	0.9530016	0.0021425	1.0726201
0.6522094	0.6604852	1.0699132	0.0533052	0.4343591	1.0125562	0.3381847	0.0248425	0.3157475	0.7343371	0.6864755	0.9648308	0.9826780	0.3022899	0.9900896	0.8637348	0.8473409	0.6679556	0.9557267	1.0101628	0.4926987	0.9016439	0.7505477	0.1538708	0.8629195	0.8812995	0.8970086	0.9426064	0.6240889	0.9519936	0.9239948	0.1406636	0.1351315	0.9452479	0.3677120	0.2793842	0.1479171	0.0253346	0.5881276	0.9656341	0.3224902	0.1895688	0.0017675	0.6562566	0.8869834	0.5067288	0.7891239	0.9984798	0.0001042	1.0044961
0.7595446	0.7685238	0.9915996	0.2848786	0.5548135	0.7683403	0.1812040	0.1257160	0.5483084	0.6329640	0.6137061	0.9247318	0.9428970	0.2217622	1.0671430	0.9957951	0.9837226	0.3882401	0.7924175	0.9458970	0.5499617	0.7192210	0.8847593	0.2120887	0.6173706	0.7101330	0.9718212	0.8385421	0.6238665	0.6685027	1.0345691	0.2128751	0.3074061	0.9746537	0.4065898	0.7518615	0.4326930	0.0611868	0.5058325	0.8445972	0.4243098	0.4402870	0.0776445	0.5388992	1.0181836	0.3749549	0.9722908	1.0158627	0.1451548	0.4598232
0.5544473	0.6856893	1.1086682	0.0244626	0.4975782	0.9499554	0.3474355	0.0786604	0.4534519	0.7370297	0.7779484	0.9519864	0.9193473	0.2769752	0.9360398	1.0113558	0.8840497	0.2776007	0.9438341	0.6783158	0.4283599	0.8520400	1.0885638	0.1685354	1.0481153	0.7800955	0.9726328	0.9003098	0.9131507	0.9497816	0.9490734	0.2871041	0.1693375	1.0893951	0.4185545	0.1808076	0.1729585	0.0509683	0.4921063	0.5602798	0.1550613	0.3762978	0.0083522	0.6393583	0.9715863	0.5281760	0.8943709	1.0419767	0.3680827	0.9692680
0.9008421	0.5816926	0.9865022	0.0374531	0.3903648	0.7556705	0.4403755	0.1268275	0.5129718	0.6901991	0.7079683	1.0664958	0.8978480	0.3045012	1.0437100	0.9268572	0.9131346	0.2967808	0.5659825	0.8356752	0.3867979	0.3617625	0.9499740	0.1958518	0.6636977	0.8059365	0.8844299	0.8568314	0.7823250	0.4399492	0.9123126	0.3888922	0.3823537	0.9797158	0.4741582	0.7225659	0.3428820	0.0324843	0.1832125	0.9519126	0.8846688	0.3415278	0.0545408	0.6795338	0.9418679	0.4282989	0.9293752	1.0551808	0.0432894	0.9486931
