YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.0000000	0.7228588	0.9498636	0.0292660	0.5444071	0.9533062	0.3252186	0.0841594	0.6561372	0.7864162	0.6158890	1.0367012	1.0976512	0.3421837	1.0039724	0.9913030	0.9407832	0.4301625	1.0413618	0.9581369	0.3918152	0.7761067	1.0318133	0.1464309	1.0160067	0.7336025	0.8991097	0.9356753	0.6016867	1.0339687	1.0074094	0.0388360	0.2120486	1.0958786	0.6028860	0.1355230	0.0837349	1.0225584	0.2720653	0.8255608	0.0085383	0.2557011	0.0405361	0.6426268	0.7859363	0.6082814	0.9280218	0.9452026	0.0638792	1.0337696
0.8603347	0.0000000	0.9652433	0.0312438	0.5604659	0.9920578	0.3108896	0.0816787	0.5193943	0.7515094	0.7952474	1.0051175	1.0406171	0.3011542	1.0301276	1.0535851	0.9857960	0.1214168	0.9536094	1.1059085	0.4111136	0.9079516	0.9586210	0.1381688	1.0601443	0.7891295	0.9671391	0.9458599	0.6536219	1.0626875	0.8847121	0.0376666	0.1896649	1.1131927	0.4641942	0.1334064	0.1702512	0.0644358	0.0626891	0.9960630	0.5124253	0.3674867	0.0802793	0.5845029	0.8234287	0.5503052	0.9075100	1.0888919	0.0628303	0.8944236
0.8609757	0.6240334	0.0000000	0.0058724	0.5340032	1.0585195	0.3463049	0.0819458	0.4835078	0.7551247	0.6395505	1.0434570	1.0723783	0.2364849	0.9957887	1.0149422	0.9795191	0.4696780	1.0134829	1.0064391	0.4664128	0.7689757	1.0683577	0.1206416	1.0589912	0.8011824	0.9288731	0.9266754	0.5773927	1.0005772	0.9655938	0.0512453	0.1575729	0.9357029	0.4252031	0.1586538	0.1328553	0.0459867	0.2715796	1.0588616	0.5626419	0.3686160	0.0520546	0.0363166	0.7440329	0.5088782	0.8893731	0.9387684	0.0396520	0.8808110
0.9516229	0.6850294	0.9781603	0.0000000	0.5212832	0.8905158	0.3100963	0.0787287	0.5584643	0.7795878	0.6968701	0.9799630	0.9230588	0.3015893	1.0426143	1.0096034	0.9730028	0.3931542	0.9213437	1.0808220	0.4813694	0.7691883	1.0531508	0.1458420	0.9727456	0.7713650	0.9120181	1.0159960	0.6421025	0.9167521	0.9155630	0.0391362	0.2751716	0.9822397	0.4448852	0.2500486	0.1555148	0.0449228	0.2429887	0.8717507	0.5036937	0.2664718	0.0821162	0.6203709	0.6806398	0.5477958	0.9132608	0.9735292	0.0346138	0.9013660
0.7255826	0.7266700	0.9888825	0.0095673	0.0000000	0.9526276	0.2828855	0.0829512	0.6417282	0.8032433	0.5964430	0.9959225	1.1571250	0.2340200	1.0148499	0.9462426	1.0858577	0.4699116	1.0287114	1.1539085	0.4543667	0.8882048	0.9902559	0.1166529	1.0174178	0.8211385	0.9391563	0.9681092	0.5973740	0.9397634	0.9772603	0.0062119	0.1942294	1.0512126	0.4697291	0.2140339	0.1102870	0.0926120	0.2503895	0.9034114	0.3619226	0.3744221	0.0881520	0.6519091	0.7762401	0.4720679	0.9232208	1.0989476	0.0768761	0.8384597
0.8198830	0.6816667	1.0077926	0.1021592	0.6298253	0.0000000	0.6779866	1.0271956	0.5429161	0.7185985	0.6765569	0.9998212	1.0367654	0.3187762	0.9479225	0.9860083	0.9566147	0.4939179	1.0103104	1.0437430	0.3677021	0.6341147	0.9801965	0.1147724	0.9583281	0.8558864	0.3852405	1.0206004	0.0749964	0.8438423	1.0165197	0.1956889	0.2005637	1.0817407	0.8805724	0.1452009	0.1082342	0.0463331	0.2367468	0.8671407	0.4300705	0.2487644	0.1123181	0.6270797	0.8653099	0.5085239	0.6403884	0.9845285	0.9758866	0.8732280
0.7836213	0.7252765	1.0172764	0.0292828	0.5671541	1.0360246	0.0000000	0.0939065	0.4565857	0.7704403	0.7265883	1.0381772	1.1283396	0.3187779	1.0127410	0.9757263	1.0361732	0.4712953	1.0041950	1.0295606	0.3993350	0.9467370	1.0918266	0.1464371	1.0184022	0.8216090	0.8945283	0.9995341	0.5611345	1.0882736	0.8831494	0.0112787	0.2461110	1.0912852	0.4130487	0.1679926	0.1909217	0.0292123	0.3176443	0.8845506	0.5336374	0.2483942	0.0486740	0.6109797	1.0303629	0.5859256	0.9548395	1.0531251	0.0340068	0.8534869
0.9062503	0.6092169	1.0254292	0.0119901	0.6239540	1.0098201	0.2788174	0.0000000	0.5415311	0.7702953	0.6763306	1.0059688	1.0199470	0.3029266	1.0208605	1.0278587	0.9676077	0.4039406	0.9994201	0.9647522	0.4317476	1.0807477	0.9151098	0.1097229	1.0302825	0.7651320	0.9284260	1.1322148	0.6489501	1.0189456	0.9025732	0.0200197	0.2490346	1.0674416	0.5631686	0.1371980	0.1087215	0.0709324	0.2499130	0.9282850	0.4587972	0.3403240	0.0481245	0.6028468	0.6969543	0.5275400	0.8978237	1.0324377	0.0420455	0.8954450
0.8153268	0.6294665	1.0569349	0.1992444	0.6280037	0.9955367	0.5030243	0.1188347	0.0000000	0.6799808	0.6099175	0.9391410	1.1057088	0.2779870	1.0052069	1.0148627	1.0473683	0.3741462	1.0329144	0.9494608	0.4632339	0.8344193	1.1192601	0.1424422	0.9830940	0.9075662	0.9731930	1.0531289	0.4665872	0.8223562	0.9773600	0.1132427	0.2339293	1.0506431	0.3298732	0.2442773	0.1623187	0.0733065	0.2332401	1.0389375	0.3749988	0.2782014	0.0685004	0.5124373	0.9447337	0.5154024	0.9562920	0.0364114	0.0551042	0.9200719
0.8563606	0.7477977	0.9928077	0.0064200	0.5330167	0.9351291	0.3315941	0.0903384	0.4891725	0.0000000	0.3209420	0.9980553	0.9292354	0.0132182	1.0402453	1.0532941	1.0175855	0.4464171	1.0824524	1.0321086	0.4108695	0.8495508	0.9939887	0.1283731	1.0344676	0.8586065	0.9234268	1.0973840	0.5508423	0.9199517	1.0839395	0.0331969	0.1802463	0.9672872	0.4128216	0.1291018	0.1752728	0.0535994	0.2467510	0.9654374	0.4786937	0.9204045	1.0089164	0.5957023	0.4061949	0.5610427	0.8443787	1.0514107	0.0630668	0.9513167
