YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
1.0576629	0.2352003	0.7984502	0.2808639	0.5520360	1.0226192	0.3948696	0.0848311	0.5895473	0.7252997	0.8917448	0.5507289	0.9415138	0.3595385	1.0374748	0.9553677	1.0057235	0.0780393	0.8610789	1.0519373	0.4750349	0.7682319	1.0169102	0.1344334	0.6104385	0.6859813	0.9678387	0.9375192	0.6247384	0.9400506	0.7368393	0.0421900	0.3137682	1.0197230	0.4359550	0.8356065	0.2270907	0.0553593	0.1272388	0.9171494	0.7887735	0.2517970	0.0040433	0.6434550	0.9161293	0.7278587	0.9589201	1.0339283	0.0030570	0.6331434
0.8611613	0.5933557	0.8387526	0.2575214	0.6573525	0.8222454	0.2009800	0.0576137	0.5590376	0.6789554	0.9042422	0.9954832	1.0754328	0.2629808	1.1224488	0.9844350	1.0072044	0.5184032	0.7087436	1.0735995	0.3391479	0.6694999	0.7791357	0.3196724	1.0528599	0.8049760	0.7715837	0.8268353	0.5627430	0.9617161	0.8445852	0.0007157	0.1432465	1.0381772	0.6270592	0.0669631	0.4431695	0.0632101	0.2563987	0.8283051	0.5412540	0.3120476	0.0095862	0.4218458	1.0749668	0.3323235	1.0128519	1.0539794	0.0007643	0.4694323
0.9874365	0.4826833	0.9677545	0.0312708	0.7775771	0.8543997	0.3569055	0.0846311	0.5503447	0.5934132	0.5711956	0.8874723	1.0988635	0.5047705	0.8542787	1.0065615	0.9837504	0.2814696	0.6769254	0.9625627	0.3722252	0.7152101	0.9535900	0.1075421	0.8692996	0.6053229	0.8080737	0.9231325	0.6640641	0.9520083	0.9355348	0.4290070	0.2775863	0.8701683	0.1036653	0.1300878	0.4175838	0.0129899	0.0982954	0.8665292	0.8329409	0.4549418	0.0075509	0.5239890	0.8908775	0.7745304	0.9198483	0.8721153	0.2551946	0.9352560
0.9340533	0.7353776	1.0161758	0.0152653	0.4112454	0.7439167	0.1011998	0.1644054	0.4899792	0.5572002	0.7587017	1.0277429	0.8706794	0.1788680	1.0405991	1.0172057	0.8956472	0.5246239	1.0272029	0.8028367	0.5410275	0.8172620	0.5262272	0.0875103	0.8699905	0.7277883	0.9948768	0.9747269	0.6252942	1.0803505	0.8991612	0.0037796	0.2614601	0.5062484	0.5154066	0.3459561	0.1933930	0.0467565	0.2376716	0.7232015	0.7266926	0.4781937	0.0113100	0.5416187	0.4283389	0.1497255	0.8406070	0.9890251	0.5138544	0.9357182
0.8853470	0.6363938	1.0530168	0.4094316	0.5613340	0.9617009	0.2631663	0.0252319	0.5789181	0.8401305	0.3070545	0.9051885	0.9500486	0.3993294	0.5741109	1.0135600	1.0214189	0.2905971	0.7793081	0.5539486	0.2196742	1.0172128	1.0640244	0.1225955	0.7353138	0.7559280	0.9699355	0.8372712	0.6715816	0.9785422	0.9345466	0.2748446	0.2823986	0.7581013	0.5545369	0.3571732	0.3383085	0.0243969	0.1644590	0.9192687	0.6391675	0.1409183	0.0247815	0.5054931	0.9053758	0.5261607	1.1022079	0.9529613	0.3186884	0.8697269
0.8083195	0.8109333	0.7691487	0.0714094	0.3282204	0.7791816	0.3983069	0.0600265	0.6624098	0.6292270	0.6808387	0.9555213	0.7086616	0.4185568	0.9464942	0.6035078	0.9800478	0.3978406	0.9527537	0.9829280	0.5332403	0.8671813	0.8781105	0.1693377	0.9535770	0.7417094	0.8403770	0.9957929	0.6231481	0.9267668	0.8252266	0.1524499	0.0232433	0.8833536	0.3477577	0.2586870	0.2380310	0.0596750	0.2307422	0.7337207	0.4184156	0.3124596	0.0177714	0.4576411	0.7862201	0.4973187	0.6389454	1.0729231	0.0142158	1.0049686
0.8054341	0.7483955	0.9582291	0.4698717	0.6775038	0.6374288	0.5240259	0.1851277	0.4144243	0.7559516	0.8796874	0.9905093	1.0614337	0.3711611	0.7649085	1.0575111	0.9256783	0.4533255	0.7320312	0.4886569	0.3779718	0.6077836	0.8727497	0.1597270	0.9961551	0.6261796	0.6941559	0.9506217	0.5430924	1.0804565	0.9207239	0.5240485	0.2167519	0.6125468	0.4439053	0.1481516	0.1420005	0.0550017	0.6646626	1.1200898	0.5852829	0.2462202	0.0057155	0.5770461	1.0005132	0.4313311	0.9697434	0.9467688	0.7640340	0.7041894
1.0892228	0.6761272	0.7805389	0.0242318	0.1187318	0.9858292	0.3688750	0.0446756	0.4013410	0.5763131	0.4656736	0.9112858	0.4860859	0.1017990	0.7604331	1.0395057	0.7232586	0.5260489	1.0299565	0.8028895	0.3236096	0.7165335	0.7773843	0.0724107	0.9925136	0.6817947	0.8827576	0.8512311	0.5776358	0.9360779	0.9005470	0.2508687	0.2095443	0.9490872	0.2667220	0.0369592	0.3130388	0.0372925	0.4180795	1.0318592	0.9341465	0.5150164	0.0084252	0.5860754	0.1238961	0.5173721	0.9354391	1.0682139	0.0059326	1.0396223
0.6215211	0.5646431	1.0098122	0.0341441	0.4784181	0.9245666	0.2936640	0.0107233	0.5108287	0.6989186	0.7932586	0.9800512	0.6173774	0.2985874	0.9521565	0.9099849	0.9853159	0.2904898	0.8386114	0.8020048	0.3398845	1.0060445	0.9408179	0.1825309	1.0122717	0.8575532	0.9978110	1.1429377	0.7707209	0.7737324	0.9024278	0.0163329	0.0817532	1.0424036	0.3742515	0.1548802	0.1964848	0.0776841	0.3152556	0.8188031	0.7919174	0.2857560	0.0085029	0.6594265	0.8164841	0.4911509	0.8601840	1.0107672	0.0058416	1.0881028
0.6589684	0.6323384	0.9570527	0.0739250	0.4365372	1.0035145	0.3469760	0.0318524	0.3477259	0.7255175	0.7676008	0.9375563	0.7877410	0.3757516	1.0189259	0.8341127	0.8019278	0.6353730	0.9887947	1.1196561	0.4951621	0.8666873	0.6954351	0.1458448	0.9235307	0.9164048	0.9233092	0.9974948	0.5622677	0.9884939	0.7797859	0.1762699	0.1663509	0.9003746	0.3238443	0.2696411	0.1525454	0.0307190	0.6204595	0.9737879	0.3340641	0.1585245	0.0050028	0.6979313	0.8957910	0.4697620	0.8766930	0.9618276	0.0014607	0.8968663
