YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.0000000	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381624	0.6768085	1.0000000	1.0000000	0.2880214	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281449	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.9999994	0.2306879	0.9179321	0.0045749	0.2939506	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8192272	0.0000000	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381629	0.8053356	1.0000000	1.0000000	0.2880223	1.0000000	1.0000000	1.0000000	0.1076460	1.0000000	1.0000000	0.4055823	0.8128954	1.0000000	0.1197037	1.0000000	0.7763075	0.9281450	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9972520	0.4721188	0.1617789	0.1229999	0.0448790	0.0436409	0.9179321	0.5531386	0.2939502	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8192272	0.6639323	0.0000000	0.0029091	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381627	0.6768087	1.0000000	1.0000000	0.2880221	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281449	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0448790	0.2306879	0.9179321	0.5531387	0.2939502	0.0585627	0.0297919	0.7239595	0.5250265	0.8855032	0.9968870	0.0470189	0.9086252
0.8192274	0.6639323	1.0000000	0.0000012	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381619	0.6768095	1.0000000	1.0000000	0.2880234	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281447	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0448790	0.2306879	0.9179321	0.5531384	0.2939492	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.7307568	0.6639323	1.0000000	0.0165406	0.0000021	1.0000000	0.2800463	0.0779202	0.5439871	0.7381624	0.6768085	1.0000000	1.0000000	0.2880214	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281449	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0500530	0.2306879	0.9179321	0.4188440	0.2939506	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.7664021	0.6639323	1.0000000	0.1147124	0.5513027	0.0000000	0.6256853	0.9999999	0.5439871	0.7381630	0.6768087	1.0000000	1.0000000	0.2880221	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.5436228	1.0000000	0.1197037	1.0000000	0.7763075	0.3827094	0.9715120	0.1131357	0.8470949	0.9370158	0.1961663	0.2068012	0.9971688	0.8895118	0.1617789	0.1229999	0.0477903	0.2306879	0.9179321	0.4744520	0.2939503	0.0585627	0.5697166	0.7239595	0.5250265	0.6472801	0.9968870	0.9998544	0.9086660
0.8186749	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.0000002	0.0779202	0.5439871	0.7381624	0.6768085	1.0000000	1.0000000	0.2880214	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281449	0.9715120	0.5945622	1.0000000	0.9370158	0.0136939	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0449070	0.2306879	0.9179321	0.5523487	0.2939506	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8186744	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0000019	0.5439871	0.7381660	0.6768088	1.0000000	1.0000000	0.2880239	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.9999951	1.0000000	0.1197037	1.0000000	0.7763075	0.9281457	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0449070	0.2306879	0.9179321	0.5523482	0.2939498	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0470189	0.9086252
0.7657314	0.6639323	1.0000000	0.1407170	0.5513027	1.0000000	0.4723028	0.0779202	0.0000000	0.7381630	0.6768087	1.0000000	1.0000000	0.2880221	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	1.0000000	0.9665856	0.9715120	0.4963707	0.9458709	0.9370158	0.0935509	0.2068012	0.9971688	0.3511323	0.1617789	0.1229999	0.0478305	0.2306879	1.0000000	0.4734184	0.2939503	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.0175315	0.0487215	0.9090993
0.8007256	0.6639323	1.0000000	0.0029084	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.0000000	0.3103746	1.0000000	1.0000000	0.0157339	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9662819	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0458446	0.2306879	0.9179321	0.5262600	0.9999995	1.0000000	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8186748	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381630	0.0000011	1.0000000	1.0000000	0.2880221	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281450	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0449070	0.2306879	0.9179321	0.5523486	0.2939503	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8191816	0.0499132	1.0000000	0.0892203	0.5513027	1.0000000	0.4723030	0.0779202	0.5439871	0.7381627	0.8049145	0.0000000	1.0000000	0.2880221	1.0000000	1.0000000	1.0000000	0.1179697	1.0000000	1.0000000	0.4055823	0.8132745	1.0000000	0.1197037	1.0000000	0.7763075	0.9281449	0.9715120	0.5945622	0.9458646	0.0352539	0.0935791	0.2068012	0.9125078	0.4721188	0.1617789	0.0067994	0.0448813	0.0471221	0.9179321	0.5530734	0.2939502	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.6567635
0.7307654	0.6639323	1.0000000	0.0165406	0.0269464	1.0000000	0.2800463	0.0779202	0.5439871	0.7381624	0.6768085	1.0000000	0.0000006	0.2880214	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281449	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0500524	0.2306879	0.9179321	0.4188587	0.2939506	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.7999346	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.9999993	0.7848342	1.0000000	1.0000000	0.0000000	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9665856	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0458871	0.2306879	0.9179321	0.5250928	0.1487344	0.0544703	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
