YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.9257540	0.1589773	0.7363753	0.2417426	0.5877736	1.0000000	0.3669963	0.0779202	0.5440236	0.7107037	0.9091720	0.4901133	1.0000000	0.3226773	1.0000000	0.9147779	1.0000000	0.0564270	0.8202750	1.0000000	0.4474171	0.8116136	1.0000000	0.1695116	0.6194528	0.6781668	0.9395061	0.9737229	0.5913993	0.9800518	0.6011422	0.0358365	0.3396825	0.9787023	0.4587645	0.8676287	0.2303383	0.0402338	0.1496095	0.9179077	0.7156034	0.2867880	0.0057571	0.6155620	0.9403049	0.6614400	0.9162940	0.9976828	0.0006530	0.6005563
0.8213667	0.6140191	0.7516630	0.2760593	0.5231814	0.8476162	0.2118289	0.0588278	0.5440977	0.6900861	0.9110050	1.0000000	0.9986168	0.2185025	1.0000000	1.0000000	1.0000000	0.4814819	0.6564600	0.9843657	0.3308256	0.7361409	0.7894114	0.2411906	1.0000000	0.7762154	0.8120712	0.9190049	0.5914039	0.9978700	0.9460800	0.0058161	0.1432054	0.9971673	0.5194746	0.1160331	0.4971236	0.0447720	0.2366346	0.9178582	0.6198965	0.3373049	0.0068783	0.3885343	0.9756054	0.3456513	0.8698288	0.9793579	0.0001319	0.4894566
0.9994698	0.4838332	1.0000000	0.0229819	0.6718202	0.8288052	0.3481212	0.1025702	0.5440939	0.5950681	0.6229132	0.8165197	1.0000000	0.4955881	0.8611597	1.0000000	1.0000000	0.2378273	0.6621952	0.9871033	0.3653023	0.7543695	0.9709728	0.1995800	0.8679042	0.5402742	0.7845131	0.9191070	0.5913642	0.9838731	0.8912728	0.4464802	0.2808543	0.8498202	0.1293512	0.1040950	0.3769723	0.0176632	0.1264971	0.9178608	0.7714142	0.3909826	0.0098596	0.5399248	0.9860339	0.7259945	0.8695698	0.9793578	0.2461586	0.9137035
0.9027039	0.6140191	1.0000000	0.0128374	0.3974462	0.7724156	0.1229893	0.1180432	0.5105651	0.5917548	0.8036243	1.0000000	0.8614064	0.1960317	1.0000000	1.0000000	0.9251968	0.4854852	0.9538960	0.7632952	0.5440051	0.7688277	0.4357513	0.0956097	0.7920460	0.8036919	0.9490422	0.9667218	0.5761021	0.9997713	0.9017620	0.0009362	0.2504878	0.4696781	0.4431540	0.4089343	0.2328057	0.0411218	0.2393917	0.7578102	0.6577700	0.4143548	0.0124908	0.5695214	0.3685625	0.0852876	0.8686945	0.9785533	0.4796507	0.9997463
0.8663307	0.6842084	1.0000000	0.4093820	0.5356375	1.0000000	0.2997455	0.0167001	0.5440292	0.6600560	0.2814658	1.0000000	0.9219992	0.3922633	0.5346719	1.0000000	1.0000000	0.3393552	0.8022039	0.5338243	0.1815261	0.9800967	1.0000000	0.1274059	0.7353596	0.7762725	0.9491260	0.9153956	0.6246734	0.9912067	0.9017620	0.2947299	0.2916416	0.7409705	0.5346018	0.4065270	0.2768743	0.0195958	0.1731983	0.9179040	0.6261188	0.2095480	0.0078662	0.5399248	0.7757652	0.5118239	0.9638921	0.9793565	0.3062982	0.7823603
0.7234228	0.7876064	0.7296751	0.0594807	0.3585045	0.7772909	0.4029283	0.0577043	0.5439871	0.7142677	0.6634668	1.0000000	0.6954115	0.3181397	0.9234378	0.5774505	1.0000000	0.3851118	1.0000000	1.0000000	0.5761792	0.8853605	0.9170811	0.1197037	1.0000000	0.7763075	0.8584849	0.9195802	0.5800686	0.9301616	0.9017620	0.1511705	0.0201233	0.9971711	0.2587793	0.1617789	0.2160803	0.0505507	0.1707597	0.6694620	0.4027620	0.3147701	0.0075790	0.4608224	0.7038488	0.4494087	0.6426030	0.9793556	0.0001072	0.9636858
0.8190942	0.6944209	1.0000000	0.4968095	0.6652566	0.5726103	0.4797620	0.2536380	0.3980992	0.7447210	0.7916606	1.0000000	1.0000000	0.2799733	0.7766895	1.0000000	0.9289449	0.4683714	0.7969891	0.5840374	0.3636653	0.6004006	0.8536865	0.1779948	1.0000000	0.6768195	0.6899138	0.8922023	0.5330199	0.9425433	0.9429885	0.5638009	0.2363264	0.5521255	0.5286684	0.1617789	0.1162005	0.0448859	0.6794309	0.9805971	0.5483678	0.2823130	0.0069919	0.5819510	0.9506047	0.3987253	0.9444951	0.9943128	0.6964879	0.7292003
0.9983391	0.6140190	0.7558891	0.0248611	0.1358181	1.0000000	0.3283759	0.0614473	0.3958493	0.5937485	0.5291651	1.0000000	0.5713331	0.1267358	0.7171480	1.0000000	0.7065036	0.4933786	1.0000000	0.7658623	0.3638864	0.8117283	0.8241920	0.0747975	1.0000000	0.6918768	0.8370430	0.9081805	0.6124840	0.9534003	0.9017620	0.2559505	0.2068012	0.9971670	0.2421924	0.0380689	0.3633652	0.0377611	0.3863719	0.9811113	0.7788168	0.4135104	0.0090886	0.5781875	0.1087733	0.5299735	0.8714778	0.9726592	0.0001738	0.9645555
0.6247273	0.6307291	1.0000000	0.0318891	0.4926490	0.9732730	0.2804563	0.0187467	0.4406969	0.7433836	0.8502982	0.9278658	0.6450250	0.2816071	1.0000000	1.0000000	1.0000000	0.3138948	0.8322050	0.7322028	0.3281384	0.9762159	0.9263961	0.1653809	0.9649422	0.8573716	0.9370576	0.9691847	0.6700911	0.6846608	0.8870318	0.0148112	0.1065852	0.9960136	0.3722792	0.1986065	0.2091660	0.0587066	0.2821752	0.8389145	0.7011139	0.2431912	0.0051911	0.5399248	0.9338013	0.4858091	0.8712364	0.9942258	0.0000004	0.9887170
0.7027855	0.5839120	0.9739015	0.0644816	0.4529803	1.0000000	0.3696184	0.0159622	0.3477830	0.7447499	0.7690854	0.9603616	0.9200424	0.2799831	1.0000000	0.7725683	0.8333233	0.6261541	1.0000000	1.0000000	0.5271258	0.9820389	0.7153819	0.1197037	0.8432119	0.9177315	0.9175607	0.9784687	0.5220338	0.9234978	0.8941589	0.1610632	0.1712036	0.9965802	0.3300963	0.3820585	0.1929486	0.0293563	0.6096909	0.9898143	0.3702792	0.1873154	0.0029476	0.6044763	0.7038488	0.5311889	0.7637283	0.9883112	0.0000001	0.9086076
