YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.4093375	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381619	0.6768092	1.0000000	1.0000000	0.2880229	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281448	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0943751	0.2306879	0.9179321	0.0477152	0.2939497	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8191197	0.3319668	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381629	0.7707234	1.0000000	1.0000000	0.2880221	1.0000000	1.0000000	1.0000000	0.2597923	1.0000000	1.0000000	0.4055823	0.8227028	1.0000000	0.1197037	1.0000000	0.7763075	0.9281450	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971822	0.4721188	0.1617789	0.1229999	0.0448844	0.1151970	0.9179321	0.5529849	0.2939502	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8191910	0.6639323	0.5000011	0.0165405	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381621	0.6768088	1.0000000	1.0000000	0.2880219	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281448	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0448808	0.2306879	0.9179321	0.5530865	0.2939504	0.0585627	0.2136010	0.7239595	0.5250265	0.8855032	0.9968870	0.0472130	0.9086252
0.8191989	0.6639323	1.0000000	0.0082771	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381647	0.6768090	1.0000000	1.0000000	0.2880234	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281454	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0448806	0.2306879	0.9179321	0.5530934	0.2939493	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.7443214	0.6639323	1.0000000	0.0165406	0.2756590	1.0000000	0.2800463	0.0779202	0.5439871	0.7381619	0.6768092	1.0000000	1.0000000	0.2880229	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281448	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0491544	0.2306879	0.9179321	0.4402952	0.2939497	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.7733073	0.6639323	1.0000000	0.0709322	0.5513027	0.5000000	0.4431477	0.3651467	0.5439871	0.7381629	0.6768086	1.0000000	1.0000000	0.2880218	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.5983923	1.0000000	0.1197037	1.0000000	0.7763075	0.8295445	0.9715120	0.5921153	0.9577860	0.9370158	0.0791275	0.2068012	0.9971688	0.6025786	0.1617789	0.1229999	0.0473772	0.2306879	0.9179321	0.4851653	0.2939504	0.0585627	0.5697166	0.7239595	0.5250265	0.8746130	0.9968870	0.9463744	0.9086439
0.8186749	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.1400347	0.0779202	0.5439871	0.7381628	0.6768095	1.0000000	1.0000000	0.2880239	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281450	0.9715120	0.5945622	0.9996083	0.9370158	0.0151631	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0449070	0.2306879	0.9179321	0.5523483	0.2939490	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8186746	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0389669	0.5439871	0.7381638	0.6768060	1.0000000	1.0000000	0.2880158	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.9326716	1.0000000	0.1197037	1.0000000	0.7763075	0.9281450	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0449070	0.2306879	0.9179321	0.5523497	0.2939546	0.0585628	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0470498	0.9086252
0.7697167	0.6639323	1.0000000	0.0827103	0.5513027	1.0000000	0.3692384	0.0779202	0.2719937	0.7381629	0.6768086	1.0000000	1.0000000	0.2880218	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.9549604	0.9468644	0.9715120	0.5092446	0.9795625	0.9370158	0.0502213	0.2068012	0.9971688	0.3550392	0.1617789	0.1229999	0.0475887	0.2306879	0.9968783	0.4796596	0.2939504	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9627432	0.0487215	0.9086273
0.8013918	0.6639323	1.0000000	0.0165405	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.4723384	0.4676351	1.0000000	1.0000000	0.0665396	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9630502	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0458090	0.2306879	0.9179321	0.5272370	0.6207455	0.0758953	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
