YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.0000000	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381621	0.6768088	1.0000000	1.0000000	0.2880219	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281448	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.9999427	0.2306879	0.9179321	0.0045785	0.2939504	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8192272	0.0000012	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381629	0.8053349	1.0000000	1.0000000	0.2880221	1.0000000	1.0000000	1.0000000	0.1076486	1.0000000	1.0000000	0.4055823	0.8128957	1.0000000	0.1197037	1.0000000	0.7763075	0.9281450	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9972520	0.4721188	0.1617789	0.1229999	0.0448790	0.0436559	0.9179321	0.5531387	0.2939502	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8192272	0.6639323	0.0000000	0.0029157	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381627	0.6768087	1.0000000	1.0000000	0.2880221	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281449	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0448790	0.2306879	0.9179321	0.5531387	0.2939502	0.0585627	0.0297919	0.7239595	0.5250265	0.8855032	0.9968870	0.0470189	0.9086252
0.8192272	0.6639323	1.0000000	0.0000059	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381628	0.6768095	1.0000000	1.0000000	0.2880239	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281450	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0448790	0.2306879	0.9179321	0.5531379	0.2939490	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.7307569	0.6639323	1.0000000	0.0165406	0.0000059	1.0000000	0.2800463	0.0779202	0.5439871	0.7381621	0.6768088	1.0000000	1.0000000	0.2880219	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281448	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0500526	0.2306879	0.9179321	0.4188556	0.2939504	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.7664024	0.6639323	1.0000000	0.1147098	0.5513027	0.0000000	0.6256833	0.9999998	0.5439871	0.7381629	0.6768086	1.0000000	1.0000000	0.2880218	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.5436229	1.0000000	0.1197037	1.0000000	0.7763075	0.3827115	0.9715120	0.1131677	0.8471058	0.9370158	0.1961204	0.2068012	0.9971688	0.8895108	0.1617789	0.1229999	0.0477899	0.2306879	0.9179321	0.4744621	0.2939504	0.0585627	0.5697166	0.7239595	0.5250265	0.6472803	0.9968870	0.9998509	0.9086660
0.8186750	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.0000031	0.0779202	0.5439871	0.7381621	0.6768088	1.0000000	1.0000000	0.2880219	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281448	0.9715120	0.5945622	1.0000000	0.9370158	0.0136945	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0449070	0.2306879	0.9179321	0.5523486	0.2939504	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8186744	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0000042	0.5439871	0.7381660	0.6768075	1.0000000	1.0000000	0.2880202	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.9999753	1.0000000	0.1197037	1.0000000	0.7763075	0.9281456	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0449070	0.2306879	0.9179321	0.5523489	0.2939515	0.0585628	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0470195	0.9086252
0.7657317	0.6639323	1.0000000	0.1407130	0.5513027	1.0000000	0.4723003	0.0779202	0.0000003	0.7381629	0.6768086	1.0000000	1.0000000	0.2880218	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.9999998	0.9665854	0.9715120	0.4963719	0.9458772	0.9370158	0.0935230	0.2068012	0.9971688	0.3511324	0.1617789	0.1229999	0.0478302	0.2306879	1.0000000	0.4734255	0.2939504	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.0175442	0.0487215	0.9090993
0.8007256	0.6639323	1.0000000	0.0029132	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.0000000	0.3103770	1.0000000	1.0000000	0.0157340	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9662817	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0458445	0.2306879	0.9179321	0.5262609	0.9999989	0.9999692	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8186749	0.6639323	1.0000000	0.0165406	0.5513027	1.0000000	0.2800463	0.0779202	0.5439871	0.7381629	0.0000030	1.0000000	1.0000000	0.2880218	1.0000000	1.0000000	1.0000000	0.4374867	1.0000000	1.0000000	0.4055823	0.8437852	1.0000000	0.1197037	1.0000000	0.7763075	0.9281450	0.9715120	0.5945622	0.9933316	0.9370158	0.0284410	0.2068012	0.9971688	0.4721188	0.1617789	0.1229999	0.0449070	0.2306879	0.9179321	0.5523486	0.2939504	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.9086252
0.8191816	0.0499140	1.0000000	0.0892201	0.5513027	1.0000000	0.4723030	0.0779202	0.5439871	0.7381627	0.8049138	0.0000003	1.0000000	0.2880222	1.0000000	1.0000000	1.0000000	0.1179748	1.0000000	1.0000000	0.4055823	0.8132751	1.0000000	0.1197037	1.0000000	0.7763075	0.9281449	0.9715120	0.5945622	0.9458648	0.0352539	0.0935775	0.2068012	0.9124970	0.4721188	0.1617789	0.0068002	0.0448813	0.0471400	0.9179321	0.5530731	0.2939502	0.0585627	0.5697166	0.7239595	0.5250265	0.8855032	0.9968870	0.0487215	0.6567636
