YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.9257539	0.1589838	0.7363753	0.2417412	0.5877736	1.0000000	0.3669950	0.0779202	0.5440236	0.7107037	0.9091702	0.4901135	1.0000000	0.3226859	1.0000000	0.9147779	1.0000000	0.0564578	0.8202750	1.0000000	0.4474170	0.8116146	1.0000000	0.1695114	0.6194528	0.6781668	0.9395064	0.9737229	0.5913993	0.9800527	0.6011428	0.0358321	0.3396821	0.9786817	0.4587647	0.8676286	0.2303396	0.0402338	0.1496407	0.9179077	0.7156010	0.2867835	0.0057569	0.6155624	0.9403031	0.6614400	0.9162940	0.9976828	0.0006530	0.6005566
0.8213529	0.6140196	0.7516632	0.2760527	0.5231815	0.8476162	0.2118279	0.0588277	0.5440977	0.6901944	0.9109946	1.0000000	0.9986168	0.2185120	1.0000000	1.0000000	1.0000000	0.4814857	0.6564603	0.9843658	0.3308257	0.7361433	0.7894116	0.2411737	1.0000000	0.7762155	0.8121054	0.9190051	0.5914039	0.9978701	0.9460800	0.0058157	0.1432040	0.9971673	0.5194738	0.1160331	0.4971203	0.0447721	0.2366510	0.9178582	0.6198953	0.3372963	0.0068794	0.3885560	0.9755915	0.3456529	0.8698288	0.9793579	0.0001320	0.4894571
0.9994699	0.4838387	1.0000000	0.0229812	0.6718202	0.8288052	0.3481202	0.1025702	0.5440939	0.5950663	0.6229008	0.8165198	1.0000000	0.4955874	0.8611599	1.0000000	1.0000000	0.2378526	0.6621952	0.9871033	0.3653023	0.7543771	0.9709728	0.1995790	0.8679042	0.5402742	0.7845121	0.9191070	0.5913642	0.9838737	0.8912729	0.4464782	0.2808540	0.8498202	0.1293512	0.1040949	0.3769721	0.0176632	0.1265648	0.9178608	0.7714149	0.3909836	0.0098597	0.5399248	0.9860307	0.7259945	0.8695698	0.9793578	0.2461585	0.9137036
0.9027196	0.6140205	1.0000000	0.0128258	0.3974665	0.7724157	0.1229704	0.1180426	0.5105798	0.5916783	0.8035970	1.0000000	0.8614070	0.1959706	1.0000000	1.0000000	0.9252002	0.4854936	0.9538961	0.7632963	0.5440064	0.7688424	0.4357531	0.0956084	0.7920472	0.8036370	0.9490223	0.9667241	0.5761697	0.9997716	0.9017620	0.0009354	0.2504780	0.4696781	0.4431883	0.4089207	0.2327570	0.0411180	0.2394226	0.7577985	0.6578861	0.4144195	0.0124958	0.5695215	0.3684840	0.0852953	0.8686945	0.9785562	0.4796372	0.9997460
0.8663407	0.6842081	1.0000000	0.4093734	0.5356414	1.0000000	0.2997422	0.0167001	0.5440292	0.6600230	0.2814841	1.0000000	0.9219994	0.3922735	0.5346808	1.0000000	1.0000000	0.3393539	0.8022041	0.5338251	0.1815298	0.9800965	1.0000000	0.1274014	0.7353602	0.7762725	0.9491177	0.9154003	0.6246729	0.9912080	0.9017620	0.2947237	0.2916339	0.7409705	0.5345866	0.4065221	0.2768448	0.0195947	0.1731961	0.9179040	0.6261617	0.2095438	0.0078657	0.5399251	0.7755455	0.5118239	0.9638921	0.9793565	0.3062978	0.7823642
0.7234297	0.7876059	0.7296751	0.0594794	0.3585107	0.7772909	0.4029268	0.0577042	0.5439871	0.7142770	0.6634550	1.0000000	0.6954117	0.3181091	0.9234384	0.5774505	1.0000000	0.3851081	1.0000000	1.0000000	0.5761792	0.8853619	0.9170811	0.1197037	1.0000000	0.7763075	0.8584876	0.9195802	0.5800691	0.9301639	0.9017620	0.1511600	0.0201235	0.9971711	0.2587793	0.1617789	0.2160800	0.0505432	0.1707406	0.6694620	0.4029398	0.3147857	0.0075803	0.4608309	0.7038488	0.4494089	0.6426030	0.9793556	0.0001072	0.9636857
0.8190936	0.6944205	1.0000000	0.4967520	0.6652563	0.5726103	0.4797283	0.2536367	0.3981041	0.7447183	0.7916674	1.0000000	1.0000000	0.2799994	0.7766938	1.0000000	0.9289462	0.4683688	0.7969893	0.5840381	0.3636676	0.6004039	0.8536866	0.1779880	1.0000000	0.6768056	0.6899139	0.8922060	0.5330439	0.9425880	0.9429885	0.5637368	0.2363249	0.5521255	0.5286568	0.1617789	0.1162006	0.0448866	0.6794238	0.9805950	0.5483479	0.2823021	0.0069917	0.5819509	0.9505594	0.3987263	0.9444951	0.9943150	0.6961967	0.7292006
0.9983484	0.6140191	0.7558891	0.0248432	0.1358215	1.0000000	0.3283540	0.0614473	0.3958553	0.5937725	0.5291620	1.0000000	0.5713332	0.1267448	0.7171490	1.0000000	0.7065046	0.4933793	1.0000000	0.7658623	0.3638865	0.8117284	0.8241920	0.0747975	1.0000000	0.6918591	0.8370475	0.9081807	0.6125077	0.9534079	0.9017620	0.2559316	0.2068012	0.9971670	0.2422036	0.0380689	0.3633649	0.0377598	0.3863750	0.9811087	0.7788498	0.4135012	0.0090886	0.5781899	0.1087776	0.5299737	0.8714778	0.9726639	0.0001738	0.9645555
0.6247587	0.6307486	1.0000000	0.0318822	0.4926612	0.9732730	0.2804515	0.0187467	0.4406970	0.7433816	0.8502839	0.9278667	0.6450255	0.2816276	1.0000000	1.0000000	1.0000000	0.3139546	0.8322052	0.7322033	0.3281395	0.9762160	0.9263961	0.1653758	0.9649423	0.8573694	0.9370573	0.9691857	0.6700938	0.6846620	0.8870324	0.0148047	0.1065847	0.9960136	0.3722756	0.1986060	0.2091649	0.0586822	0.2822903	0.8389143	0.7012626	0.2431834	0.0051913	0.5399251	0.9337454	0.4858096	0.8712364	0.9942260	0.0000005	0.9887170
0.7028070	0.5839143	0.9739015	0.0644631	0.4529811	1.0000000	0.3696078	0.0159622	0.3477853	0.7447440	0.7690804	0.9603617	0.9200424	0.2799780	1.0000000	0.7725683	0.8333238	0.6261598	1.0000000	1.0000000	0.5271258	0.9820389	0.7153819	0.1197037	0.8432120	0.9177238	0.9175579	0.9784687	0.5220434	0.9235034	0.8941590	0.1610472	0.1712033	0.9965802	0.3300996	0.3820580	0.1929464	0.0293484	0.6097009	0.9898137	0.3704815	0.1873170	0.0029477	0.6044765	0.7038488	0.5311890	0.7637283	0.9883138	0.0000001	0.9086078
