YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.0000000	0.5820588	0.5726269	0.0166772	0.4507174	0.6390708	0.2387375	0.0898983	0.4405970	0.5195066	0.4866536	0.6761924	0.7174341	0.2393496	0.8220034	0.7438467	0.6267127	0.2396537	0.6749173	0.6608610	0.2842707	0.5422317	0.6287918	0.1070687	0.7260832	0.4430178	0.5427272	0.6858288	0.4587558	0.8268469	0.7543096	0.0286965	0.1359920	0.7321887	0.4771737	0.1079052	0.0418879	0.7984343	0.1954351	0.6230635	0.0089983	0.2106480	0.0322961	0.4076579	0.5470474	0.4816128	0.5969121	0.6596902	0.0809229	0.8350387
0.6487197	0.0000000	0.6636264	0.0378826	0.4311400	0.6859314	0.2370096	0.0713757	0.3702162	0.4569178	0.5341977	0.6777870	0.6545120	0.1985764	0.7355657	0.7587189	0.7444424	0.0941547	0.5919206	0.8045915	0.2919518	0.5808435	0.5983856	0.0732355	0.6823722	0.4649511	0.6052596	0.6667365	0.4912381	0.7430227	0.5367183	0.0386134	0.1135144	0.8593758	0.3287406	0.1055191	0.1243644	0.0340988	0.0396502	0.6779351	0.2959015	0.2122577	0.0521196	0.4515559	0.6092795	0.4266330	0.5960523	0.7334048	0.0656899	0.7461379
0.7063238	0.4503623	0.0000000	0.0017081	0.3342797	0.7241136	0.2352326	0.0379581	0.3474628	0.4914795	0.4736243	0.7630093	0.9174645	0.1556972	0.6751569	0.7282530	0.7320064	0.2808157	0.7194000	0.7278095	0.2550421	0.5154139	0.7673733	0.1012085	0.7214203	0.5116240	0.6342070	0.5341623	0.4968199	0.7487239	0.6498384	0.0244827	0.1233250	0.7881195	0.3370455	0.0570288	0.1009270	0.0281807	0.2299797	0.6790998	0.4756004	0.2605069	0.0437903	0.0655294	0.5965067	0.3864494	0.6245154	0.6727713	0.0248389	0.6060320
0.6886115	0.4480017	0.6124443	0.0000000	0.4021181	0.6511406	0.2135669	0.0672989	0.3805889	0.5673208	0.3779487	0.7315630	0.5811573	0.2121277	0.8040908	0.7167704	0.8233816	0.2534308	0.6158631	0.7784274	0.2997017	0.5472989	0.5816141	0.1353035	0.7130208	0.5977841	0.6207209	0.6227144	0.4279229	0.6187431	0.8399472	0.0548570	0.1654214	0.6988217	0.3434734	0.1947082	0.0910160	0.0354327	0.2208078	0.5738243	0.3886420	0.1817065	0.0449445	0.4294993	0.4418760	0.3375080	0.5856066	0.6574840	0.0267539	0.6354358
0.5090681	0.5481657	0.8303004	0.0055915	0.0000000	0.7488462	0.1726883	0.0608419	0.4365103	0.4632121	0.4370475	0.6724358	0.8425750	0.1658961	0.6936805	0.7710974	0.7055531	0.3109942	0.6963794	0.8699712	0.3911574	0.6826874	0.7004306	0.0898681	0.7181694	0.5336063	0.6839019	0.6504205	0.3996107	0.6121359	0.6734001	0.0054190	0.1124776	0.6680785	0.3585802	0.1579475	0.0690642	0.0765399	0.1714003	0.6858236	0.2047350	0.2424293	0.0591882	0.4901557	0.5325615	0.3740457	0.6701692	0.7532918	0.0410954	0.7448428
0.5358899	0.4866479	0.7193693	0.0803766	0.4485610	0.0000000	0.4034740	0.7008144	0.4140011	0.4553291	0.4234242	0.6907150	0.7559616	0.2497146	0.6490571	0.6154476	0.6108728	0.3431316	0.7184536	0.8152207	0.2142705	0.4107230	0.6743176	0.0859731	0.6758992	0.6181766	0.3391030	0.8434670	0.0448836	0.5142170	0.7064322	0.1403120	0.1210923	0.7988458	0.6267933	0.0864834	0.0471542	0.0389723	0.2230269	0.6310255	0.4208795	0.1727638	0.0661146	0.4085125	0.6694967	0.3775071	0.3244270	0.7104565	0.5874334	0.6485695
0.6331891	0.5374046	0.8266577	0.0354488	0.4060063	0.8309919	0.0000000	0.0571851	0.3530294	0.5155161	0.5902511	0.6765629	0.8884070	0.2292519	0.6575170	0.6346125	0.7091397	0.3427777	0.7159280	0.6188165	0.2421572	0.7166053	0.8246399	0.1164569	0.8115584	0.5840588	0.7146633	0.6716518	0.3762055	0.9471657	0.6785295	0.0089830	0.1526701	0.7295225	0.2532193	0.0940436	0.1334225	0.0163256	0.1842659	0.5887426	0.4561742	0.1965745	0.0675343	0.4266521	0.7282915	0.3666197	0.7279984	0.7652408	0.0184064	0.6481484
0.7092167	0.3813403	0.7245600	0.0106751	0.3916021	0.7068015	0.1955550	0.0000000	0.3561260	0.4914503	0.4822926	0.6776197	0.6998655	0.2379739	0.7478425	0.7524447	0.7370582	0.2530769	0.7706251	0.6875124	0.3425307	0.7874552	0.5654034	0.0651598	0.7456887	0.4672622	0.7590964	0.7618506	0.4496657	0.6419944	0.6565818	0.0109740	0.1564800	0.6646017	0.4105977	0.0870293	0.0931005	0.0711885	0.1748550	0.6651149	0.3383091	0.2480993	0.0233147	0.4710836	0.4755207	0.3636083	0.6761904	0.6745597	0.0184586	0.6768857
0.6577246	0.3983710	0.5673286	0.1273317	0.4106315	0.7054994	0.3149745	0.0918946	0.0000000	0.5636002	0.3801749	0.5910991	0.8788612	0.1997090	0.6663406	0.7548063	0.6582565	0.2204719	0.7612578	0.5877591	0.2445202	0.5021228	0.6870240	0.0990516	0.7704338	0.5057865	0.5788550	0.8262868	0.3563854	0.5278104	0.7191684	0.0756620	0.1672116	0.6725671	0.2129395	0.1450784	0.1172757	0.0716852	0.1715791	0.7205980	0.2991269	0.1620535	0.0296972	0.3665488	0.6059939	0.3333912	0.6491645	0.0231508	0.0474347	0.6672186
0.5950428	0.5721103	0.6776586	0.0037035	0.3926490	0.6352643	0.2427638	0.0740211	0.2815670	0.0000000	0.2861266	0.6890060	0.7084604	0.0071032	0.6526840	0.6505687	0.7760756	0.2835312	0.6386700	0.7011968	0.2787689	0.5940806	0.6549290	0.1014339	0.7312582	0.6515915	0.7245832	0.8367381	0.3933471	0.6408755	0.8095012	0.0127817	0.0940793	0.7235917	0.3354861	0.0933800	0.1449824	0.0259796	0.1891474	0.7104694	0.2960900	0.6345776	0.7932497	0.3643986	0.2760443	0.4588244	0.6770565	0.6947495	0.0309347	0.7067098
