YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.3163731	0.0277220	0.8051006	0.2226636	0.6981690	0.5566156	0.5109119	0.6904166	0.1638876	0.3196532	0.0704337	0.7075305	0.8372918	0.8092072	0.6954657	0.3947257	0.6423198	0.1652828	0.6488808	0.7632767	0.7440326	0.1147430	0.6850543	0.7409364	0.0670702	0.1379513	0.0922703	0.1334699	0.2126537	0.0315249	0.0499242	0.6324358	0.7102346	0.0157850	0.2245597	0.4333731	0.3309852	0.0453635	0.0410089	0.7760738	0.0853720	0.0714401	0.3664303	0.6845105	0.1308882	0.1867422	0.0811059	0.0279669	0.0699087	0.3311489
0.8179501	0.0123835	0.7629766	0.1973965	0.7645896	0.6714450	0.6147633	0.6486316	0.1940642	0.4502339	0.0405538	0.6512137	0.7923258	0.6109553	0.8111782	0.2932681	0.7092681	0.1914924	0.6126739	0.6084930	0.6966649	0.0650848	0.8379961	0.6770511	0.0862966	0.1037789	0.0771658	0.1652256	0.2872574	0.0220332	0.0557918	0.7662647	0.6935157	0.0075220	0.2148238	0.5324909	0.3098106	0.0398262	0.0065499	0.7116817	0.0339374	0.0628706	0.4940408	0.6424733	0.0886598	0.2730411	0.0541774	0.0218814	0.1574455	0.3876459
0.7364211	0.0405912	0.2853017	0.1426417	0.6084947	0.6773334	0.6005875	0.6230277	0.2806141	0.2741829	0.0865075	0.7022482	0.7245124	0.6672648	0.7833310	0.4259775	0.6422377	0.2558280	0.7801789	0.7310936	0.7047505	0.0941696	0.6748990	0.6497172	0.0283501	0.1315287	0.1119301	0.1581051	0.2561618	0.0123569	0.0473184	0.5474104	0.6496706	0.0256738	0.3093304	0.4731604	0.2138297	0.0433099	0.0298365	0.7362118	0.0707957	0.0694700	0.4597784	0.9051904	0.1153966	0.1511448	0.0502278	0.0141654	0.1175175	0.3195594
0.5856942	0.0366626	0.7454324	0.1219722	0.6656478	0.5779772	0.6017502	0.8641089	0.1683524	0.4122612	0.0839871	0.7810964	0.7903481	0.6609421	0.7132789	0.2995446	0.6619085	0.1449732	0.7041304	0.7165325	0.6868496	0.0694993	0.7456835	0.7624756	0.0706332	0.0915789	0.1414563	0.1807600	0.3419394	0.0196740	0.0506344	0.7538604	0.7203367	0.0163239	0.2378132	0.5007422	0.2784061	0.0229524	0.0537980	0.8164945	0.0252435	0.0578880	0.5115620	0.7110227	0.1279359	0.2326402	0.0469973	0.0273601	0.2087141	0.4214419
0.7569129	0.0382960	0.7582731	0.2142657	0.3965528	0.6757876	0.5376310	0.8041866	0.1591319	0.4176185	0.0705278	0.6571392	0.7078039	0.8098571	0.7047801	0.4477861	0.6493922	0.1557417	0.7371510	0.7265536	0.7716186	0.0599671	0.6596996	0.7865673	0.0825079	0.0788514	0.1100115	0.1344721	0.2385344	0.0274408	0.0614435	0.5227620	0.7636193	0.0069858	0.2261483	0.4796615	0.3199534	0.0620319	0.0733599	0.7590937	0.0549426	0.0990004	0.4745248	0.8938138	0.0667684	0.1879398	0.0456387	0.0183586	0.1368615	0.4056441
0.6370297	0.0325470	0.6711506	0.2385254	0.6496244	0.3312774	0.6354364	0.7909739	0.1943944	0.4717402	0.1019392	0.6869674	0.8270272	0.9399466	0.7730539	0.3255147	0.6536493	0.1719260	0.6949503	0.7543960	0.7370835	0.0704521	0.7104476	0.6514986	0.0453206	0.1007965	0.1300511	0.1586599	0.5250345	0.0197097	0.1433377	0.5802509	0.6845049	0.0023069	0.1534304	0.4318833	0.2521154	0.1020750	0.0354526	0.6865848	0.0535775	0.0927208	0.6249278	0.7689453	0.0615287	0.1406149	0.0786261	0.0282623	0.1831867	0.3605099
0.8304091	0.0281135	0.7092287	0.0600179	0.7439038	0.7532454	0.2988452	0.8019794	0.1752070	0.3274339	0.0665101	0.7218831	0.5013083	0.6877875	0.7564006	0.3270849	0.5882401	0.2517380	0.5937033	0.6234055	0.6472666	0.1124585	0.6922598	0.8015360	0.0650044	0.0718901	0.1340096	0.1651680	0.2485891	0.0244220	0.0425852	0.7130452	0.7973375	0.0105677	0.2227325	0.4464469	0.2549438	0.0625718	0.0093453	0.7624905	0.0229331	0.0295813	0.5432926	0.7361276	0.0552089	0.2641639	0.1198044	0.0325275	0.1595563	0.3524356
0.7193153	0.0142290	0.6811412	0.2571571	0.7543104	0.6659704	0.5733317	0.3055331	0.2418508	0.4399243	0.0860639	0.6787150	0.8238547	0.6734895	0.6424323	0.5329903	0.7075136	0.1482792	0.8301528	0.7361075	0.6782775	0.0379232	0.7741110	0.6986626	0.0926535	0.0804856	0.0953581	0.2204646	0.3135191	0.0191592	0.0672122	0.5359631	0.6911877	0.0226860	0.2252229	0.4743269	0.2786294	0.0374093	0.0782823	0.8120404	0.0535940	0.1041981	0.5315787	0.7397647	0.0579445	0.2275186	0.0651807	0.0151560	0.1141312	0.3811681
0.7413403	0.0248084	0.6632466	0.2491302	0.6868556	0.7393329	0.5468649	0.7455353	0.0762932	0.3720500	0.1059934	0.7254483	0.8028460	0.6710212	0.7594059	0.3699504	0.7560108	0.1586199	0.8212359	0.7117298	0.8198124	0.0626134	0.6413118	0.6410342	0.0716514	0.0973727	0.0813336	0.1960548	0.2467815	0.0197647	0.1113225	0.5411019	0.6970853	0.0110624	0.2321833	0.4802328	0.2412358	0.0398214	0.0139689	0.6862258	0.0385893	0.0758237	0.4874396	0.7031752	0.1041088	0.2665284	0.0594857	0.0205740	0.1642632	0.2839089
0.6791103	0.0465734	0.6684702	0.2539211	0.7629980	0.6092998	0.4331557	0.7824239	0.2101001	0.2496413	0.0562835	0.8261165	0.7930273	0.5910880	0.6710540	0.3420971	0.7273258	0.4439992	0.7247238	0.8082472	0.6107665	0.1165194	0.6811822	0.7126579	0.1086794	0.0713909	0.1036529	0.1675720	0.1886783	0.0134272	0.0553674	0.6421046	0.7985591	0.0237054	0.2387047	0.4922753	0.2947162	0.0936570	0.0462292	0.8378392	0.0324866	0.1186825	0.5629863	0.6820715	0.1489054	0.1637223	0.0768161	0.0143479	0.1037824	0.3674536
0.6852216	0.0080199	0.7646476	0.2258577	0.5659401	0.7075120	0.4572636	0.6858977	0.1996425	0.3605081	0.0244161	0.6640755	0.8144225	0.5758593	0.7151932	0.2225154	0.6116734	0.2237363	0.6595933	0.8081416	0.6656018	0.0757660	0.7313362	0.7728309	0.0914305	0.1020873	0.1032727	0.1668427	0.2671860	0.0171228	0.0470186	0.6669367	0.7270215	0.0111904	0.2703948	0.3977597	0.2910205	0.0603703	0.0190603	0.7853044	0.0729468	0.0589221	0.5381150	0.6832986	0.0476625	0.4018100	0.0647353	0.0221962	0.1313559	0.3738963
0.9150439	0.0143805	0.7892533	0.2812805	0.7865980	0.6512509	0.5190020	0.7031620	0.2431613	0.6939165	0.0951229	0.3553726	0.7377309	0.6463255	0.7480575	0.4304011	0.6554194	0.2384108	0.6423021	0.6402592	0.7303207	0.0746543	0.7281305	0.6197219	0.0615599	0.0855744	0.1262058	0.1730986	0.3386970	0.0081370	0.0525390	0.5897196	0.7484643	0.0160227	0.2178756	0.4195852	0.3849864	0.0713024	0.0356855	0.6846824	0.0612937	0.2472297	0.5712052	0.6957087	0.1050094	0.1742576	0.0540274	0.0282795	0.0848385	0.4005414
0.7094761	0.0071256	0.7527318	0.2557364	0.6379376	0.8113300	0.6238024	0.7360918	0.1730971	0.3062697	0.0693139	0.7012943	0.4066635	0.8056780	0.5874803	0.3647207	0.6634061	0.2148707	0.6562483	0.7187694	0.5896991	0.0869814	0.7026141	0.7815060	0.0788816	0.0999933	0.1521578	0.1684620	0.1881942	0.0307239	0.0592400	0.6222982	0.7242974	0.0260734	0.1942772	0.4870453	0.3252043	0.0592657	0.0253755	0.7096023	0.0637575	0.0696206	0.5598856	0.7024041	0.0748264	0.1681898	0.0716193	0.0228427	0.1390886	0.5871710
0.7731124	0.0127201	0.7108317	0.2242164	0.7953974	0.6423836	0.5379689	0.7614057	0.2004839	0.4403121	0.1132444	0.8100672	0.6162490	0.3176666	0.6584430	0.4004418	0.6318555	0.2425153	0.7132383	0.7960108	0.7374593	0.0817931	0.6626940	0.7522373	0.0746602	0.0906124	0.0751334	0.1778112	0.2814106	0.0064991	0.0657918	0.6904394	0.6941680	0.0168066	0.2426015	0.5761277	0.3052988	0.0594830	0.0464543	0.6647337	0.0570845	0.1192999	0.6296854	0.7185963	0.0953162	0.1510552	0.0600769	0.0194069	0.1560733	0.3044008
0.7754096	0.0407121	0.7855307	0.0411258	0.6982066	0.7864385	0.2125450	0.7353120	0.1804619	0.3105600	0.1881569	0.7403851	0.8943539	0.8726929	0.4409531	0.3522229	0.5952459	0.2527890	0.8251991	0.8815428	0.7377292	0.4870725	0.7633410	0.6854702	0.0891474	0.1724206	0.2646453	0.1561157	0.2268912	0.0219901	0.0558776	0.4317301	0.6958342	0.0283568	0.0785053	0.3407276	0.6311514	0.0428551	0.3826112	0.9468260	0.0575339	0.2494521	0.4403628	0.8070004	0.4245396	0.1187103	0.3083098	0.0339090	0.0941358	0.4434385
