YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.5226321	0.0024976	0.6078214	0.0120238	0.4975249	0.5944622	0.1116261	0.6427935	0.2133932	0.3371678	0.2951006	0.7341763	0.7452446	0.5998222	0.8424444	0.2388000	0.6484623	0.2318438	0.6721775	0.7294898	0.6773317	0.4165056	0.6768684	0.7040069	0.0865617	0.1141131	0.4100779	0.0595091	0.2190649	0.0204221	0.0212022	0.4918756	0.7766537	0.0005389	0.0026810	0.4562730	0.3058120	0.0003101	0.4614312	0.6923328	0.0134883	0.1765085	0.3785763	0.6148511	0.5807635	0.0230417	0.4605087	0.1727448	0.0950381	0.4529528
0.4347646	0.0087984	0.7244084	0.2872098	0.6999224	1.0000000	0.4554084	0.6456129	0.1792836	0.4188162	0.1074990	0.7517776	0.5039670	0.7676063	0.5657462	0.3061876	0.6927686	0.1941915	0.5693602	0.5965922	0.4641432	0.0791331	0.7250956	0.7642522	0.0745315	0.3483235	0.1108982	0.2075679	0.1728177	0.0260986	0.0458614	0.4381351	0.6318512	0.1484679	0.3783366	0.4146514	0.5525348	0.0995391	0.0476672	0.6407647	0.0307078	0.0681465	0.4354222	0.7566609	0.0856783	0.1800607	0.0697512	0.0057990	0.3300357	0.2625501
0.7374669	0.0013997	0.6978912	0.0090039	0.7038475	0.6819028	0.2166020	0.7358396	0.2117927	0.4316465	0.2544087	0.7531429	0.7560395	0.5426422	0.5353148	0.3753280	0.7099151	0.1721525	0.7127676	0.6748354	0.5558651	0.2292295	0.6067144	0.7958065	0.0021445	0.0608676	0.3513028	0.0009795	0.2434939	0.0237425	0.0845918	0.6515027	0.7416781	0.0001269	0.1379386	0.4574431	0.4933407	0.0503923	0.4723484	0.5993813	0.0837666	0.0856061	0.3805339	0.6344418	0.4772476	0.1256849	0.4779006	0.3058799	0.0000724	0.2920696
0.7237641	0.0544330	0.2588252	0.0172906	0.1315898	0.7039550	0.1388421	0.5445911	0.1834479	0.3626044	0.2130546	0.8562804	0.6646766	0.6441321	0.7458382	0.6532334	0.6836373	0.3103822	0.7126709	0.5470601	0.7873849	0.3298177	0.6239069	0.6557218	0.0711479	0.3275558	0.3693695	0.1697895	0.2358066	0.0202088	0.0682932	0.4980793	0.7140137	0.0115925	0.0482163	0.4852299	0.3876978	0.0765555	0.3749121	0.7387300	0.0317593	0.1555851	0.6974422	0.8399436	0.5052818	0.1267207	0.2741770	0.2734893	0.1820577	0.2156427
0.8688819	0.0288214	0.6594680	0.0095509	0.5057526	0.6644022	0.1306703	0.6504977	0.5176314	0.4833725	0.2493058	0.5784916	0.4840550	0.7993921	0.5456142	0.0768424	0.6671224	0.1325161	0.6259907	0.6849918	0.6931081	0.3508176	0.2701594	0.7711904	0.0399176	0.1099773	0.4319453	0.0041806	0.2220658	0.0137741	0.0037256	0.5555391	0.3834604	0.0031787	0.2863845	0.3781212	0.4096581	0.0000048	0.4537514	0.6498951	0.0699803	0.3769825	0.4382003	0.6689082	0.4031470	0.0008641	0.3926808	0.0328995	0.2925193	0.4121213
0.7205347	0.0056190	0.4021187	0.1913713	0.6286535	0.8806314	0.2053615	0.7437163	0.3592553	0.3021089	0.1385888	0.7658588	0.7586118	0.6793171	0.8473679	0.2178722	0.6217400	0.2113796	0.8534225	0.6649564	0.4868254	0.2854414	0.7529289	0.6489952	0.0888296	0.5564106	0.2806144	0.0003374	0.3382453	0.0230056	0.0102157	0.7426700	0.3914517	0.0093573	0.0532820	0.4726016	0.0738593	0.0011544	0.5124550	0.7288198	0.0511579	0.0904101	0.5589288	0.7508096	0.3120636	0.1694758	0.2407148	0.0375843	0.0656154	0.3684929
0.5779383	0.0282823	0.7217011	0.0057557	0.6073628	0.4795221	0.2011904	0.5708688	0.2994381	0.2136560	0.1601062	0.6996620	0.6880181	0.6912405	0.4833690	0.1799854	0.6809464	0.4873530	0.6382340	0.6990065	0.8416003	0.0489438	0.6036549	0.6935499	0.0019030	0.1372829	0.1508479	0.2645367	0.5158875	0.0344576	0.0904365	0.5047656	0.6890127	0.1667322	0.1543226	0.5001277	0.4363788	0.0794225	0.2108493	0.6899968	0.0408258	0.0496888	0.6365035	0.7087683	0.2478399	0.0115381	0.3953141	0.0124660	0.1314956	0.1358753
0.7030160	0.0293966	0.6754502	0.3270206	0.5407328	0.8026533	0.5346383	0.7053359	0.1944262	0.3358892	0.0506030	0.6930364	0.6599466	0.8775248	0.8314361	0.0791370	0.5687696	0.2171801	0.6711436	0.4762304	0.7342397	0.0163175	0.6568187	0.8224416	0.0779298	0.0018680	0.1686331	0.0002422	0.1735850	0.0021857	0.0677630	0.5929162	0.7567498	0.2519354	0.0961700	0.4613385	0.2457991	0.0000570	0.3341414	0.6582295	0.0499446	0.2523667	0.3864785	0.6371324	0.0602771	0.1517448	0.3365916	0.1488802	0.3631527	0.2651863
0.6793670	0.0002648	0.6483685	0.1057580	0.6991799	0.6651035	0.4729204	0.7266619	0.1462594	0.2609677	0.1195825	0.6421951	0.6164441	0.8488786	0.5916227	0.4313154	0.5570428	0.1851320	0.7253867	0.5719322	0.5537591	0.3021518	0.6230086	0.6986769	0.0007715	0.3887742	0.1536108	0.0023590	0.1985335	0.0100325	0.0179513	0.6483259	0.7373451	0.0048325	0.2566548	0.4537662	0.1713578	0.0526971	0.0931920	0.9091423	0.0565947	0.5152412	0.4276212	0.5949140	0.0978522	0.0637523	0.0199089	0.0027670	0.0000108	0.3319394
0.5814592	0.0159020	0.6922821	0.2526755	0.7006597	0.7973202	0.1347579	0.4673999	0.5288839	0.3911665	0.2711086	0.5978309	0.5555676	0.5841997	0.4860550	0.3052148	0.6810437	0.1057188	0.6818274	0.7885704	0.2654608	0.2736535	0.5243668	0.8029057	0.0065265	0.1414317	0.1877677	0.0973816	0.2768775	0.0256477	0.0161498	0.4874718	0.6840435	0.0039703	0.0629970	0.4251700	0.3482961	0.0000058	0.4895748	0.6130594	0.0785913	0.2764176	0.4122485	0.7278339	0.4811969	0.0000259	0.5339726	0.0749610	0.0057410	0.5496064
