YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.4939781	0.0273325	1.1042801	0.3292759	0.9714126	0.9639345	0.7253242	0.9325247	0.3243213	0.5083101	0.0777188	1.0557782	1.0336954	1.0914865	0.9593506	0.5151866	0.9178243	0.3144330	0.9509200	0.9979890	0.9371524	0.1520383	0.9470718	1.1750347	0.1084015	0.1332924	0.1574183	0.2250488	0.3834581	0.0346999	0.0746961	0.8176347	0.9788985	0.0134095	0.3052388	0.6159834	0.4658745	0.0797946	0.0754440	1.0777164	0.0849759	0.1172351	0.6569373	1.0645437	0.1883624	0.2043521	0.1370329	0.0358665	0.1466878	0.5446028
0.9924312	0.0100978	1.0755444	0.3030292	1.0029518	1.0169057	0.8352111	1.0669087	0.2759712	0.5039316	0.0879397	1.0075330	1.0311423	0.9980242	0.9735297	0.4291122	0.8638883	0.2921447	0.9223853	0.8931129	1.0074181	0.1157967	1.1480425	1.0539887	0.0993229	0.1292068	0.1059151	0.2594137	0.3638521	0.0286204	0.0784374	0.9476015	1.0031775	0.0109345	0.3304846	0.7380429	0.3893398	0.0685108	0.0136763	1.0311491	0.0583113	0.1127184	0.6884915	0.9944134	0.0991125	0.3605919	0.0674463	0.0375306	0.2002716	0.4819752
0.9859288	0.0646268	0.4480726	0.2522737	0.8564724	0.9745385	0.7457331	0.9725742	0.2806219	0.4897474	0.0708745	1.0530066	1.1018529	0.9786447	1.0068520	0.5132542	0.8749429	0.3825109	1.0610237	0.9459315	0.9759302	0.0933952	0.9623888	1.0272271	0.0630611	0.1511793	0.1068183	0.2387691	0.3763869	0.0179893	0.0794875	0.7658802	0.9544743	0.0277671	0.3647596	0.6658453	0.3500072	0.0809848	0.0381530	0.9902837	0.0842377	0.0860218	0.6652933	0.9793904	0.1278563	0.2399994	0.0925475	0.0313292	0.1754012	0.4552026
0.9731709	0.0488403	1.0329478	0.1615022	0.9087098	0.9405235	0.7984131	1.0232003	0.2675381	0.5325069	0.0872409	1.0018619	1.1245572	0.9524256	0.9623292	0.4361034	0.9073751	0.2618811	1.0696606	1.0426800	1.1497674	0.1118632	1.0367255	1.0994697	0.0971897	0.1339398	0.1916992	0.2780619	0.4767944	0.0132998	0.0784949	0.9494387	0.9932004	0.0314429	0.3133669	0.5999830	0.4354113	0.0482356	0.0361684	1.0499268	0.0495466	0.1031293	0.7458716	1.0598494	0.0975661	0.4007364	0.0707713	0.0360598	0.2470423	0.5803436
1.0432176	0.0343259	0.9945854	0.2755561	0.5016450	0.9940634	0.7400522	1.0617073	0.2828535	0.5181657	0.0799992	0.9950793	0.9718181	1.0502815	1.0001072	0.5324909	0.8756810	0.2340066	1.0177612	0.9962477	1.0391773	0.0953174	1.0107467	0.9855126	0.0813436	0.1442787	0.0939662	0.1869622	0.3972658	0.0265955	0.0821152	0.8418980	1.0618643	0.0134930	0.3523067	0.7201603	0.4326339	0.0569273	0.0397862	1.0355934	0.0671103	0.1241512	0.6556452	1.1001294	0.1156819	0.2712771	0.0806063	0.0296324	0.1948113	0.5762210
0.9881423	0.0367690	1.0242993	0.2623969	0.9552823	0.4902998	0.7564977	0.9998472	0.2507175	0.5815582	0.0866041	0.9207357	1.0010166	1.1091419	0.9866375	0.5555303	0.9163953	0.2541431	1.0391401	1.0147842	1.0538414	0.1156920	1.0239363	0.9958581	0.0865930	0.1450778	0.2059402	0.2632988	0.8278624	0.0225018	0.1705377	0.8604522	1.0558110	0.0037798	0.3027429	0.6215949	0.3808514	0.1059038	0.0312631	0.9584777	0.0675893	0.1313511	0.7621992	1.1039647	0.1103079	0.2036260	0.1013105	0.0248771	0.2057224	0.5974812
1.0163714	0.0253583	1.0015343	0.0937325	0.9270198	1.0116056	0.4765007	1.0831947	0.2711896	0.5382020	0.0940815	0.9726888	0.9428577	0.9668885	1.0289130	0.4708813	0.8679667	0.3309648	0.8814535	1.0450455	1.0431436	0.0970680	0.9862552	1.0434507	0.1008818	0.1183782	0.1371241	0.2714536	0.4161468	0.0259928	0.0704386	0.9759431	1.0388197	0.0096548	0.3701545	0.6501849	0.3577266	0.0862634	0.0142613	0.9830866	0.0572497	0.0870965	0.6905545	0.9902787	0.0752911	0.4905589	0.2387528	0.0180062	0.2235519	0.5313921
1.0617012	0.0319687	1.0315234	0.3735617	0.9183965	0.9994047	0.8035232	0.4621820	0.4161737	0.5868470	0.1042664	1.0297969	1.1232535	0.9810561	0.9607402	0.7891466	0.9199493	0.2160018	1.0823400	1.0254875	0.9840016	0.0921163	1.0190793	0.9797632	0.1146478	0.1304482	0.1556760	0.2871580	0.3578383	0.0210511	0.0825409	0.7845590	0.9468330	0.0107266	0.2986885	0.6053947	0.4543751	0.0686090	0.0884707	1.0588102	0.0680326	0.1119828	0.7188007	1.0516781	0.0853980	0.3308902	0.1071317	0.0166014	0.1433572	0.5604964
1.0242187	0.0348267	0.9864984	0.3506087	1.0351441	1.0377205	0.8144186	1.0357577	0.1300037	0.5113516	0.0603408	1.0100985	1.1487558	1.0470655	1.0246967	0.4751717	0.9822384	0.2965642	1.1108206	0.9962755	0.9736094	0.0995762	1.0048169	1.0528306	0.1132158	0.1524442	0.1124063	0.2974847	0.3623586	0.0413097	0.1146381	0.8563744	1.0144769	0.0204780	0.3418545	0.7306382	0.3849980	0.0753093	0.0238348	1.0195193	0.0617584	0.1093528	0.7256111	1.0155609	0.1084479	0.3384255	0.0771235	0.0401791	0.1710113	0.4770622
1.0020583	0.0290037	0.9526402	0.3506167	0.9609889	1.0209645	0.6375936	1.1038578	0.3268170	0.2400116	0.0866917	1.1189495	1.0764033	0.9883603	1.0045029	0.4681308	0.9352063	0.5312660	1.0275880	1.0701847	0.9846517	0.1361915	1.0043770	1.0474749	0.1204364	0.1287567	0.1820338	0.2566134	0.3216316	0.0232201	0.0720057	0.9201036	1.0518975	0.0161798	0.3362776	0.6253017	0.4526512	0.1076304	0.0654977	1.0561488	0.0682092	0.1329602	0.6917145	1.0125867	0.1656915	0.2033799	0.1039411	0.0327752	0.1580896	0.4988759
0.9660264	0.0131120	1.0751388	0.3891122	0.9477376	1.0019515	0.8612307	0.9861592	0.2771350	0.4921849	0.0484802	0.9824879	1.0551875	0.8976220	1.0872857	0.3560293	0.9083839	0.2976225	0.9170910	0.9870022	1.0182392	0.0946280	0.9880599	1.0782011	0.1108448	0.1193639	0.1961723	0.2623962	0.3341844	0.0309489	0.0721162	0.9347655	1.0067210	0.0165284	0.3756875	0.5993004	0.4373601	0.0878826	0.0209852	1.0254447	0.0744590	0.1063729	0.7219037	0.9692231	0.0695727	0.5755393	0.0931463	0.0295415	0.1676153	0.5569349
1.0485589	0.0362149	1.0199409	0.3082834	1.0257509	0.9559256	0.7213970	1.0679894	0.3491347	0.8890992	0.0998328	0.5270478	0.9561825	1.0519564	1.0264162	0.5684896	0.9333466	0.2843197	0.9414611	1.0186045	0.9502646	0.1250698	0.9375269	0.9199868	0.0921334	0.1417151	0.1954883	0.2317084	0.4503793	0.0197014	0.0816647	0.8833826	0.9657116	0.0197556	0.3261969	0.5850164	0.4276896	0.0803693	0.0582459	1.0445588	0.0758232	0.2799547	0.7629178	0.9510400	0.1479188	0.2355433	0.0937267	0.0312324	0.1521470	0.5329230
0.9671280	0.0156692	1.0277543	0.2441425	0.9463592	1.0161893	0.8140990	1.0512278	0.2695799	0.4874034	0.0944936	1.0818980	0.5253000	0.9623541	0.9633394	0.5259423	0.7581017	0.3004405	0.7722583	1.0236529	1.0297187	0.1332607	0.9957454	0.9911250	0.1262931	0.1467302	0.1875025	0.2546768	0.3604636	0.0381674	0.0850089	0.9417691	1.0456122	0.0301208	0.2801099	0.7016060	0.4466514	0.0731696	0.0457757	0.9206623	0.0789157	0.0803959	0.6959761	0.9797086	0.0972760	0.2083335	0.0824089	0.0401923	0.1807965	0.8580090
