YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.0000000	0.0245653	0.9835140	0.3025308	0.9453093	0.9777777	0.8005003	1.0369895	0.2948956	0.5233968	0.0563725	1.0030159	1.0058273	1.0586232	0.9534540	0.4711993	0.9658986	0.3137945	1.0086140	1.0856796	0.9843334	0.0924504	1.0647238	1.1127154	0.0945536	0.1579710	0.1443796	0.2624903	0.3643865	0.0228025	0.0711504	0.9043840	1.0369772	0.0201971	0.3364682	0.5953784	0.3982312	0.1066059	0.0310206	1.0453449	0.0847021	0.1267386	0.7375525	0.9952897	0.1032608	0.2867620	0.0821230	0.0350558	0.1802316	0.5473644
1.0367336	0.0000000	0.9849662	0.2342314	0.9639512	1.0361483	0.7918030	0.9671192	0.2766751	0.5651674	0.0793035	0.9591427	0.9556719	1.0597346	1.1013275	0.4989116	0.8479497	0.3158575	0.9687963	1.0573764	0.9401770	0.0894664	1.0008745	0.9270983	0.1177826	0.1407087	0.1689770	0.2662731	0.3753978	0.0244673	0.0679484	0.8967195	1.0882465	0.0151664	0.3221166	0.6623017	0.3689445	0.0747162	0.0296400	0.9900985	0.0791665	0.1138304	0.6865332	0.9327532	0.1107919	0.2852742	0.1057803	0.0337140	0.1497309	0.5753809
0.3698328	0.9268209	0.0000000	0.3623903	0.9004582	0.9846997	0.7940120	0.9992296	0.2630301	0.5480306	0.1007120	0.9748571	1.0436058	0.9790135	1.0427936	0.5450226	0.8899921	0.4383540	1.0036204	1.0406257	1.0318105	0.1078960	1.0375318	1.1694789	0.1093092	0.1451192	0.1623295	0.2770144	0.4379598	0.0215627	0.0758094	0.9370845	0.2341642	0.6496606	0.3537115	0.7031408	0.4648107	0.0991372	0.0341372	0.9612584	0.0759339	0.0851680	0.7131891	1.1470735	0.1435322	0.1958440	0.0652469	0.0345305	0.2435568	0.5655350
1.0559520	0.0232595	0.9812792	0.0000000	0.8949813	1.0015794	0.7578451	1.0201769	0.2403741	0.5071437	0.0935672	0.9952006	1.0581300	0.9185860	1.0926213	0.4334778	0.8251442	0.3116127	0.9886361	1.0120676	1.0664169	0.1045587	1.0380802	1.0138345	0.1050068	0.1018071	0.1957609	0.2641202	0.3931312	0.0137288	0.0861503	0.9653514	1.0430802	0.0075145	0.3713749	0.7216999	0.3781960	0.0826666	0.0510222	0.9409703	0.0728908	0.1242309	0.7680173	1.0204111	0.1083031	0.1797839	0.0864514	0.0243587	0.1870413	0.7369732
0.9286568	0.0354832	1.0822527	0.3050014	0.0000000	1.0480894	0.8352787	0.9449976	0.2816698	0.5051725	0.0730079	1.0057385	0.9750290	0.9856208	1.1182033	0.4782113	0.9465119	0.3405072	0.8844903	0.9657478	0.9825088	0.1172006	0.9569191	1.0208766	0.0961359	0.1483960	0.0531761	0.2581099	0.4223714	0.0281961	0.1001082	0.8478268	0.9261717	0.0106757	0.3614229	0.6783492	0.4085108	0.0768991	0.0382764	0.9836531	0.0480484	0.1281350	0.8013211	0.9668008	0.1127386	0.2186208	0.1206586	0.0404926	0.1473719	0.6088866
0.9554925	0.0325651	1.0120124	0.3785730	0.8483365	0.0000000	0.8169961	0.9324485	0.2926847	0.4975987	0.0840895	0.9942817	1.0410034	1.0686233	1.0523870	0.5126674	0.9441719	0.2626400	1.0061298	1.0620209	1.0376107	0.0996999	0.9977430	1.0282415	0.1132255	0.1719980	0.1523343	0.2476894	1.0171463	0.0286912	0.9856696	0.8513264	1.0709562	0.0126643	0.3634047	0.6694385	0.3925093	0.0769844	0.0464658	0.0173799	0.0527117	0.1038626	0.6543906	1.0351106	0.1095685	0.3216882	0.0963501	0.0495343	0.2017534	0.5943438
0.9934717	0.0341124	1.0652029	0.0206633	0.9297265	1.0355424	0.0000000	1.0438889	0.3007388	0.4494886	0.0755499	1.0870353	0.9984327	0.9960010	1.0609854	0.4944143	0.9331169	0.3580182	1.0848436	0.9872330	1.0754061	0.0938262	1.0223252	1.0564823	0.0826423	0.1129479	0.0543763	0.2422577	0.3294028	0.0310473	0.0675619	0.9148855	0.9967188	0.0204149	0.3849445	0.7380605	0.3317434	0.0867503	0.0310443	0.9428352	0.0697831	0.1095157	0.6594426	0.9866289	0.1342997	0.2313523	0.7379022	0.0344317	0.2316301	0.4865800
0.9860451	0.0297799	0.9728126	0.2855406	0.9966065	0.9973947	0.7570270	0.0000000	0.6538692	0.5226606	0.0817548	1.0712336	0.9932521	0.9598954	1.0849843	0.9694287	0.9353947	0.2530321	1.0407772	1.0477259	0.9759479	0.1192769	1.0284897	1.0720150	0.0876872	0.1357672	0.1956614	0.2881163	0.3506260	0.0336127	0.0814253	0.8620264	1.1271355	0.0120497	0.3139593	0.6514123	0.3682174	0.0746489	0.5751606	0.9539852	0.0891184	0.1217505	0.7911935	0.9438847	0.0926620	0.2251538	0.0870714	0.0326019	0.1650591	0.7111145
1.0199979	0.0306788	1.0596254	0.4217505	0.8983523	1.0375712	0.8817766	1.0480740	0.0000000	0.5053472	0.0760116	0.9840067	1.0656411	1.0517632	1.0681050	0.3751309	0.8537644	0.2738775	1.0402920	1.0256306	0.9536670	0.1183730	1.1088104	0.9391263	0.0834990	0.1471282	0.1092259	0.2935145	0.4668402	0.0393559	0.0757776	0.8863969	1.0756591	0.0050481	0.3362478	0.6267134	0.3979051	0.0932639	0.0294789	0.9877364	0.0552954	0.1128094	0.6554652	1.0066498	0.0843991	0.3305607	0.0566665	0.0303167	0.1646052	0.4834679
0.9969232	0.0399861	0.9829574	0.3493946	0.8991091	1.0470418	0.7608641	1.0404199	0.3106688	0.0000000	0.1087585	0.9633511	1.0217046	0.9608509	0.9976758	0.4871898	0.9354569	0.6965681	0.9491525	1.0788592	1.0494817	0.1033601	1.0309468	1.0836288	0.0939680	0.1209112	0.1415483	0.2403008	0.3918895	0.0184170	0.0746670	0.8511347	1.0255507	0.0241275	0.3450202	0.6963381	0.3515425	0.0784674	0.0293887	0.9686074	0.0738072	0.1132555	0.6969441	0.9720924	0.0958873	0.3027323	0.0926252	0.0314548	0.1929780	0.5569986
