YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.6635025	0.0098555	0.9290034	0.0171987	0.7260743	0.9846038	0.2099466	0.7517948	0.2546797	0.5236669	0.4727594	0.9717451	1.0300975	0.9846780	1.0221372	0.2417204	0.8713909	0.2795584	0.9846711	1.0510618	0.9660819	0.7379187	1.0113349	1.0032929	0.1040443	0.2369511	0.5475072	0.0976226	0.3417653	0.0208431	0.0258114	0.8702201	1.0343961	0.0007998	0.0038471	0.6490806	0.4434983	0.0001245	0.7007005	0.9977387	0.0390156	0.2912608	0.6516395	0.9405272	0.8053387	0.0343777	0.7249926	0.2944008	0.0990087	0.6599259
0.6911620	0.0104185	0.9695644	0.3583521	0.9664086	1.0900590	0.7271769	0.8387726	0.2675579	0.5126906	0.1224962	0.9617780	0.8627806	0.9564000	0.7787962	0.4068889	0.9209812	0.2817101	0.9208051	0.9630387	0.8462280	0.1327910	1.0031637	1.0032550	0.1016899	0.5285366	0.1556837	0.2631976	0.3335908	0.0313620	0.0613377	0.7974330	1.0110401	0.2002488	0.4097976	0.5768383	0.7001654	0.1010352	0.0332103	0.9958220	0.0365099	0.0909874	0.6171184	1.0245808	0.1508364	0.1804657	0.1037443	0.0047596	0.4297508	0.4327247
0.9857030	0.0006985	0.9861016	0.0170058	0.9122739	1.0512241	0.2627330	0.9855650	0.2391991	0.5156965	0.3584357	0.9692656	1.0023995	0.8082840	0.7327267	0.5477999	0.9424765	0.1904183	0.9898319	1.0361868	0.7782316	0.4044044	1.0333832	0.9947992	0.0021181	0.1082553	0.4506227	0.0024947	0.3593336	0.0287894	0.0814385	0.7863659	1.0223791	0.0003873	0.1833314	0.6395597	0.7509534	0.0747964	0.4849178	0.9982813	0.0810091	0.1521806	0.6632619	0.9431134	0.6675321	0.1752193	0.5769428	0.4500653	0.0003152	0.3962882
1.0068849	0.0805524	0.4304085	0.0305320	0.1306689	0.9902240	0.1567400	0.8061333	0.2107917	0.4871713	0.3689637	1.0564892	0.9924842	0.8283224	0.9246295	0.8857672	0.9845069	0.4630179	1.1100431	0.7471372	1.0273351	0.5060345	0.9325259	0.9792987	0.1098854	0.4441076	0.4516224	0.2183578	0.4239419	0.0296102	0.1003940	0.7542173	0.9316219	0.0117904	0.0303368	0.7311867	0.5307088	0.0805692	0.4888397	1.0202081	0.0682216	0.2201046	1.0190491	1.0485491	0.7350331	0.1614860	0.4131240	0.4809027	0.2563330	0.3726836
1.0676412	0.0350995	1.0393383	0.0100162	0.7984287	1.0477964	0.2094155	1.0287683	0.7403573	0.6015676	0.3172105	0.7783984	0.7406716	1.0046987	0.7648262	0.0945798	0.8385722	0.2213379	0.8776300	0.9198984	0.9471476	0.5165443	0.4415578	1.0462935	0.0756639	0.1088688	0.5552331	0.0016886	0.3461413	0.0290140	0.0041617	0.7831612	0.5855230	0.0084088	0.3478361	0.6127345	0.5206203	0.0000152	0.6514712	0.9083119	0.0788625	0.5447109	0.5857380	1.0019452	0.5476055	0.0025640	0.4629322	0.0481202	0.4171771	0.6737762
1.0530448	0.0128113	0.6499517	0.2134376	0.8193963	1.0716293	0.2910585	0.9824567	0.5206748	0.4736677	0.2243056	0.9791785	0.9581691	1.0160157	1.0803774	0.2540632	0.8659420	0.2203654	0.9525262	1.0502142	0.7764706	0.3117121	0.9851676	0.8409894	0.0997753	0.7648603	0.3988136	0.0007849	0.4099913	0.0296230	0.0247819	0.8918457	0.6074363	0.0138077	0.0733489	0.6850597	0.1546002	0.0012244	0.6959319	1.0536751	0.0713429	0.1220424	0.8090092	1.0272473	0.5137292	0.2233544	0.4162224	0.0635423	0.0522857	0.5800500
1.0101713	0.0534156	1.0014264	0.0124130	0.7662370	0.6219542	0.2380455	0.9960008	0.3174125	0.2793514	0.2109808	1.0194488	1.1017025	0.9707506	0.6994644	0.2092238	0.8604018	0.6361703	0.9489347	1.0267002	0.9893729	0.0572267	0.9708304	0.9828864	0.0086928	0.1884941	0.1897510	0.2594673	0.7164530	0.0233494	0.1416511	0.8015590	1.0042796	0.1881809	0.1285660	0.7022909	0.6372558	0.0752520	0.3375779	0.9597711	0.0607738	0.0600443	0.7922109	0.9218331	0.2914806	0.0366730	0.4742652	0.0151442	0.1884635	0.2296922
0.9525910	0.0473241	0.9651890	0.4936285	0.9379905	1.0934781	0.7389773	0.9964259	0.2738716	0.4847831	0.0894948	1.0140274	0.9870190	0.9900646	1.0901459	0.1709860	1.0096389	0.3296073	0.9773018	0.8118605	1.0270381	0.0331775	1.0145967	1.0355698	0.0919589	0.0050528	0.2310400	0.0002099	0.2441689	0.0047226	0.0902821	0.9121437	1.0074424	0.3890310	0.0801410	0.5924512	0.3762141	0.0001234	0.4317694	0.9823598	0.0803103	0.3301425	0.5991844	1.0321213	0.1089866	0.2373959	0.5143207	0.2025238	0.5171876	0.4234560
0.9642254	0.0009863	1.0207113	0.1976430	0.9645954	0.9552719	0.6656864	0.9475085	0.2040961	0.4113219	0.1728695	0.9439053	0.9504612	1.0726921	0.9314671	0.7189842	0.7821070	0.3051901	0.9814326	0.9227453	0.7679420	0.4566186	0.9219070	1.0365444	0.0021483	0.6244556	0.2371693	0.0011225	0.2525992	0.0289986	0.0229235	0.9637917	1.0338337	0.0025978	0.3548782	0.6123073	0.1985788	0.0655583	0.1307832	1.1179779	0.0456488	0.6899780	0.6356661	1.0006099	0.1718313	0.1002244	0.0297506	0.0038159	0.0000342	0.5261662
0.9277163	0.0247432	1.1274861	0.3673325	1.0203210	0.9743365	0.2138377	0.6819285	0.7069439	0.5398386	0.3639473	0.9412953	0.7400601	1.0077021	0.7524749	0.4681008	0.9794217	0.1341327	1.0090739	1.0367636	0.4162020	0.4268153	0.7436531	1.0222160	0.0036661	0.2220149	0.2106541	0.1626421	0.4078751	0.0371336	0.0218636	0.7387565	0.9728865	0.0046262	0.0732608	0.6496285	0.5098819	0.0000126	0.7625532	1.0173580	0.1205056	0.5349728	0.6204550	0.9370003	0.7365795	0.0000466	0.7717174	0.0968976	0.0075020	0.6029013
