YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.5402448	0.0213613	1.0222000	0.3139318	0.8736918	0.9430793	0.7364317	0.9449062	0.3116546	0.4614213	0.1133748	0.9905210	0.9672030	1.0801381	0.9243434	0.5467913	0.9008599	0.3350917	1.0424442	0.9516588	0.8875501	0.1686984	0.9725038	1.1741978	0.0868015	0.1223027	0.1612628	0.2070852	0.3494345	0.0242202	0.0805602	0.8645939	1.0587788	0.0170951	0.2948961	0.6336414	0.4131951	0.0773420	0.0582303	1.0107884	0.0644604	0.1529939	0.7044435	1.0426165	0.1607709	0.1813578	0.1289802	0.0247424	0.1971519	0.5948934
0.9971520	0.0097561	1.0506697	0.2795216	0.9008822	0.9656356	0.8009588	0.9736807	0.2370005	0.4807626	0.0594682	1.0321235	1.0939386	0.9957802	0.9284246	0.4567260	0.8817809	0.2784087	0.9600760	0.9443553	1.0615212	0.1094386	1.0805958	0.9824499	0.0716378	0.1196183	0.1449471	0.2472138	0.3519977	0.0174638	0.0871925	0.9497151	1.0029511	0.0067830	0.3909080	0.7276234	0.4249105	0.0784934	0.0296161	1.0743816	0.0780025	0.1089993	0.7503272	1.1333090	0.1097149	0.2918856	0.0868605	0.0290446	0.1924813	0.4654158
0.9065604	0.0705118	0.4389487	0.2973188	0.8239574	1.0977289	0.7707979	0.9778944	0.2281967	0.5305575	0.0892026	1.0607906	1.1669210	1.0378325	1.0164771	0.5649066	0.9821286	0.4182152	0.9960729	0.9967240	0.9904709	0.1154963	0.9714294	0.9531631	0.0951339	0.0905866	0.1259453	0.2548328	0.3838631	0.0228550	0.0464947	0.8251209	1.0289341	0.0310271	0.3710833	0.6576053	0.3437774	0.0640976	0.0309540	0.9409838	0.0975576	0.1335032	0.7067397	0.9559293	0.1308699	0.2387878	0.0995391	0.0282060	0.1253881	0.5079893
1.0034998	0.0426392	1.0496973	0.1309521	0.9507727	0.9473702	0.8718363	1.0018429	0.3127066	0.5375387	0.0660437	1.0766193	1.1184534	0.9974429	1.0079870	0.4431912	0.9090291	0.3245263	1.1689981	0.9546097	1.1057446	0.1283194	1.0158511	1.1058571	0.1001453	0.1386080	0.1980368	0.2740495	0.4193373	0.0143451	0.0729820	0.8869810	1.1148446	0.0216815	0.3153039	0.5850117	0.4013936	0.0629710	0.0264401	1.0215063	0.0484431	0.1071037	0.7665771	1.0706963	0.0875844	0.5174037	0.0736920	0.0385585	0.2615577	0.6123527
0.9193142	0.0244808	1.0109423	0.2934929	0.4600113	0.9166784	0.7489733	0.9429680	0.2872588	0.5420071	0.0749609	1.0384615	0.9527285	1.0163609	0.9543082	0.4882274	0.9237500	0.3122818	1.0634775	1.0636150	1.1179986	0.0878140	0.9676485	0.9990818	0.0933190	0.1362362	0.1114405	0.2163631	0.3405166	0.0223414	0.0679707	0.9342927	1.0824149	0.0161562	0.3012468	0.6982149	0.4390799	0.0705875	0.0668232	1.0049327	0.1082680	0.1133581	0.6703862	1.0700978	0.1250295	0.1905434	0.0884669	0.0293473	0.1953128	0.6463422
0.9782332	0.0264654	1.1042687	0.2516334	0.9868447	0.5472615	0.7883250	0.9586036	0.2992485	0.5647921	0.0882154	0.9301052	1.0133598	1.0344451	0.9328861	0.5994658	0.9646400	0.2763550	1.0287962	0.9695064	1.0581822	0.1212615	0.9467933	0.9630595	0.1134921	0.1843237	0.2059418	0.2532436	0.8041418	0.0356245	0.1768878	0.8179843	1.0013380	0.0097767	0.3325183	0.6521724	0.4045967	0.1151356	0.0486655	0.9196908	0.0971862	0.1392493	0.7612420	1.1040004	0.0983675	0.2099836	0.0959408	0.0275038	0.1629041	0.6004737
1.0317519	0.0284588	0.9206473	0.0816348	0.9243289	1.0121900	0.4490961	1.1304277	0.2750231	0.6032125	0.0633762	1.0063777	1.0583354	0.9801085	1.0491379	0.4345976	0.8649992	0.3303909	0.9586891	1.0876348	1.1042320	0.0967607	0.9668669	1.0847116	0.0824026	0.1363176	0.1521516	0.2754060	0.4924225	0.0246119	0.0615067	0.9349457	1.1109369	0.0072523	0.3537937	0.6781865	0.3191503	0.0842847	0.0323501	0.9688673	0.0807229	0.0807743	0.6835363	1.0006726	0.0682611	0.4563753	0.2501234	0.0235384	0.2834298	0.5444693
1.0830410	0.0215630	0.9733330	0.4070297	0.9432282	1.0004147	0.9025164	0.4955022	0.4184948	0.5732973	0.0756938	0.9974417	1.0731733	0.9718275	0.9281388	0.6989839	0.8498195	0.1833786	0.9355964	1.0041781	1.0086510	0.0943892	1.0030929	0.9843205	0.0941580	0.0975952	0.2143449	0.2679146	0.3061558	0.0398526	0.0845784	0.8346276	0.9289671	0.0075177	0.3382908	0.6503019	0.4186585	0.1220663	0.0743145	1.0088020	0.0457025	0.0925305	0.7472402	1.1296811	0.0755266	0.3852628	0.1254053	0.0208523	0.1744827	0.5690785
0.9036440	0.0479348	1.0160855	0.4065373	1.0076458	0.9200330	0.8580047	1.0101596	0.1089222	0.4574648	0.0604954	1.0548052	1.1296128	0.9903042	1.0607619	0.4698577	0.9677879	0.2561022	1.0441158	1.0658720	0.9206998	0.1159568	0.9672730	1.0370001	0.0802356	0.1474101	0.1725962	0.2614426	0.3505617	0.0441168	0.1137422	0.8491825	0.9958125	0.0145757	0.3267310	0.7927790	0.4178455	0.0697701	0.0147667	1.0880754	0.0570925	0.1178931	0.6807706	1.0932421	0.1038693	0.4090718	0.0799983	0.0282168	0.1543686	0.5162088
0.9839819	0.0369188	1.0559159	0.3341834	0.9734066	1.1318840	0.6979549	1.0897639	0.3068838	0.2347145	0.1191516	0.9468997	1.1076226	0.9906038	1.0104585	0.5128818	0.8567782	0.4801198	1.1399506	1.0786135	0.9570048	0.1335909	1.0459985	1.0043057	0.1124565	0.1549043	0.1900725	0.3393104	0.3015758	0.0141072	0.0987122	0.9135735	1.0479900	0.0142501	0.3104590	0.6793770	0.3688408	0.1025831	0.0278003	1.0940475	0.0495955	0.1149094	0.7031293	1.0894095	0.1204006	0.2278224	0.0989772	0.0523783	0.1862429	0.5022246
