YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.0000000	0.0469290	0.9479174	0.2941073	0.8877056	0.9977771	0.8602429	0.9588602	0.2838118	0.5594857	0.0808196	0.9786421	1.0955514	1.0686633	0.9568913	0.4438916	0.9733498	0.2899759	1.1162461	1.0366197	0.9939596	0.0874661	1.0776912	1.1173529	0.1259691	0.1194494	0.1736556	0.2903231	0.4427753	0.0349411	0.0860347	0.9617686	0.9878050	0.0087401	0.3172163	0.6130809	0.4282484	0.0647762	0.0576070	0.9861723	0.0601307	0.1393748	0.6639735	1.0029643	0.1001980	0.2654256	0.0601590	0.0343597	0.1892301	0.5819896
1.1404770	0.0002575	0.9574663	0.2771977	1.0005470	1.0199705	0.7395890	0.9582321	0.2784147	0.5311199	0.0690648	0.8042808	0.9767185	1.1240995	1.0782375	0.5460135	0.9369913	0.2724155	1.0149236	1.1047287	1.0678293	0.1091551	0.9647909	0.9820533	0.0911355	0.1240830	0.1464864	0.2653905	0.3562964	0.0372660	0.1050848	0.9412207	1.1391489	0.0073276	0.3422590	0.6329190	0.3033554	0.0611702	0.0377466	1.0281210	0.0828533	0.1095337	0.7164438	0.9058343	0.1353081	0.2364559	0.1351234	0.0283750	0.1650502	0.5392914
0.3049394	0.9388030	0.0000000	0.3701701	0.9100628	0.9679418	0.8473636	1.0488255	0.2833556	0.5537283	0.0792098	0.9761540	1.0748093	0.8747822	0.9888721	0.5079460	0.9476755	0.4413671	1.0491326	1.0106356	1.1125200	0.1054402	0.9700318	1.0225592	0.1150671	0.1691894	0.1805817	0.2580283	0.4973884	0.0296730	0.0773322	0.8225086	0.2177956	0.6319177	0.2772192	0.6698417	0.3978650	0.0748152	0.0370002	0.8720680	0.0785821	0.0978795	0.7632614	1.1066791	0.1320045	0.2059411	0.0628967	0.0412503	0.2394931	0.5510267
1.0691862	0.0200328	0.9627077	0.0000000	0.8635488	0.9488957	0.8106366	0.9696003	0.2546169	0.4302573	0.0829949	1.0224263	0.9159028	0.9243096	1.1132989	0.4057083	0.8427470	0.3176340	1.0480512	0.9831352	0.9899810	0.0887210	1.0296207	0.9590785	0.1210454	0.1308443	0.2230395	0.2384152	0.3783984	0.0126317	0.0641751	0.9430454	0.9965528	0.0256286	0.3025195	0.7422085	0.4003960	0.0887824	0.0584571	0.9954492	0.0892276	0.1387345	0.7382517	1.0098439	0.0981521	0.2189356	0.1076507	0.0204604	0.1996953	0.6754523
1.0591225	0.0234327	1.1718681	0.2858075	0.0000000	1.0019203	0.8259845	1.0796409	0.3087590	0.4778630	0.0853646	1.0586874	1.0641834	0.9765016	1.0490049	0.4689523	0.8981762	0.3501563	0.9603357	0.9747980	0.9338762	0.1363726	0.9702562	0.9861653	0.1046060	0.1191454	0.0649347	0.2597419	0.4100633	0.0357421	0.0854710	0.8289704	0.9635366	0.0046384	0.3454858	0.5618176	0.4186535	0.0825950	0.0392931	0.9762287	0.0683174	0.1075338	0.7304766	0.9005749	0.1101476	0.2591647	0.0675938	0.0347550	0.1654553	0.5375350
0.9517510	0.0428111	1.0682808	0.3732011	0.8081456	0.0000000	0.8444251	0.9022552	0.2700378	0.4931514	0.0634341	1.0384235	0.9838480	1.1902638	1.0106463	0.4439219	0.9106730	0.2792733	0.9786238	0.9615453	1.0001119	0.1062097	0.9343437	1.1049695	0.1056021	0.1533993	0.1735334	0.2695754	0.9672525	0.0501841	0.9400586	0.9403604	1.0323992	0.0126309	0.3794667	0.6441622	0.4756168	0.0607716	0.0656441	0.0145874	0.0620287	0.1093621	0.7227477	1.1035304	0.1155775	0.3682149	0.0966535	0.0340356	0.1734657	0.6214545
1.0259687	0.0386161	1.0597186	0.0259374	0.8581917	1.0006165	0.0000000	1.0476882	0.3564005	0.4694402	0.0856543	1.0372023	0.9784765	1.0142376	1.0876198	0.5558835	0.8919625	0.3537771	1.0771426	0.9892861	0.9774116	0.1004730	1.0652083	1.0353917	0.0593788	0.1362673	0.0469908	0.2173163	0.3274952	0.0409252	0.0899519	0.8332610	1.0628192	0.0247363	0.3804075	0.7140087	0.3431862	0.0850074	0.0285329	1.0612867	0.0813927	0.1076094	0.6189817	0.9741848	0.1124009	0.2603675	0.6629899	0.0431143	0.1670964	0.4584297
1.1000278	0.0302391	0.9945356	0.2842300	0.9668200	1.0056955	0.7148995	0.0000000	0.7147982	0.5856178	0.0786751	1.0909897	0.9536692	0.9648313	1.0679848	1.0376088	0.9822684	0.2726783	1.0685818	1.0106358	0.9480597	0.1477932	1.0209293	1.0405351	0.1105837	0.1423571	0.1976760	0.2470686	0.2984475	0.0452876	0.1186627	0.8698908	1.0900013	0.0108514	0.2926804	0.6316386	0.3263600	0.0917315	0.5568157	0.9430903	0.0795776	0.0980921	0.6951481	0.9726216	0.0821182	0.2449070	0.0905307	0.0408753	0.1715478	0.5969148
0.9095787	0.0269005	1.0176207	0.3798582	1.0340080	0.9138179	0.8949416	1.0199885	0.0000000	0.5725256	0.0687706	0.9946000	1.0577336	1.1930231	1.0502746	0.3886912	0.8629384	0.2379357	0.9009240	0.9404301	0.8517999	0.1073228	1.0022147	0.9456658	0.0730375	0.1976975	0.1516865	0.2713574	0.4577843	0.0336459	0.0718310	0.8556694	1.0115257	0.0081179	0.2977823	0.6673560	0.3241901	0.0776900	0.0231001	0.9471948	0.0484851	0.1002697	0.7663943	0.9650785	0.0939285	0.3047182	0.0812757	0.0424361	0.1678455	0.4797932
0.9241610	0.0410411	0.9731238	0.3308169	0.8011655	1.0580204	0.7671585	1.0833272	0.3321326	0.0000000	0.0771560	1.0525481	1.0881645	1.0095952	1.0545375	0.5297884	0.8824987	0.7307766	1.1238999	1.0726400	1.0077020	0.0919985	1.0350297	1.1138508	0.1054011	0.1561120	0.1512927	0.2190922	0.3926731	0.0335490	0.0644141	0.8510023	1.0682071	0.0335658	0.3235226	0.7150708	0.3850504	0.1018066	0.0408629	0.9996865	0.0573063	0.1219230	0.7902958	0.9452776	0.0815415	0.2792963	0.0822879	0.0339738	0.1524456	0.4904635
