YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.6326168	0.0068315	1.0000000	0.0072998	0.7426269	1.0000000	0.1708603	0.7732668	0.2386216	0.4991800	0.4884581	1.0000000	1.0000000	1.0000000	1.0000000	0.2647840	0.8540451	0.2571856	0.9898707	1.0000000	1.0000000	0.7880988	1.0000000	0.8979344	0.0994100	0.2426025	0.5324716	0.1086374	0.3788722	0.0137391	0.0172845	0.8823384	1.0000000	0.0009225	0.0077537	0.6445834	0.3888801	0.0000002	0.6897537	0.9969305	0.0238344	0.3324450	0.6597657	0.9866251	0.7475993	0.0372660	0.7361186	0.3304366	0.0733547	0.5571938
0.6602551	0.0057643	0.9278244	0.3710786	0.9648592	1.0000000	0.6658691	0.8471221	0.2513844	0.4991800	0.1096241	1.0000000	0.8032670	1.0000000	0.7675848	0.4328365	0.8699816	0.2897812	0.9491710	0.9275870	0.9131615	0.1230076	1.0000000	1.0000000	0.1011867	0.5033917	0.1393697	0.2494018	0.3788722	0.0252064	0.0763075	0.7449934	1.0000000	0.2008719	0.3635092	0.5660417	0.6502011	0.0763667	0.0420330	0.9823246	0.0288377	0.0845801	0.6323741	0.9988232	0.1628543	0.1719209	0.0998967	0.0016945	0.3956085	0.4478863
1.0000000	0.0001324	0.9997071	0.0108116	0.8779795	1.0000000	0.2669125	0.9965803	0.2309088	0.4991800	0.3237426	1.0000000	1.0000000	0.8239411	0.6861562	0.5372836	0.9574778	0.2118875	0.9922407	1.0000000	0.7003099	0.4290674	1.0000000	0.9687228	0.0040939	0.1231132	0.4343963	0.0004411	0.3187668	0.0257937	0.0763075	0.7575925	1.0000000	0.0000023	0.1631662	0.5838697	0.7524820	0.0763667	0.4388907	0.9963871	0.0945856	0.1633915	0.6576197	0.9923133	0.6774591	0.1629111	0.6224404	0.4153028	0.0001351	0.3319687
0.9555528	0.0438497	0.4166107	0.0211031	0.1517522	0.9546187	0.1720975	0.8133415	0.1650903	0.4991800	0.3476462	1.0000000	1.0000000	0.8465912	0.9398211	0.7699727	0.8953157	0.4116919	0.9918899	0.7092699	0.9975779	0.5264144	1.0000000	1.0000000	0.0997252	0.4559104	0.4518040	0.2496416	0.4068253	0.0252064	0.0787448	0.7783011	0.9999785	0.0153372	0.0499451	0.6693168	0.4461026	0.0763667	0.5250384	0.9979775	0.0684619	0.2105865	0.9430838	1.0000000	0.7457147	0.1465094	0.4955572	0.5063805	0.2203936	0.4551391
0.9999789	0.0289554	1.0000000	0.0110295	0.8032980	1.0000000	0.2451329	1.0000000	0.6751529	0.6351577	0.2744256	0.7259728	0.6741759	1.0000000	0.8608444	0.1081423	0.8440244	0.2399276	0.8972785	1.0000000	1.0000000	0.5139130	0.4754343	0.9793778	0.1002667	0.0911658	0.5336146	0.0002556	0.3125236	0.0255886	0.0105019	0.8214970	0.6592658	0.0082260	0.3675263	0.6206109	0.4920357	0.0000001	0.6258797	0.9965673	0.0683369	0.5792601	0.6521361	0.9979940	0.6033118	0.0005713	0.4576613	0.0447863	0.4194008	0.7313969
0.9999964	0.0168944	0.6364525	0.2482284	0.8118508	1.0000000	0.3619133	0.9844230	0.5074975	0.4504675	0.2409549	1.0000000	1.0000000	1.0000000	1.0000000	0.2195680	0.8460149	0.2164436	0.9963887	1.0000000	0.8042468	0.2800552	1.0000000	0.8162865	0.0994100	0.7638348	0.3980611	0.0001712	0.3788722	0.0294401	0.0220688	0.9102132	0.5983375	0.0036381	0.0620854	0.6445834	0.1780478	0.0000002	0.6605133	0.9961735	0.0822545	0.1081584	0.8101879	0.9839214	0.4390233	0.1630194	0.2169706	0.0284668	0.0579605	0.5571938
0.9999789	0.0289554	1.0000000	0.0095347	0.8211148	0.5813066	0.2286516	0.9800650	0.3394155	0.2520284	0.2121303	1.0000000	1.0000000	1.0000000	0.6709227	0.1832328	0.8460149	0.5284426	0.9577008	1.0000000	1.0000000	0.0629048	1.0000000	0.9529053	0.0045140	0.1935392	0.2021515	0.2494345	0.7175563	0.0261082	0.1248974	0.6877098	0.9999978	0.1409436	0.0902751	0.6791019	0.7103921	0.0763667	0.3811656	0.9557303	0.0683369	0.0601594	0.7885894	0.9866251	0.3620427	0.0265547	0.5877612	0.0181493	0.1870937	0.2260326
0.9999789	0.0289554	1.0000000	0.6035045	0.9655305	1.0000000	0.8492022	0.9971165	0.3105986	0.4991800	0.0584107	1.0000000	0.9474486	1.0000000	1.0000000	0.1655112	0.9246323	0.2695798	0.9544972	0.8129736	1.0000000	0.0168473	1.0000000	1.0000000	0.0994100	0.0041227	0.1648827	0.0004495	0.2537554	0.0064080	0.0763075	0.8968113	0.9999978	0.3540450	0.0702111	0.5506709	0.2733141	0.0000012	0.4870951	0.9823250	0.0683369	0.3150239	0.6320121	0.9865805	0.0812419	0.3631341	0.5483586	0.1964926	0.5377260	0.4259340
0.9743113	0.0069727	1.0000000	0.1355320	0.9885681	1.0000000	0.5984992	0.9771995	0.2104975	0.4365364	0.1310115	1.0000000	0.8320899	1.0000000	1.0000000	0.7465670	0.8213666	0.2935287	0.9802114	0.9297564	0.7897214	0.4987215	0.8908765	0.9962845	0.0014769	0.6258016	0.2515833	0.0002456	0.1913985	0.0252739	0.0106099	0.9280608	1.0000000	0.0009516	0.2958581	0.6113557	0.2242367	0.0491597	0.1662050	0.9958462	0.0407201	0.7435386	0.6513486	0.9953969	0.1809446	0.0780209	0.0394679	0.0032240	0.0000142	0.5330396
0.9377356	0.0289554	1.0000000	0.4458167	0.9936050	1.0000000	0.1969767	0.6125563	0.6713240	0.5558239	0.3337308	0.9172306	0.7867164	1.0000000	0.7854732	0.4201920	0.8856309	0.1544867	0.9706945	1.0000000	0.3732130	0.4431150	0.7497160	1.0000000	0.0023984	0.1991568	0.2178958	0.1581934	0.3788722	0.0252064	0.0147096	0.7784213	0.9999978	0.0082260	0.0804898	0.6793053	0.4661030	0.0000000	0.7332875	0.9959144	0.1507472	0.5010920	0.6439236	0.9852754	0.6620205	0.0000551	0.6867343	0.0867899	0.0053892	0.5863666
