YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.3992644	0.0041343	0.6701231	0.0068155	0.4929291	0.8048679	0.1138959	0.5463980	0.1019308	0.3774002	0.3043435	0.7659271	0.6135816	0.6806298	0.6514747	0.2095533	0.6357692	0.2073264	0.7904358	0.6405103	0.6337588	0.4384175	0.6169446	0.7391690	0.1418940	0.1386169	0.3588696	0.1492354	0.1691384	0.0265642	0.0197580	0.8751418	0.8321444	0.0062817	0.0177236	0.4057865	0.3229386	0.0003747	0.5422200	0.6551216	0.0126290	0.2308763	0.4748163	0.8099992	0.4837010	0.0101780	0.5108429	0.2398288	0.0388098	0.5268469
0.4262738	0.0069673	0.6917785	0.2242936	0.5722771	0.7508954	0.5386562	0.6095370	0.2441587	0.3288475	0.0799090	0.5770140	0.6173766	0.6728779	0.5615394	0.3596029	0.6431164	0.1814557	0.6983254	0.6457562	0.5197408	0.1063035	0.6590038	0.5528155	0.0651512	0.3404345	0.1578835	0.1753270	0.2935451	0.0203273	0.0379910	0.6715215	0.6007135	0.1644173	0.2909908	0.3628185	0.4334044	0.0572450	0.0473079	0.6617960	0.0342183	0.0695269	0.4055917	0.5757280	0.0825082	0.1358344	0.0914866	0.0101493	0.3024787	0.3238377
0.7791969	0.0054050	0.7630741	0.0085319	0.6904152	0.7093376	0.2052769	0.7239048	0.1492818	0.3468261	0.2822646	0.7538594	0.8762447	0.5333676	0.4762832	0.3482059	0.7712892	0.1238029	0.5527083	0.7792169	0.4545136	0.3034860	0.7689515	0.6906744	0.0042223	0.0487111	0.3546626	0.0017723	0.2799393	0.0223118	0.0607037	0.5433218	0.6445752	0.0215030	0.1401208	0.5145972	0.5019443	0.0551899	0.2887658	0.6100208	0.0700434	0.1248973	0.4172302	0.6863663	0.4014869	0.1553530	0.4231416	0.3014341	0.0036449	0.1748270
0.7522337	0.0640123	0.3252591	0.0258520	0.1024880	0.7493848	0.1060477	0.5138638	0.1350529	0.3885668	0.2689692	0.7588728	0.6976043	0.5195346	0.5250616	0.7021990	0.7422922	0.2833957	0.6533661	0.6013396	0.7303944	0.3603049	0.7660870	0.6463493	0.0589901	0.3413220	0.3260570	0.1639533	0.2379286	0.0311529	0.0880504	0.5745805	0.7296604	0.0147301	0.0335450	0.5819519	0.3159102	0.0903434	0.4178224	0.6186430	0.0612255	0.1466218	0.6988560	0.7887419	0.5558726	0.1450530	0.3613159	0.4189942	0.1054391	0.3000471
0.7368212	0.0117653	0.7537919	0.0119851	0.6104028	0.7286726	0.1463866	0.6775356	0.5394292	0.4457945	0.1616137	0.4498399	0.4785974	0.7419451	0.5116105	0.0800442	0.7020046	0.1557768	0.4625670	0.6042088	0.6993341	0.4195590	0.2610743	0.6414962	0.0742187	0.0949234	0.3729882	0.0024593	0.2754759	0.0382230	0.0157846	0.5046129	0.3287782	0.0051020	0.2533858	0.4721914	0.3640633	0.0007146	0.6807687	0.6439088	0.0782873	0.3767748	0.3883347	0.8033491	0.4762567	0.0006493	0.3300695	0.0356568	0.2436964	0.4675526
0.6798965	0.0259888	0.4528236	0.1318213	0.6176374	0.7224472	0.1832432	0.6064721	0.4325470	0.4254093	0.2211105	0.7693066	0.7036720	0.8007275	0.8650786	0.1408558	0.5782313	0.2251206	0.8696349	0.7886865	0.5911477	0.1972405	0.6799805	0.5800331	0.0483383	0.5946480	0.2417519	0.0002737	0.3005488	0.0207196	0.0280034	0.7067439	0.4007809	0.0071125	0.0862449	0.5845951	0.1217301	0.0014138	0.5071082	0.8950926	0.0377785	0.1037964	0.5778842	0.6917506	0.4286593	0.1585438	0.2613363	0.0550906	0.0386489	0.4564226
0.8405498	0.0336445	0.7339214	0.0108954	0.5413126	0.4129898	0.1312056	0.6768987	0.2523237	0.1278943	0.1372672	0.8045063	0.7383015	0.7009302	0.5106497	0.1654404	0.7009570	0.4274585	0.6253714	0.6901391	0.6728626	0.0636264	0.6384261	0.6742851	0.0069215	0.1783824	0.1140411	0.1648547	0.4799951	0.0247576	0.1147660	0.5633057	0.7613357	0.1142470	0.0666920	0.5193529	0.5486697	0.0540984	0.3337754	0.6295521	0.0371167	0.0565535	0.6144012	0.6190217	0.2303092	0.0113667	0.2768951	0.0116513	0.1340409	0.1624210
0.6579761	0.0313158	0.7208723	0.3846263	0.6381486	0.7968496	0.5881393	0.8200430	0.1840746	0.3930796	0.0369202	0.8665613	0.8250447	0.6056704	0.5771043	0.1555645	0.7575440	0.2347488	0.6268859	0.6068578	0.6564529	0.0363598	0.8752838	0.8968392	0.0757205	0.0071490	0.0673235	0.0003582	0.1410891	0.0021272	0.0343970	0.5927362	0.7178138	0.2859258	0.0448873	0.4686801	0.2909963	0.0006568	0.3336680	0.5693292	0.0440536	0.1749552	0.5394910	0.7239871	0.0812460	0.2069152	0.4321484	0.1363342	0.3808622	0.2185414
0.7364087	0.0135496	0.7961241	0.1560694	0.6552260	0.6482718	0.4619305	0.6769886	0.1426856	0.4138071	0.1321464	0.8347683	0.5941850	0.7577154	0.6250158	0.4798402	0.5140453	0.2050815	0.7233032	0.6416333	0.7310386	0.3419304	0.6310486	0.7635200	0.0006908	0.5642650	0.2094322	0.0043920	0.1554403	0.0331733	0.0026197	0.6476150	0.6945553	0.0010258	0.2547208	0.5335829	0.0924744	0.0308748	0.1068464	0.7367444	0.0274796	0.4057622	0.4551653	0.7202503	0.1724857	0.1157241	0.0454280	0.0011274	0.0001113	0.3940892
0.6624890	0.0088172	0.8405197	0.2747387	0.7476524	0.7530855	0.1338593	0.4452332	0.4302166	0.3935586	0.2218132	0.6334776	0.6566234	0.7658662	0.6548794	0.2914539	0.7167743	0.1516415	0.6869094	0.6735205	0.3542414	0.2913605	0.4655830	0.7127340	0.0011226	0.1890983	0.1408848	0.1459951	0.2680417	0.0256274	0.0302051	0.5134331	0.6466295	0.0073387	0.0345959	0.4894262	0.3995117	0.0001440	0.4691040	0.8116441	0.1323111	0.4297245	0.4545612	0.6608236	0.5264874	0.0022337	0.5924370	0.1344803	0.0041742	0.4093475
