YCR040W	YCR083W	+
YCR097W	YCR040W	+
YDR421W	YBL001C	-
YDR421W	YCL067C	-
YDR421W	YDL184C	+
YDR421W	YFL059W	+
YDR421W	YHR015W	+
YFL021W	YBR266C	-
YFL021W	YDR078C	-
YFL021W	YJL110C	+
YFL021W	YKR099W	-
YFL021W	YML099C	+
YFL021W	YNL038W	-
YFL021W	YNL142W	+
YGL035C	YDL149W	-
YGL035C	YKL109W	-
YGL035C	YMR280C	-
YGL035C	YPL248C	+
YGL209W	YDR078C	-
YGL209W	YGL035C	+
YGL209W	YKL109W	+
YGL209W	YMR280C	-
YGL209W	YMR283C	+
YGL209W	YPL248C	+
YHR006W	YCR040W	+
YJL056C	YCL067C	+
YJL056C	YCR040W	+
YJL089W	YKR097W	+
YJL089W	YKR099W	-
YJL110C	YCL067C	-
YJL110C	YCR040W	+
YJL110C	YGR296W	-
YJL110C	YLL065W	+
YKL109W	YBL001C	-
YKL109W	YCL067C	-
YKL109W	YCR040W	-
YKL109W	YGR296W	-
YKL109W	YLL065W	+
YKL109W	YNL054WB	+
YKL109W	YPR020W	-
YKL185W	YKR040C	-
YKL185W	YKR097W	+
YKR099W	YFL059W	+
YLR013W	YCL067C	-
YLR013W	YCR040W	-
YLR013W	YEL074W	-
YLR013W	YGR296W	-
YLR098C	YCL067C	-
YLR098C	YCR040W	-
YLR098C	YNL296W	+
YLR131C	YFL021W	+
YLR131C	YHR195W	-
YLR131C	YJL077WB	+
YLR131C	YKL185W	-
YLR131C	YKR040C	-
YLR131C	YOR140W	-
YML099C	YBR093C	-
YML099C	YHR195W	+
YMR280C	YJL089W	-
YMR280C	YKR097W	+
YNL216W	YBR093C	-
YNL216W	YCL067C	-
YNL216W	YCR040W	-
YNL216W	YDL184C	+
YNL216W	YDR024W	+
YNL216W	YDR100W	+
YNL216W	YEL074W	+
YNL216W	YFL021W	+
YNL216W	YJL089W	-
YNL216W	YNL142W	+
YOL089C	YCR097W	+
YOL089C	YNL038W	+
YOR032C	YHR006W	-
YPL248C	YCL067C	+
YPL248C	YDL149W	-
YPL248C	YGR296W	-
YPL248C	YLL065W	-
YPL248C	YOR120W	+
YPL248C	YOR140W	-
YPR199C	YCR040W	-
YPR199C	YHR195W	-
