YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.3212453	0.2032593	0.6536533	0.1746322	0.3379115	0.6887847	0.4445869	0.0719519	0.7636238	0.7875810	0.5932383	0.6111237	0.6233129	0.6611878	0.1176343	0.6086843	0.5853731	0.7820463	0.7170770	0.5423403	0.6631796	0.7056974	0.6484489	0.6795100	0.3046490	0.7518243	0.5037749	0.1043736	0.1785250	0.0603734	0.5375017	0.5165136	0.2292022	0.6907968	0.3669548	0.6088597	0.6174881	0.4490870	0.5995657	0.5346168	0.6087328	0.6691222	0.7370504	0.2974416	0.4168462	0.8372468	0.7015296	0.4542598	0.1390685	0.3983442
0.6633674	0.0790153	0.6265806	0.1564528	0.3190876	0.7285714	0.3544271	0.0566502	0.8686784	0.6919742	0.5680494	0.8506126	0.7706192	0.6712395	0.1362868	0.6652319	0.8203862	0.7687993	0.8469854	0.7401348	0.4094182	0.6487649	0.7191045	0.6528089	0.2866577	0.9354874	0.5150913	0.3511262	0.0817184	0.0634608	0.5539985	0.5187028	0.1611105	0.6827379	0.3351664	0.6441939	0.5007289	0.2246664	0.6420681	0.5666786	0.6931993	0.5206997	0.6050868	0.2625243	0.4629408	0.7832224	0.4116498	0.3998415	0.1156191	0.4510595
0.6565627	0.2282386	0.4301984	0.2537803	0.3919267	0.8013649	0.4086794	0.0397012	0.7419385	0.6797125	0.5834763	0.6837779	0.8895733	0.6513308	0.0975915	0.5535417	0.6222227	0.6962833	0.8357416	0.4787739	0.2914911	0.6904565	0.6433690	0.7194988	0.3921575	0.7367009	0.4739506	0.4070011	0.1200771	0.0554230	0.5344136	0.5714621	0.1393050	0.6069722	0.4007799	0.7339312	0.5886690	0.1415451	0.6507395	0.5253615	0.7657388	0.6334958	0.7216669	0.3463150	0.3850676	0.7806633	0.4028973	0.3944633	0.1076257	0.5258991
0.7137487	0.2118045	0.8267046	0.1060666	0.3863731	0.5988628	0.3301672	0.0433515	0.8987227	0.6630172	0.6592025	0.6811764	0.8340418	0.7130257	0.1032277	0.6803476	0.7267700	0.6705944	0.8335863	0.5487038	0.4196914	0.7363145	0.8119641	0.6708290	0.3291370	0.6523306	0.5570687	0.2454595	0.0737584	0.1256190	0.5660263	0.5716868	0.1288275	0.7552643	0.4960137	0.7507268	0.5253867	0.2684994	0.7642961	0.5572449	0.7022138	0.6313237	0.6654229	0.3387424	0.2921440	0.6244352	0.4411937	0.3680838	0.0774826	0.4162575
0.7678327	0.1810524	0.7516490	0.2712230	0.1903141	0.6825503	0.3665580	0.0514936	0.8590701	0.7905495	0.5890746	0.6790544	0.6179653	0.6595493	0.0756912	0.6812208	0.7093924	0.6895548	0.6595196	0.6526866	0.3575712	0.7234585	0.7974884	0.7820076	0.4354623	0.7890583	0.4938896	0.2749321	0.0786018	0.0889338	0.6355026	0.4411522	0.1377526	0.7247798	0.3855307	0.7042177	0.4827880	0.1707322	0.8353641	0.4206864	0.6583361	0.6045022	0.7609942	0.2883592	0.3359255	0.7683943	0.2639592	0.3548032	0.1166808	0.4909930
0.6600657	0.1947152	0.8069804	0.1266657	0.4807074	0.2489835	0.3650830	0.0840678	0.7352954	0.6959596	0.5680005	0.7795138	0.6998314	0.7637559	0.1009378	0.7165192	0.8062099	0.9029796	0.6228739	0.4540913	0.4284795	0.6788821	0.6495717	0.8224469	0.3295749	0.6684841	0.5139825	0.2700721	0.0648329	0.0435807	0.4687877	0.4761055	0.1836162	0.6493329	0.2850762	0.7698961	0.6074518	0.1658332	0.6260115	0.7879798	0.7319316	0.5255554	0.7056615	0.3793940	0.4263261	0.8839680	0.5023798	0.4091702	0.2589084	0.5266591
0.7433150	0.1278772	0.6659314	0.1901843	0.3198924	0.6772463	0.1535951	0.0663371	0.7110561	0.6991555	0.5892730	0.7334827	0.8034827	0.7769288	0.0993413	0.6868126	0.7568723	0.7173040	0.7133347	0.6099168	0.3705416	0.7535871	0.6971678	0.6756824	0.3779911	0.6757896	0.5781903	0.1875966	0.0962283	0.0373318	0.4983047	0.4654572	0.1550916	0.6631535	0.3406057	0.5706102	0.5695510	0.2385001	0.6752126	0.5551363	0.8162203	0.6525326	0.8182961	0.3290943	0.3078010	0.6808077	0.0445017	0.3832228	0.1014702	0.4337301
0.7932182	0.1981086	0.7296822	0.1875420	0.3721395	0.7536949	0.3281230	0.0299431	0.7106049	0.7744028	0.4954162	0.7346646	0.7099334	0.6636929	0.0809316	0.6062812	0.6697708	0.7978476	0.7127327	0.6143775	0.3806240	0.7051658	0.7565858	0.7019268	0.2896076	0.6652079	0.6554995	0.2593642	0.0931999	0.0250931	0.4602274	0.5409552	0.0936844	0.7066029	0.3439497	0.6925795	0.5213435	0.1922568	0.6032206	0.6585839	0.7626903	0.6577713	0.7172684	0.2602181	0.3265087	0.6382301	0.2751323	0.4293754	0.0693189	0.5069497
0.7627422	0.1731875	0.7313037	0.3005347	0.3521562	0.5886188	0.4132247	0.0557043	0.3455310	0.8182482	0.6111940	0.7329899	0.6038521	0.9158728	0.0654216	0.7664054	0.5960290	0.6159782	0.6648755	0.5029212	0.4180863	0.6688613	0.7333642	0.6986772	0.3334403	0.6818932	0.5355914	0.2014888	0.0904007	0.0554363	0.5195633	0.4983290	0.1773520	0.7137415	0.2882237	0.6851183	0.4663819	0.1960919	0.6476304	0.4888675	0.7368941	0.7943271	0.6886161	0.3260203	0.3420647	0.6585902	0.4778031	0.4055543	0.1330395	0.5392152
0.6794304	0.2086931	0.8016527	0.2501708	0.4534149	0.7080356	0.3365015	0.0749610	0.7976336	0.3065339	0.5858939	0.7643462	0.7159627	0.8180122	0.1284675	0.7541614	0.6932119	0.7867453	0.7478601	0.4984612	0.3695929	0.7083625	0.7220306	0.5393397	0.3202277	0.7461449	0.4125904	0.3544452	0.0997757	0.0572919	0.6076714	0.4527486	0.1554834	0.8183766	0.3476678	0.7092643	0.5649585	0.2528459	0.6976832	0.6248136	0.8804197	0.7556815	0.7098227	0.3757745	0.3557858	0.7443818	0.4511690	0.4565308	0.0823451	0.4487832
