YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.0000000	0.2636945	0.7882847	0.5031565	0.2784928	0.7267190	0.6818488	0.0537466	0.8302804	0.6431560	0.5831416	0.8553046	0.6542895	0.7948052	0.0824871	0.4474363	0.3609086	0.7222716	0.7233651	0.3593421	0.4135988	0.6622947	0.8200123	0.6437130	0.3803195	0.0515339	0.5433414	0.0811409	0.3017065	0.0794660	0.6306612	0.4481440	0.1707396	0.6152954	0.3674175	0.0560209	0.5830453	0.8163377	0.6612700	0.6454001	0.4720740	0.6712848	0.7734757	0.3257581	0.5123748	0.8531016	0.6625108	0.6112398	0.0977505	0.5758900
0.7142966	0.0000000	0.7958025	0.1631770	0.3923705	0.5775248	0.3066987	0.0730890	0.8452326	0.6575585	0.5565106	0.9401124	0.6718092	0.7363179	0.1245649	0.7025366	0.6952971	0.8164867	0.6522059	0.6055019	0.4136484	0.7169596	0.6751083	0.6616039	0.3454876	0.6579523	0.4830322	0.3177519	0.0845050	0.1140989	0.5823281	0.5563511	0.1187097	0.6933335	0.3402916	0.7843354	0.6153077	0.1933276	0.5787016	0.5569474	0.7912512	0.6898682	0.7337039	0.2926420	0.3835701	0.6025543	0.3708468	0.3624397	0.1639994	0.3759506
0.8460126	0.3933697	0.0000000	0.1998032	0.3348243	0.6320364	0.4235544	0.0842447	0.7119338	0.5564974	0.5336574	0.6612946	0.5641347	0.7471789	0.0810700	0.6747884	0.6787922	0.7049108	0.7076715	0.5873106	0.3344663	0.7440712	0.5509453	0.6891276	0.3166197	0.6392341	0.5972968	0.4396687	0.1341417	0.0415587	0.5576230	0.5840489	0.1380271	0.6773573	0.3715184	0.7230931	0.6223624	0.2502574	0.6192582	0.5264858	0.7637159	0.7008483	0.7919182	0.7301406	0.3087850	0.7760481	0.6093404	0.4103457	0.0697968	0.4349866
0.5767115	0.2156086	0.7227604	0.0000000	0.3559170	0.7200824	0.2752164	0.0842815	0.7069654	0.6474239	0.6041796	0.7317085	0.7839916	0.7762477	0.0756113	0.6270685	0.7666574	0.7239554	0.8657952	0.5871940	0.3534378	0.7454763	0.7291661	0.7188268	0.2758939	0.8270743	0.5845706	0.2324843	0.0710396	0.0785048	0.4730456	0.5294161	0.1865448	0.6593544	0.4042514	0.6651318	0.5993401	0.1492041	0.5815760	0.5769533	0.5967938	0.5513290	0.6990329	0.4349524	0.2883409	0.7080026	0.3340239	0.3556291	0.1008183	0.4611128
0.7175263	0.1710233	0.6721866	0.5662738	0.0000000	0.6965517	0.4226862	0.0783028	0.6578597	0.7833374	0.4224373	0.6204204	0.5979327	0.8100310	0.0857056	0.6391610	0.6714432	0.7805724	0.8008385	0.4843793	0.2809089	0.6984090	0.6129488	0.6819511	0.3729742	0.6520909	0.4508510	0.1801073	0.0670627	0.0700845	0.5704307	0.4434782	0.0945033	0.7232633	0.3486528	0.6462174	0.5708492	0.1937405	0.5324713	0.4746730	0.6682059	0.5918603	0.7436185	0.2830910	0.3420635	0.7574556	0.3471632	0.4103925	0.1340316	0.4287504
0.7424936	0.1940739	0.7358662	0.0885796	0.6722075	0.0000000	0.3412835	0.0861440	0.7484138	0.7289694	0.2818486	0.6757294	0.7591045	0.7481195	0.2049926	0.6368659	0.5535503	0.7259236	0.7255816	0.5932492	0.3947328	0.6091319	0.8360572	0.7284871	0.3011326	0.7290497	0.5629860	0.1889518	0.1543673	0.0503047	0.4969019	0.5436636	0.0810124	0.6451699	0.3463949	0.6530458	0.4888011	0.2508977	0.1861396	0.5643475	0.5965096	0.8365690	0.5749582	0.3172611	0.3877722	0.7263631	0.3889958	0.4981398	0.6627874	0.4678113
0.7118050	0.1960890	0.7625622	0.1663349	0.4268270	0.6904699	0.0000000	0.0372699	0.6755041	0.7544619	0.5145216	0.6122149	0.7190224	0.7032389	0.0957894	0.8156295	0.6897873	0.6981204	0.6378188	0.6010947	0.5087690	0.7339503	0.6796478	0.6352285	0.2833626	0.7069635	0.5354269	0.2386327	0.0868624	0.0385066	0.5234419	0.4568091	0.1825779	0.7203607	0.3416582	0.6878372	0.6217397	0.2306500	0.5556685	0.5457669	0.7335665	0.6121255	0.7410537	0.2306452	0.3536082	0.6098846	0.0828865	0.3724500	0.0872416	0.5558863
0.7059430	0.1811515	0.6727892	0.1657010	0.3275050	0.6994343	0.3748138	0.0000000	0.7193086	0.7021392	0.5437834	0.7710599	0.6348402	0.8180152	0.1437758	0.7168744	0.7411631	0.7232345	0.7764607	0.4867519	0.4392744	0.7703257	0.7435648	0.6541787	0.2970468	0.6962705	0.5686017	0.2427807	0.0897596	0.0871650	0.7389910	0.5363433	0.1399305	0.6661606	0.3039258	0.8828170	0.5829488	0.2790724	0.6322679	0.6841160	0.7034570	0.6509563	0.7767346	0.2790365	0.2933232	0.6814716	0.5003689	0.3804631	0.1497136	0.3697108
0.8199355	0.2156010	0.7708217	0.2072238	0.3159209	0.5659099	0.5259873	0.0462100	0.0000000	0.6873415	0.4520685	0.6502213	0.7367747	0.6038402	0.0852047	0.6035038	0.6427579	0.7368906	0.7509725	0.5893192	0.3766675	0.7337592	0.7275387	0.6817799	0.3168271	0.7680590	0.4638120	0.3003062	0.0971029	0.0698893	0.5327172	0.5389320	0.1587390	0.7215625	0.3717326	0.8001613	0.4845256	0.2086254	0.6338094	0.4737669	0.8388163	0.7120583	0.0672648	0.3253275	0.3603918	0.7079569	0.5348121	0.3807561	0.0989391	0.4937569
0.6115279	0.1664984	0.6867321	0.1650546	0.4290056	0.7380475	0.2902258	0.0527516	0.6165687	0.0000000	0.5293470	0.7267454	0.5700147	0.8096585	0.1113498	0.6705345	0.6894120	0.7066765	0.7443697	0.6639581	0.4058042	0.7204460	0.6849900	0.6480636	0.3583451	0.7618746	0.4620565	0.1872369	0.0827219	0.0791914	0.7755784	0.5365681	0.1597065	0.7447087	0.3821314	0.6314397	0.5657227	0.1900400	0.6449866	0.5067605	0.6948688	0.5864769	0.6807027	0.2734379	0.3770495	0.7031503	0.1566557	0.3622819	0.0945402	0.4361596
