YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.4510711	0.1830466	0.7204988	0.1024217	0.4805608	0.6447892	0.4712787	0.0161683	0.8168710	0.7445572	0.7301448	0.5989084	0.8329793	0.4607468	0.0678892	0.6862367	0.7014430	0.5927177	0.6290099	0.6233102	0.3902813	0.6554736	0.6064484	0.6942508	0.2554871	0.7229674	0.5603770	0.2960618	0.1407148	0.0226335	0.4265630	0.6600118	0.3056276	0.7673802	0.4394642	0.6191956	0.6375380	0.3945724	0.5718993	0.5687322	0.7451000	0.5086126	0.6794206	0.1370395	0.3037806	0.8025450	0.5681917	0.2635336	0.0425740	0.1930128
0.4300316	0.1522114	0.6355658	0.1702114	0.3913230	0.5683114	0.4819436	0.0549911	0.8816449	0.8529842	0.5299514	0.7214015	0.9617855	0.6705012	0.0757347	0.7034759	0.5992050	0.6569853	0.7232241	0.6091646	0.4810168	0.6169824	0.7375457	0.6282984	0.3806488	0.7046456	0.6386717	0.1939855	0.1465247	0.0661061	0.5263436	0.4302087	0.2302306	0.6279095	0.5351035	0.6128674	0.4327966	0.3252924	0.5198087	0.6121064	0.7864901	0.6867741	0.7004278	0.1335861	0.3325936	0.6813098	0.5228354	0.3225541	0.2071689	0.5002397
0.5460569	0.3044179	0.5503129	0.1704603	0.4508443	0.5167366	0.4060281	0.0185894	0.6455460	0.7956516	0.5399583	0.7469458	0.6423757	0.6894291	0.1482768	0.5978269	0.7473137	0.5326898	0.7943571	0.5893118	0.2953069	0.7560748	0.5184401	0.4385834	0.3769236	0.8263691	0.5136153	0.4502253	0.0289610	0.0953435	0.6499967	0.5475711	0.3001938	0.5176603	0.2208077	0.7250260	0.4622800	0.2443483	0.7228911	0.5872142	0.7849149	0.4795175	0.6005641	0.3700142	0.5261409	0.7835432	0.6190493	0.3955856	0.1319829	0.2614142
0.5580234	0.1932196	0.6699919	0.2045922	0.2130770	0.6221921	0.5086310	0.0558292	0.4410095	0.6733553	0.6334451	0.7287004	0.5407448	0.6245675	0.1568294	0.6223475	0.7320367	0.6536733	0.6669072	0.7005930	0.2045300	0.9268120	0.5891267	0.6583652	0.2466761	0.6646821	0.5554677	0.6068919	0.1159229	0.0687301	0.4818242	0.4902710	0.3517661	0.6675052	0.2928386	0.6570429	0.6622308	0.2325525	0.5999441	0.6574249	0.8669700	0.5157123	0.5697765	0.2613079	0.4337479	0.7678329	0.6505523	0.2002024	0.1060893	0.5556941
0.7376240	0.2148220	0.6223368	0.1420762	0.3439407	0.5684631	0.3694126	0.0214846	0.3839851	0.7333766	0.5471667	0.8396920	0.6640890	0.5120344	0.0979384	0.6729370	0.6771848	0.6321424	0.5775042	0.5403668	0.4106082	0.6788266	0.5953084	0.7812425	0.3531599	0.5708380	0.5604445	0.3749773	0.0447705	0.0399205	0.4971404	0.4748684	0.0566769	0.7666897	0.7990894	0.6313673	0.5033981	0.1244963	0.5141687	0.7239662	0.7462469	0.6404315	0.6738353	0.2862418	0.3477519	0.7256021	0.3187836	0.2812952	0.1112487	0.2761234
0.7176561	0.3243881	0.5598904	0.1337588	0.3709298	0.6719232	0.3929222	0.0257868	0.6830872	0.8116907	0.7114554	0.6320943	0.6591598	0.6529276	0.0812779	0.5394341	0.7475013	0.5848834	0.5646905	0.6806104	0.3788772	0.7310695	0.7768189	0.7492385	0.3185413	0.6551397	0.5432160	0.2888939	0.1542301	0.0693092	0.7120340	0.5035497	0.1691802	0.6918058	0.6566485	0.5902697	0.5151998	0.1464889	0.4672428	0.4375863	0.7004281	0.5189554	0.7068138	0.4226410	0.2838781	0.7855295	0.4062618	0.3238985	0.1381341	0.3811618
0.7872105	0.2734389	0.8073630	0.2435761	0.2578973	0.5795918	0.3024964	0.0924274	0.8261615	0.7581717	0.6475779	0.6092471	0.4743093	0.6874230	0.0872000	0.6366692	0.7674873	0.5975608	0.6413548	0.5219514	0.4000841	0.6570271	0.6807271	0.7371514	0.3419833	0.6764771	0.6752308	0.2975024	0.0858804	0.0592904	0.5456370	0.4321560	0.1889477	0.5112634	0.4808429	0.7673249	0.7068556	0.2219223	0.7834297	0.3131580	0.7013061	0.6743504	0.6574324	0.3827017	0.3250164	0.7215573	0.2182828	0.3466708	0.0753426	0.2071263
0.7774613	0.1830920	0.5903666	0.1020184	0.6891897	0.2584006	0.4299846	0.0597456	0.5381500	0.7647186	0.7532420	0.7673517	0.7557633	0.6848886	0.0746630	0.7995105	0.6514370	0.6866361	0.4258279	0.4785727	0.3663674	0.4532677	0.7869670	0.3635904	0.3399073	0.7102355	0.5854831	0.3756802	0.0263726	0.0685138	0.5147456	0.5084037	0.0284995	0.5023872	0.3652551	0.6877020	0.3288676	0.1867460	0.7314756	0.7125820	0.6783783	0.5505943	0.6878020	0.3465679	0.4459982	0.6918494	0.4918989	0.2277321	0.3015193	0.2609384
0.7646382	0.2485906	0.8290923	0.3008397	0.1427743	0.6459248	0.3565774	0.0395407	0.5172832	0.5181347	0.6705384	0.6624198	0.4935716	0.4184175	0.0836977	0.6336773	0.8113330	0.7588395	0.3601949	0.6509345	0.2057688	0.7697605	0.5698810	0.3361709	0.2835140	0.6240534	0.3025637	0.2868091	0.1057467	0.0949624	0.4496546	0.5491647	0.2507458	0.5985010	0.3770425	0.6921227	0.3881502	0.1130937	0.5499014	0.6053320	0.8171976	0.1107922	0.6256691	0.2773849	0.3471281	0.8516958	0.5486053	0.3158064	0.1018816	0.4605103
0.5164477	0.0843629	0.7928842	0.2263066	0.4689794	0.6671598	0.7183469	0.0712879	0.5752078	0.4938511	0.6262639	0.5403660	0.7197452	0.6806017	0.1366745	0.7175117	0.6954712	0.6933292	0.7692168	0.6154984	0.3306659	0.6887175	0.8092925	0.7158138	0.2466385	0.6490429	0.4981473	0.1877137	0.0233956	0.0673312	0.5764031	0.4316218	0.2963130	0.6798963	0.3289832	0.7794434	0.5221084	0.1742226	0.5672462	0.5679112	0.8050204	0.6062812	0.6531280	0.3659810	0.4467457	0.7198823	0.8343810	0.3464119	0.0487289	0.2436309
