YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.4754814	0.2682288	1.0139812	0.2500983	0.5861163	0.9103829	0.6340852	0.0861615	0.9969390	1.0257764	0.8199883	0.9909155	1.0372661	0.9403375	0.1407096	0.8378541	0.7551255	1.0945576	1.0539902	0.6298840	0.7669464	1.0555846	1.0424592	0.9579359	0.5282859	1.0431946	0.7445854	0.1519901	0.2135186	0.0948726	0.7504762	0.7847052	0.2318219	0.9207006	0.4846776	0.9105788	0.7529672	0.6137278	0.8574613	0.7448652	0.9875559	0.9228265	0.9745128	0.4249476	0.6107641	1.0276268	0.8123061	0.7021669	0.1679067	0.6418319
0.9978775	0.1097393	0.8974739	0.2259379	0.4886123	0.9095428	0.5866257	0.0740998	1.0636199	0.9947936	0.8108321	1.1249688	1.0384949	0.9557913	0.1776300	0.8532523	1.0234076	0.9666142	1.0305634	0.8176453	0.5375292	0.9672695	0.9832203	0.9466550	0.4235905	1.0873150	0.7705424	0.4372709	0.1091185	0.1059234	0.7790337	0.7341297	0.1968085	0.9498015	0.4924696	0.9911952	0.7805249	0.2734584	0.9049484	0.7845949	0.9886480	0.8599871	0.9752372	0.4245818	0.4968597	0.9905155	0.5317106	0.5194996	0.1566655	0.6587628
0.9552426	0.3824999	0.5352446	0.3016273	0.5261439	0.8967335	0.5162394	0.0653124	1.0434400	0.9787633	0.8193886	1.0434943	1.0848080	0.9319830	0.1446946	0.9110313	1.0058132	1.0874255	1.0670426	0.6953538	0.5837912	0.9589375	0.9969741	0.9501771	0.4773274	1.0234001	0.7049032	0.5889326	0.1730531	0.1308210	0.7110788	0.7318414	0.2022398	1.0463533	0.5031942	1.1133912	0.8084583	0.3030661	0.9306087	0.6956276	0.9169103	0.8792000	0.9760911	0.5160887	0.5403732	1.0934289	0.5675134	0.5678283	0.1348532	0.7272786
0.9830286	0.2877210	1.1526666	0.1342685	0.5473339	0.8997385	0.4548042	0.0820031	1.0661300	0.9845463	0.8541083	0.9784841	0.9999533	1.0269318	0.1444937	0.8939612	1.1089460	1.0721402	1.1185459	0.8069806	0.5850202	0.9515146	0.9933190	0.9741135	0.5447756	0.9530116	0.7917736	0.3755222	0.1157491	0.1245801	0.7759970	0.7683653	0.1939053	1.0697403	0.5896436	0.9882254	0.7214192	0.2819609	0.9768138	0.6814293	0.9965298	0.9011981	0.9892855	0.4238267	0.4822428	1.0080573	0.5969138	0.5102218	0.1382122	0.7003060
0.9930060	0.2643422	1.1036244	0.4105229	0.3009626	0.8853092	0.4773472	0.0700809	1.0380143	0.9407604	0.8238258	0.9675168	0.9051907	0.9645492	0.1205174	0.9370446	0.9902414	0.9764445	1.0191465	0.8344128	0.5067554	0.9741792	0.9828269	1.0183440	0.4764623	0.9721841	0.7756467	0.3562100	0.1387669	0.0967831	0.7573884	0.6966523	0.1806174	0.9985527	0.5170703	0.9714508	0.8593980	0.2721055	1.0423445	0.6894625	1.0521931	0.9257794	0.9829553	0.4322599	0.4716353	1.0320112	0.4127497	0.5313972	0.1750345	0.6276685
1.0480313	0.2917127	1.0776998	0.2249917	0.6352575	0.3895351	0.5261615	0.1062391	1.0786329	1.0058811	0.7416457	0.9938357	0.9194154	1.0481055	0.1589601	0.9652253	0.9150592	1.0030099	0.9658465	0.7661893	0.6139064	1.0490274	0.9547568	1.0042075	0.4468813	1.0108630	0.7899067	0.3309909	0.1061051	0.0624536	0.6926902	0.7330919	0.2681549	0.8785082	0.4836659	1.0088514	0.8893141	0.3007508	0.9168081	0.8752009	0.9347311	0.8589959	1.0132654	0.3710641	0.5613681	1.0134595	0.5803026	0.5599615	0.3001392	0.6498917
1.0290082	0.2321729	0.9151513	0.3223225	0.4548428	0.9350197	0.2259851	0.0754244	0.9783514	0.9812885	0.8421119	1.0426942	1.0080904	1.0298632	0.1184059	0.8856662	0.9672650	1.0259440	1.0051292	0.8056950	0.5332540	1.0315001	0.9551342	0.9959969	0.4226788	0.9671699	0.7138324	0.3271677	0.1131436	0.0647079	0.8046189	0.7112305	0.1976133	0.9139905	0.5267251	1.0492092	0.8304545	0.2920914	0.9362687	0.7051378	1.0655603	0.9041983	1.1074158	0.4297079	0.5234241	1.0220024	0.0975058	0.5287048	0.1379220	0.6085150
0.9749033	0.2800632	1.0581123	0.2624346	0.5011397	0.9108008	0.4737522	0.0354482	1.0836105	1.0267917	0.7469268	1.0981598	1.0226793	0.9989370	0.1219943	0.8614483	0.9181329	1.0316066	1.0245033	0.7951864	0.5651606	1.0113927	1.0033789	1.0084294	0.4306847	0.9980479	0.7505084	0.3890130	0.1487319	0.0624773	0.7020078	0.7887751	0.2037232	0.9418256	0.4829893	0.9989969	0.7855491	0.1970119	0.8980458	0.8319941	1.0345167	0.9055684	1.0545763	0.4188463	0.5537438	0.9707419	0.4082277	0.5229638	0.1300883	0.6527823
1.0700626	0.2522298	1.0309142	0.3133199	0.5265090	0.9276551	0.6471931	0.0762151	0.4681250	0.9765382	0.8464649	1.0114082	0.9557176	1.0423222	0.1194572	0.9583340	0.9094577	0.9671263	1.0245321	0.8183014	0.6316465	1.0522756	0.9615299	0.9312117	0.4508936	0.9575155	0.7672514	0.3037311	0.1459383	0.0717026	0.7394525	0.6969961	0.2580282	1.0215188	0.4712954	1.0200346	0.8213610	0.2616727	0.9204881	0.7388763	1.0699535	1.0873863	1.0013579	0.4190385	0.5270194	0.9316709	0.6642541	0.5433975	0.1699853	0.6759206
0.9799515	0.2904315	0.9660573	0.2934305	0.5014871	0.9493721	0.4746385	0.1005039	1.0460479	0.5017610	0.7926195	1.0248037	0.9847129	1.0644019	0.1399804	0.9636172	1.0595548	0.9735306	0.9742430	0.7066597	0.5929399	1.0454789	0.9650624	0.8714514	0.4802127	1.0753436	0.7240271	0.3917819	0.1501345	0.1047312	0.8248964	0.6800991	0.2350922	0.9916601	0.4664022	1.0042208	0.7925288	0.2869802	0.9231903	0.8048167	1.0480739	0.9882233	0.9746631	0.4160371	0.5257869	1.0449623	0.6142453	0.6384813	0.1333683	0.5954820
