YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.6543095	0.2330573	1.0458932	0.2053686	0.6640708	0.8909951	0.6188913	0.0215550	1.0665857	1.0129833	0.9083173	0.9394109	1.0360021	0.7192331	0.1201740	1.0504395	0.9794440	0.8843905	0.9852993	0.8201217	0.5154412	0.9430932	0.8554417	0.9823257	0.3716235	1.0990981	0.7172223	0.4076710	0.1330402	0.0335913	0.6667830	0.9346096	0.4525767	1.0038093	0.4791774	0.8591743	0.8037847	0.5668075	0.9097678	0.7121279	0.9996957	0.8510045	1.0084007	0.1960929	0.4688172	1.0320352	0.6581196	0.3314419	0.0886830	0.2802716
0.6167457	0.2071074	0.9364870	0.2654546	0.5566475	0.7248286	0.7139921	0.0894482	1.0705362	1.0041420	0.7490936	0.9559897	1.0369682	0.9563730	0.1301942	0.9000305	0.9022981	0.9989782	0.9424685	0.8033780	0.6109127	0.8587254	1.0627762	0.9147072	0.4912819	0.9105850	0.7999099	0.2454572	0.1519994	0.1082690	0.8066933	0.6785948	0.3408024	0.9532684	0.7509160	0.8916486	0.6944732	0.5052442	0.8613649	0.8548876	1.0711674	0.9105499	1.0583992	0.2346806	0.4808046	0.9987650	0.7482859	0.4062872	0.2587783	0.6503304
0.8019453	0.3418391	0.8428391	0.2726835	0.5374533	0.7595454	0.6240408	0.0276243	0.9711532	0.9479462	0.7815348	0.8457045	0.9990691	1.0500477	0.2218199	0.8571858	0.9463967	0.7663945	1.0383635	0.8344408	0.4403377	0.9820139	0.7776968	0.7112319	0.6100290	1.0714205	0.8012448	0.5473254	0.0461903	0.1243266	0.8365641	0.7093975	0.3772942	0.7638282	0.3298533	0.9493391	0.6214423	0.3330755	0.9375439	0.8287753	1.0562147	0.6981265	0.9124576	0.4397316	0.7592146	1.0608722	0.8236881	0.6239064	0.2081082	0.3398365
0.8105637	0.3069430	0.9859994	0.3189763	0.3355227	0.8901350	0.7743887	0.1049683	0.5547882	1.0161060	0.8877423	1.0400079	0.7369983	0.8970052	0.1564326	0.8976465	0.9201453	0.8921892	0.9524162	0.9483844	0.3542324	1.1368473	0.9350731	0.8646028	0.3683153	0.9011014	0.6933914	0.8153990	0.1313682	0.1115483	0.7679166	0.7402562	0.4634466	0.9465191	0.4668197	0.9899216	0.8528866	0.3670029	0.8858857	0.8025431	1.0351168	0.7340821	0.8777901	0.3291997	0.6670694	1.0293490	0.9198022	0.3207022	0.1895779	0.7831053
0.9465341	0.2828132	0.8421644	0.1966880	0.5147406	0.7564508	0.5178679	0.0320178	0.5917573	1.0255744	0.7267429	1.0033644	0.9452108	0.7783774	0.1104315	0.9967082	0.9776705	1.0131924	0.7561441	0.7814674	0.5158333	1.0474656	0.9060567	0.9961207	0.4238764	0.9057840	0.6617569	0.5318924	0.0843877	0.0625629	0.6090563	0.6633300	0.0871070	0.9758562	0.9472569	0.9632410	0.7644666	0.1966431	0.8799308	0.9362740	0.9280329	0.8934582	0.9078218	0.4674256	0.4689587	0.9624581	0.4681275	0.5090411	0.1663922	0.3754087
1.0290066	0.3588769	0.8331411	0.2275726	0.5195358	0.9831394	0.5186014	0.0279606	0.9163120	1.0146214	0.8754272	0.7768970	0.8963866	1.0475653	0.1298394	0.8406791	1.0224082	0.7578008	0.8378111	0.8101347	0.5687878	0.9639291	0.8747645	0.9262285	0.4878891	0.9690449	0.8269168	0.3944375	0.1504250	0.0809557	0.8915198	0.7562724	0.2289316	1.0132499	0.8844805	0.9456555	0.7294756	0.1853270	0.7944544	0.6342172	0.9254714	0.8085500	0.9693590	0.4772352	0.4220469	1.1296316	0.6619181	0.4869468	0.1777292	0.6466627
0.9006542	0.3278466	0.9771778	0.3519274	0.3424817	0.9294023	0.3708202	0.1024240	1.0385433	1.0451188	0.9016570	0.9626371	0.7414622	0.8434755	0.1324870	0.9518757	0.9613477	0.9148044	1.0412336	0.7523888	0.5404088	0.9835078	0.9727200	1.0288309	0.4255445	1.0391540	0.7651628	0.4941649	0.1142318	0.0685461	0.9119618	0.6992888	0.2812807	0.8206897	0.6517382	0.9764399	0.8869647	0.3475027	0.8944647	0.4671528	0.9601752	0.9680250	0.9890645	0.4876850	0.4541780	0.9930051	0.3383956	0.5449061	0.1279077	0.3356913
1.0676869	0.2515179	0.8175525	0.1739609	0.8661877	0.3641606	0.6496317	0.0769578	0.9028852	1.0404868	0.9503844	1.0127158	0.9441860	1.0050498	0.1297409	1.0178354	0.9895223	1.0574380	0.6188885	0.7556478	0.5111070	0.6946263	1.0815572	0.5953512	0.4355320	0.9752928	0.6768182	0.4422970	0.0449303	0.1243287	0.8089350	0.7539213	0.0240406	0.7726592	0.3863783	0.9954554	0.3997585	0.2495678	0.9939491	0.9575862	0.9590512	0.8057012	1.0436409	0.6380452	0.6037167	0.9376416	0.7308310	0.3903666	0.3746116	0.4311203
1.0606500	0.3545384	1.0262395	0.4486306	0.2385805	0.9539080	0.5453584	0.0454151	0.7648622	0.8931563	0.8706689	0.9836657	0.6546390	0.6814180	0.1432661	0.9949018	1.0421133	1.0354285	0.5267295	0.8826191	0.2371223	1.0372594	0.9355917	0.5623817	0.3873994	1.0278091	0.4491774	0.4907952	0.1431008	0.1651467	0.5169487	0.7852857	0.2820306	0.7900156	0.4110286	1.0550457	0.5409329	0.1927684	0.8020386	0.8715718	1.0289959	0.1757691	0.9266221	0.3151613	0.6145604	1.0325842	0.7901156	0.5653107	0.1512162	0.6656954
0.7405381	0.0834934	1.0535411	0.2800031	0.5992553	0.8405475	0.8662352	0.0693970	0.6873615	0.9242660	0.9358403	0.8535485	0.9402175	0.9915851	0.1072862	0.9470237	0.9465592	0.9317100	1.0779129	0.8441744	0.5371875	0.9212153	1.0447898	0.9427919	0.4218658	0.9754122	0.7307050	0.2388761	0.0251044	0.1085174	0.7356527	0.7147606	0.4744617	1.0217940	0.4848357	0.9520130	0.8282731	0.3290933	0.8564809	0.7884752	1.0763297	0.8112812	1.0452115	0.4170396	0.6223089	1.0123387	1.0365974	0.4184615	0.0806594	0.3607426
