YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.5081644	0.2236084	0.9842011	0.2442810	0.5544055	0.9090438	0.6784643	0.0893843	0.9214222	1.1067442	0.7896663	1.0110133	1.0218715	1.0406729	0.1297386	0.7561745	0.6656296	1.0294614	1.0136967	0.6252237	0.6762261	1.0063902	1.0397857	0.9045331	0.4687702	0.9454784	0.7710109	0.1855356	0.2687799	0.0636712	0.7782733	0.7583288	0.2055431	0.9251775	0.5132114	0.9735857	0.7449383	0.6256221	0.8101389	0.7384161	0.9484537	0.9310078	0.9578593	0.3861472	0.6268519	0.8849690	0.7743220	0.7531848	0.1797699	0.6464202
1.0150875	0.1045265	0.9142321	0.2591289	0.5257437	0.8322961	0.5579281	0.0504338	1.0546459	1.0213181	0.7982516	1.0411729	0.9619333	1.0222215	0.1555318	0.9533228	0.9913362	1.0714735	1.0398011	0.7583872	0.5140105	0.9058758	0.9906173	0.9405612	0.4211249	1.0329689	0.7835177	0.3686778	0.1061748	0.1216500	0.8383101	0.7147508	0.1885658	0.9519012	0.5604013	1.1257653	0.7592661	0.2579680	0.8427203	0.8106767	0.9670808	0.8957684	0.9629960	0.4699200	0.4717333	1.0563885	0.5216980	0.5539541	0.1507130	0.7223838
0.9515701	0.3952540	0.5626413	0.3102540	0.4582222	0.8632768	0.4857689	0.0516390	1.0259398	1.0501835	0.9319076	1.0384277	1.0815297	0.9422011	0.1724183	0.8539122	0.9644863	1.1392335	1.0344147	0.8027992	0.4953168	0.8868228	1.0083688	1.0040148	0.4789909	1.1116116	0.7413937	0.6406206	0.1879820	0.0973631	0.7086622	0.7646275	0.2116467	1.0646098	0.4516929	1.1088106	0.7656485	0.2943094	0.9756778	0.7114271	0.9216111	0.9581688	1.0531317	0.5044076	0.5271145	1.0988493	0.6156058	0.5631492	0.1541501	0.6401622
1.0788329	0.3510421	0.9906454	0.1562614	0.5510334	0.9978714	0.5341027	0.0578244	1.0695798	1.0125096	0.8638834	1.0109064	0.9506252	1.0209161	0.1180806	0.9575335	1.0639891	1.1296921	1.0393262	0.7051567	0.5558641	1.0167455	0.9269823	0.9462779	0.4755415	0.9673068	0.7956492	0.3387438	0.1198916	0.1621163	0.8114119	0.7642087	0.1743188	1.0554339	0.4730810	0.9534351	0.6971373	0.3025920	1.0203880	0.7400343	1.0529075	0.8593416	1.0182187	0.3819196	0.4674011	0.9720268	0.6113697	0.5281380	0.1548370	0.7630631
0.9370046	0.2033205	0.9654248	0.4489619	0.2827080	0.8571231	0.4488145	0.0513498	0.9520168	0.8989827	0.8087688	1.0354097	0.9242355	1.0297125	0.1208480	0.9505267	1.0143567	0.9687045	1.0722073	0.7439642	0.4637641	0.9325338	0.9015321	0.9596511	0.4513122	0.9437897	0.7457353	0.3441375	0.1351391	0.0681355	0.8058639	0.6845966	0.1978658	1.0491620	0.5260724	1.0390053	0.8596500	0.2768180	0.9193628	0.6924685	1.0486342	0.8586640	0.9994187	0.4461884	0.4724707	1.0008712	0.3723719	0.5356105	0.1659121	0.6208068
0.9427585	0.2898342	0.9742770	0.2328618	0.5704081	0.4616648	0.5276415	0.1090574	0.8592499	1.0112051	0.7197956	0.8998502	0.8912264	1.0072224	0.1724396	0.9556119	0.9870615	0.9987118	0.9871092	0.8364764	0.5739465	0.9477287	0.9841241	0.9680468	0.4127487	0.8734529	0.7339891	0.3399108	0.1020264	0.0741058	0.6760386	0.7331100	0.2610300	0.9182608	0.4944064	1.0073392	0.9535139	0.3282297	0.9794582	0.8956170	0.9987236	0.8472874	1.0218601	0.4246934	0.5679816	0.9643201	0.5027822	0.5780228	0.2862259	0.6448593
0.9670945	0.2412855	1.0405010	0.2667559	0.5400064	0.9137090	0.2001574	0.0615946	0.9525320	0.9458700	0.9399491	1.0577509	0.9697084	1.0247504	0.1590104	0.8251628	0.9553172	0.9460331	1.0134684	0.8201338	0.6171834	1.0784319	0.9800993	0.9951407	0.4333873	1.0459994	0.7945981	0.3342217	0.1153039	0.0653021	0.8038020	0.8293155	0.1928808	0.9924101	0.5021243	1.0278570	0.7683651	0.2902351	0.9918375	0.7570453	1.0234503	0.9025688	1.1279891	0.4233442	0.4902652	1.0359829	0.1201106	0.4806154	0.1075717	0.6737828
1.0567053	0.2693884	0.9838257	0.2506093	0.4547691	0.7558917	0.5057298	0.0470600	1.0527286	1.0729870	0.9017939	1.0437605	1.0908211	1.0013082	0.1256283	0.8931418	0.9105431	0.9920642	0.9171692	0.7693368	0.5329928	1.0168112	1.0341318	0.9749905	0.4551606	1.0102966	0.7968505	0.3272043	0.1320718	0.0798226	0.6779120	0.7347151	0.1710763	1.0071054	0.4612614	1.0067619	0.7859847	0.2175977	0.9567727	0.8909422	1.0039597	0.8254696	1.0400299	0.4061113	0.4953088	0.9263777	0.4017327	0.4853255	0.1810845	0.6678491
1.0530656	0.2808970	1.0367241	0.2634809	0.4748045	0.8715479	0.6205324	0.0826578	0.5374420	1.0423610	0.8633611	0.9194026	0.9981295	1.0115297	0.1307199	0.8825534	0.9426542	1.1050419	0.9923630	0.7933024	0.6639868	1.0207504	1.0341618	0.9633199	0.4421907	0.9661290	0.8134085	0.3160003	0.1579308	0.0794085	0.7520843	0.7002664	0.2437655	0.9897483	0.5403594	1.0876647	0.8107208	0.2868955	0.9779556	0.8211579	1.0477545	1.0204611	1.0042757	0.3950061	0.4809426	0.9862058	0.6786764	0.5916105	0.1757947	0.6746929
1.0479675	0.3053660	0.8766326	0.3121963	0.5243793	0.9199366	0.5511773	0.0719610	0.9448745	0.4806100	0.9122164	0.9436423	0.8826272	1.0028173	0.1113205	0.8374449	0.9614087	1.0065230	1.0153517	0.6861580	0.5710942	1.0001402	1.0757446	0.9049939	0.5257825	1.0433608	0.8052713	0.4839811	0.1560008	0.0892710	0.7735755	0.7925818	0.2435277	1.0379015	0.4496571	0.9857721	0.8272816	0.3335683	0.9381592	0.7104553	1.0798006	1.0087905	1.0646065	0.4630722	0.5842205	1.0221224	0.5426021	0.6281402	0.1672455	0.6179401
