YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.0000000	0.3251279	1.0272697	0.6391284	0.4378327	0.9228075	0.9304454	0.0565890	1.0465062	1.0864032	0.8492656	1.0822630	1.1378020	0.9739257	0.1545550	0.6677510	0.5534304	1.0346447	0.9176869	0.6692384	0.4711336	0.9988403	1.0282460	1.0008374	0.5241356	0.0910754	0.8204080	0.0780379	0.2741098	0.0863113	0.9458250	0.7659005	0.1936814	0.8747987	0.5787636	0.0980218	0.7753792	0.9921547	0.9558928	0.7435054	0.7182110	0.8540042	1.0000194	0.4985857	0.6555493	1.0402315	0.9028341	0.7152589	0.1954014	0.6115113
1.0378238	0.0000000	1.0104527	0.2165950	0.5733411	0.9282348	0.5159515	0.0783577	1.0245080	0.9537421	0.7375955	1.0623468	0.9925119	1.0140918	0.1851494	0.9040072	1.0215840	1.0951284	1.0693534	0.7705573	0.7359275	1.0749277	1.0571175	1.0182601	0.4448342	1.0436705	0.7150789	0.3740699	0.1356423	0.0917852	0.7043322	0.7135089	0.2148945	0.9532735	0.5331010	1.0105369	0.8925410	0.2660988	0.8585329	0.7650835	1.0018362	0.9103300	1.0983313	0.4228785	0.4871765	0.9075636	0.5357872	0.4601075	0.1845036	0.5785367
1.1173316	0.6175591	0.0000000	0.2570173	0.5322266	0.9250759	0.7188301	0.0668224	1.0411792	0.9721270	0.9808528	0.9374402	1.0546340	1.0098880	0.1114454	0.9675546	1.0202702	1.0947496	1.0812974	0.7382196	0.5748492	0.9944021	1.0415821	0.8962816	0.4241332	0.8572280	0.7752679	0.6261054	0.1133789	0.0777280	0.7064412	0.6924528	0.2248326	1.0339111	0.5117973	0.9741020	0.8597627	0.2369638	0.9987121	0.6683695	1.0530004	0.8672557	1.0145818	0.9376586	0.5808001	0.9733863	0.7753679	0.5392249	0.1124996	0.7348222
1.0081077	0.2527767	1.0462987	0.0000000	0.4755084	0.9960349	0.4574050	0.0852640	1.0700316	1.0066796	0.8982589	1.0026012	1.0353548	0.9418384	0.1327252	0.8219397	1.1004575	0.9609588	0.9479721	0.7934730	0.5620444	1.0632227	1.0765096	1.0647026	0.4746777	0.9904559	0.8128225	0.3363717	0.1221757	0.0861186	0.6243235	0.7711126	0.2814377	0.9214151	0.5282026	0.9592554	0.8087080	0.2494446	0.9754018	0.7971157	1.0322078	0.8379661	1.0315360	0.4424539	0.5361187	1.0200624	0.4626350	0.4762121	0.1542453	0.5589078
0.9586667	0.2465414	1.1002126	0.5986106	0.0000000	0.9198577	0.4759457	0.0877811	1.0929275	0.9443531	0.7171855	1.0506344	0.9908409	0.9762832	0.1099722	0.9744894	0.9322411	1.0120992	1.0913139	0.8149539	0.3902321	1.0050651	1.0745608	0.8561803	0.4905812	1.0200148	0.7649547	0.2911537	0.1284887	0.1185299	0.8238035	0.7781012	0.2341164	1.0041825	0.4870492	0.8765209	0.7979656	0.3203467	0.8163203	0.8199596	1.0160208	0.7576556	1.0205467	0.4209763	0.4627350	1.1210994	0.6150163	0.4969913	0.1888648	0.6807695
0.9747894	0.2543235	0.9850138	0.2008278	0.9101527	0.0000000	0.4677147	0.0530271	0.9749531	0.9980953	0.3841833	1.0970424	1.0244165	0.9134672	0.3169941	0.8371765	0.9406046	1.0010578	1.0258498	0.7452707	0.6305130	0.9881773	1.0415822	1.0036815	0.3953611	1.0532072	0.8366573	0.3740266	0.1330064	0.0996066	0.8457152	0.7113399	0.2022051	0.9459811	0.5408189	0.8949320	0.8040525	0.3017304	0.3371257	0.7213368	1.0013378	0.9249858	0.9994338	0.4444486	0.4936010	1.0338726	0.4537673	0.5609290	0.8747360	0.5868552
0.9906191	0.2653624	1.1037306	0.2313608	0.6345366	0.9314113	0.0000000	0.0837729	1.0336635	0.9624363	0.8888736	0.9831984	1.0403889	1.0151971	0.1937667	0.8976712	0.9555838	1.0009232	1.0669488	0.8290437	0.5538953	1.0662699	0.9794960	0.9514278	0.4447126	0.8918808	0.7509518	0.3047377	0.1416850	0.0904061	0.8404050	0.7653768	0.1954017	1.0328363	0.5203382	1.0567026	0.7328527	0.2384461	0.8790492	0.7660801	0.9622261	0.9643523	1.0543465	0.4018484	0.5594824	0.9861667	0.0373444	0.4650605	0.1675819	0.7822562
0.8917218	0.2074247	0.9721777	0.2887711	0.6161104	0.9096280	0.4830077	0.0000000	0.9915478	0.9513137	0.7610751	1.1098401	1.0851104	0.9786391	0.1732143	0.9536625	0.9404044	0.9628492	1.0862702	0.7485565	0.5935737	1.0071256	1.0814781	0.9572507	0.5056385	1.0847039	0.7571200	0.2584231	0.1160994	0.0985205	0.8044202	0.6348395	0.1952093	0.8709686	0.4440123	0.9879520	0.8040233	0.3107223	0.8447647	0.8143800	1.0574780	0.7948840	0.9580333	0.4153157	0.5631376	1.0493010	0.4913877	0.5922311	0.1929259	0.6015353
1.0085877	0.2791883	1.0310540	0.2955539	0.4148150	0.9950086	0.6572631	0.1064112	0.0000000	1.0286566	0.8355072	1.0010725	0.9552211	1.0850983	0.1384107	0.8963564	1.1023882	0.9880445	1.0180077	0.8104307	0.5762590	1.0130946	0.9840833	0.8954112	0.4648628	1.0352551	0.7119819	0.2832697	0.1561296	0.0908005	0.7407749	0.6907261	0.1897492	0.9720770	0.5111313	1.0096919	0.7520847	0.2921454	0.9368043	0.7091008	0.9924392	0.9621311	0.0753515	0.4654697	0.5172172	1.0558356	0.6437827	0.6097558	0.1407158	0.5549352
0.9270815	0.2973843	1.0505242	0.3236120	0.5517417	0.8924926	0.3870853	0.0540440	1.0020492	0.0000000	0.7858006	1.0444471	0.9697380	1.0291370	0.1084009	0.9852620	1.0039574	1.0434592	0.9988070	0.7574486	0.6308173	1.0593573	0.9263636	0.9317897	0.5455550	1.0058408	0.7821278	0.3165202	0.0965605	0.1141427	0.8712919	0.7214764	0.2429770	0.9580853	0.4532400	0.9525961	0.7943442	0.2425474	0.9018125	0.7503162	1.0803588	0.9289687	1.0683408	0.4132691	0.4930913	0.9586009	0.3197722	0.5767074	0.1364208	0.6774593
