YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.6439908	0.2581082	1.0000000	0.1555815	0.5298499	0.9058944	0.5977525	0.0212155	1.0000000	0.9744720	0.8942512	1.0000000	1.0000000	0.7246825	0.1171323	0.8917184	0.9160518	0.8970115	1.0000000	0.7488145	0.5974935	1.0000000	0.9058085	0.9557622	0.4246569	0.9989873	0.7827581	0.3886224	0.1414766	0.0321920	0.6280287	0.8761946	0.3920074	0.9608866	0.4258522	0.8666297	0.8622376	0.4880841	0.8935020	0.6668589	0.9711675	0.9013976	0.9515384	0.2183562	0.4671188	0.9957692	0.6454818	0.3567416	0.0913492	0.2706509
0.6078754	0.1928281	1.0000000	0.1918190	0.6052945	0.6279488	0.6663124	0.0740081	1.0000000	0.9771245	0.7515253	0.9441306	1.0000000	0.9286074	0.1192033	0.9008938	0.9488109	1.0000000	0.9781337	0.7588351	0.5809432	0.7711118	1.0000000	0.8212997	0.4545942	0.9266081	0.7434182	0.2598704	0.1518588	0.1163231	0.7505630	0.6989480	0.3516815	0.9552287	0.7347818	0.9345609	0.6959776	0.4653909	0.8981786	0.8077875	0.9998537	0.8899758	1.0000000	0.2434264	0.4623150	0.9882643	0.7279293	0.3860754	0.2256262	0.6306246
0.8014617	0.3142237	0.7720075	0.2752402	0.4901122	0.8335758	0.6260173	0.0184691	0.9682245	0.9917480	0.7902873	0.8356826	1.0000000	1.0000000	0.1694570	0.9495538	0.9301417	0.8514758	1.0000000	0.7532168	0.3672338	0.9464632	0.7401614	0.6817033	0.5333693	0.9996155	0.7949972	0.5217237	0.0340359	0.0944379	0.8132132	0.7698957	0.3137291	0.8528168	0.3850638	0.9451243	0.6595254	0.3726985	0.9262002	0.7597631	0.9999541	0.6458843	1.0000000	0.3959704	0.7143350	0.9956818	0.8011992	0.5530418	0.1731299	0.2909922
0.8492010	0.2647788	1.0000000	0.3074279	0.4022692	0.9038137	0.7291372	0.0994074	0.4785331	0.9959360	0.8035997	1.0000000	0.7426474	0.9255262	0.1242398	0.8988430	0.9411331	1.0000000	1.0000000	0.8123855	0.3695532	1.0000000	1.0000000	0.8533679	0.3673911	0.9797026	0.7440340	0.7878253	0.1357464	0.1096707	0.7506799	0.6989480	0.4552759	0.9937815	0.4125560	0.9773437	0.7564423	0.3400219	0.8786513	0.7844564	0.9999866	0.6514032	0.9515384	0.3297894	0.6496485	0.9962761	0.8627940	0.3206186	0.1624493	0.6535593
1.0000000	0.3345350	0.8942230	0.1798419	0.4600708	0.8603922	0.5450411	0.0172399	0.5813453	0.9771245	0.7993238	1.0000000	1.0000000	0.8812973	0.0846888	0.9046298	0.9633173	1.0000000	0.7100967	0.7630783	0.5371191	0.9834677	0.9374303	0.9529075	0.4099992	0.9281290	0.5969087	0.4385778	0.0976383	0.0369929	0.5904270	0.6851527	0.1137827	0.9108607	0.9003946	0.9140638	0.7735699	0.1803715	0.8599079	0.9434536	0.9352448	0.8082797	0.9515384	0.4415022	0.4566806	0.9806356	0.5649486	0.5392274	0.1671503	0.3672181
1.0000000	0.3384646	0.8180691	0.2205214	0.4870639	0.9037099	0.5745357	0.0261070	0.8954334	0.9732268	0.8267977	0.7658922	0.8004726	1.0000000	0.1437234	0.9046298	0.9633173	0.8620175	0.7873532	0.7630785	0.5702852	1.0000000	0.8880517	0.9557647	0.4854351	0.9998365	0.7756406	0.4455057	0.1310587	0.0933686	0.9247314	0.6733101	0.1877141	0.9922188	0.8501526	0.9119881	0.7749424	0.1670023	0.8714112	0.6101793	0.9352448	0.8307862	0.9515384	0.4499729	0.4453671	0.9965205	0.7789863	0.5392272	0.1530442	0.6594460
0.8088002	0.2892320	0.8746945	0.3175972	0.3785438	0.8706152	0.3385281	0.0861718	1.0000000	0.9950555	0.9247515	1.0000000	0.7666715	0.9166847	0.1051745	0.9107855	0.9319908	0.8651013	1.0000000	0.7822412	0.5193838	1.0000000	1.0000000	0.9558069	0.4545942	0.9996242	0.7396062	0.4617534	0.1377871	0.0933632	0.8968242	0.6989480	0.2622060	0.8465027	0.6127120	0.9677599	0.8332615	0.3656624	0.9542803	0.4462487	0.9337029	0.9104772	1.0000000	0.4422554	0.4576766	0.9809827	0.1732163	0.5523055	0.1206448	0.3049003
1.0000000	0.2330052	0.8429198	0.1661447	0.7536924	0.5027572	0.6258738	0.0740081	0.8211208	0.9771245	0.9847362	1.0000000	1.0000000	1.0000000	0.1138006	0.9703973	0.9633173	1.0000000	0.6361178	0.7630782	0.5016809	0.6902377	1.0000000	0.5657658	0.4545942	0.9281280	0.6460928	0.4297985	0.0482291	0.1328414	0.7286375	0.6989480	0.0250011	0.7923742	0.3593728	0.9833951	0.4416397	0.2225476	0.9773883	0.9874100	0.9968207	0.7713437	1.0000000	0.5633523	0.5150359	0.9771270	0.8694243	0.4759622	0.1943363	0.4835793
1.0000000	0.3611341	1.0000000	0.3970233	0.2320024	0.9286941	0.5583227	0.0476946	0.8125450	0.9771245	0.8038632	1.0000000	0.5741389	0.6866368	0.1373847	0.9300177	0.9807639	1.0000000	0.4747025	0.7680291	0.2505627	1.0000000	1.0000000	0.5695963	0.3866970	0.9998415	0.4299302	0.5366571	0.1275998	0.1417887	0.6061353	0.7792417	0.2746821	0.6878248	0.3607259	0.9927889	0.5058477	0.2140102	0.8619220	0.9413005	0.9999570	0.1988935	1.0000000	0.3513352	0.6458149	0.9809827	0.7763951	0.5321167	0.1609419	0.5655525
0.6862367	0.0946704	1.0000000	0.2400175	0.6144010	0.7779836	0.8290703	0.0798218	0.7043180	0.9771245	0.9290173	0.8850581	0.9154283	1.0000000	0.1198556	0.8837749	0.8905671	1.0000000	0.9614363	0.7830659	0.5871362	0.8671370	1.0000000	0.9248982	0.4545942	0.9273199	0.7066297	0.2707517	0.0491998	0.0976105	0.7468036	0.7578008	0.4143703	0.9444906	0.4980943	0.8770276	0.7594856	0.3688604	0.9022263	0.7976734	0.9966394	0.8897078	0.9515384	0.4388259	0.6100425	0.9922258	0.9098783	0.4391486	0.0792046	0.3818156
