YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.5000045	0.2660540	1.0000000	0.2665356	0.5305284	0.8950866	0.6354513	0.0740081	1.0000000	0.9941672	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.8423584	0.7765954	1.0000000	1.0000000	0.7157533	0.6188712	1.0000000	1.0000000	0.9557750	0.4545942	0.9959595	0.7646965	0.1864976	0.1836557	0.0933673	0.7734745	0.7186817	0.2096546	0.9170351	0.5033916	0.8744937	0.8108566	0.6301563	0.9081131	0.7603821	0.9818378	0.9370818	1.0000000	0.4427372	0.5782476	0.9957506	0.7364596	0.6230837	0.1599745	0.6306246
1.0000000	0.1329275	1.0000000	0.2620908	0.5305284	0.8950866	0.4615353	0.0740081	1.0000000	0.9941672	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5564382	1.0000000	1.0000000	0.9557750	0.4545942	0.9998127	0.7646965	0.3294292	0.1292684	0.0933673	0.7702759	0.7186817	0.2115943	0.9647251	0.5034401	0.9827712	0.8108566	0.2728295	0.9081131	0.7603821	0.9952345	0.9090313	1.0000000	0.4305109	0.4957919	0.9957506	0.4528680	0.5355820	0.1599745	0.6306246
1.0000000	0.3982924	0.5000065	0.2620908	0.5305284	0.8950866	0.5139895	0.0740081	1.0000000	0.9941672	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5564382	1.0000000	1.0000000	0.9557750	0.4545942	0.9998128	0.7646965	0.5881261	0.1292684	0.0933673	0.7702759	0.7186817	0.2115943	0.9647251	0.5034401	0.9827712	0.8108566	0.2728295	0.9081131	0.7603821	0.9952345	0.9090313	1.0000000	0.5220474	0.4957919	0.9957506	0.5534594	0.5355820	0.1599745	0.6306246
1.0000000	0.2657393	1.0000000	0.1310954	0.5305284	0.8950866	0.4615353	0.0740081	1.0000000	0.9941672	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5839257	1.0000000	1.0000000	0.9557750	0.4545942	0.9998127	0.7646965	0.3294292	0.1292684	0.0933673	0.6998443	0.7186817	0.2115943	0.9647251	0.5034401	0.9827712	0.8108566	0.2728295	0.9081131	0.7603821	0.9952345	0.9224126	1.0000000	0.4305109	0.4957919	0.9957506	0.4528683	0.5355820	0.1599745	0.6306246
1.0000000	0.2657393	1.0000000	0.3756486	0.2652666	0.8950866	0.4615353	0.0740081	1.0000000	0.9941672	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5145999	1.0000000	1.0000000	0.9557750	0.4545942	0.9998127	0.7646965	0.3294292	0.1292684	0.0933673	0.7396727	0.7186817	0.2115943	0.9647251	0.5034401	0.9827712	0.8108566	0.2728295	0.9081131	0.7603821	0.9952345	0.8821091	1.0000000	0.4305109	0.4957919	0.9957506	0.4528679	0.5355820	0.1599745	0.6306246
1.0000000	0.2657330	1.0000000	0.2412231	0.6062243	0.4475441	0.4611159	0.0740081	1.0000000	0.9941672	0.7872197	1.0000000	1.0000000	1.0000000	0.1401863	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5623160	1.0000000	1.0000000	0.9592434	0.4545942	0.9998127	0.7646965	0.3294292	0.1292684	0.0929228	0.7753372	0.7186817	0.2115943	0.9647251	0.5039056	0.9827712	0.8124963	0.2728295	0.8976147	0.7596154	0.9952345	0.9119317	1.0000000	0.4301453	0.4957919	0.9957506	0.4520593	0.5355820	0.3128154	0.6306246
1.0000000	0.2657393	1.0000000	0.2620908	0.5305284	0.8950866	0.2307677	0.0740081	1.0000000	0.9941672	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5564382	1.0000000	1.0000000	0.9557750	0.4545942	0.9998128	0.7646965	0.3294292	0.1292684	0.0933673	0.7702759	0.7186817	0.2115943	0.9647251	0.5034401	0.9827712	0.8108566	0.2728295	0.9081131	0.7603821	0.9952345	0.9090313	1.0000000	0.4305109	0.4957919	0.9957506	0.0877450	0.5355820	0.1599745	0.6306246
1.0000000	0.2657393	1.0000000	0.2620908	0.5305284	0.8950866	0.4553748	0.0370392	1.0000000	0.9941672	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5564382	1.0000000	1.0000000	0.9557750	0.4545942	0.9998127	0.7646965	0.3294292	0.1292684	0.0933673	0.7702759	0.7186817	0.2115943	0.9647251	0.5034401	0.9827712	0.8108566	0.2728295	0.9081131	0.7603821	0.9952345	0.9090313	1.0000000	0.4305109	0.4957919	0.9957506	0.4407024	0.5355820	0.1599745	0.6306246
1.0000000	0.2657393	1.0000000	0.2620908	0.5305284	0.8950866	0.5730068	0.0740081	0.5000033	0.9941672	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5564382	1.0000000	1.0000000	0.9557750	0.4545942	0.9998128	0.7646965	0.3294292	0.1292684	0.0933673	0.7702759	0.7186817	0.2115943	0.9647251	0.5034401	0.9827712	0.8108566	0.2728295	0.9081131	0.7603821	0.9952345	0.9090313	1.0000000	0.4305109	0.4957919	0.9957506	0.6523820	0.5355820	0.1599745	0.6306246
1.0000000	0.2657393	1.0000000	0.2620908	0.5305284	0.8950866	0.4232641	0.0740081	1.0000000	0.4971203	0.8108899	1.0000000	1.0000000	1.0000000	0.1362225	0.9118472	0.9722234	1.0000000	1.0000000	0.7837907	0.5564382	1.0000000	1.0000000	0.9557750	0.4545942	0.9998128	0.7646965	0.3294292	0.1292684	0.0933673	0.7702759	0.7186817	0.2115943	0.9647251	0.5034401	0.9827712	0.8108566	0.2728295	0.9081131	0.7603821	0.9952345	0.9090313	1.0000000	0.4305109	0.4957919	0.9957506	0.3759573	0.5355820	0.1599745	0.6306246
