YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.6439982	0.2581248	1.0000000	0.1555811	0.5298499	0.9058944	0.5977433	0.0212193	1.0000000	0.9744759	0.8942475	1.0000000	1.0000000	0.7247114	0.1171338	0.8917371	0.9160770	0.8970125	1.0000000	0.7488591	0.5974635	1.0000000	0.9058090	0.9557622	0.4246555	0.9989918	0.7827580	0.3886318	0.1414560	0.0321921	0.6279928	0.8761916	0.3920138	0.9608966	0.4258522	0.8666408	0.8622373	0.4880195	0.8934942	0.6668590	0.9711692	0.9012164	0.9515386	0.2183146	0.4670477	0.9957692	0.6449708	0.3566879	0.0913547	0.2706510
0.6078766	0.1928285	1.0000000	0.1918467	0.6052687	0.6279638	0.6663103	0.0740081	1.0000000	0.9771248	0.7515611	0.9441306	1.0000000	0.9286089	0.1191878	0.9008958	0.9488137	1.0000000	0.9781337	0.7588410	0.5809241	0.7711137	1.0000000	0.8213002	0.4545942	0.9266152	0.7434183	0.2598725	0.1518558	0.1163205	0.7505944	0.6989482	0.3516822	0.9552312	0.7347821	0.9345631	0.6959934	0.4653795	0.8982419	0.8077850	0.9998537	0.8898769	1.0000000	0.2434085	0.4623044	0.9882647	0.7277969	0.3860670	0.2255383	0.6306246
0.8014722	0.3141276	0.7720255	0.2752881	0.4900787	0.8335951	0.6260038	0.0184784	0.9682251	0.9917559	0.7903245	0.8356837	1.0000000	1.0000000	0.1694352	0.9495619	0.9301652	0.8514799	1.0000000	0.7532541	0.3671846	0.9464694	0.7401652	0.6817066	0.5333566	0.9996172	0.7949969	0.5217223	0.0340284	0.0944242	0.8130952	0.7699519	0.3137206	0.8528298	0.3850657	0.9451310	0.6595910	0.3726364	0.9262427	0.7597530	0.9999541	0.6453073	1.0000000	0.3958389	0.7143015	0.9956822	0.8006569	0.5529774	0.1730716	0.2909977
0.8492090	0.2647814	1.0000000	0.3074181	0.4022703	0.9038136	0.7291034	0.0993744	0.4785421	0.9959357	0.8036005	1.0000000	0.7426477	0.9255434	0.1242393	0.8988524	0.9411474	1.0000000	1.0000000	0.8124041	0.3695521	1.0000000	1.0000000	0.8533679	0.3673912	0.9797158	0.7440342	0.7878274	0.1357360	0.1096696	0.7506096	0.6989503	0.4552766	0.9937841	0.4125560	0.9773471	0.7564516	0.3399844	0.8786538	0.7844553	0.9999866	0.6517141	0.9515390	0.3297686	0.6496191	0.9962761	0.8622349	0.3205948	0.1624475	0.6535593
1.0000000	0.3345085	0.8942264	0.1798459	0.4600667	0.8603942	0.5450383	0.0172440	0.5813480	0.9771258	0.7993293	1.0000000	1.0000000	0.8813098	0.0846870	0.9046298	0.9633173	1.0000000	0.7100968	0.7630785	0.5371176	0.9834685	0.9374307	0.9529079	0.4099984	0.9281498	0.5969156	0.4385706	0.0976382	0.0369925	0.5904029	0.6851622	0.1137827	0.9108669	0.9003947	0.9140638	0.7735730	0.1803714	0.8599175	0.9434508	0.9352448	0.8083091	0.9515386	0.4414899	0.4566805	0.9806356	0.5646559	0.5392272	0.1671414	0.3672181
1.0000000	0.3383707	0.8180834	0.2205193	0.4870643	0.9037099	0.5745307	0.0261037	0.8954352	0.9732383	0.8267959	0.7658937	0.8004728	1.0000000	0.1437228	0.9046298	0.9633173	0.8620213	0.7873535	0.7630789	0.5702873	1.0000000	0.8880533	0.9557647	0.4854305	0.9998365	0.7756483	0.4454742	0.1310586	0.0933686	0.9246883	0.6733480	0.1877028	0.9922192	0.8501526	0.9119882	0.7749431	0.1670020	0.8714066	0.6101741	0.9352448	0.8308408	0.9515390	0.4499256	0.4453734	0.9965205	0.7786569	0.5392266	0.1530482	0.6594478
0.8088008	0.2892280	0.8746951	0.3175966	0.3785439	0.8706152	0.3385258	0.0861695	1.0000000	0.9950559	0.9247507	1.0000000	0.7666716	0.9166865	0.1051749	0.9107865	0.9319924	0.8651015	1.0000000	0.7822445	0.5193832	1.0000000	1.0000000	0.9558069	0.4545942	0.9996244	0.7396062	0.4617534	0.1377858	0.0933632	0.8968206	0.6989482	0.2622065	0.8465037	0.6127120	0.9677604	0.8332614	0.3656578	0.9542789	0.4462487	0.9337030	0.9104830	1.0000000	0.4422478	0.4576710	0.9809827	0.1731207	0.5522993	0.1206466	0.3049003
1.0000000	0.2330023	0.8429201	0.1661647	0.7536690	0.5027664	0.6258783	0.0740081	0.8211209	0.9771246	0.9847593	1.0000000	1.0000000	1.0000000	0.1137952	0.9703973	0.9633173	1.0000000	0.6361178	0.7630782	0.5016723	0.6902387	1.0000000	0.5657615	0.4545942	0.9281303	0.6460932	0.4297977	0.0482290	0.1328573	0.7286563	0.6989481	0.0250011	0.7923748	0.3593696	0.9833951	0.4415906	0.2225476	0.9773950	0.9874108	0.9968207	0.7712539	1.0000000	0.5633919	0.5150359	0.9771274	0.8694366	0.4759622	0.1942714	0.4835793
1.0000000	0.3611387	1.0000000	0.3970216	0.2320025	0.9286941	0.5583220	0.0476905	0.8125452	0.9771248	0.8038632	1.0000000	0.5741389	0.6866436	0.1373846	0.9300177	0.9807639	1.0000000	0.4747025	0.7680291	0.2505654	1.0000000	1.0000000	0.5695963	0.3866970	0.9998415	0.4299327	0.5366571	0.1275998	0.1417883	0.6061133	0.7792412	0.2746821	0.6878279	0.3607259	0.9927889	0.5058506	0.2140103	0.8619222	0.9413005	0.9999570	0.1990197	1.0000000	0.3513287	0.6458148	0.9809827	0.7763556	0.5321167	0.1609417	0.5655525
0.6862432	0.0946742	1.0000000	0.2400816	0.6143485	0.7780155	0.8290635	0.0798190	0.7043199	0.9771258	0.9290335	0.8850584	0.9154283	1.0000000	0.1198527	0.8837967	0.8905937	1.0000000	0.9614363	0.7831110	0.5870578	0.8671434	1.0000000	0.9249038	0.4545942	0.9273445	0.7066305	0.2707609	0.0491865	0.0976031	0.7469231	0.7577988	0.4143721	0.9445033	0.4980965	0.8770354	0.7595262	0.3688118	0.9022325	0.7976633	0.9966401	0.8893426	0.9515386	0.4387454	0.6099743	0.9922265	0.9097312	0.4390771	0.0791805	0.3818156
