YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.3021860	0.1777852	0.6505480	0.2023812	0.4309286	0.6688468	0.5623001	0.0690424	0.6569570	0.8204464	0.4402410	0.6168575	0.7499854	0.6889167	0.0820129	0.6046374	0.4553784	0.8156353	0.5831720	0.3799712	0.5363704	0.6700726	0.7288835	0.6360925	0.3845076	0.7404974	0.4721106	0.0998073	0.1884267	0.0300584	0.5109102	0.4696489	0.1025103	0.6818919	0.3817480	0.6895758	0.6366283	0.5956648	0.5840224	0.5782810	0.6111467	0.7143337	0.6819378	0.3662361	0.4519270	0.6382761	0.5489861	0.5377564	0.1427059	0.4851649
0.8161296	0.0467388	0.6995851	0.2025335	0.4112669	0.6140976	0.4180395	0.0284869	0.7698331	0.7592478	0.4798233	0.8387860	0.7851314	0.7519535	0.1037365	0.6279291	0.6952182	0.7230652	0.6982939	0.4675676	0.3513408	0.5667870	0.6577487	0.7000329	0.2669856	0.7087900	0.5080345	0.2775607	0.0890495	0.0632832	0.5206329	0.5746843	0.1857743	0.6584433	0.3834375	0.8290291	0.5179587	0.1505883	0.5624463	0.5834840	0.5844681	0.5501186	0.7599561	0.3582730	0.3728870	0.6687725	0.3734475	0.4715227	0.1333949	0.5007683
0.7087957	0.2560702	0.4661901	0.1847423	0.3278715	0.5459665	0.3687509	0.0475453	0.6634003	0.7826777	0.6608154	0.7355210	0.7408735	0.6843510	0.1366994	0.6169372	0.7884623	0.8639899	0.6252219	0.5709662	0.4327181	0.7159189	0.6824307	0.7467860	0.3041012	0.7089321	0.4400795	0.4219374	0.1030214	0.0474156	0.5156546	0.5643376	0.1433713	0.7775617	0.3439284	0.6923875	0.5856373	0.2542878	0.6861672	0.5624148	0.6094232	0.7180171	0.8162435	0.4097156	0.4096210	0.7004934	0.4608854	0.3415994	0.1291767	0.4073407
0.7930122	0.2170171	0.7174827	0.0998014	0.4134354	0.7643333	0.3501329	0.0450747	0.6289190	0.5955044	0.5597669	0.7501489	0.7932828	0.7966017	0.0830296	0.7728367	0.8246756	0.7637497	0.7577770	0.4743493	0.3719680	0.6539972	0.6972195	0.7144687	0.4185673	0.6530692	0.5285676	0.2814154	0.1091313	0.1346816	0.5575884	0.5130550	0.1591599	0.8357840	0.3881510	0.5986592	0.5551914	0.2036670	0.7384671	0.5112425	0.7400576	0.6454460	0.6860430	0.2768436	0.3202689	0.8617652	0.3795274	0.4550957	0.0955372	0.5122899
0.7156084	0.1736098	0.6595040	0.3566403	0.2200346	0.5701198	0.3213948	0.0257300	0.6168987	0.7183510	0.6574408	0.7797164	0.6968999	0.7758115	0.1961281	0.6331815	0.6468244	0.7072608	0.8933772	0.4607125	0.3127613	0.5639121	0.6023301	0.7123191	0.3394156	0.6349099	0.4213440	0.2969020	0.1017227	0.0388258	0.5487020	0.4835118	0.1287717	0.7014438	0.3469644	0.8226702	0.6999651	0.1751737	0.6833987	0.4662140	0.6866080	0.5842529	0.6948634	0.3132758	0.3314797	0.7252434	0.2755921	0.3983477	0.0789062	0.4717952
0.6964512	0.2231121	0.6402229	0.1934226	0.3092039	0.2959336	0.3348220	0.0548590	0.6183416	0.7072127	0.5325338	0.6626936	0.6226142	0.7240415	0.1234935	0.6964748	0.7026428	0.7126978	0.7796694	0.6889006	0.4205508	0.5980281	0.7831009	0.6985830	0.2410063	0.6698163	0.5066823	0.3396271	0.0404565	0.0518355	0.5213192	0.4939591	0.2155474	0.6706419	0.3401238	0.6465054	0.7187693	0.2321271	0.7025635	0.7483706	0.6878021	0.5759274	0.6774960	0.3078052	0.4459748	0.6753905	0.3626057	0.4408095	0.2113054	0.4387691
0.6282398	0.1528536	0.6946582	0.1838847	0.4171837	0.5988734	0.1079115	0.0357130	0.7348193	0.7097538	0.6221255	0.7826992	0.6578648	0.7851148	0.1041363	0.5695715	0.7458659	0.6521731	0.9169654	0.5786946	0.4212718	0.7653605	0.5679200	0.6977453	0.3177488	0.8200104	0.5946768	0.2791333	0.1199170	0.0606710	0.4930280	0.6279760	0.1253210	0.7789267	0.3123886	0.8479314	0.5851493	0.2287484	0.5975597	0.5293355	0.7425942	0.6393486	0.8241975	0.3313902	0.3848196	0.7623827	0.0591009	0.3535874	0.0921026	0.4564230
0.6539598	0.1742793	0.6306935	0.1707884	0.3125671	0.4997482	0.3592280	0.0152383	0.7491627	0.9254740	0.6524051	0.7157388	0.8059162	0.6479288	0.0798030	0.8167603	0.7060367	0.7067016	0.6484343	0.5631830	0.4281426	0.6722832	0.8582839	0.6720863	0.3099977	0.7520655	0.4848777	0.1819750	0.0859538	0.0662056	0.4309509	0.5270054	0.1087472	0.8135773	0.2999046	0.7469400	0.5429134	0.1644901	0.6333079	0.5881183	0.6525470	0.5735166	0.8493252	0.2549561	0.3418336	0.6539454	0.2436501	0.3783447	0.1033216	0.5176016
0.7854462	0.1932807	0.6911142	0.2509232	0.2772200	0.5770802	0.4788063	0.0373434	0.3638581	0.6740895	0.6473699	0.6436117	0.8040203	0.6516856	0.1558859	0.6071961	0.6943667	0.9784090	0.7267350	0.4513571	0.4955338	0.6978048	0.7964215	0.7594827	0.3850197	0.7040742	0.6809883	0.1883794	0.0987657	0.0451639	0.5318494	0.5409537	0.1669997	0.6915288	0.3686119	0.7574223	0.4776321	0.2334139	0.7123555	0.5633817	0.8977904	0.6885602	0.6688963	0.2112595	0.2490070	0.7615395	0.5294905	0.4296862	0.1319459	0.4758531
0.7470568	0.1987317	0.5484146	0.2173165	0.4247904	0.6469293	0.4955251	0.0598824	0.6943124	0.3473324	0.6774562	0.5964904	0.6081195	0.7260035	0.0625870	0.5966907	0.7789975	0.7957648	0.8447314	0.4167488	0.3923795	0.7951721	0.8274424	0.6902282	0.3909769	0.6489551	0.5974289	0.3168037	0.1003822	0.0525225	0.4528147	0.5181830	0.1313976	0.6931816	0.3544206	0.7641557	0.5346181	0.2465371	0.7697250	0.5030901	0.8448956	0.7581181	0.8187945	0.3582879	0.4246938	0.8075018	0.3990477	0.4548860	0.1136774	0.4962930
