YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.0000000	0.1334825	0.6561644	0.6911650	0.4197921	0.6408031	0.6746861	0.6757990	0.4990904	0.7048900	0.1618808	0.5695074	0.7724430	0.6863726	0.7009751	0.6499262	0.2492641	0.6597631	0.6687344	0.8741419	0.5996495	0.6449014	0.7046592	0.6922402	0.7220629	0.3143993	0.0748687	0.1200423	0.2318291	0.6418737	0.2641833	0.1151234	0.3465679	0.2581123	0.7403966	0.2443380	0.5074956	0.2377153	0.3208768	0.1883623	0.0796026	0.1461298	0.4843234	0.1645467	0.6316189	0.3093453	0.3456796	0.5426855	0.4940442	0.6199309
0.1300160	0.0000000	0.6492291	0.7547961	0.2890112	0.6742799	0.6362107	0.7144311	0.4484901	0.6964353	0.1505072	0.5964214	0.6585911	0.6997340	0.5912997	0.7807821	0.2084721	0.4576564	0.7321289	0.7276875	0.6195299	0.6878031	0.7368028	0.6789251	0.7090645	0.4802070	0.0659418	0.1110025	0.2434726	0.6246088	0.2666992	0.1247737	0.4393299	0.2326339	0.6811616	0.2251295	0.4611160	0.1248471	0.3284421	0.2416962	0.0290863	0.2242561	0.4948982	0.1462814	0.6386948	0.3123121	0.2746788	0.5435739	0.5710072	0.5341514
0.0945572	0.1145818	0.0000000	0.4985512	0.4223838	0.6479441	0.6079825	0.7355694	0.5347095	0.7688893	0.1302640	0.4928003	0.7540834	0.7712107	0.7069473	0.6962117	0.2265503	0.5690676	0.6119995	0.7488388	0.5433730	0.7146311	0.7063920	0.7332457	0.8711026	0.6163381	0.0246747	0.1541851	0.1954450	0.7568073	0.2562010	0.3001455	0.3813619	0.2278131	0.6603775	0.2107290	0.3931990	0.3358308	0.3184121	0.1800503	0.0697099	0.1489026	0.5826165	0.2418937	0.7147708	0.2469585	0.3047424	0.4547153	0.2473045	0.7482492
0.1736776	0.0069442	0.6764351	0.0000000	0.2204530	0.8199275	0.7210240	0.6648218	0.5352287	0.6485163	0.2088169	0.4781965	0.6959897	0.7335641	0.7578684	0.6567371	0.0278503	0.6032448	0.6744077	0.6221387	0.7111348	0.6947030	0.6615332	0.7051226	0.7083714	0.4800316	0.6301162	0.1865492	0.1815213	0.6397646	0.2554371	0.3082608	0.3530114	0.2105510	0.0006351	0.1648178	0.4876673	0.1484266	0.3266766	0.1658274	0.1833853	0.1776980	0.6538901	0.1648041	0.7125332	0.4159145	0.3368589	0.4732347	0.4846673	0.6749331
0.1198346	0.0220465	0.7237097	0.7951870	0.0000000	0.6887526	0.7231129	0.6774540	0.4635973	0.9174392	0.1340786	0.4940083	0.7117772	0.8019329	0.6899456	0.6368073	0.2053215	0.6535610	0.7072820	0.7664926	0.7472896	0.6187705	0.6324518	0.6963321	0.6930495	0.5101829	0.0527642	0.1775140	0.2128859	0.6197311	0.2166950	0.1438055	0.4017357	0.1686739	0.7707420	0.2244726	0.4137600	0.1993636	0.3944044	0.0965221	0.0790236	0.2186433	0.5749908	0.1491615	0.8316521	0.3672497	0.1899094	0.4512030	0.5351399	0.7117018
0.1403044	0.1620728	0.7721036	0.8159738	0.1436015	0.0000000	0.5805664	0.8413843	0.6547151	0.6126491	0.1859696	0.5101224	0.6662845	0.6902831	0.7418635	0.7955749	0.2068655	0.5292013	0.5810132	0.6380789	0.6138922	0.7753525	0.8097966	0.6979698	0.8310269	0.4570697	0.0200456	0.1917268	0.1793914	0.5947252	0.2887381	0.4819119	0.3230905	0.4199240	0.6869216	0.1855840	0.4604789	0.1791286	0.5416855	0.1923506	0.0457444	0.1258172	0.4638130	0.1690323	0.6664033	0.3343305	0.2316864	0.3343729	0.3134757	0.6003392
0.1171296	0.0002134	0.7033594	0.7929475	0.2900800	0.6778438	0.0000000	0.6870467	0.3955695	0.6503235	0.1859195	0.5473286	0.7347473	0.7114252	0.7011088	0.7261676	0.2608341	0.6150109	0.6940593	0.6316745	0.6350146	0.5655251	0.5635266	0.6151329	0.7084619	0.4846546	0.0522188	0.1365615	0.2531704	0.7695717	0.2973568	0.0837158	0.3650109	0.1763158	0.7033804	0.2372973	0.5002450	0.1898452	0.3271681	0.2278500	0.0278739	0.1343524	0.4671617	0.1268315	0.7613031	0.2967166	0.3013345	0.2659659	0.4740702	0.6092680
0.1520835	0.0106842	0.7486541	0.7994206	0.4326572	0.7068203	0.5909660	0.0000000	0.5323055	0.6589252	0.1765224	0.5315751	0.6905272	0.7432562	0.6660476	0.7839439	0.2129566	0.5120918	0.6446618	0.8116848	0.6911074	0.5665756	0.7620854	0.6750506	0.7406106	0.5090999	0.0680210	0.1987140	0.6882748	0.6697412	0.2527764	0.1329479	0.6413808	0.1884388	0.5787989	0.2117909	0.4731073	0.1857081	0.3526728	0.3118157	0.0387045	0.1633926	0.5989437	0.1820958	0.7755664	0.5786585	0.2846209	0.5085095	0.4798443	0.7055264
0.1883186	0.0013250	0.7326108	0.7170361	0.4373561	0.6643403	0.7570606	0.6197022	0.0000000	0.6623077	0.1730715	0.1378770	0.6802359	0.6791201	0.7284675	0.6584822	0.0571663	0.5394937	0.6390096	0.7624487	0.7136430	0.6592198	0.7086204	0.6945942	0.6092269	0.5486626	0.5027532	0.2319071	0.2118610	0.6815537	0.2406866	0.1382711	0.4113748	0.2125751	0.6498493	0.2032732	0.4975969	0.1633685	0.3681792	0.1578872	0.0335563	0.1797654	0.5069728	0.2088296	0.6399157	0.3784577	0.6379046	0.6340775	0.4870947	0.5595163
0.1548510	0.0090249	0.6871750	0.4063787	0.2232284	0.6987396	0.7163918	0.7328459	0.4563839	0.0000000	0.1597396	0.4632429	0.5544901	0.6084529	0.6972902	0.8199115	0.2072160	0.6208473	0.7773621	0.6768047	0.7559856	0.6212767	0.6829330	0.8327149	0.6278888	0.5860474	0.0304624	0.2408283	0.2089933	0.4599721	0.2261775	0.1899233	0.4428794	0.2503828	0.6358094	0.2450796	0.4552265	0.2427666	0.2719602	0.1674290	0.0538964	0.6026172	0.5568688	0.1221348	0.0061543	0.3399350	0.0027187	0.5384717	0.4642237	0.6074363
