YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.1878165	0.0663367	0.6875240	0.7763213	0.3310326	0.8081607	0.6089467	0.6080102	0.4180643	0.6042436	0.1622410	0.1193040	0.5032177	0.6736799	0.7195275	0.6578081	0.0096620	0.5036364	0.6648484	0.3796051	0.6511922	0.7268013	0.4679041	0.6106801	0.6691047	0.4893076	0.5093705	0.2064661	0.3210017	0.6685632	0.2027477	0.1105322	0.4094146	0.2524008	0.7352564	0.4450785	0.1895783	0.3223584	0.3028625	0.1856953	0.0536336	0.1437824	0.6968566	0.3934833	0.6861531	0.3898178	0.6086693	0.5324843	0.4017444	0.4569173
0.0988304	0.0047405	0.7673570	0.6130475	0.5764044	0.7100345	0.7462753	0.6100416	0.3921435	0.8331221	0.3344952	0.2122378	0.7451698	0.6722403	0.7283369	0.6827289	0.2213867	0.4827080	0.6325966	0.6245706	0.5795991	0.7333992	0.6992052	0.5327652	0.7001749	0.3354276	0.0715146	0.1616744	0.2670416	0.7513345	0.2958033	0.1167955	0.4676480	0.0775458	0.6146043	0.1910127	0.4761619	0.2086382	0.4065877	0.1857948	0.0522859	0.3530380	0.6217280	0.2381911	0.5877349	0.3638342	0.4597276	0.5225959	0.4982396	0.6445981
0.0543605	0.1765774	0.6476136	0.6267216	0.8362108	0.7338250	0.7447389	0.5495945	0.3458668	0.5961682	0.0994591	0.2106779	0.4320036	0.7011622	0.5230597	0.5346054	0.2917709	0.4953570	0.7003638	0.4737333	0.6266748	0.6881173	0.6763573	0.5680613	0.5712986	0.5117298	0.0002733	0.0653791	0.2528816	0.7418520	0.3484609	0.0065543	0.4148244	0.2642949	0.7415087	0.2485359	0.2268820	0.3244702	0.2999430	0.2263468	0.0420594	0.1525440	0.4974132	0.1339022	0.5757697	0.3247409	0.3859125	0.4777625	0.5063947	0.4834481
0.2357033	0.0113772	0.5800682	0.5877437	0.4874935	0.6582935	0.7790194	0.3855139	0.5101780	0.4338986	0.5604079	0.6623291	0.5832886	0.4712052	0.6023353	0.6463694	0.4127573	0.5352622	0.7383624	0.6442034	0.5918143	0.2470548	0.7488531	0.6559690	0.7672995	0.5052471	0.0167328	0.1441578	0.3881662	0.5824214	0.2055505	0.1952466	0.4956737	0.2927603	0.6514342	0.2335217	0.4818355	0.3174617	0.3536791	0.0025280	0.0464606	0.1561555	0.5674460	0.3786966	0.6523671	0.0351428	0.1605943	0.4897445	0.6407070	0.5993229
0.0850483	0.0777237	0.7569524	0.7298535	0.4986414	0.7007879	0.7273414	0.7435199	0.7047981	0.8091267	0.0691458	0.3727654	0.6704589	0.8161159	0.6425452	0.6460808	0.1855691	0.5932114	0.7162533	0.5159858	0.3354602	0.6564891	0.6476963	0.7224498	0.7805462	0.4394728	0.0008545	0.1520866	0.1260994	0.6782475	0.2978173	0.0630528	0.3214299	0.1978873	0.8663768	0.2721325	0.4534836	0.5170471	0.3652527	0.0660875	0.0600009	0.0592385	0.5314385	0.3446179	0.7132717	0.6672285	0.2531054	0.5321493	0.3992297	0.5228785
0.1094714	0.0409756	0.6321252	0.7741441	0.2365760	0.6224654	0.7497559	0.6655899	0.5453925	0.4783440	0.4672258	0.5251862	0.7900072	0.6618853	0.6741149	0.6083920	0.3515395	0.5990849	0.5031020	0.7222037	0.6872975	0.5790334	0.6085343	0.7501018	0.7771285	0.5083324	0.0232244	0.1359995	0.1770562	0.6950195	0.2352509	0.0084759	0.3297553	0.1075886	0.6662653	0.2108796	0.4176500	0.2302484	0.1172950	0.0191569	0.0594304	0.3719522	0.5667595	0.4874725	0.7101638	0.1464409	0.1837020	0.5216263	0.4120892	0.7158583
0.1132345	0.0845949	0.4098702	0.7391474	0.3926159	0.6881233	0.4658056	0.6765933	0.6006198	0.6001776	0.1643464	0.6125010	0.7085483	0.6857255	0.5979833	0.6608197	0.3643214	0.4719964	0.4621054	0.5708999	0.6302680	0.4299907	0.6781082	0.6265499	0.7455440	0.4757972	0.0115923	0.2168812	0.1739086	0.6569062	0.1266665	0.1687600	0.2178410	0.1890556	0.6140550	0.1951329	0.4727933	0.1115655	0.2695146	0.2707072	0.0707021	0.3015629	0.6088682	0.1883667	0.5293537	0.1253662	0.0093451	0.6568413	0.4468271	0.6106870
0.1574241	0.1379919	0.7633061	0.6426388	0.4606501	0.4721622	0.7239260	0.6174193	0.5320512	0.4672352	0.3203151	0.4960580	0.6174509	0.6291711	0.7161912	0.4376830	0.2797573	0.5312874	0.6448011	0.6758676	0.6788394	0.6934754	0.5670894	0.7207077	0.5112386	0.4092149	0.0359519	0.1576726	0.1854330	0.6863901	0.2592189	0.2064525	0.3318615	0.3860553	0.6488930	0.1963173	0.3898940	0.0761952	0.5031126	0.2689444	0.0595603	0.3907226	0.5529624	0.3061888	0.6438561	0.2391198	0.6056780	0.5033917	0.5517433	0.4660650
0.1213627	0.0053892	0.8078272	0.6810792	0.5473328	0.7393875	0.5517580	0.6642848	0.4997540	0.7721606	0.0887180	0.4856574	0.7313295	0.5245108	0.6457165	0.7992829	0.2042545	0.4859643	0.6804869	0.6365148	0.3390810	0.6811524	0.5911093	0.6593790	0.8196236	0.4369664	0.0091431	0.1196137	0.2083234	0.5446375	0.4102912	0.1236391	0.4622193	0.1996713	0.7353244	0.3201451	0.4632163	0.0457405	0.2478280	0.1724517	0.0122555	0.1187683	0.6246083	0.1199187	0.7621520	0.3982594	0.2132902	0.5552008	0.3942525	0.6256956
0.0670683	0.2357519	0.5298643	0.7228426	0.4126519	0.6645044	0.6682867	0.6839057	0.6208820	0.5710535	0.3119966	0.6882394	0.4928555	0.7340507	0.7302309	0.4739973	0.2449362	0.6266643	0.4815646	0.6614366	0.8030308	0.5123865	0.6819913	0.5696284	0.6831763	0.4897817	0.0251817	0.0834065	0.2863387	0.6738000	0.2163394	0.0938535	0.1735849	0.1338425	0.7223603	0.1440944	0.8135060	0.0484851	0.2897151	0.1671329	0.0252932	0.2127608	0.4150999	0.3693368	0.6855858	0.4980009	0.4860783	0.5769082	0.5406465	0.6463448
