YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.1947749	0.1415773	0.8195754	1.0114295	0.5217569	1.0011890	1.0007991	1.0027210	0.6362019	0.9774669	0.2653607	0.2570280	0.7347618	0.9781158	1.0467412	0.9108795	0.0096917	0.7341785	1.1193444	0.5765995	1.1039181	1.0440355	0.7023987	0.7938885	0.8802937	0.6284195	0.7091924	0.2725612	0.3877623	0.9695092	0.3001786	0.1716362	0.5427745	0.3794862	0.9918731	0.6638497	0.3057239	0.5251286	0.4699294	0.3096744	0.0490494	0.2447035	0.9916590	0.5690293	0.9765214	0.6395280	0.9548539	0.8197036	0.6384949	0.6712202
0.1819857	0.0028999	1.0127877	0.9593217	0.7990871	1.0436624	0.9990572	0.8983195	0.5020547	1.0670797	0.5046057	0.3918351	1.0308271	1.0285768	0.9506125	0.9921079	0.4303311	0.6607202	0.7328206	1.0374490	1.1007049	0.9305185	1.0159445	0.7092820	0.9541159	0.4980266	0.0863694	0.2549917	0.4535291	1.0450245	0.3398748	0.1893112	0.5866637	0.0741976	0.9373789	0.2716164	0.7233697	0.3527800	0.5198848	0.2263117	0.0539043	0.5229057	0.7979335	0.3264853	0.8738298	0.4033491	0.7495418	0.8333319	0.6841142	0.8828853
0.0657099	0.1850360	0.7603132	0.9415694	0.8848280	1.0114453	1.0595978	0.7173241	0.5624976	0.9112497	0.1880043	0.3121713	0.7705136	1.0720898	0.9496510	0.6637784	0.4074546	0.7054988	0.9305218	0.6027266	0.9163231	0.9885271	0.8770529	0.8733713	0.9944391	0.7107129	0.0012249	0.1424382	0.3475516	1.0498661	0.4518895	0.0046427	0.6148470	0.3082861	1.0120289	0.3952942	0.3329281	0.4291097	0.4582683	0.2637352	0.0669549	0.2405454	0.7051992	0.2178244	0.9818645	0.4420925	0.5106519	0.6929680	0.6777392	0.8372978
0.3711137	0.0094421	0.8081935	0.9454553	0.7869904	0.9110531	1.0433470	0.6643784	0.7500865	0.6857818	0.6454694	0.8597240	0.9389737	0.6611900	0.9102627	1.0063393	0.4813006	0.6519662	1.0630059	1.0117809	0.7462265	0.3698110	0.9904736	0.7489338	1.0950733	0.6650584	0.0216938	0.2081250	0.5827710	0.8767152	0.3539873	0.2292675	0.7030593	0.3889137	0.9941304	0.2999373	0.6826599	0.5332799	0.5776570	0.0045294	0.0579537	0.2387590	0.8680481	0.5902895	0.9107783	0.0556966	0.2131437	0.7307403	0.9340863	0.9435650
0.1246831	0.0978824	1.0732527	0.9842597	0.7533068	0.9381618	0.9894144	1.0238235	0.9086829	1.1013933	0.1633120	0.5234924	0.9672880	1.0835653	1.0270420	0.9604454	0.2948505	0.7857826	0.8694676	0.7770664	0.4657976	1.0018847	0.9498807	0.9770674	1.0602547	0.6423393	0.0015922	0.2196171	0.2017111	1.0039928	0.4453757	0.0834888	0.4639270	0.3230927	1.0181111	0.3693637	0.5226050	0.7356619	0.5042298	0.1053429	0.0756269	0.0964171	0.8584445	0.4802409	1.0321978	1.0942857	0.3516652	0.7455408	0.6297579	0.8477249
0.2099927	0.0545211	0.8300886	0.9888423	0.4380474	1.0100350	1.0711215	0.9267864	0.7602311	0.7312827	0.5880011	0.7140318	1.0121456	1.0177344	0.9897457	0.9720047	0.4764812	0.7974701	0.8035277	0.9085524	1.0739988	0.8062721	0.8138591	1.0824638	1.0388033	0.7120818	0.0487602	0.1745111	0.3575824	1.0079154	0.3056313	0.0162542	0.4879100	0.1681072	0.9772248	0.2765883	0.6188764	0.3075462	0.1905414	0.0321257	0.0796205	0.4191950	0.8322133	0.6536096	0.9255592	0.1716165	0.2832644	0.9561343	0.6426690	0.9169162
0.2033045	0.0928815	0.6797935	1.0438828	0.5948846	1.0554755	0.7137739	1.0069074	0.8624546	0.9617141	0.2332190	0.9358682	1.0911384	0.9755139	0.9433703	0.8860777	0.5434950	0.7946801	0.7189627	0.9526822	0.9769306	0.6015839	0.9481900	1.0009394	0.9091087	0.6498536	0.0216658	0.2603791	0.3140269	1.0037173	0.2282057	0.2172446	0.4167907	0.3299527	1.0140412	0.3012824	0.7331782	0.1404397	0.4756114	0.3467705	0.0606643	0.4843016	1.0196614	0.2405053	0.9127007	0.1788466	0.0037940	0.9265426	0.7004508	0.9207017
0.2197732	0.2052335	0.9916628	0.9814746	0.5909960	0.5888841	1.0163285	0.9341487	0.7206525	0.6179186	0.4221852	0.8101378	0.8458347	0.8115621	0.9116517	0.4885278	0.3396772	0.8425659	0.8468778	0.8866675	1.0196498	1.0460375	0.8211099	1.0966340	0.7119601	0.6712741	0.0537872	0.1896584	0.3005146	0.9727221	0.3745216	0.2764112	0.5032168	0.5395368	1.0382272	0.3246561	0.5227291	0.1156096	0.6635709	0.4303746	0.0736184	0.5587744	0.8480529	0.3780774	0.8378071	0.3259040	0.8409241	0.6241715	0.8958525	0.7960099
0.1961157	0.0064627	1.0032026	1.0483905	0.6605362	0.9869751	0.7409239	0.9794716	0.6338884	1.0009092	0.1275637	0.7486970	1.0605837	0.7778009	0.9041911	1.0644351	0.2697650	0.8103122	0.9713591	0.9673095	0.4634339	0.9964938	0.9369250	0.9810262	1.0503603	0.5623075	0.0177874	0.1737570	0.3036075	0.8895362	0.6713628	0.2001975	0.5887015	0.3209439	1.0509638	0.4583281	0.6351563	0.0485796	0.4335859	0.2727062	0.0253416	0.1928523	0.8898330	0.1388507	1.0250316	0.5974661	0.2784694	0.7579921	0.6701730	0.9150507
0.0809496	0.3939213	0.8868671	0.9440957	0.6482711	0.9896779	0.9082020	0.9901056	0.8505600	0.9433147	0.4356543	0.9130488	0.7520096	1.0594504	1.0153662	0.6845220	0.4083400	0.8196951	0.7430904	1.0149074	0.9861604	0.7584140	0.8916496	0.8404541	1.0428401	0.6686912	0.0511671	0.1036854	0.2893304	1.0134617	0.2507421	0.1098687	0.3126150	0.2092406	0.9889553	0.2833122	0.9537589	0.0740777	0.3203806	0.2815497	0.0785921	0.2613244	0.7801060	0.5440171	1.0182052	0.7088754	0.6456391	0.7930093	0.6900725	0.9343085
