YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.0944880	0.0040892	0.8921833	1.0559845	0.5598076	1.0227798	0.9080357	1.0724413	0.6206595	1.0260605	0.2287906	0.7401286	1.0763253	1.0953251	0.8994466	1.0577608	0.3539840	0.8437891	1.0554955	1.0294448	0.9928535	1.0404257	1.0731611	1.1083525	0.9865166	0.7905163	0.0683421	0.2530906	0.3451377	0.9968833	0.4009631	0.1808504	0.5172151	0.2618409	1.0736053	0.3412828	0.6471428	0.3116700	0.4031843	0.2440265	0.0598089	0.2554844	0.7375097	0.3208531	0.9187901	0.4705953	0.4092992	0.8151973	0.7053981	0.9688867
0.2252526	0.0157364	1.1106573	1.0619593	0.4336889	0.9485950	1.0094147	1.0008081	0.6924432	0.9578177	0.2099135	0.8329019	1.1096326	0.9747903	0.9753838	1.0810921	0.3508628	0.7657573	1.0422486	0.9711286	0.9133332	1.0091791	1.0003369	1.0801699	1.0969278	0.6571735	0.0632213	0.2035986	0.2740979	0.9996679	0.4797234	0.1891868	0.5282455	0.3613994	1.0421401	0.3578222	0.5767779	0.2270071	0.4477752	0.2467611	0.0711469	0.2473704	0.7775691	0.2527157	1.0347007	0.4299386	0.4708854	0.6707942	0.7206312	1.0711867
0.1992883	0.0090123	0.4346972	1.0326744	0.5425913	1.0978568	0.9450605	1.1034665	0.6465767	1.1103669	0.2386464	0.8758079	1.0183562	0.9580211	1.0301880	0.9641405	0.3258072	0.8239735	1.0510337	0.9927920	0.9720951	1.1380259	1.0284871	0.9705562	1.1070032	0.7865997	0.0610217	0.2259489	0.3256211	1.0719549	0.3808445	0.1801324	0.5353111	0.3171210	1.0027009	0.3301346	0.6353785	0.3530740	0.5675258	0.2800335	0.0552816	0.1908326	0.7979380	0.2610460	0.9636616	0.4700018	0.4247853	0.7370715	0.6036884	0.9794647
0.2331370	0.0077650	0.8694439	0.4810133	0.4676579	0.8587603	1.0926480	1.0419085	0.6601934	1.0718744	0.3064295	0.8067123	1.0639471	0.9622467	1.0314395	1.0485006	0.2096247	0.8891060	1.0544623	1.0772609	0.9777868	1.0181599	1.0124554	1.0719448	1.0076123	0.6914282	0.0919098	0.1901088	0.2939946	1.1017708	0.3619035	0.3714866	0.4748651	0.3571033	1.0605377	0.3271471	0.6633278	0.2357247	0.4635744	0.2485839	0.1025296	0.1757230	0.8438382	0.2737751	1.0142523	0.4222113	0.4916671	0.7063441	0.7557592	0.8121981
0.2801283	0.0184830	1.0380038	1.0137255	0.1980078	0.9952819	1.0693801	0.9312480	0.6908478	0.9802852	0.2203253	0.7633553	1.0102403	0.8902139	0.9946079	1.0017777	0.3659552	0.8045612	1.0168079	0.9667782	0.9513357	1.0722070	1.0437760	1.0615793	1.0129975	0.6007031	0.0810021	0.1999612	0.2748276	0.9587642	0.4299345	0.2093731	0.4820475	0.2609951	0.9913410	0.2771267	0.6830363	0.1698253	0.4696801	0.2514067	0.0731516	0.1804358	0.7868203	0.2817688	0.9816669	0.4757674	0.4018529	0.7005837	0.5948054	0.9120957
0.2138533	0.1908580	1.0773239	1.1110174	0.1541127	0.5201151	1.0614512	1.1029961	0.8984352	1.0076545	0.2208986	0.7994413	1.0579215	1.0138168	0.9365457	1.0393257	0.3847170	0.7967528	0.9082928	0.9661804	1.1000813	0.9697458	0.9969894	1.1241446	0.9452587	0.5757467	0.0427531	0.2428299	0.3150425	1.0639349	0.3445354	0.2118784	0.4603128	0.7308036	1.0591734	0.3159359	0.6755001	0.1985557	0.6773640	0.3115596	0.0445167	0.3336405	0.7944074	0.2526070	0.9248237	0.4882965	0.4771875	0.5081813	0.5186059	0.8674904
0.2127663	0.0069829	0.9693355	1.0973038	0.3938472	0.9689476	0.4735188	1.0961090	0.6771314	1.0290461	0.2558891	0.8220910	0.9671316	1.0778962	1.0311175	1.0241775	0.3511208	0.8083241	0.9472845	1.0048097	0.9349855	1.0565062	1.0116196	1.1276734	1.0330272	0.6053208	0.0806601	0.1742755	0.3698349	0.9009584	0.4366151	0.2029695	0.4922475	0.2857179	0.9701970	0.3682077	0.5972494	0.1815827	0.3736502	0.2602427	0.0590073	0.2061866	0.8616657	0.2397374	0.9231016	0.4112838	0.4330822	0.6084056	0.7254262	0.8772141
0.2038129	0.0080904	0.9764934	1.0034116	0.4888166	1.0818226	0.9781054	0.5035751	0.5488512	1.0470715	0.2473529	0.7226627	0.9885655	0.9972265	0.9703625	1.0946103	0.3281798	0.8331633	1.0664337	0.9036329	1.0406611	1.0358741	1.0747192	0.9677861	1.0897054	0.6343016	0.0769935	0.2284154	0.9294241	1.0326421	0.3217615	0.1493602	0.9544344	0.3373333	0.9520199	0.3704518	0.5900905	0.2099790	0.4738575	0.2758830	0.0499770	0.1855813	0.8037808	0.3008118	0.9685276	0.5342284	0.3996730	0.8161121	0.8001410	0.8693986
0.2096304	0.0031087	1.0219684	0.9420909	0.4692172	1.0607093	1.0628476	1.0041848	0.3291544	0.9553844	0.2423467	0.6458971	0.9594116	0.8489971	1.0174146	1.0874381	0.3067031	0.8456702	0.9688385	1.1623237	1.0047131	0.9916652	1.0952535	1.0093127	1.0386484	0.6532123	0.0740616	0.1535652	0.3313511	1.0036581	0.3550897	0.2114804	0.5899538	0.3136952	1.0010404	0.3279431	0.5773187	0.2612063	0.5154598	0.2947608	0.0710481	0.2290543	0.8107515	0.2813479	0.9257325	0.4134078	0.4702638	0.6695206	0.7161352	0.9411381
0.2261108	0.0111704	1.0338551	1.0078445	0.4065495	0.9842473	1.0029610	0.9498290	0.7953833	0.5039254	0.2237798	0.7604595	0.9696726	0.9783353	1.0682228	0.9550494	0.3317912	0.8022532	0.8665468	1.0070594	0.9703521	1.1460475	1.0666935	1.0249491	1.0594964	0.5677416	0.0802657	0.2205174	0.3736538	1.0471695	0.4189008	0.2102136	0.5697139	0.3166076	0.9853692	0.2875819	0.6145696	0.2271622	0.5465579	0.2923114	0.0685071	0.6495384	0.8765580	0.2339073	0.8139311	0.5622230	0.5006644	0.7649106	0.7828985	1.0376979
0.1936743	0.0169222	0.9157055	1.0039657	0.4166534	0.9077752	1.0816424	1.0315171	0.6940687	0.9699402	0.1962121	0.8019036	1.0765599	1.0676532	0.9903952	0.9571956	0.3077229	0.8519082	0.9860674	0.9786578	0.9914656	0.9957244	0.9434511	1.0674658	0.9751385	0.6478485	0.0725520	0.2262409	0.2472772	1.0367026	0.4120721	0.1922580	0.4527984	0.2778522	1.0083176	0.2958641	0.6713478	0.1995461	0.5071119	0.2388513	0.0526363	0.2249147	0.7549534	0.2730457	1.0590356	0.4099632	0.4439730	0.7092972	0.7283783	0.9422151
0.1553817	0.0174348	1.0154795	0.9749109	0.4875592	1.0168039	0.9172417	1.0090029	0.6919785	1.0271570	0.2255751	0.3899782	0.9828106	0.9866938	1.0563825	0.9930272	0.0957092	0.7510424	0.9594497	1.0658007	0.9108648	1.0585045	0.8817307	1.0451369	1.0114856	0.7283965	0.3743869	0.3093378	0.3253709	1.0068622	0.3839741	0.1949595	0.4732232	0.3336677	1.0158608	0.3188839	0.6681203	0.2385364	0.5329055	0.2756246	0.0591374	0.2192661	0.8143255	0.2793439	0.9650060	0.4698336	0.6686611	0.6619855	0.7058803	0.8740076
0.2081370	0.0062172	1.0182638	1.0217890	0.5584334	1.1527093	1.0273536	1.0729082	0.7193875	0.8779300	0.2661872	0.6473130	0.5714015	1.0091115	0.8426757	1.0627678	0.3346817	0.7315420	0.9881590	0.9622743	0.9390397	1.0554508	0.9901386	1.0100389	1.0202840	0.7007904	0.0531987	0.2427362	0.2796818	0.8381842	0.4474914	0.1656365	0.4803676	0.2480014	1.0035849	0.3588693	0.6719110	0.2091469	0.4612345	0.2371791	0.0628988	0.2408321	0.7825041	0.2544639	0.9356666	0.4589681	0.4640387	0.7553844	0.6162079	0.9949349
0.5967101	0.0115578	0.9960876	0.9881552	0.3508320	1.1539014	1.0197190	1.0953675	0.3656574	0.9930970	0.2763305	0.7602632	1.0170299	0.5627799	1.0144872	1.1073816	0.3168437	0.7538284	0.9719998	1.0887856	1.0208106	0.8419762	0.9956143	1.0059210	1.0947773	0.5778001	0.3616190	0.1791273	0.3382283	1.0811485	0.4414396	0.2474151	0.4974984	0.2245804	0.9836209	0.2450041	0.7845401	0.0418492	0.4552141	0.2823281	0.0705205	0.2200542	0.8706771	0.1563222	0.9132446	0.3631859	0.5045721	0.7903252	0.7128204	0.9807486
0.1733039	0.0104873	0.9898740	0.9956411	0.4073470	0.9713921	1.0400405	0.9842351	0.6941727	0.9253499	0.2409809	0.7680919	1.0662566	1.0039847	0.4833455	0.9234158	0.3287025	0.8339735	0.9697690	1.0109360	0.9002320	1.0244788	0.9256696	1.0214168	0.9818993	0.6869447	0.0829730	0.2573019	0.3514092	0.9909763	0.4339115	0.2317023	0.5449031	0.3473919	0.9188114	0.3499603	0.5946604	0.2166498	0.5188728	0.3280409	0.0532479	0.2069491	0.7864444	0.2557580	1.0402323	0.4656260	0.3983908	0.7516908	0.6929102	0.9035216
0.2145969	0.0082234	1.1945280	1.0778838	0.5095766	1.1142004	1.0610418	0.9515353	0.6524801	0.9894651	0.2657955	0.9523718	1.0581358	1.0137099	0.9755520	0.4588767	0.4025632	0.7862485	0.9435685	1.1207651	1.1455848	1.0687838	1.0308347	0.9050759	1.1751053	0.7142993	0.0758544	0.1659144	0.2454508	0.9134901	0.3631200	0.1782700	0.4453094	0.2839407	1.0517425	0.4106856	0.7194170	0.2679908	0.4586147	0.2725139	0.0661746	0.1731689	0.8246829	0.2731906	0.9957996	0.4583862	0.4206588	0.7953826	0.7286433	0.8858931
0.2067653	0.0054733	0.9734672	1.0613612	0.4199481	1.0041054	0.9676420	0.9405378	0.6913546	1.0190170	0.2104145	0.7610948	0.9509492	0.9767948	1.0353216	1.0246917	0.1793550	0.7982072	0.9578431	1.0610253	1.0349436	0.9457159	1.0979145	1.0257097	1.1165603	0.7283235	0.1140783	0.2082166	0.2691930	1.0698606	0.4322929	0.1939164	0.5558076	0.2717832	1.0046062	0.3395591	0.7326354	0.1908574	0.5283694	0.2395350	0.0569480	0.2366884	0.7554191	0.2563118	1.1041783	0.4129225	0.4568729	0.8164616	0.7433688	0.9243780
0.1708369	0.0195047	1.0242840	0.9936408	0.5624154	0.9312027	1.0485784	1.0081520	0.7517205	1.0037113	0.1981337	0.8563193	1.0367768	1.0026715	1.1192716	0.9681555	0.3786003	0.4298377	1.0418178	0.9112394	0.9299745	0.9340404	0.9586796	1.0380670	1.0956295	0.6353996	0.0709544	0.2264510	0.2654180	0.9683658	0.4254392	0.1963526	0.4219824	0.5842271	1.0755767	0.3016673	0.5325430	0.3464883	0.6606510	0.2161938	0.0604388	0.1746773	0.7552284	0.1052526	0.9980122	0.4064579	0.4716975	0.8334714	0.7557628	0.9001713
0.1809625	0.0123933	0.8977854	0.9311153	0.4851277	1.1016123	0.9432337	0.9521208	0.6326441	0.9964852	0.2405155	0.7441594	1.0070159	1.0796996	1.0220667	0.9688499	0.3192392	0.8603870	0.5337920	1.1419408	1.0878467	1.0795349	1.0817903	1.0481727	0.9577144	0.6131291	0.0432683	0.1576324	0.2673849	1.0642362	0.4374575	0.1451312	0.5919654	0.2607204	0.9772629	0.2757110	0.7542235	0.2903954	0.4800227	0.2571901	0.0750496	0.8121165	0.7471330	0.2753376	1.0443369	0.4476564	0.5397306	0.7045773	0.7846535	0.9762139
0.1695567	0.0058584	1.0970169	1.0218773	0.4130038	1.1156505	1.0180006	1.0019403	0.6629733	1.0212698	0.2031472	0.7519628	1.0484639	1.0811772	0.9464417	1.0178259	0.3039257	0.7362740	1.1033170	0.4555340	0.9822861	1.1357355	1.0066095	0.9635048	1.1119803	0.6461797	0.0368799	0.2327524	0.2721207	1.0031735	0.4843195	0.2045968	0.5209624	0.2712082	1.0047325	0.8277459	0.1412675	0.2707226	0.5204534	0.2370288	0.0686157	0.1802418	0.7474818	0.3047106	1.0164082	0.4743827	0.4518833	0.8581964	0.6671659	0.9661256
0.2052495	0.0087161	0.9944838	1.0967709	0.3608117	1.0693387	1.0053659	1.0038724	0.7252205	1.0013415	0.2780889	0.8063066	1.0035241	0.9264179	0.9178892	1.0570161	0.3362268	0.8899819	1.0273944	0.9455757	0.5170246	1.0217203	1.0340915	0.9162709	1.0380694	0.7048675	0.0656224	0.2342280	0.2662227	1.0232233	0.6732462	0.1774061	0.5277961	0.2774963	0.9764757	0.3582515	0.6547647	0.2103989	0.4598164	0.2833837	0.0665206	0.2625221	0.7683888	0.2884438	0.9157388	0.4289563	0.4625346	0.7316306	0.6749157	0.8907103
0.1748898	0.0117545	1.1098720	1.0862952	0.5313996	1.0165513	0.9325842	0.9781665	0.6981144	1.0156184	0.3097477	0.8537677	0.9628315	0.9763557	0.9851441	0.9824520	0.3396838	0.8407878	1.0781392	0.9664352	0.9798260	0.5567734	1.0685012	0.9413033	1.0879261	0.6563182	0.0561838	0.2962688	0.4082540	0.9832526	0.4021163	0.1886352	0.5719844	0.2751188	1.0416730	0.3065662	0.6291328	0.2462072	0.4307408	0.2641023	0.0543122	0.2513778	0.7802981	0.3361090	0.9911684	0.1322508	0.4192890	0.7981855	0.6684597	0.8922169
0.1984476	0.0038051	1.1532473	1.0357961	0.3614376	1.0811055	0.9767440	1.0534930	0.5760081	1.0744588	0.2442396	0.8320255	1.0057574	0.9883018	1.0489461	1.0033721	0.3169110	0.7871842	1.0732237	0.9722317	1.0862320	1.0135148	0.5125633	0.9282057	1.0514432	0.7368857	0.0674024	0.1939504	0.2021257	1.1429972	0.3382610	0.1948341	0.4795139	0.2949098	0.9755512	0.2690986	0.7456251	0.2086081	0.4153658	0.2174951	0.0948130	0.1337691	0.8919403	0.3031317	1.0038983	0.5044695	0.3328115	0.6826708	0.7724084	0.9194121
0.2473312	0.0075458	1.0332464	1.0283623	0.4485718	1.0780910	1.0245543	1.0996643	0.6772544	1.0301986	0.2042185	0.6991123	1.0603614	0.9600659	0.9951646	0.9771545	0.3144081	0.5099244	1.0598902	1.0514728	0.8908802	0.9971651	0.9115059	0.4561183	1.0369791	0.6081534	0.0802217	0.2361217	0.4319518	1.0105011	0.4649210	0.2134385	0.5288661	0.3769192	1.0588432	0.3217069	0.7283195	0.2373424	0.6873439	0.2523832	0.0508395	0.2445297	0.8155657	0.1864047	1.0280358	0.4211971	0.5337345	0.7906428	0.7099857	0.9605208
0.1665268	0.0196862	1.0386391	0.9857041	0.3910924	0.8777261	0.9719120	0.9691808	0.7102639	1.0629893	0.5870246	0.7684171	1.0939766	1.0329799	1.0212803	1.0200326	0.3911190	0.7821924	0.9739750	1.0649360	1.0686923	0.9342931	0.9922745	1.0081604	0.4645886	0.6089286	0.0632821	0.3474828	0.4460256	0.9518992	0.4224945	0.1596615	0.4698866	0.3995297	0.9518853	0.3766144	0.6410447	0.2148336	0.4554316	0.6317663	0.0690915	0.1889783	0.7721660	0.2588539	0.9641135	0.5231961	0.4472936	0.7370926	0.7914748	0.9454277
