YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.0000000	0.1185259	1.0314152	1.1621399	0.5987919	0.9639922	0.9663801	0.9558366	0.6426610	1.0228260	0.2192631	0.7663822	0.9799322	0.9669612	1.0855856	1.0056536	0.3466081	0.6529604	1.0132222	1.0632251	0.9337748	1.0350816	1.1012821	1.0571278	0.9698251	0.6127846	0.0661619	0.2289950	0.3137801	1.0724088	0.4447212	0.1822296	0.5468394	0.3297434	0.9552431	0.2712667	0.6140858	0.3595096	0.5087596	0.3123962	0.0754669	0.1744643	0.6622047	0.3279752	1.0126684	0.3593404	0.3751181	0.7561843	0.6612406	0.9798313
0.1463710	0.0000000	1.0074679	0.9610607	0.4747344	1.0186368	1.0175092	1.0751548	0.7005190	0.9684398	0.2786230	0.8157740	0.9907759	0.9108628	0.9273103	1.0722696	0.3676373	0.8690978	0.9975230	1.0609980	1.0126707	1.0620361	1.0319289	1.0334093	1.0095829	0.7225350	0.0805063	0.2521316	0.3569071	0.9525569	0.4359420	0.2463673	0.5225452	0.3339925	1.0211195	0.3296457	0.6163495	0.1931760	0.4367897	0.2959052	0.0725839	0.2598324	0.7744941	0.2458681	0.9614952	0.5059643	0.4465891	0.8160718	0.6982163	1.0041009
0.2066705	0.1371037	0.0000000	0.7683939	0.5442684	0.9379022	0.9742982	1.0586235	0.7186381	1.0024477	0.2753296	0.7730909	1.0754313	1.0566500	1.0151509	0.9737381	0.3233711	0.7944519	0.9292311	1.0041757	1.1095908	0.9989713	0.9919322	0.9952631	1.1068338	0.9643616	0.0629569	0.2265436	0.2814705	1.0142472	0.3896353	0.3395524	0.5155265	0.3558027	1.0318511	0.3553350	0.6193409	0.5352874	0.5002523	0.2603634	0.1091978	0.2226857	0.7781565	0.2747581	0.8960136	0.4215019	0.4743359	0.7202102	0.4111031	0.9727386
0.2091135	0.0055153	1.0097336	0.0000000	0.4088312	0.9501571	1.0991724	1.0132898	0.7355494	0.9627502	0.3041559	0.6723566	0.9948873	1.0676346	0.9815888	1.0447875	0.0407935	0.8718583	1.0803862	1.1922568	0.9269219	0.9824716	1.0324238	1.1024065	0.9799997	0.6365715	1.0170746	0.2568947	0.2612142	1.0383216	0.3968539	0.4231779	0.4867103	0.2999099	0.0073277	0.2811412	0.6989983	0.2182739	0.4395521	0.3021634	0.2795093	0.2153666	0.9128972	0.3166744	0.8916844	0.4838220	0.4371007	0.6962045	0.6304893	1.0480119
0.2225665	0.0177622	1.0459871	1.0318469	0.0000000	0.9437776	1.0345942	1.0042734	0.6745205	1.0693918	0.2049226	0.6810385	1.0478136	1.0466311	0.9746726	0.9751638	0.3291750	0.8268759	0.9750438	1.0044993	1.1102140	1.0789080	1.0075487	1.0551521	0.9732398	0.6921489	0.0627272	0.2810145	0.3249875	0.9503914	0.3680901	0.1863848	0.5750294	0.3539133	1.1290165	0.3032710	0.6488384	0.2389814	0.5825325	0.2220226	0.0505744	0.2926642	0.8734373	0.2450370	0.9675679	0.4540238	0.3271405	0.7739552	0.7944147	0.8822475
0.1487153	0.2224266	1.0613603	1.0981848	0.2161010	0.0000000	0.9709880	1.0457855	0.8815337	1.0787583	0.2153199	0.7592970	1.0122846	0.9777964	0.9681767	1.0032206	0.2738987	0.8523600	0.9780894	0.9757915	1.0191316	0.9945631	1.0543797	1.0455642	1.0045761	0.6555088	0.0660734	0.1878525	0.2576032	0.9477145	0.4615569	0.7440752	0.5317052	0.6040208	1.0022789	0.3473665	0.6193007	0.2486321	0.7462085	0.2748272	0.0565021	0.1939114	0.7163800	0.2710062	1.0236444	0.4969344	0.4670400	0.4912934	0.4705539	0.9170923
0.1894392	0.0006263	0.8879049	1.0659046	0.3956618	1.0600496	0.0000000	1.0007109	0.6485639	0.9900445	0.1959496	0.7595350	1.0015079	1.1249094	0.9829849	0.9654638	0.2859607	0.7970745	0.9659148	0.8994280	1.0002727	0.8979840	0.9861395	1.1324522	1.0360135	0.7598064	0.0841342	0.1982514	0.3128613	1.0426626	0.4225736	0.1580686	0.4478429	0.2503690	1.0803777	0.3479509	0.7685724	0.2558141	0.4575352	0.3175385	0.0942333	0.2297473	0.8744312	0.2067111	0.9433786	0.4706613	0.4325350	0.2980193	0.7416806	0.9097652
0.2837998	0.0195937	1.0215477	0.9228492	0.6964012	1.0287108	1.0393432	0.0000000	0.7133990	0.9826631	0.2348953	0.6909884	0.9673837	0.9891256	1.0267857	1.0018227	0.3623750	0.7225303	0.9840413	1.0028579	0.9831656	0.9743594	1.0860305	0.9880223	0.9907437	0.7056476	0.0281828	0.2150071	0.9031748	0.9895376	0.3778061	0.2431693	0.9602832	0.3586371	1.0288945	0.3328990	0.6248034	0.2681127	0.5114592	0.3219492	0.0761062	0.3259884	0.8204649	0.3399184	0.9715867	0.8781514	0.4432266	0.7265418	0.7711789	0.9295960
0.2162649	0.0058777	0.9801584	1.0037028	0.3759984	1.0495962	1.0151142	1.0285235	0.0000000	1.0849021	0.2605780	0.1774161	0.9923287	0.9196461	0.9664401	1.0401894	0.0536162	0.8680638	1.0467127	1.0373524	1.0696961	0.9040843	0.9475631	1.0284078	0.9206440	0.7378286	0.8123853	0.2266497	0.3067529	1.0085780	0.3817340	0.1812052	0.5139621	0.3553515	1.0811664	0.3674267	0.6451689	0.2399402	0.4944667	0.3201209	0.0844663	0.2267293	0.8301734	0.2828277	0.9709183	0.4707410	0.9925418	0.7646308	0.6238139	0.8606847
0.1781196	0.0159552	1.0243900	0.6824275	0.3884406	1.0330681	0.9764346	0.9302388	0.6595482	0.0000000	0.2848923	0.6423758	0.9567312	0.9888342	0.9225159	1.0578836	0.2861161	0.8492000	0.9873208	1.0079319	1.1001728	0.9393234	1.0320171	0.9949476	0.9539479	0.7924507	0.0915008	0.2382016	0.3488088	0.6603746	0.2906477	0.2982273	0.5405935	0.2890580	1.0314217	0.2836884	0.6256576	0.2549716	0.5113999	0.2299222	0.0944972	1.1417690	0.7812718	0.2780170	0.0306131	0.4776712	0.0052395	0.6963294	0.7409186	0.9472531
