YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.2036914	0.1725890	0.8187338	0.9839423	0.5659622	0.9945279	0.9906330	0.9748533	0.6134463	1.0303929	0.2710125	0.2533512	0.7213717	1.1190617	1.0919577	0.9402588	0.0143409	0.7729442	1.0250146	0.6550903	1.1063424	1.0376941	0.7474713	0.8442977	0.8727150	0.6587992	0.6500246	0.2679883	0.3255435	1.0373342	0.3479021	0.1226666	0.5257177	0.3810079	0.9757243	0.6456912	0.3183681	0.5553903	0.5418940	0.3133651	0.0533931	0.2136945	1.0183149	0.5418521	0.9640919	0.7257867	0.9831211	0.8567711	0.7405198	0.7877690
0.1573027	0.0122821	0.9390392	0.9913407	0.7964884	1.0705629	0.9335397	0.8455386	0.4574753	1.0944034	0.4426541	0.3589449	1.0113854	1.0910964	0.9886185	0.9510356	0.3851990	0.6498369	0.6326226	0.9856459	1.1263753	1.0100874	1.0453448	0.7622938	0.8789700	0.5380033	0.0825440	0.2562763	0.4097134	1.0514793	0.3508856	0.2299300	0.5432017	0.0715393	1.0597905	0.2749562	0.7079572	0.3690623	0.5077871	0.2622634	0.0583505	0.5500618	0.8334199	0.2847170	0.9469966	0.3795417	0.7508747	0.8027910	0.6205858	0.9412191
0.0627252	0.1420259	0.7158012	0.9049986	0.9338803	1.0804338	0.9609177	0.7025005	0.6142283	0.9453555	0.2207086	0.2430719	0.6846616	1.0550852	0.9239390	0.7061875	0.4165621	0.6905800	0.9989382	0.6247615	0.9705994	1.0096413	0.8697343	0.8152362	0.9987055	0.6845371	0.0026934	0.1251830	0.3533547	1.0043918	0.4340230	0.0047670	0.6342302	0.3386092	0.9832826	0.4667733	0.2833098	0.4128610	0.4429014	0.2376654	0.0739090	0.2548505	0.7296733	0.2054844	1.0366380	0.3916247	0.4311607	0.7840025	0.6747313	0.8178085
0.3541230	0.0089336	0.8034061	0.9620167	0.7444801	0.8468907	1.0770331	0.6547431	0.7970182	0.7151253	0.6032437	0.9428742	0.9824819	0.6387215	0.8758990	1.0306786	0.4641478	0.7505996	0.9756813	0.9739999	0.7764590	0.3823070	0.9640792	0.8243216	1.0079945	0.6362491	0.0252016	0.2100535	0.5711029	0.9398816	0.3616910	0.2057339	0.6582170	0.4532635	1.1103801	0.3595311	0.7498883	0.5439286	0.5887574	0.0081888	0.0699649	0.1920189	0.9141386	0.5686466	0.9648224	0.0618706	0.2424118	0.6483300	0.8637292	0.9144775
0.1025176	0.1194575	1.0786964	1.0410222	0.7261510	0.9725473	1.0141910	1.0506121	0.9297633	1.1907932	0.1724233	0.4511784	0.9870838	1.0937500	1.0554211	0.9810833	0.3404268	0.8202314	0.9175171	0.8866128	0.4637962	1.1376651	0.9934164	0.9346191	1.0165131	0.6978489	0.0021625	0.2319907	0.2218327	0.9565999	0.5079979	0.0813190	0.4879506	0.3379372	1.0743198	0.4247456	0.5133720	0.7605651	0.4758057	0.0860877	0.0672614	0.0936981	0.9028111	0.4871951	1.0257696	0.9575832	0.3212524	0.7671744	0.6868851	0.9467788
0.2100552	0.0753896	0.8045077	0.9589985	0.4075066	0.9820190	1.0907161	1.0154362	0.8010553	0.7316832	0.5705332	0.7919607	0.9747452	0.9837964	1.0514511	0.9853538	0.4982352	0.6665937	0.9380766	0.9761928	1.0567003	0.7788581	0.8869586	1.0716862	1.0136506	0.6988218	0.0419196	0.1838408	0.4065542	1.0222042	0.2672005	0.0152459	0.5505335	0.1596736	0.9559600	0.3123725	0.5874989	0.3463328	0.1869195	0.0315223	0.0557193	0.4350905	0.8408247	0.6827830	0.9390640	0.1728554	0.2787738	1.0092543	0.6569164	0.8943114
0.1742139	0.1223101	0.7041530	1.0493207	0.6032881	1.0259979	0.6442469	1.0055028	0.8344979	1.0045880	0.2460685	0.9671030	1.0010713	0.9852494	1.0085363	0.8553165	0.4613172	0.7790267	0.7263744	0.9975602	0.9411770	0.6168085	0.9036212	1.0549039	0.9186719	0.6168370	0.0188225	0.2052233	0.3533498	1.0877247	0.1606228	0.2235018	0.4046433	0.3465955	0.9274283	0.3628494	0.6816182	0.1412356	0.5094539	0.3034113	0.0707475	0.4605468	1.0926940	0.2512124	0.9656253	0.1641106	0.0028874	0.8839245	0.6821775	0.8944011
0.1954495	0.2044717	1.0187189	0.8982917	0.5712759	0.5597326	0.9612153	0.9746006	0.7317940	0.6538156	0.3257207	0.7478138	0.8067877	0.8525791	0.9493543	0.4622690	0.3625022	0.8877933	0.8577598	0.9177311	0.9719558	1.0270422	0.8195931	1.0982249	0.7390929	0.7209684	0.0758663	0.1858135	0.3390518	0.9777360	0.4342198	0.2441598	0.5051129	0.4831375	1.1691983	0.2739110	0.6437292	0.1221581	0.6782849	0.4483469	0.0744304	0.5740543	0.8820643	0.3942933	0.8527855	0.3493975	0.8791014	0.6237758	0.8920263	0.8680354
0.2160344	0.0043013	1.0532846	0.9666207	0.6694126	0.9249180	0.7041738	0.9362202	0.6407901	1.0611538	0.1137935	0.7692815	1.0752770	0.7680951	0.9130105	1.0140620	0.2132284	0.8894296	0.9600806	0.8508972	0.4484397	0.9758586	1.0283208	1.0124967	0.9698852	0.5448303	0.0314979	0.1883418	0.3499031	0.9658134	0.6917293	0.1877397	0.5757111	0.2778520	1.0396938	0.4590766	0.6913725	0.0314931	0.4086003	0.2514336	0.0257987	0.2593611	0.8848767	0.1367802	0.9862598	0.6292473	0.2611656	0.6258001	0.6712607	0.9197890
0.0933166	0.3777845	0.8790144	0.9022670	0.6596927	1.0959232	1.0161858	0.9805617	0.8214814	0.9968806	0.4200283	0.8807312	0.8292904	1.1247842	0.9767569	0.7177134	0.3818026	0.8363249	0.7846878	0.9921706	1.0161046	0.7761689	0.7921517	0.8240100	1.0854801	0.6765989	0.0491274	0.1362020	0.2629795	1.0120618	0.2192695	0.1250075	0.2927561	0.1989788	1.0340133	0.2882930	0.9416217	0.0611986	0.3367122	0.2427619	0.0825966	0.3361428	0.7573909	0.5041691	1.0444121	0.6945927	0.6125931	0.7963430	0.7050988	0.9236249
