YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.0938615	0.0089408	1.0000000	0.9974878	0.5343497	1.0000000	1.0000000	1.0000000	0.6612864	1.0000000	0.2406778	0.7580684	1.0000000	1.0000000	0.9965174	0.9998052	0.3134828	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0585778	0.2199902	0.3191371	0.9999787	0.4055151	0.1931322	0.5082235	0.3015580	0.9990161	0.3148126	0.6512542	0.3280468	0.4643900	0.2615952	0.0591457	0.2128180	0.7302914	0.3014715	0.9627383	0.4591955	0.4370003	0.7445611	0.6904889	0.9275376
0.1877160	0.0044795	1.0000000	0.9974878	0.4249582	1.0000000	1.0000000	1.0000000	0.6612864	1.0000000	0.2406778	0.7580684	1.0000000	1.0000000	0.9965174	0.9998052	0.3134828	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0601537	0.2199902	0.3191371	0.9999787	0.4055151	0.1931323	0.5082235	0.3015580	0.9990161	0.3148126	0.6512542	0.2252355	0.4643900	0.2615952	0.0591457	0.2128180	0.8106901	0.2630989	0.9627383	0.4566113	0.4370003	0.7445611	0.6904889	0.9275376
0.1877160	0.0089408	0.5000294	0.9974244	0.5471199	1.0000000	1.0000000	1.0000000	0.6612864	1.0000000	0.2406778	0.7580684	1.0000000	1.0000000	0.9965175	0.9998052	0.3134793	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.7802942	0.0601537	0.2199902	0.3191371	0.9999787	0.4055151	0.1931538	0.5082235	0.3015580	0.9990160	0.3148126	0.6512542	0.2935667	0.4643900	0.2615952	0.0591496	0.2128180	0.8106901	0.2630989	0.9627383	0.4566113	0.4370003	0.7445611	0.5896002	0.9275376
0.1877160	0.0089408	1.0000000	0.4987453	0.4249582	1.0000000	1.0000000	1.0000000	0.6612864	1.0000000	0.2406778	0.7580684	1.0000000	1.0000000	0.9965175	0.9998052	0.2597288	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0612497	0.2199902	0.3191371	0.9999787	0.4055151	0.3558421	0.5082235	0.3015580	0.9961933	0.3148126	0.6512542	0.2252355	0.4643900	0.2615952	0.1116923	0.2128180	0.8106901	0.2630989	0.9627383	0.4566113	0.4370003	0.7445611	0.6904889	0.9275376
0.1877160	0.0089408	1.0000000	0.9974878	0.2125294	1.0000000	1.0000000	1.0000000	0.6612864	1.0000000	0.2406778	0.7580684	1.0000000	1.0000000	0.9965174	0.9998052	0.3134828	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0601537	0.2199902	0.3191371	0.9999787	0.4055151	0.1931323	0.5082235	0.3015580	0.9990161	0.3148126	0.6512542	0.2252355	0.4643900	0.2615952	0.0591457	0.2128180	0.8106901	0.2630989	0.9627383	0.4566113	0.4370003	0.7445611	0.6904889	0.9275376
0.1877160	0.1778206	1.0000000	0.9974878	0.2301655	0.5000028	1.0000000	1.0000000	0.8524411	1.0000000	0.2397474	0.7584162	1.0000000	1.0000000	0.9965175	0.9998052	0.3137085	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0601511	0.2199902	0.3191371	0.9999787	0.4055151	0.2413654	0.5082235	0.5989699	0.9990161	0.3148126	0.6512542	0.2244855	0.6850685	0.2615952	0.0591457	0.2128180	0.8106901	0.2630989	0.9627383	0.4566113	0.4369799	0.4957026	0.5350038	0.9275726
0.1877160	0.0086103	1.0000000	0.9974878	0.4249582	1.0000000	0.5000052	1.0000000	0.6612864	1.0000000	0.2406778	0.7580684	1.0000000	1.0000000	0.9965174	0.9998052	0.3134828	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0601537	0.2199902	0.3191371	0.9999786	0.4055151	0.1931325	0.5082235	0.3015580	0.9990161	0.3148126	0.6512542	0.2252355	0.4643900	0.2615953	0.0591457	0.2128180	0.8106901	0.2630989	0.9627383	0.4566113	0.4370003	0.5944225	0.6904889	0.9275376
0.1877160	0.0089408	1.0000000	0.9974878	0.4968687	1.0000000	1.0000000	0.5000001	0.6612864	1.0000000	0.2406778	0.7580684	1.0000000	1.0000000	0.9965175	0.9998052	0.3134828	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0601537	0.2199902	0.8773988	0.9999787	0.4055151	0.1931322	0.8534237	0.3015580	0.9990161	0.3148126	0.6512542	0.2252355	0.4643900	0.2615952	0.0591457	0.2128180	0.8106901	0.2630989	0.9627383	0.4896236	0.4370003	0.7445611	0.6904889	0.9275376
0.1877160	0.0089408	1.0000000	0.9974878	0.4249582	1.0000000	1.0000000	1.0000000	0.3307521	1.0000000	0.2406778	0.7517433	1.0000000	1.0000000	0.9965175	0.9998052	0.3096041	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0601975	0.2199902	0.3191371	0.9999787	0.4055151	0.1931322	0.5082235	0.3015580	0.9990161	0.3148126	0.6512542	0.2252355	0.4643900	0.2615952	0.0591457	0.2128180	0.8106901	0.2630989	0.9627383	0.4566113	0.4373630	0.7445611	0.6904889	0.9269101
0.1877160	0.0089408	1.0000000	0.9943304	0.4249582	1.0000000	1.0000000	1.0000000	0.6612864	0.5000034	0.2406778	0.7580684	1.0000000	1.0000000	0.9939200	0.9998052	0.3133066	0.7923281	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6423434	0.0601557	0.2199902	0.3191371	0.9998830	0.4055151	0.1942278	0.5082235	0.3015580	0.9990100	0.3148126	0.6512542	0.2252355	0.4643900	0.2615952	0.0593433	0.5232230	0.8106901	0.2630989	0.8505355	0.4566113	0.4007826	0.7445611	0.6904889	0.9275376
