YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.0471357	0.0219758	0.6341518	0.8839030	0.3738368	0.6096461	0.6686662	0.8016445	0.4879184	0.6700701	0.1714844	0.4942544	0.8576888	0.8030418	0.6150431	0.7495101	0.2241127	0.6473725	0.7855765	0.6180240	0.6975971	0.7162029	0.6577106	0.7602513	0.7154098	0.5581371	0.0415417	0.1868657	0.2051495	0.6795385	0.2572783	0.1456787	0.3473747	0.2061064	0.6987298	0.2707085	0.4448963	0.1581967	0.2673766	0.2024503	0.0379847	0.1377796	0.4717615	0.1833646	0.5824894	0.3149157	0.2146846	0.6091021	0.5389646	0.6325372
0.1668059	0.0195484	0.6355582	0.7082116	0.3998353	0.6944805	0.5490071	0.8210420	0.4940449	0.7540866	0.1403800	0.5578535	0.7617784	0.6644068	0.7155945	0.7766441	0.3149057	0.6542504	0.7222256	0.6377442	0.6361089	0.6582785	0.7066095	0.8558856	0.6830910	0.4802224	0.0380774	0.1374249	0.1837628	0.6194584	0.3090037	0.1179550	0.3505843	0.2304694	0.7863279	0.2774618	0.4203038	0.1482770	0.3386982	0.3089661	0.0463990	0.1862314	0.6115784	0.1776069	0.7677890	0.3389338	0.3069278	0.4914579	0.4586835	0.7489380
0.1625815	0.0073819	0.2816102	0.7299831	0.2849563	0.7376152	0.6693092	0.7055013	0.4379684	0.7548279	0.1221380	0.5641839	0.7728354	0.5697228	0.7110606	0.6655956	0.2362090	0.5188069	0.7412054	0.6552417	0.5886977	0.7613856	0.6559629	0.7208700	0.6627325	0.4846314	0.0570168	0.1469998	0.2251652	0.7217526	0.2765579	0.1163760	0.5574150	0.2038740	0.6176948	0.3180946	0.4456834	0.2104150	0.3684963	0.1562095	0.0276395	0.1024920	0.5484212	0.1646761	0.6048778	0.3246644	0.2583593	0.4641380	0.3561628	0.6661186
0.1703979	0.0030919	0.5964405	0.2895371	0.2719684	0.5478046	0.7760199	0.7159695	0.4908118	0.7640939	0.2103871	0.5018879	0.8054251	0.7874679	0.5656380	0.7499006	0.1302596	0.5700887	0.6645247	0.8483651	0.7412156	0.7435054	0.6260018	0.7866882	0.6337669	0.5306654	0.0674333	0.1271081	0.1533257	0.7384980	0.2853030	0.2086377	0.3295718	0.2420121	0.7991941	0.1998844	0.4121610	0.1885298	0.3285953	0.1796995	0.0613592	0.1407957	0.5810210	0.1601832	0.6570357	0.3131140	0.2793791	0.5150881	0.5514197	0.6542451
0.1943993	0.0288988	0.5898481	0.6662823	0.1269699	0.6686104	0.6383107	0.6969994	0.4187299	0.6352543	0.2080448	0.4222669	0.5996942	0.5581498	0.7940805	0.7374974	0.2736943	0.5319321	0.7239350	0.6507810	0.5900803	0.6336551	0.6853374	0.7027107	0.6531775	0.4705620	0.0404915	0.1361435	0.2294671	0.6134262	0.3914511	0.1423119	0.2894488	0.2073784	0.6871441	0.1422170	0.4427043	0.2398096	0.3427706	0.2060070	0.0473857	0.1086374	0.4706634	0.2052362	0.6586049	0.3362025	0.2567681	0.5015146	0.4742616	0.5803706
0.1460821	0.1115595	0.7989961	0.7176880	0.1382033	0.2908038	0.7204980	0.8258274	0.6774439	0.7453235	0.1302175	0.5352659	0.7262374	0.6746036	0.7067201	0.7052346	0.2438002	0.6107615	0.6347564	0.6962587	0.7315638	0.6171787	0.6169449	0.7937895	0.5899337	0.3678069	0.0337244	0.1667746	0.1871686	0.7037901	0.2081772	0.1549547	0.3149425	0.4094887	0.7391039	0.2026929	0.4576430	0.1301905	0.4630967	0.1851193	0.0424113	0.2568381	0.6466703	0.1652346	0.5529827	0.3789324	0.2513408	0.3428950	0.3554106	0.5810188
0.1388198	0.0010617	0.6259621	0.7451267	0.2574945	0.7287360	0.3124631	0.7726188	0.4407916	0.7524625	0.1488554	0.5673039	0.6219654	0.6653453	0.6796757	0.6852201	0.1894462	0.4524070	0.5895675	0.6885783	0.6097244	0.6863497	0.7232679	0.8044105	0.6126004	0.3558306	0.0604939	0.1205858	0.2174608	0.5524108	0.3282476	0.1336951	0.3442989	0.1787250	0.6516491	0.2703039	0.4003975	0.1382271	0.2631428	0.1706310	0.0390599	0.1375207	0.6685348	0.1769648	0.5998912	0.2631121	0.2548187	0.4061431	0.5982946	0.6549713
0.1279586	0.0017044	0.6318172	0.6710080	0.3466715	0.6508921	0.5700300	0.3237466	0.3818758	0.6762461	0.1306315	0.5676348	0.7566551	0.7589758	0.6537073	0.7863456	0.2077719	0.5736275	0.6858680	0.6722104	0.7376274	0.7290873	0.7838431	0.6716439	0.8183976	0.4317589	0.0393928	0.1594458	0.6884995	0.6952344	0.2099656	0.0755106	0.7038200	0.2107801	0.6885789	0.2514471	0.3514553	0.1268346	0.3134470	0.1882768	0.0297382	0.1145782	0.5154530	0.1781776	0.6704628	0.3703608	0.2753800	0.5370684	0.6054787	0.5444266
0.1518891	0.0031666	0.6614376	0.6657628	0.2726396	0.7011013	0.6772694	0.6306034	0.2208359	0.6235959	0.1300552	0.4741868	0.6154017	0.5984169	0.6927377	0.7469692	0.2196886	0.5530115	0.6666338	0.7204560	0.6324211	0.6763227	0.7969635	0.6414753	0.7152423	0.5181433	0.0552795	0.1256815	0.2889730	0.6320873	0.2686993	0.1622867	0.3789908	0.1715558	0.7427074	0.2856191	0.3940610	0.1752224	0.3452443	0.2210194	0.0465883	0.1644146	0.5817453	0.1741852	0.5683261	0.2699603	0.3255227	0.4793666	0.5296637	0.7449079
0.1367195	0.0066397	0.7017398	0.6082428	0.2765943	0.6359773	0.5942406	0.5660530	0.5718043	0.4431595	0.1213457	0.5825937	0.7381475	0.5659656	0.7239866	0.6932974	0.2201073	0.5873687	0.6007363	0.6740160	0.6369244	0.7071373	0.7764381	0.6453494	0.7244127	0.4161644	0.0545089	0.1916497	0.2619901	0.6668261	0.2449509	0.2244318	0.4144978	0.1948125	0.6403300	0.1580763	0.3462181	0.1746929	0.3753832	0.1616528	0.0219832	0.4281398	0.5731215	0.1500352	0.4957787	0.3680912	0.2848400	0.6712718	0.4701238	0.8129677
