YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.0000000	0.0569652	0.7681518	0.8847618	0.3318606	0.6492870	0.8205217	0.7411131	0.4315329	0.6835908	0.1428400	0.4190370	0.7043566	0.5955823	0.8642782	0.6251206	0.1853426	0.3579154	0.6822431	0.7868135	0.6832766	0.7258651	0.7831122	0.7905997	0.6749661	0.4706422	0.0428047	0.1275597	0.2392436	0.8153465	0.4011928	0.0973201	0.3618292	0.2054197	0.6121099	0.1311986	0.4163008	0.2671097	0.3721193	0.3068040	0.0702472	0.0977043	0.5309491	0.2777328	0.7066928	0.2474904	0.2171257	0.5306557	0.4308556	0.5824446
0.0935907	0.0000000	0.7396193	0.6247961	0.3892886	0.7966006	0.7389605	0.7284703	0.4508195	0.6386402	0.1951486	0.5369650	0.6648828	0.6324907	0.7105150	0.6552341	0.2349538	0.5504054	0.6093544	0.7094559	0.6925279	0.7348763	0.7387886	0.7781223	0.7533926	0.4826298	0.0391568	0.1766665	0.2591408	0.5602950	0.2402704	0.1324606	0.4161740	0.2804586	0.6819669	0.2085425	0.5411066	0.1257171	0.3095744	0.1967312	0.0462589	0.2115246	0.6096748	0.1712599	0.6502007	0.3911231	0.3549427	0.5849479	0.4453342	0.7362350
0.1485244	0.0821325	0.0000000	0.5850969	0.4146876	0.7300383	0.7044981	0.6939982	0.4667930	0.7495880	0.2097958	0.4663425	0.7397867	0.7349682	0.7454887	0.7540528	0.2282054	0.5368793	0.6622466	0.7251274	0.8004742	0.6867011	0.6414198	0.6733323	0.7298434	0.6320063	0.0504717	0.2044563	0.2215266	0.7644393	0.2257690	0.2474701	0.4281949	0.2246293	0.8205218	0.1994804	0.3895139	0.3847118	0.3531793	0.2301798	0.0933280	0.1666045	0.5960488	0.1629123	0.6939227	0.2387757	0.3802074	0.4951647	0.2667567	0.7038234
0.1366879	0.0026818	0.6840928	0.0000000	0.3080392	0.7856082	0.8233215	0.7583284	0.5086922	0.6421803	0.1926475	0.5166774	0.7236039	0.7550084	0.6923912	0.7032941	0.0359868	0.6025164	0.7483355	0.7842556	0.6767038	0.7940768	0.7245000	0.7326837	0.7163951	0.3705634	0.6513939	0.1901662	0.1987752	0.7272012	0.2876599	0.3031897	0.3439152	0.1993467	0.0092993	0.1489557	0.4941044	0.2192428	0.3007287	0.2136675	0.1948437	0.1550594	0.6380453	0.2499041	0.5423663	0.3114873	0.2886897	0.4717594	0.4045028	0.7117101
0.1374461	0.0108079	0.7185618	0.6417011	0.0000000	0.6016593	0.7075378	0.6482026	0.5264810	0.6323465	0.1379421	0.4805502	0.7459933	0.7016090	0.7007610	0.7710969	0.2369503	0.5989281	0.6822145	0.5928065	0.7291226	0.8082176	0.6638793	0.8501724	0.7032660	0.4342997	0.0737867	0.2306904	0.2848553	0.7988475	0.2117404	0.1556159	0.4314351	0.1504857	0.7651098	0.1833730	0.4584119	0.1668031	0.4451640	0.1299447	0.0332599	0.2259246	0.6593870	0.1753491	0.7797597	0.3626816	0.2074350	0.5657157	0.5281881	0.6861714
0.0814953	0.1728946	0.8182763	0.7837044	0.1268914	0.0000000	0.7351603	0.6835074	0.6380104	0.6481809	0.1290385	0.5055410	0.6369022	0.6504616	0.7003543	0.6810802	0.1780977	0.6345520	0.6598738	0.6511793	0.5930970	0.7493175	0.7189083	0.6848526	0.6937020	0.5279631	0.0665835	0.1015424	0.2120708	0.5894003	0.3229623	0.4942575	0.3430879	0.4383978	0.6829319	0.2168939	0.4747363	0.1263633	0.5688371	0.1830760	0.0288449	0.1258092	0.5362083	0.1355647	0.7017396	0.3839827	0.3094326	0.3588672	0.2513819	0.6102940
0.1221764	0.0004590	0.6795166	0.7428146	0.2968140	0.7375016	0.0000000	0.7350176	0.3930748	0.6941151	0.1124409	0.5297763	0.7645275	0.8217609	0.6713913	0.6038273	0.1921742	0.5245896	0.6455288	0.6211367	0.5756996	0.6427863	0.6750772	0.7040167	0.7025157	0.6080901	0.0594249	0.1197481	0.2095240	0.7046702	0.3474331	0.1477220	0.2413982	0.1815636	0.6997972	0.2710526	0.4986446	0.1427660	0.3336730	0.1992044	0.0713920	0.1853704	0.7368169	0.1904485	0.7009382	0.3107156	0.3118530	0.2028178	0.4850491	0.6706648
0.1625291	0.0040306	0.6942598	0.5662251	0.4744385	0.6926645	0.6120919	0.0000000	0.4777600	0.7180222	0.1786701	0.4772128	0.6542404	0.6787576	0.7621989	0.7669358	0.2184898	0.5162788	0.6725560	0.7247579	0.6701501	0.6368936	0.7876433	0.6522956	0.7634597	0.5192303	0.0264922	0.1582146	0.5801131	0.7197455	0.2149184	0.1579016	0.6807088	0.3150688	0.7363142	0.2784737	0.4125687	0.2064963	0.2985612	0.1936768	0.0351423	0.2358240	0.4313680	0.2532386	0.6199867	0.6048370	0.2895161	0.6086296	0.5230288	0.6256242
0.1380167	0.0053236	0.7855757	0.6088223	0.3449200	0.8430153	0.6795129	0.7547030	0.0000000	0.8878917	0.1647838	0.1350731	0.7507823	0.6744066	0.5681812	0.6305470	0.0757289	0.6917856	0.8381091	0.7815132	0.8103894	0.5961636	0.7482559	0.8509578	0.6388735	0.5494700	0.5485379	0.1922301	0.2011921	0.6916677	0.2615192	0.0962881	0.3029208	0.2071289	0.8601334	0.2264493	0.5364821	0.1528652	0.3770602	0.2051613	0.0391899	0.1484639	0.5697930	0.1713481	0.5897238	0.3475865	0.7553992	0.5573469	0.4594948	0.5289064
0.1258302	0.0221949	0.6701688	0.4565075	0.2583679	0.6545755	0.6678302	0.6334713	0.4907462	0.0000000	0.2331336	0.3812564	0.6684766	0.6852893	0.6423459	0.7677207	0.2161073	0.6321204	0.5950713	0.6618069	0.7958145	0.6334305	0.6901999	0.7137790	0.7140164	0.5445402	0.0399824	0.1222792	0.2401254	0.5715340	0.2025482	0.2317563	0.3905060	0.2085511	0.7495828	0.1679536	0.4827148	0.2398025	0.4081684	0.1539667	0.0681554	0.7368208	0.4018712	0.2337010	0.0176188	0.3633966	0.0037524	0.4880269	0.5359707	0.7139432
